,https://roic.ai/company/CHCT,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1631569/000163156917000010/0001631569-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156918000009/0001631569-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156919000008/0001631569-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156920000010/0001631569-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156921000014/0001631569-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1631569/000163156922000015/0001631569-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,2000,2018000,1568000,2130000,2007000,1730000,2483000,2351000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2000,2018000,1568000,2130000,2007000,1730000,2483000,2351000
34,Net Receivables,- -,10897000,13848000,28853000,29522000,31788000,28383000,43115000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,260000,341000,872000,781000,1009000,1217000
37,Total Current Assets,2000,12915000,15676000,31324000,32401000,34299000,31875000,46683000
38,PP&E,- -,- -,- -,- -,- -,139000,821000,2658000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,50000,25000,- -,168000,144000,617000,611000
41,Intangible Assets,- -,50000,25000,- -,168000,144000,617000,611000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,478000,2024000,595000,515000,348000
44,Other Non-Current Assets,- -,129838000,235828000,353964000,391977000,527354000,634574000,703933000
45,Total Non-Current Assets,- -,129888000,235853000,354442000,394169000,528232000,636527000,707550000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2000,142803000,251529000,385766000,426570000,562531000,668402000,754233000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,812000,3541000,4056000,3196000,3606000,5743000,7845000
53,Total Current Liabilities,- -,812000,3541000,4056000,3196000,3606000,5743000,7845000
54,Long-Term Debt,- -,17000000,51000000,93353000,147766000,194243000,213167000,269393000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,2596000,3791000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2721000,2981000,4983000,3949000,11271000,16980000,11092000
58,Total Non-Current Liabilities,- -,19721000,53981000,98336000,151715000,205514000,232743000,284276000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,793000,3768000
61,Total Liabilities,- -,20533000,57522000,102392000,154911000,209120000,238486000,292121000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,76000,130000,181000,186000,214000,239000,250000
64,Retained Earnings,- -,-5384000,-20446000,-41368000,-66340000,-89911000,-108868000,-128782000
65,Other Comprehensive Income/Loss,- -,- -,- -,258000,633000,-4808000,-11846000,-4980000
66,Other Total Stockholders Equity,- -,127578000,214323000,324303000,337180000,447916000,550391000,595624000
67,Total Stockholders Equity,2000,122270000,194007000,283374000,271659000,353411000,429916000,462112000
68,Total Liabilities And Stockholders Equity,- -,142803000,251529000,385766000,426570000,562531000,668402000,754233000
69,Minority Interest,2000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2000,142803000,251529000,385766000,426570000,562531000,668402000,754233000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1631569/000163156917000010/0001631569-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156918000009/0001631569-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156919000008/0001631569-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156920000010/0001631569-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156921000014/0001631569-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1631569/000163156922000015/0001631569-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-1456000,2721000,3510000,4403000,8376000,19077000,22492000
74,Depreciation and Amortization,- -,5320000,13383000,18153000,20168000,22752000,25514000,31225000
75,Deferred Income Tax,- -,- -,- -,-478000,-1547000,1430000,80000,167000
76,Stock Based Compensation,- -,166000,674000,1474000,2852000,3836000,4736000,7164000
77,Change in Working Capital,- -,-997000,32000,15133000,1937000,1488000,-4561000,-894000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,12103000,12135000,27268000,29205000,30693000,26132000,- -
82,Other Non-Cash Items,- -,-62000,-1881000,-15665000,-3372000,-5520000,3524000,-3806000
83,Cash Provided by Operating Activities,- -,2971000,14929000,22127000,24441000,32362000,48370000,56348000
84,CAPEX,- -,-827000,-103206000,-133505000,-42009000,-150001000,-6995000,-7219000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-140640000,-117087000,-147554000,-53508000,-153178000,-125062000,-104427000
89,Cash Used for Investing Activites,- -,-140640000,-117087000,-147554000,-53508000,-153178000,-125062000,-104427000
90,Debt Repayment,- -,- -,- -,-17000000,- -,-28103000,-108000,-71104000
91,Common Stock Issued,- -,127486000,86805000,109168000,10187000,107250000,97972000,38426000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-3928000,-17783000,-24432000,-29375000,-31947000,-38034000,-42406000
94,Other Financing Activites,- -,16127000,32686000,58253000,48517000,73247000,17731000,123138000
95,Cash Used/Provided by Financing Activities,- -,139685000,101708000,125989000,29329000,120447000,77561000,48054000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2016000,-450000,562000,262000,-369000,869000,-25000
98,Cash at the End of Period,- -,2018000,1568000,2130000,2392000,2023000,2892000,2867000
99,Cash at the Beginning of Period,- -,2000,2018000,1568000,2130000,2392000,2023000,2892000
100,Free Cash Flow,- -,2144000,13350000,20995000,19884000,27990000,41375000,49129000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1631569/000163156917000010/0001631569-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156918000009/0001631569-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156919000008/0001631569-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156920000010/0001631569-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1631569/000163156921000014/0001631569-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1631569/000163156922000015/0001631569-22-000015-index.htm
102,false,,,,,,,,
