,https://roic.ai/company/HYBT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Net Income,-70000,-150000,-2570000,-5260000,-5050000,920000,-70000,-490000,-300000,-1030000,880000,490000,4820000,50000,-1000000,-810000,-3541430,- -,-3540000,-160000,-54110,-250340,-488390,-548396
24,Net Income ratio,-0.7778,-0.8824,-8.2903,-1.0626,-1.6290,0.3580,-0.0313,-0.1354,-0.0570,-0.2395,0.0822,0.0531,0.1616,0.0058,-0.5882,-0.7500,-2.1281,- -,-Infinity,-Infinity,-Infinity,-Infinity,-2.9838,-2.4625
25,EPS,-0.06,-0.14,-1.25,-1.86,-1.11,0.19,-0.01,-0.09,-0.05,-0.14,0.09,0.05,0.51,0.00,-0.09,-0.09,-0.32,-0.05,-0.32,-0.01,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.06,-0.14,-1.25,-1.86,-1.11,0.19,-0.01,-0.09,-0.05,-0.14,0.09,0.05,0.51,0.00,-0.09,-0.09,-0.32,-0.05,-0.32,-0.01,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,1080000,1077715,2075803,2831747,4459675,4994397,5154007,5356029,6787758,7634329,8733545,8978569,9325043,10089504,10713344,10713344,10713344,10713344,10713344,10713344,22167316,758974259,1111010670,1111010670
28,Weighted Average Shares Outstanding Diluted,1080000,1077715,2075803,2831747,4459675,4994397,5173763,5423073,7037417,7634329,10576642,9746150,9746150,10089504,10713344,10713344,10713344,10713344,10713344,10713344,22167316,758974259,1111010670,1111010670
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317500000049/0001023175-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317501500086/0001023175-01-500086-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317502000054/0001023175-02-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317505000054/0001023175-05-000054-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317509000080/0001023175-09-000080-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317510000080/0001023175-10-000080-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000154812313000110/0001548123-13-000110-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000154812314000090/0001548123-14-000090-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000108630317000012/0001086303-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000108630318000008/0001086303-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390019005075/0001213900-19-005075-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390020007904/0001213900-20-007904-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000121390022017164/0001213900-22-017164-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,10000,150000,160000,250000,360000,500000,450000,750000,390000,890000,380000,1490000,4200000,1280000,1660000,1928820,609310,- -,- -,- -,37560,95520,5489
32,Short-Term Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,10000,150000,160000,250000,460000,500000,450000,750000,390000,890000,380000,1490000,4200000,1280000,1660000,1928820,609310,- -,- -,- -,37560,95520,5489
34,Net Receivables,30000,10000,280000,260000,150000,40000,30000,100000,270000,150000,280000,520000,220000,920000,2050000,830000,368410,1081290,- -,- -,- -,21320,84080,1317
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,140000,30000,10000,400000,380000,- -,20290,- -,- -,- -,- -,421530,- -
36,Other Current Assets,-10000,- -,20000,280000,140000,40000,70000,70000,150000,40000,180000,210000,2590000,500000,10000,- -,71520,56630,- -,- -,- -,- -,48350,53173
37,Total Current Assets,30000,20000,450000,700000,540000,540000,600000,620000,1170000,580000,1420000,1250000,4330000,5630000,3740000,2870000,2368750,1767520,- -,- -,- -,58880,649480,59979
38,PP&E,20000,20000,170000,380000,260000,160000,100000,70000,80000,90000,80000,100000,1940000,1850000,1820000,1780000,- -,14000,- -,- -,- -,- -,202980,134315
39,Goodwill,- -,- -,- -,4040000,2970000,3150000,2950000,2950000,2950000,1950000,1950000,1950000,1500000,1950000,1950000,1950000,- -,1946250,- -,- -,- -,- -,- -,- -
40,Intangible Assets,10000,10000,10000,270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,10000,10000,10000,4310000,2970000,3150000,2950000,2950000,2950000,1950000,1950000,1950000,1500000,1950000,1950000,1950000,- -,1946250,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660598,2086670,750000,822094,291248,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,- -,10000,- -,10000,110000,160000,170000,130000,1020000,519402,113330,1140000,2357906,3088752,-2368750,- -,430000,- -,- -,- -,-10,- -
45,Total Non-Current Assets,30000,40000,180000,4700000,3230000,3320000,3160000,3180000,3200000,2170000,3050000,3230000,5640000,5690000,6950000,7110000,-2368750,1960250,- -,- -,- -,- -,202970,134315
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000,- -,- -,- -,- -,- -
47,Total Assets,60000,60000,630000,5400000,3770000,3860000,3760000,3800000,4370000,2750000,4470000,4480000,9970000,11320000,10690000,9980000,- -,3727770,430000,- -,- -,58880,852450,194294
48,Accounts Payable,10000,10000,80000,610000,280000,50000,50000,90000,90000,90000,830000,380000,310000,140000,150000,80000,- -,50530,- -,- -,- -,- -,80700,17871
49,Short-Term Debt,100000,250000,500000,469005,465350,112297,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,25643,24601,- -,- -,- -,- -,31017,80522
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116988,92654,92654,- -,- -,- -,- -,- -,23,28,32
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,10000,70000,2200995,1134650,687703,640000,850000,1040000,390000,300000,150000,150000,490000,820000,850000,368207,- -,- -,- -,50000,296120,1336063,1663732
53,Total Current Liabilities,120000,270000,650000,3280000,1880000,850000,690000,940000,1130000,580000,1130000,530000,460000,630000,970000,930000,393850,75131,- -,- -,50000,296120,1447780,1762125
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,1000000,1030000,1170000,- -,- -,- -,- -,- -,- -,- -,56570
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-393850,- -,270000,- -,- -,- -,120540,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,1000000,1030000,1170000,-393850,- -,- -,- -,- -,- -,120540,56570
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203627,- -
61,Total Liabilities,120000,270000,650000,3280000,1880000,850000,690000,940000,1230000,580000,1130000,530000,460000,1630000,2000000,2100000,-787700,- -,270000,- -,50000,296120,1568320,1818695
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10000,20000,20000,20000,30000,30000,40000,40000,40000,40000,50000,50000,50000,50000,49710,- -,50000,50000,150000,1141470,1032470,1032466
64,Retained Earnings,-70000,-220000,-2790000,-8050000,-13090000,-12170000,-12240000,-12730000,-13020000,-14050000,-13170000,-12680000,-7860000,-8430000,-9430000,-10240000,-18119430,- -,-17960000,-18120000,-18170000,-18421320,-18909710,-19458101
65,Other Comprehensive Income/Loss,- -,-20000,-40000,-210000,-420000,-430000,-520000,-570000,-600000,-630000,-660000,-700000,-730000,-70000,-110000,- -,- -,- -,- -,- -,- -,2567,12319,-119033
66,Other Total Stockholders Equity,10000,30783,2805832,10362168,15730839,15587326,15804369,16132762,16714271,16806992,17129599,17295899,18050611,18142652,18182483,18070993,22268469,3699931,18068506,- -,17965887,17040047,17149051,16920267
67,Total Stockholders Equity,-60000,-209217,-14168,2122168,2240839,3007326,3074369,2862762,3134271,2166992,3339599,3955899,9510611,9692652,8692483,7880993,4198749,3699931,158506,- -,-54113,-237236,-715870,-1624401
68,Total Liabilities And Stockholders Equity,60000,60783,635832,5402168,4120839,3857326,3764369,3802762,4364271,2746992,4469599,4485899,9970611,11322652,10692483,9980993,3411049,- -,428506,- -,-4113,58884,852450,194294
69,Minority Interest,- -,-783,-5832,-2168,-350839,2674,-4369,-2762,5729,3008,401,-5899,-611,-2652,-2483,-993,-3411049,3727770,1494,- -,4113,-4,- -,- -
70,Total Liabilities & Equity,60000,60000,630000,5400000,3770000,3860000,3760000,3800000,4370000,2750000,4470000,4480000,9970000,11320000,10690000,9980000,- -,3727770,430000,- -,- -,58880,852450,194294
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317500000049/0001023175-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317501500086/0001023175-01-500086-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317502000054/0001023175-02-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317505000054/0001023175-05-000054-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317509000080/0001023175-09-000080-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317510000080/0001023175-10-000080-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000154812313000110/0001548123-13-000110-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000154812314000090/0001548123-14-000090-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000108630317000012/0001086303-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000108630318000008/0001086303-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390019005075/0001213900-19-005075-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390020007904/0001213900-20-007904-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000121390022017164/0001213900-22-017164-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-70000,-150000,-2570000,-5260000,-5050000,920000,-70000,-490000,-300000,-1030000,880000,490000,4820000,50000,-1000000,-810000,-3541430,- -,-3540000,-160000,-54110,-250340,-488390,-753141
74,Depreciation and Amortization,10000,13151,30572,1095261,1540941,149505,90285,49736,29795,29404,30657,34069,37736,38698,38060,36303,18034,5064,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-20000,-160000,50000,-2380000,1240000,1030000,220000,-230000,360000,-40000,290000,430000,3150000,1130000,-2230000,-830000,34900,-282511,-1692389,- -,-50000,-187240,-561060,-903846
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31525
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69004,105543,- -,-387320,20648,1973,2710,- -,- -,- -,- -,-421533,-52765
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12813,3815,94746,- -
81,Other Working Capital,-90000,-250000,-200000,-2580000,-1340000,-310000,-90000,-320000,40000,- -,290000,720000,3870000,5000000,2770000,1940000,1974900,1692389,- -,- -,-50000,-237240,-798300,-1702146
82,Other Non-Cash Items,- -,176663,1243201,4444590,1160012,-1699846,-152830,480069,-330852,676050,221917,-1262391,-3578215,444093,3020293,481002,-492719,-1281380,4854013,-148030,62810,172317,502824,1635138
83,Cash Provided by Operating Activities,-80000,-120186,-1246227,-2100149,-1109047,399659,87455,-190195,-241057,-364546,822574,-308322,4429521,1662791,-171647,-1122695,-981215,-1558827,-378376,-308030,-41300,-265263,-546626,-21849
84,CAPEX,-30000,-12675,-148135,-250373,-78319,-57524,-25090,-21966,-40452,-39048,-23438,-47270,-1885124,- -,-2250,-2200,-4675,-9639,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,5058,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,-162427,-1436771,-750000,-822094,-89500,-2000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,250000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-5250,583954,-2282,14412,-161536,100585,-85568,-26953,51707,-375707,- -,- -,- -,-1950000,1200000,2401894,250000,- -,179105,- -,- -,- -,- -
89,Cash Used for Investing Activites,-30000,-17925,410819,-252655,-58849,-219060,75495,-107534,-67405,12659,-399145,-209697,-3321895,-750000,-2024344,1358300,2395219,240361,- -,179105,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1183722,-45324,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,375000,376000,40000,50000,250000,500000,- -,175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,141977,980000,1987707,883705,-108093,-74557,- -,100000,- -,-100000,4700,5400,1046000,30000,136627,42738,44282,-52750,-49262,41300,300251,595285,35135
95,Cash Used/Provided by Financing Activities,110000,141977,980000,2362707,1259705,-68093,-24557,250000,600000,- -,75000,4700,5400,1046000,30000,136627,-1140984,-1042,-52750,-49262,41300,300251,595285,35135
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2567,9308,-103319
97,Net Change In Cash,10000,3866,144592,9903,91810,112506,138393,-47729,291538,-351887,498429,-513319,1113026,1958791,-2165991,372232,273020,-1319508,-431126,-49262,41300,300251,57967,-90033
98,Cash at the End of Period,10000,9306,153898,163801,255611,362319,500712,452983,744521,392633,891062,377743,1490769,3449560,1283569,1655801,1928821,609313,178187,- -,- -,37555,95522,5489
99,Cash at the Beginning of Period,- -,5440,9306,153898,163801,249813,362319,500712,452983,744520,392633,891062,377743,1490769,3449560,1283569,1655801,1928821,609313,178187,- -,- -,37555,95522
100,Free Cash Flow,-110000,-132861,-1394362,-2350522,-1187366,342135,62365,-212161,-281509,-403594,799136,-355592,2544397,1662791,-173897,-1124895,-985890,-1568466,-378376,-308030,-41300,-265263,-546626,-21849
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317500000049/0001023175-00-000049-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317501500086/0001023175-01-500086-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317502000054/0001023175-02-000054-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317505000054/0001023175-05-000054-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000102317509000080/0001023175-09-000080-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000102317510000080/0001023175-10-000080-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000154812313000110/0001548123-13-000110-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000154812314000090/0001548123-14-000090-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1086303/000108630317000012/0001086303-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000108630318000008/0001086303-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390019005075/0001213900-19-005075-index.html,https://www.sec.gov/Archives/edgar/data/1086303/000121390020007904/0001213900-20-007904-index.htm,https://www.sec.gov/Archives/edgar/data/1086303/000121390022017164/0001213900-22-017164-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
