,https://roic.ai/company/HON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,585000000,1275000000,1107000000,1055000000,1193000000,1062000000,114000000,-16000000,1212000000,1671000000,1873000000,2155000000,2325000000,2552000000,3129000000,3393000000,504000000,-274000000,2215000000,2330000000,3094000000,3597000000,4158000000,4704000000,4358000000,4203000000,3817000000,5147000000,6690000000,6970000000,7700000000,7778000000,8290000000,8907000000,8917000000,7287000000,8733000000
16,EBITDA ratio,0.0642,0.1081,0.0996,0.0886,0.0999,0.0860,0.0096,-0.0013,0.1025,0.1304,0.1306,0.1542,0.1607,0.1687,0.1318,0.1356,0.0213,-0.0123,0.0959,0.0910,0.1119,0.1147,0.1202,0.1287,0.1410,0.1260,0.1045,0.1367,0.1713,0.1729,0.1996,0.1979,0.2045,0.2131,0.2429,0.2233,0.2539
17,Operating Income,895000000,1052000000,750000000,703000000,946000000,730000000,-291000000,415000000,938000000,1152000000,1260000000,1509000000,1636000000,1962000000,2024000000,2799000000,159000000,1902000000,1918000000,1700000000,2481000000,3061000000,3724000000,3529000000,3382000000,3134000000,2574000000,4156000000,5501000000,5831000000,6828000000,6683000000,7151000000,6705000000,6851000000,5696000000,6200000000
18,Operating Income ratio,0.0982,0.0892,0.0675,0.0590,0.0792,0.0591,-0.0246,0.0345,0.0793,0.0899,0.0878,0.1080,0.1130,0.1297,0.0853,0.1119,0.0067,0.0854,0.0830,0.0664,0.0897,0.0976,0.1077,0.0965,0.1094,0.0939,0.0705,0.1103,0.1409,0.1447,0.1770,0.1700,0.1764,0.1604,0.1866,0.1745,0.1803
19,Total Other Income Expenses (Gains),-672000000,-145000000,7000000,-64000000,-177000000,-128000000,-99000000,287000000,-28000000,-41000000,1000000,44000000,80000000,-19000000,224000000,-401000000,-581000000,-2847000000,-278000000,-20000000,-158000000,-263000000,-403000000,272000000,-404000000,-291000000,-292000000,-281000000,-89000000,-13000000,-242000000,-236000000,-249000000,782000000,708000000,316000000,1035000000
20,Income Before Tax,223000000,907000000,757000000,639000000,769000000,602000000,-390000000,702000000,910000000,1111000000,1261000000,1553000000,1716000000,1943000000,2248000000,2398000000,-422000000,-945000000,1640000000,1680000000,2323000000,2798000000,3321000000,3801000000,2978000000,2843000000,2282000000,3875000000,5412000000,5818000000,6586000000,6447000000,6902000000,7487000000,7559000000,6012000000,7235000000
21,Income Before Tax Ratio,0.0245,0.0769,0.0681,0.0537,0.0644,0.0488,-0.0330,0.0583,0.0769,0.0867,0.0879,0.1112,0.1186,0.1284,0.0947,0.0958,-0.0178,-0.0424,0.0710,0.0656,0.0840,0.0892,0.0960,0.1040,0.0964,0.0852,0.0625,0.1029,0.1386,0.1443,0.1707,0.1640,0.1703,0.1791,0.2059,0.1842,0.2104
22,Income Tax expense (Gain),502000000,302000000,242000000,176000000,241000000,140000000,-117000000,167000000,254000000,352000000,386000000,533000000,546000000,612000000,707000000,739000000,-323000000,-725000000,296000000,399000000,742000000,720000000,877000000,1009000000,789000000,808000000,417000000,944000000,1450000000,1489000000,1739000000,1601000000,5204000000,659000000,1329000000,1147000000,1625000000
23,Net Income,-279000000,605000000,518000000,463000000,528000000,462000000,-273000000,-712000000,411000000,759000000,875000000,1020000000,1170000000,1331000000,1541000000,1659000000,-99000000,-220000000,1324000000,1281000000,1655000000,2083000000,2444000000,2792000000,2153000000,2022000000,2067000000,2926000000,3924000000,4239000000,4768000000,4809000000,1655000000,6765000000,6143000000,4779000000,5542000000
24,Net Income ratio,-0.0306,0.0513,0.0466,0.0389,0.0442,0.0374,-0.0231,-0.0591,0.0348,0.0592,0.0610,0.0730,0.0808,0.0880,0.0649,0.0663,-0.0042,-0.0099,0.0573,0.0500,0.0598,0.0664,0.0707,0.0764,0.0697,0.0606,0.0566,0.0777,0.1005,0.1052,0.1236,0.1224,0.0408,0.1618,0.1673,0.1464,0.1611
25,EPS,-0.82,0.82,0.78,0.78,0.89,0.84,-0.50,-1.26,0.73,1.34,1.54,1.80,2.07,2.37,1.95,2.07,-0.12,-0.27,1.54,1.49,1.95,2.54,3.20,3.79,2.86,2.61,2.65,3.74,4.99,5.40,6.11,6.29,2.17,9.10,8.52,6.79,7.87
26,EPS Diluted,-0.82,0.82,0.78,0.78,0.89,0.84,-0.50,-1.26,0.73,1.34,1.54,1.80,2.02,2.32,1.90,2.05,-0.12,-0.27,1.54,1.49,1.94,2.52,3.16,3.76,2.85,2.59,2.61,3.69,4.92,5.33,6.04,6.20,2.14,8.98,8.41,6.72,7.87
27,Weighted Average Shares Outstanding,700776000,698780488,662820513,593589744,593258427,550000000,546000000,565079365,563013699,566417910,566343042,565096953,565217391,561603376,790256410,801449275,825000000,814814815,859740260,859731544,848717949,820078740,763750000,736763174,753000000,773500000,780800000,782400000,786400000,784400000,779800000,764300000,762100000,743000000,721000000,704100000,690600000
28,Weighted Average Shares Outstanding Diluted,700776000,698780488,662820513,593589744,593258427,550000000,546000000,565079365,563013699,567150000,567206000,565648000,579207921,573706897,811052632,809268293,825000000,814814815,859740260,859731544,853092784,826587302,773417722,743530427,756000000,781000000,791600000,791900000,797300000,795200000,789300000,775300000,772100000,753000000,730300000,711200000,690600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/0000930413-12-000976-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/0000930413-13-000907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/0000930413-15-000621-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/0000930413-16-005457-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/0000930413-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/0000930413-18-000292-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/0000930413-19-000366-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/0000773840-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/0000773840-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/0000773840-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1125000000,193000000,349000000,397000000,525000000,382000000,238000000,931000000,892000000,508000000,540000000,1465000000,611000000,712000000,1991000000,1196000000,1393000000,2021000000,2950000000,3586000000,1234000000,1224000000,1829000000,2065000000,2801000000,2650000000,3698000000,4634000000,6422000000,6959000000,5455000000,7843000000,7059000000,9287000000,9067000000,14275000000,10959000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000000,430000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,484000000,- -,- -,- -,- -,- -,3758000000,1623000000,1349000000,945000000,564000000
33,Cash and Short-Term Investments,1125000000,193000000,349000000,397000000,525000000,382000000,238000000,931000000,892000000,508000000,540000000,1766000000,1041000000,712000000,1991000000,1196000000,1393000000,2021000000,2950000000,3586000000,1234000000,1224000000,1829000000,2065000000,2801000000,3108000000,4182000000,4634000000,6422000000,6959000000,5455000000,7843000000,10817000000,10910000000,10416000000,15220000000,11523000000
34,Net Receivables,1407000000,1501000000,1493000000,1492000000,1443000000,1452000000,1445000000,1529000000,1343000000,1697000000,1751000000,1661000000,1886000000,1993000000,3896000000,4623000000,3620000000,3264000000,3643000000,4243000000,5017000000,5740000000,6387000000,6129000000,6274000000,7068000000,7228000000,7429000000,7929000000,7960000000,8075000000,8818000000,8866000000,7508000000,7493000000,6827000000,6830000000
35,Inventory,2125000000,2451000000,2060000000,2061000000,2063000000,2168000000,1996000000,1871000000,1745000000,1743000000,1991000000,1946000000,2093000000,2332000000,3436000000,3734000000,3355000000,2953000000,2939000000,3160000000,3401000000,3588000000,3861000000,3848000000,3446000000,3958000000,4264000000,4235000000,4293000000,4405000000,4420000000,4366000000,4613000000,4326000000,4421000000,4489000000,5138000000
36,Other Current Assets,303000000,461000000,182000000,167000000,110000000,314000000,450000000,588000000,587000000,637000000,608000000,466000000,553000000,556000000,1099000000,1108000000,1526000000,1957000000,1991000000,1831000000,2310000000,1752000000,1608000000,1221000000,1415000000,877000000,460000000,1300000000,2520000000,2867000000,2103000000,2031000000,1706000000,1618000000,1973000000,1639000000,1881000000
37,Total Current Assets,4960000000,4606000000,4084000000,4117000000,4141000000,4316000000,4129000000,4919000000,4567000000,4585000000,4890000000,5839000000,5573000000,5593000000,10422000000,10661000000,9894000000,10195000000,11523000000,12820000000,11962000000,12304000000,13685000000,13263000000,13936000000,15011000000,16134000000,17598000000,21164000000,22191000000,20053000000,23058000000,26002000000,24362000000,24303000000,28175000000,25372000000
38,PP&E,3153000000,3514000000,3330000000,3214000000,3321000000,3584000000,3638000000,3897000000,4094000000,4260000000,4742000000,4219000000,4251000000,4397000000,5630000000,5230000000,4933000000,4055000000,4295000000,4331000000,4658000000,4797000000,4985000000,4934000000,4847000000,4840000000,4804000000,5001000000,5278000000,5383000000,5789000000,5793000000,5926000000,5296000000,5325000000,5570000000,5562000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349000000,1572000000,1418000000,2426000000,2999000000,- -,- -,- -,- -,- -,- -,- -,8403000000,9175000000,10185000000,10494000000,11597000000,11858000000,12425000000,13046000000,12788000000,15895000000,17707000000,18277000000,15546000000,15563000000,16058000000,17756000000
40,Intangible Assets,1416000000,1990000000,1547000000,1378000000,1318000000,1107000000,1099000000,1048000000,1087000000,- -,- -,- -,- -,- -,4660000000,5898000000,6356000000,6772000000,6887000000,7254000000,9636000000,1247000000,1498000000,2267000000,2174000000,2574000000,2477000000,2449000000,2514000000,2208000000,4577000000,4634000000,4496000000,4139000000,3734000000,3560000000,3613000000
41,Intangible Assets,1416000000,1990000000,1547000000,1378000000,1318000000,1107000000,1099000000,1048000000,1087000000,1349000000,1572000000,1418000000,2426000000,2999000000,4660000000,5898000000,6356000000,6772000000,6887000000,7254000000,9636000000,9650000000,10673000000,12452000000,12668000000,14171000000,11858000000,14874000000,15560000000,14996000000,20472000000,22341000000,22773000000,19685000000,19297000000,19618000000,21369000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,616000000,494000000,424000000,143000000,465000000,517000000,587000000,667000000,742000000,588000000,685000000,1222000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000000,342000000,613000000,588000000,1075000000,637000000,2135000000,2017000000,1218000000,2132000000,1889000000,368000000,404000000,283000000,347000000,236000000,382000000,86000000,760000000,489000000
44,Other Non-Current Assets,3742000000,1158000000,1265000000,1296000000,1352000000,1449000000,1516000000,892000000,1081000000,1127000000,1261000000,1353000000,1457000000,2571000000,2815000000,3386000000,3043000000,6004000000,6297000000,6044000000,5450000000,3115000000,3825000000,2706000000,1957000000,1978000000,4386000000,2067000000,2922000000,2012000000,2202000000,2020000000,3783000000,7306000000,9080000000,9778000000,10456000000
45,Total Non-Current Assets,8311000000,6662000000,6142000000,5888000000,5991000000,6140000000,6253000000,5837000000,6262000000,6736000000,7575000000,6990000000,8134000000,9967000000,13105000000,14514000000,14332000000,17364000000,17821000000,18242000000,20332000000,18637000000,20120000000,22227000000,22068000000,22823000000,23674000000,24255000000,24271000000,23260000000,29263000000,31088000000,33385000000,33411000000,34376000000,36411000000,39098000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13271000000,11268000000,10226000000,10005000000,10132000000,10456000000,10382000000,10756000000,10829000000,11321000000,12465000000,12829000000,13707000000,15560000000,23527000000,25175000000,24226000000,27559000000,29344000000,31062000000,32294000000,30941000000,33805000000,35490000000,36004000000,37834000000,39808000000,41853000000,45435000000,45451000000,49316000000,54146000000,59387000000,57773000000,58679000000,64586000000,64470000000
48,Accounts Payable,- -,- -,- -,- -,1132000000,1256000000,1073000000,1221000000,1207000000,1296000000,1385000000,1187000000,1345000000,1423000000,2129000000,2364000000,1862000000,1912000000,2240000000,2564000000,2886000000,3518000000,3962000000,3773000000,3633000000,4344000000,4738000000,4736000000,5174000000,5365000000,5580000000,5690000000,6584000000,5607000000,5730000000,5750000000,6484000000
49,Short-Term Debt,487000000,853000000,497000000,260000000,479000000,697000000,881000000,336000000,358000000,263000000,644000000,614000000,1092000000,2011000000,2609000000,1682000000,539000000,370000000,199000000,1204000000,2024000000,1154000000,2238000000,2510000000,1361000000,889000000,674000000,1101000000,2028000000,2637000000,6514000000,3593000000,5309000000,6458000000,5063000000,6229000000,5345000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,780000000,489000000,504000000,467000000,720000000,411000000,400000000,492000000,588000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2127000000,2172000000,2094000000,1863000000,2151000000,2198000000,2403000000,2490000000,2932000000,- -
52,Other Current Liabilities,2531000000,2802000000,2965000000,2942000000,1616000000,1471000000,1649000000,1948000000,1924000000,1832000000,1775000000,1895000000,1999000000,1751000000,3534000000,3168000000,3819000000,4292000000,4344000000,4971000000,5520000000,5463000000,5741000000,6006000000,6153000000,6484000000,6863000000,5081000000,4807000000,4677000000,4414000000,4897000000,4770000000,4456000000,4815000000,4286000000,7679000000
53,Total Current Liabilities,3018000000,3655000000,3462000000,3202000000,3227000000,3424000000,3603000000,3505000000,3489000000,3391000000,3804000000,3696000000,4436000000,5185000000,8272000000,7214000000,6220000000,6574000000,6783000000,8739000000,10430000000,10135000000,11941000000,12289000000,11147000000,11717000000,12275000000,13045000000,14181000000,14773000000,18371000000,16331000000,18861000000,18924000000,18098000000,19197000000,19508000000
54,Long-Term Debt,2086000000,2127000000,2017000000,2044000000,1903000000,2051000000,1914000000,1777000000,1602000000,1424000000,1366000000,1317000000,1215000000,1476000000,2457000000,3941000000,4731000000,4719000000,4961000000,4069000000,3082000000,3909000000,5419000000,5865000000,6246000000,5755000000,6881000000,6395000000,6801000000,6046000000,5554000000,12182000000,12573000000,9756000000,11110000000,16983000000,14254000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,44000000,93000000,99000000,81000000,76000000,1264000000,1310000000,1356000000,2364000000
56,Deferred Tax Liabilities,377000000,569000000,706000000,717000000,722000000,673000000,593000000,412000000,339000000,406000000,551000000,610000000,694000000,795000000,864000000,1173000000,875000000,419000000,316000000,397000000,503000000,352000000,734000000,698000000,542000000,636000000,676000000,628000000,804000000,236000000,558000000,486000000,2894000000,1713000000,1670000000,2113000000,2364000000
57,Other Non-Current Liabilities,1957000000,1247000000,912000000,774000000,868000000,928000000,1289000000,2811000000,3009000000,3118000000,3152000000,3026000000,2976000000,2807000000,3335000000,3140000000,3230000000,6922000000,6555000000,6605000000,7025000000,6825000000,6489000000,9451000000,9115000000,8939000000,9074000000,8673000000,6026000000,6519000000,6316000000,5519000000,7544000000,7758000000,7785000000,7147000000,6731000000
58,Total Non-Current Liabilities,4420000000,3943000000,3635000000,3535000000,3493000000,3652000000,3796000000,5000000000,4950000000,4948000000,5069000000,4953000000,4885000000,5078000000,6656000000,8254000000,8836000000,12060000000,11832000000,11071000000,10610000000,11086000000,12642000000,16014000000,15903000000,15330000000,16631000000,15743000000,13675000000,12894000000,12527000000,18268000000,23087000000,20491000000,21875000000,27599000000,25713000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000000,828000000,- -
61,Total Liabilities,7438000000,7598000000,7097000000,6737000000,6720000000,7076000000,7399000000,8505000000,8439000000,8339000000,8873000000,8649000000,9321000000,10263000000,14928000000,15468000000,15056000000,18634000000,18615000000,19810000000,21040000000,21221000000,24583000000,28303000000,27050000000,27047000000,28906000000,28788000000,27856000000,27667000000,30898000000,34599000000,41948000000,39415000000,39973000000,46796000000,45221000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000,358000000,358000000,716000000,716000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000,958000000
64,Retained Earnings,938000000,1155000000,1503000000,1671000000,1923000000,2113000000,1594000000,747000000,1023000000,1613000000,2315000000,3214000000,4089000000,5082000000,9932000000,10992000000,10284000000,9450000000,10129000000,10767000000,11722000000,12563000000,14273000000,16250000000,17487000000,15097000000,16083000000,17799000000,20383000000,23115000000,26147000000,28710000000,28255000000,33978000000,37693000000,39905000000,42827000000
65,Other Comprehensive Income/Loss,-1244000000,-1632000000,-1896000000,-2126000000,-2482000000,-2851000000,-3224000000,-3732000000,-4074000000,-4532000000,-5043000000,-4757000000,-4938000000,-4961000000,-7073000000,-7230000000,-6748000000,-1109000000,-189000000,138000000,-25000000,-1307000000,-544000000,-3809000000,-4429000000,-1067000000,-1444000000,-1339000000,818000000,-1459000000,-2535000000,-2714000000,-2235000000,-3437000000,-3197000000,-3377000000,-2895000000
66,Other Total Stockholders Equity,6139000000,4147000000,3522000000,3723000000,3971000000,4118000000,4613000000,5236000000,5441000000,5543000000,5962000000,5365000000,4519000000,4460000000,4782000000,4987000000,4676000000,-374000000,-169000000,-611000000,-1401000000,-2494000000,-5465000000,-6212000000,-5172000000,-4322000000,-4791000000,-4443000000,-4692000000,-4957000000,-6287000000,-7585000000,-9702000000,-13319000000,-16960000000,-19937000000,- -
67,Total Stockholders Equity,5833000000,3670000000,3129000000,3268000000,3412000000,3380000000,2983000000,2251000000,2390000000,2982000000,3592000000,4180000000,4386000000,5297000000,8599000000,9707000000,9170000000,8925000000,10729000000,11252000000,11254000000,9720000000,9222000000,7187000000,8844000000,10666000000,10806000000,12975000000,17467000000,17657000000,18283000000,19369000000,17276000000,18180000000,18494000000,17549000000,19242000000
68,Total Liabilities And Stockholders Equity,13271000000,11268000000,10226000000,10005000000,10132000000,10456000000,10382000000,10756000000,10829000000,11321000000,12465000000,12829000000,13707000000,15560000000,23527000000,25175000000,24226000000,27559000000,29344000000,31062000000,32294000000,30941000000,33805000000,35490000000,35894000000,37713000000,39712000000,41763000000,45323000000,45324000000,49181000000,53968000000,59224000000,57595000000,58467000000,64345000000,64463000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,121000000,96000000,90000000,112000000,127000000,135000000,178000000,163000000,178000000,212000000,241000000,7000000
70,Total Liabilities & Equity,13271000000,11268000000,10226000000,10005000000,10132000000,10456000000,10382000000,10756000000,10829000000,11321000000,12465000000,12829000000,13707000000,15560000000,23527000000,25175000000,24226000000,27559000000,29344000000,31062000000,32294000000,30941000000,33805000000,35490000000,36004000000,37834000000,39808000000,41853000000,45435000000,45451000000,49316000000,54146000000,59387000000,57773000000,58679000000,64586000000,64470000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/0000930413-12-000976-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041313000907/0000930413-13-000907-index.htm,- -,https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/0000930413-15-000621-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041316005457/0000930413-16-005457-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/0000930413-17-000391-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041318000292/0000930413-18-000292-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000093041319000366/0000930413-19-000366-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/0000773840-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384021000015/0000773840-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/773840/000077384022000018/0000773840-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,528000000,462000000,-273000000,-712000000,411000000,759000000,875000000,1020000000,1170000000,1331000000,1541000000,1659000000,-99000000,-220000000,1324000000,1281000000,1655000000,2083000000,2444000000,2792000000,2153000000,2022000000,2067000000,2926000000,3924000000,4239000000,4768000000,4809000000,1655000000,6765000000,6143000000,4779000000,5542000000
74,Depreciation and Amortization,- -,- -,- -,- -,424000000,460000000,504000000,529000000,547000000,560000000,612000000,602000000,609000000,609000000,881000000,995000000,926000000,671000000,595000000,650000000,697000000,794000000,837000000,903000000,957000000,987000000,957000000,926000000,989000000,924000000,883000000,1030000000,1115000000,1116000000,1088000000,1002000000,1223000000
75,Deferred Income Tax,- -,- -,- -,- -,36000000,17000000,-196000000,83000000,110000000,180000000,198000000,213000000,138000000,233000000,-11000000,414000000,-456000000,-793000000,344000000,223000000,52000000,450000000,332000000,115000000,371000000,878000000,-331000000,84000000,262000000,132000000,315000000,76000000,2294000000,-586000000,179000000,-175000000,178000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,164000000,168000000,170000000,170000000,187000000,175000000,184000000,176000000,175000000,153000000,168000000,217000000
