,https://roic.ai/company/FCIC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,9253000,9330000,9330000,9330000,9330000,9339000,10065000,8816000,8816000,8035000,8816000,8816000,9196000,9196000,9196000,8396000,8396000,8396000,8396000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2261000,1552000,1671000,1626000,1601000,1612000,1561000,239000,168000,108000,71000,28000,336000,292000,243000,172000,115000,61000,-1000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,4002000,1561000,1695000,1640000,1612000,1623000,1575000,251000,180000,118000,80000,43000,337000,295000,246000,191000,123000,67000,70000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,4002000,1561000,1695000,1640000,1612000,1623000,1575000,251000,180000,118000,80000,43000,337000,295000,246000,191000,123000,67000,70000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/730669/000124013904000019/0001240139-04-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000129627705000013/0001296277-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660806000069/0001026608-06-000069-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660807000092/0001026608-07-000092-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660808000145/0001026608-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660809000094/0001026608-09-000094-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660810000064/0001026608-10-000064-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660811000062/0001026608-11-000062-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793212001929/0001477932-12-001929-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793213002906/0001477932-13-002906-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793214003353/0001477932-14-003353-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793215004170/0001477932-15-004170-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793216010913/0001477932-16-010913-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793217002884/0001477932-17-002884-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793218003024/0001477932-18-003024-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793219003748/0001477932-19-003748-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793220003523/0001477932-20-003523-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793221004548/0001477932-21-004548-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-230000,288000,808000,134000,207000,45000,258000,-199000,119000,-45000,-30000,-10000,-50000,-70000,-70000,-60000,-40000,-40000,-72000,-44000,-49000,-71000,-57000,-54000,-62000
74,Depreciation and Amortization,15000,10000,-2000,9000,6000,5000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,-76000,- -,-421000,-139000,- -,304000,178000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-136000,- -,- -,- -,13000,-207000,194000,1551000,119000,-45000,-25000,11000,-51000,-1322000,-71000,-60000,-37000,-43000,309000,-44000,-49000,-71000,-57000,-54000,5000
78,Accounts Receivable,- -,- -,- -,15000,-4000,-29000,-33000,1136000,-9000,-2000,5000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-187000,-15000,267000,-43000,-63000,15000,-10000,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,-11000,-2000,-2000
81,Other Working Capital,- -,- -,- -,- -,13000,-194000,- -,1551000,1670000,1625000,1600000,1611000,1560000,238000,167000,107000,70000,27000,336000,292000,243000,172000,115000,61000,66000
82,Other Non-Cash Items,-135000,-20000,-268000,-218000,-342000,7000,-1039000,-349000,-113000,33000,32000,-7000,51000,1319000,70000,58000,39000,46000,-322000,44000,48000,87000,46000,51000,-5000
83,Cash Provided by Operating Activities,-562000,278000,117000,-214000,-116000,154000,-404000,1003000,125000,-57000,-23000,-6000,-50000,-73000,-71000,-62000,-38000,-37000,-85000,-44000,-50000,-55000,-68000,-57000,-62000
84,CAPEX,- -,- -,-13000,-4000,-5000,-6000,-53000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4000,-510000,-1718000,-603000,-3132000,-2999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,250000,- -,570000,79000,27000,3157000,3942000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2000,46000,7000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,252000,42000,54000,-1642000,-581000,19000,942000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-89000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-712000,- -,- -,- -,- -,- -,-1249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,91000,-317000,- -,1798000,602000,121000,-945000,-50000,- -,- -,- -,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000
95,Cash Used/Provided by Financing Activities,91000,-317000,- -,1798000,602000,32000,-945000,-510000,- -,- -,- -,23000,- -,-1249000,- -,- -,- -,- -,380000,- -,- -,- -,- -,- -,65000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-219000,3000,171000,-58000,-95000,205000,-407000,1530000,125000,-57000,-23000,17000,-50000,-1322000,-71000,-62000,-38000,-37000,295000,-44000,-50000,-55000,-68000,-57000,3000
98,Cash at the End of Period,211000,214000,385000,327000,232000,437000,30000,1560000,1685000,1628000,1605000,1622000,1572000,250000,179000,117000,79000,42000,337000,293000,243000,188000,120000,63000,66000
99,Cash at the Beginning of Period,430000,211000,214000,385000,327000,232000,437000,30000,1560000,1685000,1628000,1605000,1622000,1572000,250000,179000,117000,79000,42000,337000,293000,243000,188000,120000,63000
100,Free Cash Flow,-562000,278000,104000,-218000,-121000,148000,-457000,1003000,125000,-57000,-23000,-6000,-50000,-73000,-71000,-62000,-38000,-37000,-85000,-44000,-50000,-55000,-68000,-57000,-62000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730669/000124013904000019/0001240139-04-000019-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000129627705000013/0001296277-05-000013-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660806000069/0001026608-06-000069-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660807000092/0001026608-07-000092-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660808000145/0001026608-08-000145-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660809000094/0001026608-09-000094-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660810000064/0001026608-10-000064-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000102660811000062/0001026608-11-000062-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793212001929/0001477932-12-001929-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793213002906/0001477932-13-002906-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793214003353/0001477932-14-003353-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793215004170/0001477932-15-004170-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793216010913/0001477932-16-010913-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793217002884/0001477932-17-002884-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793218003024/0001477932-18-003024-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793219003748/0001477932-19-003748-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793220003523/0001477932-20-003523-index.htm,https://www.sec.gov/Archives/edgar/data/730669/000147793221004548/0001477932-21-004548-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
