,https://roic.ai/company/SNES,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9000,138000,9000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,644000,751000,640000,1454000,1083000,1437000,1203000,845000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1529000,941000,12870000,9323000,7754000,4979000,6022000,11501000
48,Accounts Payable,151000,544000,351000,391000,173000,265000,404000,333000
49,Short-Term Debt,- -,- -,- -,189000,219000,123000,98000,32000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,186000,221000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4453000,1447000,1446000,589000,771000,1193000,292000,578000
53,Total Current Liabilities,4790000,2212000,1797000,1169000,1163000,1581000,794000,943000
54,Long-Term Debt,277000,484000,144000,591000,261000,137000,673000,523000
55,Deferred Revenue,186000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2000000,2091000,102000,41000,16000,694000,671000,- -
58,Total Non-Current Liabilities,2463000,2575000,246000,632000,277000,831000,1344000,523000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,694000,671000,- -
61,Total Liabilities,7253000,4787000,2043000,1801000,1440000,2412000,2138000,1466000
62,Preferred Stock,- -,7476000,- -,- -,- -,- -,- -,- -
63,Common Stock,4000,4000,10000,16000,24000,1000,5000,12000
64,Retained Earnings,-32167000,-50357000,-61311000,-73597000,-85838000,-95867000,-104240000,-112508000
65,Other Comprehensive Income/Loss,-421000,-603000,-799000,-1189000,-1585000,-1978000,- -,- -
66,Other Total Stockholders Equity,26860000,39634000,72927000,82292000,93713000,100411000,108119000,122531000
67,Total Stockholders Equity,-5724000,-3846000,10827000,7522000,6314000,2567000,3884000,10035000
68,Total Liabilities And Stockholders Equity,1529000,941000,12870000,9323000,7754000,4979000,6022000,11501000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1529000,941000,12870000,9323000,7754000,4979000,6022000,11501000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1680378/000161577418002215/0001615774-18-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000161577419004827/0001615774-19-004827-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390020006565/0001213900-20-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390021018287/0001213900-21-018287-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390022015848/0001213900-22-015848-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-7200000,-18173000,-10795000,-12286000,-11908000,-10018000,-7937000,-8268000
74,Depreciation and Amortization,125000,182000,196000,391000,447000,413000,288000,303000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2510000,11315000,2689000,3728000,3413000,873000,645000,765000
77,Change in Working Capital,182000,1883000,12455000,-3733000,-1192000,-3547000,2064000,5688000
78,Accounts Receivable,-31000,18000,3000,-6000,-123000,-10000,1000,-52000
79,Inventory,- -,- -,-57000,-483000,-721000,81000,235000,-56000
80,Accounts Payable,48000,393000,-193000,40000,-218000,92000,139000,-71000
81,Other Working Capital,-3905000,-2022000,10433000,6700000,5508000,1961000,4025000,9713000
82,Other Non-Cash Items,1856000,1127000,-11241000,2579000,111000,4221000,-2168000,-6267000
83,Cash Provided by Operating Activities,-2527000,-3666000,-6696000,-9321000,-9129000,-8058000,-7108000,-7779000
84,CAPEX,-614000,-130000,-57000,-898000,-239000,-71000,47000,1000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-5004000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5070000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,185000,- -,-114000,-100000
89,Cash Used for Investing Activites,-614000,-130000,-57000,-5902000,5016000,-71000,-67000,-99000
90,Debt Repayment,-119000,-100000,-1961000,-192000,-364000,-220000,-62000,-108000
91,Common Stock Issued,3105000,- -,18832000,5253000,5132000,3631000,5741000,12421000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-176000,- -,- -,- -,436000,- -
94,Other Financing Activites,834000,3216000,1743000,437000,2164000,1734000,2767000,1248000
95,Cash Used/Provided by Financing Activities,3820000,3116000,18438000,5498000,6932000,5145000,8882000,13561000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,679000,-680000,11685000,-9725000,2819000,-2984000,1707000,5683000
98,Cash at the End of Period,821000,141000,11826000,2101000,4920000,1936000,3643000,9326000
99,Cash at the Beginning of Period,142000,821000,141000,11826000,2101000,4920000,1936000,3643000
100,Free Cash Flow,-3141000,-3796000,-6753000,-10219000,-9368000,-8129000,-7061000,-7778000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1680378/000161577418002215/0001615774-18-002215-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000161577419004827/0001615774-19-004827-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390020006565/0001213900-20-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390021018287/0001213900-21-018287-index.htm,https://www.sec.gov/Archives/edgar/data/1680378/000121390022015848/0001213900-22-015848-index.htm
102,false,,,,,,,,
