,https://roic.ai/company/EKSO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,- -,-4.05,-0.01,-34.84,-21.07,-30.75,-12.30,-6.60,-2.55,-2.21,-0.88
27,Weighted Average Shares Outstanding,- -,3733246,3140000,965838,1261732,1208382,2373945,4081953,4794090,7164000,12193000
28,Weighted Average Shares Outstanding Diluted,- -,3733246,3140000,965838,1262028,1241448,2373945,4081953,4794090,7164000,12269000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1549084/000155889114000022/0001558891-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420415017256/v403902_10k.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420416087881/0001144204-16-087881-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420417014588/0001144204-17-014588-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420418014386/0001144204-18-014386-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908419000002/0001549084-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908420000005/0001549084-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908421000012/0001549084-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000154908422000006/0001549084-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8443,- -,25190000,19552000,16846000,27813000,7655000,10872000,12862000,40406000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,8443,- -,25190000,19552000,16846000,27813000,7655000,10872000,12862000,40406000
34,Net Receivables,- -,- -,- -,1549000,2069000,1780000,2760000,3660000,5208000,3389000,4662000
35,Inventory,- -,- -,- -,622000,1056000,1556000,3025000,3371000,2489000,1978000,2242000
36,Other Current Assets,- -,- -,- -,1939000,2524000,502000,1339000,281000,238000,191000,485000
37,Total Current Assets,- -,8443,- -,29300000,25201000,20684000,34937000,14967000,18807000,18420000,47795000
38,PP&E,- -,- -,- -,2102000,2625000,2435000,2249000,2365000,2741000,1857000,1207000
39,Goodwill,- -,- -,- -,- -,189000,189000,189000,189000,189000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1584000,1026000,491000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1773000,1215000,680000,189000,189000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2072000,2599000,91000,122000,134000,178000,320000,164000
45,Total Non-Current Assets,- -,- -,- -,4174000,6997000,3741000,3051000,2688000,3108000,2177000,1371000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8443,- -,33474000,32198000,24425000,37988000,17655000,21915000,20597000,49166000
48,Accounts Payable,- -,- -,- -,783000,2694000,1879000,2420000,3156000,1903000,1501000,3107000
49,Short-Term Debt,- -,3600,10000,41000,80000,54000,2173000,2368000,2772000,548000,229000
50,Tax Payable,- -,- -,- -,46000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3412000,3960000,825000,1103000,1102000,1492000,1496000,1220000
52,Other Current Liabilities,- -,4500,10000,2378000,1885000,3556000,3469000,3506000,1665000,1429000,2299000
53,Total Current Liabilities,- -,8100,20000,6614000,8619000,6314000,9165000,10132000,7832000,4974000,6855000
54,Long-Term Debt,- -,- -,- -,77000,- -,6789000,4830000,2648000,407000,3308000,1993000
55,Deferred Revenue,- -,- -,- -,3895000,4613000,805000,816000,1495000,1789000,1806000,1475000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,88000,10158000,3986000,1786000,652000,5090000,6075000,1624000
58,Total Non-Current Liabilities,- -,- -,- -,4060000,14771000,11580000,7432000,4795000,7286000,11189000,5092000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,80000,54000,34000,35000,1150000,781000,229000
61,Total Liabilities,- -,8100,20000,10674000,23390000,17894000,16597000,14927000,15118000,16163000,11947000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,10000,102000,105000,22000,60000,63000,87000,8000,13000
64,Retained Earnings,- -,-4657,-50000,-71801000,-91391000,-114861000,-144154000,-171146000,-183278000,-199103000,-208867000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1502000,-2253000,79000,-340000,-92000,50000,-847000,-17000
66,Other Total Stockholders Equity,- -,- -,20000,96001000,102347000,121291000,165825000,173903000,189938000,204376000,- -
67,Total Stockholders Equity,- -,343,-20000,22800000,8808000,6531000,21391000,2728000,6797000,4434000,37219000
68,Total Liabilities And Stockholders Equity,- -,8443,- -,33474000,32198000,24425000,37988000,17655000,21915000,20597000,49166000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,8443,- -,33474000,32198000,24425000,37988000,17655000,21915000,20597000,49166000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1549084/000155889114000022/0001558891-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420415017256/v403902_10k.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420416087881/0001144204-16-087881-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420417014588/0001144204-17-014588-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420418014386/0001144204-18-014386-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908419000002/0001549084-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908420000005/0001549084-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908421000012/0001549084-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000154908422000006/0001549084-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,-30000,-33769000,-19590000,-23470000,-29122000,-26992000,-12132000,-15825000,-9764000
74,Depreciation and Amortization,- -,- -,- -,745000,933000,1855000,1732000,1515000,690000,620000,561000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1143000,1731000,3121000,2414000,2868000,2255000,2579000,2500000
77,Change in Working Capital,- -,- -,-35051,22706000,-6104000,-2212000,11402000,-20937000,6140000,2471000,-468000
78,Accounts Receivable,- -,- -,- -,-1000000,-520000,154000,-1085000,-850000,-1599000,1754000,-1624000
79,Inventory,- -,- -,- -,354000,-200000,-541000,-2096000,-1655000,893000,379000,-752000
80,Accounts Payable,- -,- -,- -,-716000,1738000,-818000,77000,752000,-1231000,-402000,1612000
81,Other Working Capital,- -,- -,-20000,22686000,16582000,14370000,25772000,4835000,10975000,13446000,-564000
82,Other Non-Cash Items,- -,- -,35051,-5832000,4761000,-4291000,-17652000,21381000,-12725000,1400000,-3985000
83,Cash Provided by Operating Activities,- -,- -,-30000,-15007000,-18269000,-24997000,-31226000,-22165000,-15772000,-8755000,-11156000
84,CAPEX,- -,- -,- -,-1487000,-1492000,-1096000,-456000,-131000,-60000,- -,-59000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1487000,-1492000,-1096000,-456000,-131000,-60000,- -,-59000
90,Debt Repayment,- -,- -,- -,-2596000,-60000,-79000,-54000,-2174000,-2377000,-2790000,- -
91,Common Stock Issued,- -,- -,- -,21961000,- -,14694000,42463000,4446000,21188000,7082000,37295000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-173000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,21514000,14183000,8865000,159000,1000,228000,6412000,1417000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,40879000,14123000,23307000,42568000,2273000,19039000,10704000,38712000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,80000,81000,-135000,10000,41000,47000
97,Net Change In Cash,- -,- -,-30000,24385000,-5638000,-2706000,10967000,-20158000,3217000,1990000,27544000
98,Cash at the End of Period,- -,- -,- -,25190000,19552000,16846000,27813000,7655000,10872000,12862000,40406000
99,Cash at the Beginning of Period,- -,- -,30000,805000,25190000,19552000,16846000,27813000,7655000,10872000,12862000
100,Free Cash Flow,- -,- -,-30000,-16494000,-19761000,-26093000,-31682000,-22296000,-15832000,-8755000,-11215000
101,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1549084/000155889114000022/0001558891-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420415017256/v403902_10k.htm,https://www.sec.gov/Archives/edgar/data/1549084/000114420416087881/0001144204-16-087881-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420417014588/0001144204-17-014588-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000114420418014386/0001144204-18-014386-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908419000002/0001549084-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908420000005/0001549084-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1549084/000154908421000012/0001549084-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1549084/000154908422000006/0001549084-22-000006-index.htm
102,false,,,,,,,,,,,
