,https://roic.ai/company/LAIX,2016,2017,2018,2019,2020
53,Total Current Liabilities,44806828,288498979,730457000,1114417000,1033888000
54,Long-Term Debt,- -,- -,- -,117124000,56903000
55,Deferred Revenue,- -,907711,32000,1000000,59285000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,288446001,1000000,1000000,11441000,8234000
58,Total Non-Current Liabilities,288446001,1907711,1032000,129565000,124422000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,154133000,88748000
61,Total Liabilities,333252829,290406690,731489000,1243982000,1158310000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,121967,263066,316000,329000,333000
64,Retained Earnings,-190936237,-447901925,-936868000,-1511649000,-1906476000
65,Other Comprehensive Income/Loss,24897112,-84887,16318000,29483000,10256000
66,Other Total Stockholders Equity,-121967,651641750,1139128000,1157032000,1183324000
67,Total Stockholders Equity,-166039125,203918004,218894000,-324805000,-712563000
68,Total Liabilities And Stockholders Equity,167213704,494324694,950383000,919177000,445747000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,167213704,494324694,950383000,919177000,445747000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-89169000,-242759628,-488066000,-574781000,-394827000
74,Depreciation and Amortization,550000,1026728,5911000,53888000,58480000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,4520000,8517693,45473000,26683000,29027000
77,Change in Working Capital,35727000,176635539,317276000,328184000,-24043000
78,Accounts Receivable,- -,-10627609,-41339000,7043000,1468000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,10376000,53462514,4236000,61391000,-55255000
81,Other Working Capital,11846000,103676386,344242000,219948000,52048000
82,Other Non-Cash Items,9781000,-3540199,6464000,17862000,28765000
83,Cash Provided by Operating Activities,-38591000,-60119867,-112942000,-148164000,-302598000
84,CAPEX,-1266000,-10720674,-43062000,-51664000,-9343000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-163328000,-143913303,-409687000,-35914000,-51209000
87,Sales/Maturities of Investments,42894000,224529548,34554000,187824000,224890000
88,Other Investing Activites,23000,5706,-868000,-2278000,-6975000
89,Cash Used for Investing Activites,-121677000,69901277,-417716000,100246000,164667000
90,Debt Repayment,- -,- -,-5540000,- -,- -
91,Common Stock Issued,- -,4078351,441166000,- -,2154000
92,Common Stock Repurchased,- -,- -,- -,-17441000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,373112451,8352000,1097000,2131000
95,Cash Used/Provided by Financing Activities,- -,377190802,443978000,-16344000,4285000
96,Effect of Forex Changes on Cash,2312000,-11790058,14919000,2522000,-10829000
97,Net Change In Cash,-157956000,375182154,-71761000,-61740000,-144475000
98,Cash at the End of Period,41301000,416483038,344722000,282982000,138507000
99,Cash at the Beginning of Period,199257000,41300884,416483000,344722000,282982000
100,Free Cash Flow,-39857000,-70840541,-156004000,-199828000,-311941000
101,SEC Link,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532
