,https://roic.ai/company/LBTYA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,- -,2800900000,11628848000,13702363000,23378529000,25569300000,32618600000,33986100000,39899900000,33328800000,36409200000,38307700000,67714300000,72841900000,64610300000,54517900000,57596800000,53153600000,49046300000,59092700000,46917000000
48,Accounts Payable,- -,- -,- -,- -,363549000,715599000,710700000,804900000,735000000,734900000,566200000,645700000,774000000,1072900000,1039000000,995900000,954500000,1046600000,874300000,963900000,618200000,613400000
49,Short-Term Debt,- -,- -,- -,- -,36827000,269947000,1384900000,383200000,513000000,487700000,631700000,184100000,363500000,1023400000,1550900000,2537100000,2624300000,4165400000,3615200000,3877200000,1130400000,850300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000000,- -,- -,- -,- -,- -,445600000,431800000,472300000,- -,- -,253600000,236600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,640100000,933800000,918400000,886400000,869800000,847600000,849700000,1406200000,1452200000,1347700000,1059000000,1101100000,847100000,834900000,430900000,274700000
52,Other Current Liabilities,- -,- -,- -,1759115000,1020716000,1445765000,1009000000,1735600000,2075700000,2426900000,2222200000,2492400000,2633100000,4180500000,5148200000,3886600000,3759500000,3652700000,4969500000,2975700000,2287500000,2346400000
53,Total Current Liabilities,- -,- -,- -,1759115000,1421092000,2431311000,3744700000,3857500000,4242100000,4535900000,4289900000,4169800000,4620300000,7683000000,9190300000,8767300000,8397300000,9965800000,10306100000,8651700000,4467000000,4084800000
54,Long-Term Debt,- -,- -,- -,3965198000,4981960000,9845025000,10845200000,17970200000,22346600000,25364900000,25581200000,24573800000,27161000000,43680900000,44608100000,42186500000,34886500000,38049500000,26190000000,24305300000,13867300000,15200900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,10700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,297636000,458138000,546049000,537100000,743700000,902700000,890500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,290003000,409998000,943190000,1283700000,1765100000,-10700000,2611500000,- -,4734200000,4441300000,4808900000,4927500000,3751900000,2235500000,3188500000,12509200000,2890700000,27460000000,2033300000
58,Total Non-Current Liabilities,- -,- -,- -,4552837000,5850096000,11334264000,12666000000,20479000000,23249300000,28866900000,25581200000,29308000000,31602300000,48489800000,49535600000,45938400000,37122000000,41238000000,38699200000,27196000000,41327300000,17234200000
59,Other Liabilities,- -,- -,92000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,48441000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1226100000
61,Total Liabilities,- -,- -,92000000,6311952000,7271188000,13765575000,16410700000,24336500000,27491400000,33402800000,29871100000,33477800000,36222600000,56172800000,58725900000,54705700000,45519300000,51203800000,49005300000,35847700000,45794300000,21319000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1758000,4794000,4100000,3500000,2900000,2600000,2400000,2800000,2600000,3900000,8900000,- -,- -,8100000,7400000,6300000,6300000,5300000
64,Retained Earnings,- -,- -,- -,- -,-1662707000,-1732527000,-1020300000,-1319100000,-733900000,-2287000000,-1898800000,-2671500000,-2348700000,-3312600000,-4007600000,- -,- -,-6217600000,-5172200000,6350400000,4692100000,18144500000
65,Other Comprehensive Income/Loss,- -,- -,- -,4100800000,14010000,-278481000,169800000,858500000,-7602400000,1299000000,1440300000,1509500000,1600500000,2528800000,1646600000,896000000,-372000000,1656000000,631800000,1112700000,3693100000,3892200000
66,Other Total Stockholders Equity,- -,- -,2708900000,5316896000,6873745000,9822660000,8093500000,6293200000,11726400000,4105500000,3500700000,3964600000,2955600000,12805700000,17066600000,9008600000,9370600000,11358500000,9214400000,6136800000,5271100000,- -
67,Total Stockholders Equity,- -,- -,2708900000,4100800000,5226806000,7816446000,7247100000,5836100000,3393000000,3120100000,3044600000,2805400000,2210000000,12025800000,14714500000,10446000000,9508700000,6805000000,4681400000,13606200000,13662600000,25934900000
68,Total Liabilities And Stockholders Equity,- -,- -,2800900000,10412752000,12497994000,21582021000,23657800000,30172600000,30884400000,36522900000,32915700000,36283200000,38432600000,68198600000,73440400000,65151700000,55028000000,58008800000,53686700000,49453900000,59456900000,47253900000
69,Minority Interest,- -,- -,- -,1216096000,1204369000,1796508000,1911500000,2446000000,3101700000,3377000000,413100000,126000000,-124900000,-484300000,-598500000,-541400000,-510100000,-412000000,-533100000,-407600000,-364200000,-336900000
70,Total Liabilities & Equity,- -,- -,2800900000,11628848000,13702363000,23378529000,25569300000,32618600000,33986100000,39899900000,33328800000,36409200000,38307700000,67714300000,72841900000,64610300000,54517900000,57596800000,53153600000,49046300000,59092700000,46917000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570585/000157058514000029/lgi201310-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058515000014/lg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058516000395/0001570585-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058517000034/0001570585-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058518000065/0001570585-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058519000039/0001570585-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058520000023/0001570585-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058521000073/0001570585-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058522000038/0001570585-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-31758000,-80097000,706200000,-422600000,-788900000,-412100000,388200000,-772700000,322800000,-963900000,-695000000,-1196400000,1960800000,-2778100000,725300000,11521400000,-1628000000,13426800000
74,Depreciation and Amortization,- -,- -,- -,- -,982623000,1558663000,1966900000,2567400000,2857700000,3046100000,2368600000,2457000000,2691100000,4276400000,5500100000,5609400000,5213800000,4857000000,3858200000,3652200000,2331300000,2353700000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-74740000,-100600000,130100000,231200000,-511100000,482000000,129600000,35200000,18600000,-350600000,-31500000,-1465000000,31900000,438100000,65500000,-261700000,318200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,153500000,129800000,122800000,131300000,112400000,300700000,257200000,315800000,281500000,173900000,206000000,305800000,348000000,308100000
77,Change in Working Capital,- -,- -,- -,- -,118423000,-1940417000,-13274000,249300000,-1075500000,1750700000,400500000,-1537500000,-499800000,-1305900000,-3069400000,-570100000,3006600000,-2800900000,-530500000,8086300000,-1539500000,-165200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1290700000,866700000,860500000,532700000,530700000,500100000,635400000,876900000,938000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,1771491000,-168926000,-182200000,67100000,-1008400000,742300000,1142800000,-394700000,-894500000,-2200400000,-5269800000,-5839900000,-2833300000,-5634200000,-6164700000,1921600000,382100000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-323048000,2112693000,-681226000,25600000,1760000000,-650100000,-1481900000,2328600000,258000000,1605400000,3960900000,1272100000,-3530400000,6224700000,1266000000,-19045800000,4935700000,-12692600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,746240000,1576102000,1878000000,2549800000,3138000000,3353300000,2280200000,2736300000,2919700000,3931300000,5603200000,5399300000,5467300000,5708500000,5963100000,4585400000,4185800000,3549000000
84,CAPEX,- -,- -,- -,- -,-508347000,-1898528000,-1507900000,-2034500000,-2375000000,-2235300000,-1791100000,-1927000000,-1883600000,-2481500000,-2684400000,-2272300000,-2153900000,-1953100000,-1453000000,-1243100000,-1350200000,-1408000000
85,Acquisitions Net,- -,- -,- -,- -,-560964000,-3584442000,-1254200000,-1178800000,-723700000,-72800000,-2636300000,-1980500000,839700000,-5423700000,-101400000,-1111900000,-1541700000,-539200000,1886900000,10923900000,-5267800000,-70800000
86,Purchases of Investments,- -,- -,- -,- -,-293734000,- -,-255700000,-43500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8363200000,-7261800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,678365000,101489000,2600000,- -,- -,- -,3176400000,- -,- -,- -,- -,- -,147300000,25500000,36200000,- -,6031900000,6170800000
88,Other Investing Activites,- -,- -,- -,- -,150029000,446774000,2910800000,359900000,53900000,-2084300000,-1914000000,-2029800000,-1920600000,-2541300000,-2702000000,-2317100000,-2080800000,-45600000,-1835800000,-1649300000,-1274900000,-4634700000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-534651000,-4934707000,-104400000,-2896900000,-3044800000,-2157100000,-1373900000,-4010300000,-1080900000,-7965000000,-2803400000,-3429000000,-3475200000,-559300000,87300000,9274600000,-8874000000,-5796500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1057100000,-2266200000,-5813300000,-4520500000,-4376100000,-8318600000,-11316100000,-13880600000,-11387900000,-10506200000,-8170600000,-10300700000,-13450100000,-1796700000
91,Common Stock Issued,- -,- -,- -,- -,488437000,873554000,18500000,167800000,- -,12900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-127890000,-78893000,-1756900000,-1796800000,-2271800000,-416300000,-884900000,-912600000,-970300000,-1615200000,-1845600000,-2462900000,-1948300000,-2976200000,-2254600000,-3333500000,-1110400000,-1594700000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,1879841000,1397181000,526600000,1970100000,2502000000,3363900000,6478400000,4685400000,3876600000,14549700000,8900400000,14032200000,11701800000,8801900000,4235400000,6457600000,15644100000,1845500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2240388000,2191842000,-1211800000,341100000,-826900000,694300000,-219800000,-747700000,-1469800000,4615900000,-4261300000,-2311300000,-1634400000,-4680500000,-6189800000,-7176600000,1083600000,-1545900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,66756000,-160152000,116500000,161000000,72200000,5100000,-108600000,34300000,18700000,85400000,-81900000,-2800000,11300000,104400000,-45100000,-800000,141000000,-6600000
97,Net Change In Cash,- -,- -,- -,- -,2518733000,-1326915000,678300000,155000000,-661500000,1895600000,577900000,-1987400000,387700000,663000000,-1543400000,-343800000,369000000,595800000,-184500000,6682600000,-3463600000,-3800000000
98,Cash at the End of Period,- -,- -,- -,- -,2531486000,1202200000,1880500000,2035500000,1374000000,3269600000,3847500000,1860100000,2038900000,2701900000,1158500000,707600000,1076600000,1672400000,1498300000,8180900000,4717300000,917300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12753000,2529115000,1202200000,1880500000,2035500000,1374000000,3269600000,3847500000,1651200000,2038900000,2701900000,1051400000,707600000,1076600000,1682800000,1498300000,8180900000,4717300000
100,Free Cash Flow,- -,- -,- -,- -,237893000,-322426000,370100000,515300000,763000000,1118000000,489100000,809300000,1036100000,1449800000,2918800000,3127000000,3313400000,3755400000,4510100000,3342300000,2835600000,2141000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570585/000157058514000029/lgi201310-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058515000014/lg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058516000395/0001570585-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058517000034/0001570585-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058518000065/0001570585-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058519000039/0001570585-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1570585/000157058520000023/0001570585-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058521000073/0001570585-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1570585/000157058522000038/0001570585-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
