,https://roic.ai/company/GLNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,18563000,26144000,47833000,47946000,65123000,62137000,76117000,64679000,115146000,120860000,132393000,31383000,60186000,121031000,-202756000,47115000,-1620000,-35902000,-141091000,-85457000,114486000,60659000,125653000,384924000
18,Operating Income ratio,0.2372,0.3196,0.4233,0.4198,0.4986,0.4679,0.4658,0.3782,0.4804,0.5379,0.5786,0.1450,0.2467,0.4037,-0.4942,0.4721,-0.0153,-0.3497,-1.7580,-0.5954,0.2659,0.1352,0.2865,0.8520
19,Total Other Income Expenses (Gains),-31591000,-27764000,-44820000,-41617000,-40323000,-15137000,-25317000,-39279000,-52146000,-19360000,-132793000,-1683000,-62786000,-52531000,1220556000,55985000,-88076000,-175124000,-68156000,-32869000,-123797000,-136211000,-116075000,-392864000
20,Income Before Tax,-13028000,-1620000,3013000,6329000,24800000,47000000,50800000,25400000,63000000,101500000,-400000,29700000,-2600000,68500000,1017800000,103100000,-89696000,-211026000,-209247000,-118326000,-9311000,-75552000,9578000,-7940000
21,Income Before Tax Ratio,-0.1665,-0.0198,0.0267,0.0554,0.1899,0.3539,0.3109,0.1485,0.2628,0.4517,-0.0017,0.1372,-0.0107,0.2285,2.4806,1.0331,-0.8450,-2.0553,-2.6072,-0.8244,-0.0216,-0.1684,0.0218,-0.0176
22,Income Tax expense (Gain),- -,- -,78000,356000,100000,400000,400000,800000,1300000,-300000,500000,1600000,1400000,-1700000,2800000,-3400000,-1114000,-3053000,-589000,1505000,1267000,1024000,981000,1740000
23,Net Income,-12792000,-1857000,-504000,4366000,27100000,39600000,55800000,34500000,71700000,108900000,-10000000,14700000,400000,46700000,971300000,109600000,-48017000,-171146000,-186531000,-179703000,-231428000,-211956000,-272227000,412685000
24,Net Income ratio,-0.1635,-0.0227,-0.0045,0.0382,0.2075,0.2982,0.3415,0.2018,0.2991,0.4846,-0.0437,0.0679,0.0016,0.1558,2.3673,1.0982,-0.4523,-1.6669,-2.3242,-1.2520,-0.5374,-0.4723,-0.6206,0.9135
25,EPS,-0.23,-0.03,-0.01,0.08,0.48,0.68,0.85,0.53,1.09,2.09,-0.15,0.34,0.14,0.62,1.47,1.68,-0.44,-2.11,-2.07,-1.78,-2.28,-2.09,-2.48,3.76
26,EPS Diluted,-0.23,-0.03,-0.01,0.08,0.48,0.68,0.84,0.50,1.05,2.07,-0.15,0.34,0.14,0.62,1.47,1.68,-0.44,-2.11,-2.07,-1.78,-2.28,-2.09,-2.48,3.76
27,Weighted Average Shares Outstanding,55617391,61900000,50400000,54575000,56535417,58191176,65685882,65149057,65755046,65169378,67214000,67888235,67808200,74707000,80503364,80579295,93414672,93546663,101080673,101118289,101302404,101302404,109943594,109900000
28,Weighted Average Shares Outstanding Diluted,55617391,61900000,50400000,54575000,56535417,58191176,66467857,69058000,68260000,65799034,67214000,67888235,67808200,74707000,80503364,80579295,93414672,93546663,101080673,101118289,101302404,101302404,109943594,109900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1207179/000091957409013267/d1012184_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957410003068/d1094917_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957411002832/d1189413_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957412002972/d1283771_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000144530513001004/glng-12312012x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717914000005/glng-12312013x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717915000006/glng-12312014x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717916000034/glng-12312015x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717917000008/glng-12312016x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717918000006/glng-12312017x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717919000008/0001207179-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1207179/000120717920000008/glng-20191231.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1806000,2567000,5741000,57569000,52741000,117883000,51598000,62227000,56616000,185739000,56114000,122231000,164717000,66913000,424714000,125347000,191410000,105235000,224190000,214862000,217835000,222123000,127691000,268627000
32,Short-Term Investments,- -,- -,14231000,- -,- -,13810000,- -,- -,- -,40942000,60352000,40651000,21815000,28012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1806000,2567000,19972000,57569000,52741000,131693000,51598000,62227000,56616000,226681000,116466000,162882000,186532000,94925000,424714000,125347000,191410000,105235000,224190000,214862000,217835000,222123000,127691000,268627000
34,Net Receivables,- -,- -,111000,449000,281000,1668000,866000,368000,4953000,12081000,23018000,9293000,9296000,7830000,10291000,19730000,48765000,25647000,7915000,25880000,88778000,32462000,2112000,3484000
35,Inventory,- -,- -,2059000,2650000,2482000,3203000,3556000,4974000,3392000,4133000,4748000,6882000,5664000,3211000,2051000,11951000,8317000,8650000,7257000,7408000,7006000,1228000,- -,- -
36,Other Current Assets,- -,- -,16394000,16765000,15518000,48002000,60183000,62021000,67371000,27426000,538000,3071000,2840000,- -,2869000,24668000,494346000,501241000,457814000,225310000,336318000,115576000,165406000,653486000
37,Total Current Assets,- -,- -,38536000,77433000,71022000,184566000,116203000,129590000,132332000,270321000,144770000,182128000,204332000,105966000,439925000,181696000,742838000,640773000,697176000,473460000,649937000,371389000,295209000,925597000
38,PP&E,- -,158110000,765559000,774227000,909254000,972280000,1223616000,1320609000,1515538000,1448576000,1561313000,1646059000,1618803000,1895007000,1009474000,1579240000,2338636000,2850727000,2615059000,3254548000,3291379000,3604644000,3641320000,3755512000
39,Goodwill,- -,- -,9439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,9439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,48869000,65950000,97255000,14023000,30924000,21243000,27623000,22529000,919214000,822442000,814851000,542723000,656127000,710572000,579129000,508805000,312151000,52215000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,128000,162000,- -,- -,1231000,- -,531000,421000,260000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,4456000,4331000,7659000,628756000,721641000,714546000,820936000,840528000,622722000,643006000,225783000,209132000,45255000,81422000,95408000,273365000,288549000,325707000,286150000,147306000,91215000,214971000
45,Total Non-Current Assets,- -,- -,779454000,778558000,916913000,1601036000,1994126000,2101105000,2433857000,2303289000,2214959000,2310308000,1873440000,2126668000,1974474000,2483525000,3249155000,3666815000,3559735000,4290827000,4156658000,4260755000,4044686000,4022698000
46,Other Assets,594264000,724101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,594264000,724101000,817990000,855991000,987935000,1785602000,2110329000,2230695000,2566189000,2573610000,2359729000,2492436000,2077772000,2232634000,2414399000,2665221000,3991993000,4307588000,4256911000,4764287000,4806595000,4632144000,4339895000,4948295000
48,Accounts Payable,- -,- -,1799000,1995000,3001000,5106000,2940000,1165000,7209000,6079000,21454000,23529000,16308000,23124000,10203000,12728000,10811000,53281000,23790000,70430000,9701000,13930000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,81140000,61331000,69119000,70030000,77856000,85715000,77401000,83092000,111395000,70215000,14400000,30784000,116431000,501618000,451454000,1384933000,730257000,1244690000,987850000,1050851000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096000,463000,720000,345000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8040000,7724000,9514000,1327000,1036000,8507000,18156000,30669000,- -,- -
52,Other Current Liabilities,- -,- -,31855000,153951000,42405000,55684000,43835000,52798000,43292000,54415000,168174000,99141000,119453000,162801000,54416000,39338000,232934000,411355000,497992000,168404000,242024000,154660000,215275000,256806000
53,Total Current Liabilities,- -,- -,33654000,155946000,126546000,122121000,115894000,123993000,128357000,146209000,267029000,205762000,247156000,256140000,87059000,90574000,369690000,967581000,974272000,1632274000,1000138000,1443949000,1203125000,1307657000
54,Long-Term Debt,- -,126308000,491729000,483276000,629173000,593904000,636497000,758183000,803771000,735629000,737226000,707722000,691549000,627243000,490506000,686244000,1264356000,1376443000,1320599000,1025914000,1835102000,1294719000,1367937000,1358950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16660000,15650000,15145000,- -,72138000,90910000,76739000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9022000,5204000,1717000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,9562000,16552000,22731000,710436000,928886000,886378000,1094581000,1102257000,861641000,920768000,539745000,593431000,63493000,62402000,58073000,54080000,52214000,237657000,54654000,65911000,137702000,104937000
58,Total Non-Current Liabilities,- -,126308000,501291000,499828000,651904000,1304340000,1565383000,1644561000,1898352000,1837886000,1598867000,1628490000,1231294000,1220674000,563021000,770510000,1339796000,1445668000,1372813000,1335709000,1980666000,1437369000,1505639000,1463887000
59,Other Liabilities,373623000,611103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,616210000,845515000,803966000,1015034000,1029764000,790427000,852943000,411875000,405843000,- -,- -,- -,- -,- -,- -,- -,10063000,15639000,- -
61,Total Liabilities,373623000,484795000,534945000,655774000,778450000,1426461000,1681277000,1768554000,2026709000,1984095000,1865896000,1834252000,1478450000,1476814000,650080000,861084000,1709486000,2413249000,2347085000,2967983000,2980804000,2881318000,2708764000,2771544000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,56012000,65612000,65612000,65562000,65562000,67577000,67577000,67577000,67808000,80237000,80504000,80580000,93415000,93547000,101081000,101119000,101303000,101303000,109944000,108223000
64,Retained Earnings,- -,- -,- -,- -,34713000,74283000,130116000,164275000,235948000,211386000,134089000,157076000,78086000,34093000,848503000,874296000,670405000,315696000,103650000,-95742000,-364379000,-605145000,-929620000,-540764000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-60356000,-89052000,-3737000,-5948000,-8477000,-6902000,-34639000,-18819000,-33311000,-34948000,-18730000,-6757000,5171000,-41254000,-9542000,-7769000,-28512000,-34866000,-56073000,-10834000
66,Other Total Stockholders Equity,220641000,239306000,283045000,200217000,165767000,289592000,210779000,210665000,214011000,280471000,285118000,289677000,298005000,598383000,854042000,856018000,1511861000,1505537000,1668073000,1717708000,2036713000,2036969000,2168272000,2172859000
67,Total Stockholders Equity,220641000,239306000,283045000,200217000,196136000,340435000,402770000,434554000,507044000,552532000,452145000,495511000,410588000,677765000,1764319000,1804137000,2280852000,1873526000,1863262000,1715316000,1745125000,1498261000,1292523000,1729484000
68,Total Liabilities And Stockholders Equity,594264000,724101000,817990000,855991000,974586000,1766896000,2084047000,2203108000,2533753000,2536627000,2318041000,2329763000,1889038000,2154579000,2414399000,2665221000,3990338000,4286775000,4210347000,4683299000,4725929000,4379579000,4001287000,4501028000
69,Minority Interest,- -,- -,- -,- -,13349000,18706000,26282000,27587000,32436000,36983000,41688000,162673000,188734000,78055000,- -,- -,1655000,20813000,46564000,80988000,80666000,252565000,338608000,447267000
70,Total Liabilities & Equity,594264000,724101000,817990000,855991000,987935000,1785602000,2110329000,2230695000,2566189000,2573610000,2359729000,2492436000,2077772000,2232634000,2414399000,2665221000,3991993000,4307588000,4256911000,4764287000,4806595000,4632144000,4339895000,4948295000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1207179/000091957409013267/d1012184_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957410003068/d1094917_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957411002832/d1189413_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957412002972/d1283771_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000144530513001004/glng-12312012x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717914000005/glng-12312013x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717915000006/glng-12312014x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717916000034/glng-12312015x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717917000008/glng-12312016x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717918000006/glng-12312017x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717919000008/0001207179-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1207179/000120717920000008/glng-20191231.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-504000,4366000,27100000,39600000,55800000,34500000,71700000,108900000,-10000000,14700000,400000,46700000,971300000,109600000,-48017000,-171146000,-186531000,-179703000,-231428000,-211956000,-272227000,412685000
74,Depreciation and Amortization,- -,- -,37847000,33777000,32272000,32721000,41772000,54026000,56822000,61235000,62005000,63483000,65076000,70286000,85524000,36871000,49811000,73732000,72972000,76522000,93689000,113033000,107923000,105952000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7257000,-3487000,-3488000,-3488000,-1715000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3092000,1689000,1869000,1970000,1357000,500000,1619000,4125000,5816000,8991000,11481000,8882000,5421000,3520000
77,Change in Working Capital,- -,- -,-11461000,1568000,17367000,-9011000,-15825000,14917000,-22320000,-4880000,112259000,-36138000,-8255000,-2475000,3171000,-50681000,51498000,-175215000,4540000,28066000,-52066000,-54872000,-53464000,65304000
78,Accounts Receivable,- -,- -,- -,- -,188000,-1488000,916000,221000,-3824000,-7194000,2133000,5473000,-2010000,5245000,2256000,304000,-10533000,911000,-567000,-11413000,-49938000,39448000,-4178000,-1247000
79,Inventory,- -,- -,257000,-591000,168000,-721000,-353000,-1571000,1465000,-857000,-725000,-2238000,1166000,2479000,167000,-10137000,-809000,-2252000,987000,-151000,402000,5778000,-305000,998000
80,Accounts Payable,- -,- -,- -,- -,1006000,2105000,-2166000,-1775000,6057000,-1130000,12778000,2075000,-7221000,-12804000,-520000,2525000,-1746000,8944000,-28511000,1593000,-24813000,-678000,3832000,857000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,8140000,- -,- -,1908000,1182000,1475000,494000,-1021000,3497000,-6003000,-264741000,47834000,57110000,- -,- -,- -,-9419000
82,Other Non-Cash Items,- -,- -,3627000,2332000,-5523000,-5893000,281000,-32417000,11017000,-92200000,-118861000,29000,-7380000,127000,-820285000,-25081000,-26550000,-72657000,66367000,113258000,294998000,251458000,358130000,-357456000
83,Cash Provided by Operating Activities,- -,- -,29509000,42043000,71216000,57417000,82028000,71026000,117219000,73055000,48495000,43763000,51710000,116608000,233810000,67722000,24873000,-344649000,-38551000,47134000,116674000,106545000,145783000,230005000
84,CAPEX,- -,- -,-96860000,-140114000,-164727000,-84091000,-286792000,-145728000,-257579000,-48144000,-322183000,-112945000,-33927000,-289182000,-342987000,-734155000,-1466673000,-697349000,-234518000,-391901000,-149826000,-400665000,-302184000,-214406000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104905000,119927000,155319000,226856000,210368000,-53107000,-85851000,103904000,-1559000,16778000
86,Purchases of Investments,- -,- -,-14231000,- -,- -,-12176000,-21948000,-3000000,-18726000,-181000,-36588000,-85000,-469000,-4152000,-173000,-18049000,- -,-5023000,-10200000,-123107000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,14231000,- -,- -,- -,- -,2248000,171595000,165000,30711000,399132000,901000,- -,99210000,- -,207428000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-11757000,-532017000,1403000,-562248000,-47373000,-64448000,5064000,101165000,275058000,25859000,- -,-6211000,157365000,- -,-117916000,12132000,32128000,134346000,33185000,32367000,200715000,123274000
89,Cash Used for Investing Activites,- -,- -,-122848000,-657900000,-163324000,-658515000,-356113000,-213176000,-268993000,224435000,-83548000,-56460000,364736000,-298644000,-290700000,-533067000,-1429270000,-255956000,-2222000,-433769000,-202492000,-264394000,-103028000,-74354000
90,Debt Repayment,- -,- -,- -,-15170000,-109888000,-558548000,-63175000,-300210000,-73250000,-185463000,-382541000,-78279000,-110037000,-135404000,-331454000,-9400000,-239903000,-215363000,-271858000,-446626000,-994874000,-552195000,-909352000,-533379000
91,Common Stock Issued,- -,- -,- -,275808000,- -,106197000,- -,- -,- -,106369000,1007000,1974000,6289000,- -,317119000,- -,660947000,- -,169876000,- -,- -,- -,99831000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-667000,- -,-31024000,- -,-4582000,- -,- -,- -,- -,- -,-12269000,-8214000,- -,- -,-18615000,-16650000,-24484000
93,Dividends Paid,- -,- -,- -,- -,-10002000,-1695000,- -,-7200000,-2200000,-147772000,-69438000,- -,-45761000,-65022000,-175904000,-108976000,-155996000,-121358000,-54348000,-20438000,-42873000,-65004000,-26072000,-33136000
94,Other Financing Activites,- -,- -,96513000,407047000,207170000,1120286000,270975000,460856000,221613000,89523000,356400000,159701000,-224451000,284658000,604930000,284354000,1205412000,863420000,324272000,844371000,1215149000,499814000,715130000,563268000
95,Cash Used/Provided by Financing Activities,- -,- -,96513000,667685000,87280000,666240000,207800000,152779000,146163000,-168367000,-94572000,78814000,-373960000,84232000,414691000,165978000,1470460000,514430000,159728000,377307000,177402000,-136000000,-137113000,-27731000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,3174000,51828000,-4828000,65142000,-66285000,10629000,-5611000,129123000,-129625000,66117000,42486000,-97804000,357801000,-299367000,66063000,-86175000,118955000,-9328000,91584000,-293849000,-94358000,127920000
98,Cash at the End of Period,- -,- -,5741000,57569000,52741000,117883000,51598000,62227000,56616000,185739000,56114000,122231000,164717000,66913000,424714000,125347000,191410000,105235000,224190000,214862000,704261000,410412000,316054000,418792000
99,Cash at the Beginning of Period,- -,- -,2567000,5741000,57569000,52741000,117883000,51598000,62227000,56616000,185739000,56114000,122231000,164717000,66913000,424714000,125347000,191410000,105235000,224190000,612677000,704261000,410412000,290872000
100,Free Cash Flow,- -,- -,-67351000,-98071000,-93511000,-26674000,-204764000,-74702000,-140360000,24911000,-273688000,-69182000,17783000,-172574000,-109177000,-666433000,-1441800000,-1041998000,-273069000,-344767000,-33152000,-294120000,-156401000,15599000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1207179/000091957409013267/d1012184_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957410003068/d1094917_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957411002832/d1189413_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000091957412002972/d1283771_20-f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000144530513001004/glng-12312012x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717914000005/glng-12312013x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717915000006/glng-12312014x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717916000034/glng-12312015x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717917000008/glng-12312016x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717918000006/glng-12312017x20f.htm,https://www.sec.gov/Archives/edgar/data/1207179/000120717919000008/0001207179-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1207179/000120717920000008/glng-20191231.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
