,https://roic.ai/company/SBSW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,Other Current Liabilities,- -,23298311840,18362292526,2675572460,2473800000,2843300000,4363000000,5052200000,6214300000,9699900000,12105900000
53,Total Current Liabilities,- -,23831633080,18804777832,3722218005,3570600000,5347300000,6236600000,8437800000,14632600000,14326800000,17487100000
54,Long-Term Debt,- -,- -,4174789525,1504748630,2615800000,1808300000,8221500000,23992000000,18316500000,23970700000,17720200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,6525300000,6656800000,6362700000
56,Deferred Tax Liabilities,- -,5729370840,4713909553,4551812430,3869300000,3561400000,4707100000,8525200000,10153200000,6896500000,7631000000
57,Other Non-Current Liabilities,- -,1152974360,1362210511,1522488385,2880300000,2563900000,5858700000,11118600000,10571000000,18082700000,14186100000
58,Total Non-Current Liabilities,- -,6882345200,10250909589,7579049445,9365400000,7933600000,18787300000,43635800000,45566000000,55606700000,45900000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,30713978280,29055687421,11301267450,12936000000,13280900000,25023900000,52073600000,60198600000,69933500000,63387100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20403848795,21734600000,21734600000,21734600000,34667000000,34667000000,40662000000,30149800000
64,Retained Earnings,- -,-13800191360,-12237855101,-12990718235,-9897400000,-9797800000,-8033700000,-13257600000,-15495800000,-15433700000,12760100000
65,Other Comprehensive Income/Loss,- -,2270447760,2890564930,2116248420,2819100000,2938200000,2978800000,2569000000,4617200000,4442300000,25570400000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,-10692243680,-8181739796,11205264070,14985900000,14984800000,16697400000,23998200000,24724400000,31138300000,70716000000
68,Total Liabilities And Stockholders Equity,- -,20021734600,20873947625,22506531520,27921900000,28265700000,41721300000,76071800000,84923000000,101071800000,134103100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20021734600,20873947625,22506531520,27921900000,28265700000,41721300000,76071800000,84923000000,101071800000,134103100000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,1063961072,2749710720,3070271606,2357300385,1551500000,716900000,3701600000,-4437400000,-2499600000,62100000,29311900000
74,Depreciation and Amortization,2138684756,2613354760,2577773593,3595952690,3254700000,3636600000,4041900000,- -,6613800000,7214100000,7592400000
75,Deferred Income Tax,648062994,609971040,-572179275,-463320660,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,230627400,266257200,272950706,332881285,417900000,274400000,496200000,- -,299400000,363300000,512400000
77,Change in Working Capital,121463764,791510040,-667118651,1387874950,214500000,-668000000,-237600000,-522300000,-1070000000,-625600000,-9435100000
78,Accounts Receivable,-714176182,450216720,-361108698,144005070,166700000,-634600000,-220000000,-214900000,-461000000,- -,- -
79,Inventory,-57656850,-57285640,-100025414,176354035,-62600000,-78200000,-35500000,-937700000,-924800000,-5000000000,-9026800000
80,Accounts Payable,964022532,-123446520,-208527558,300532320,110400000,44800000,17900000,630300000,315800000,- -,- -
81,Other Working Capital,-70725736,806840,2543019,-10435150,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-708026118,-8875240,-1210477044,37566540,-1386000000,-444600000,-3596600000,7700400000,8853600000,2450100000,-832300000
83,Cash Provided by Operating Activities,3494773868,7021928520,3471220935,7248255190,4052600000,3515300000,4405500000,2740700000,12197200000,9464000000,27149300000
84,CAPEX,-2952030720,-3266088320,-3216071362,-3153502330,-3250800000,-3344800000,-4151100000,-6098800000,-7080700000,-7705900000,-9615600000
85,Acquisitions Net,- -,- -,- -,- -,-377200000,- -,-5307300000,-25594200000,500300000,2591900000,-756200000
86,Purchases of Investments,-56888092,-108923400,-25430190,-186789185,- -,- -,- -,- -,- -,- -,-12100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,3605300000,1200000,- -,- -
88,Other Investing Activites,-1636685782,16943640,5086038,-405927335,-680800000,4900000,14600000,-56700000,-1164300000,249100000,447100000
89,Cash Used for Investing Activites,-4645604594,-3358068080,-3236415514,-3746218850,-4308800000,-3339900000,-9443800000,-28144400000,-7743500000,-4864900000,-9936800000
90,Debt Repayment,-2170203834,-2155876480,-4422310041,-30937089205,-2296900000,-1572900000,-11834700000,-55719500000,-21231500000,-22140000000,-18448900000
91,Common Stock Issued,- -,- -,- -,20403848795,- -,- -,- -,13438500000,- -,1688400000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84100000
93,Dividends Paid,-930197180,-2707755040,-809527715,-282792565,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4291207156,446989360,4871576731,8277160980,1623600000,1552000000,17280500000,69087700000,17130200000,18981700000,16289200000
95,Cash Used/Provided by Financing Activities,1190806142,-4416642160,-360261025,-2538871995,-673300000,-20900000,5445800000,26806700000,-4101300000,-1469900000,-2243800000
96,Effect of Forex Changes on Cash,92250960,-125867040,35602266,-225399240,- -,- -,-157000000,-308500000,134300000,-59300000,-347900000
97,Net Change In Cash,132226376,-878648760,-89853338,737765105,-929500000,154500000,250500000,1094500000,486700000,3069900000,14620800000
98,Cash at the End of Period,897140586,359850640,288208820,1092560205,562900000,717400000,967900000,2062400000,2549100000,5619000000,20239800000
99,Cash at the Beginning of Period,764914210,1238499400,378062158,354795100,1492400000,562900000,717400000,967900000,2062400000,2549100000,5619000000
100,Free Cash Flow,542743148,3755840200,255149573,4094752860,801800000,170500000,254400000,-3358100000,5116500000,1758100000,17533700000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1303,0.12323,0.1176,0.09481,0.08639,0.06455,0.07275,0.08073,0.06955,0.07141,0.06801
