,https://roic.ai/company/IQST,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,90787,189460,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-865260,434864
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,90787,-675800,434864
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,80000,20000,40000,9940,210380,224680,3988701,10469850,8346803
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1000,3188,- -,- -,10
63,Common Stock,- -,10000,10000,10000,10000,400000,100240,441340,15023,18010,118133
64,Retained Earnings,- -,-10000,-30000,-10000,-30000,-64630,-309680,-573370,-2667388,-8125260,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181,-74831
66,Other Total Stockholders Equity,- -,1835,337,-19202,-24360,-345313,37512,-80137,1054718,3240529,-1431887
67,Total Stockholders Equity,- -,1835,-19663,-19202,-44360,-9943,-170928,-208979,-1597647,-4866902,-1388575
68,Total Liabilities And Stockholders Equity,- -,- -,60337,798,-4360,-3,39452,15701,2391054,5602948,6958228
69,Minority Interest,- -,- -,-337,-798,4360,3,-2632,-1,- -,2,-1466497
70,Total Liabilities & Equity,- -,- -,60000,- -,- -,- -,36820,15700,2391054,5602950,5491731
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527702/000107878212002479/0001078782-12-002479-index.html,https://www.sec.gov/Archives/edgar/data/1527702/000107878213001959/0001078782-13-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878214001705/0001078782-14-001705-index.html,https://www.sec.gov/Archives/edgar/data/1527702/000107878215001626/0001078782-15-001626-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878216003613/0001078782-16-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878217001418/0001078782-17-001418-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1527702/000107878220000260/0001078782-20-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878221000358/0001078782-21-000358-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-10000,-20000,20000,-32870,- -,-240000,-263690,-2104161,-5457870,-6699482
74,Depreciation and Amortization,- -,- -,1250,1250,- -,- -,- -,- -,20350,41737,68602
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,187500,- -,697858
77,Change in Working Capital,- -,- -,-80000,60000,-20000,30060,-163620,-35420,-423084,-5915183,3376795
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1039735,522360,167077
79,Inventory,- -,- -,-530,318,119,93,-10356,9197,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,585417,-571974,432872
81,Other Working Capital,- -,- -,-80000,-20000,-40000,-9940,-173560,-208980,- -,-7707150,-4330355
82,Other Non-Cash Items,- -,10000,85403,-92175,18396,-65293,251146,229166,1962844,10087289,440053
83,Cash Provided by Operating Activities,- -,- -,-13347,-10925,-34474,-35233,-152474,-69944,-356551,-1244027,-2116174
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-426,-32007,-90192
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,239516,15781
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55440,-16800
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-426,152069,-91211
90,Debt Repayment,- -,- -,-5000,- -,- -,- -,- -,- -,-831115,-1390040,-1932051
91,Common Stock Issued,- -,- -,- -,25000,- -,- -,235,- -,134800,- -,1915005
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,18664,-13758,34474,35233,176029,61855,1034596,2747566,2679802
95,Cash Used/Provided by Financing Activities,- -,- -,13664,11242,34474,35233,176264,61855,338281,1357526,2662756
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,365,27442
97,Net Change In Cash,- -,- -,13664,11242,34474,35233,176264,-8089,-18696,265933,482813
98,Cash at the End of Period,- -,- -,317,- -,- -,- -,23790,15701,4570,270503,753316
99,Cash at the Beginning of Period,- -,- -,- -,317,- -,- -,- -,23790,23266,4570,270503
100,Free Cash Flow,- -,- -,-13347,-10925,-34474,-35233,-152474,-69944,-356977,-1276034,-2206366
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1527702/000107878212002479/0001078782-12-002479-index.html,https://www.sec.gov/Archives/edgar/data/1527702/000107878213001959/0001078782-13-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878214001705/0001078782-14-001705-index.html,https://www.sec.gov/Archives/edgar/data/1527702/000107878215001626/0001078782-15-001626-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878216003613/0001078782-16-003613-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878217001418/0001078782-17-001418-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1527702/000107878220000260/0001078782-20-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1527702/000107878221000358/0001078782-21-000358-index.htm
102,false,,,,,,,,,,,
