,https://roic.ai/company/SOTK,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1110000,1380000,1190000,1620000,1930000,1880000,1850000,1620000,1510000,1370000,1380000,1530000,2050000,2773356,1819789,1561358,1533779,1637080,2327540,2552639,2988509,2766305,3768241,3591393,4170047,4904887,4381652,4014896,4364916,4897486,4642261,4914876,5165759,6197749,5656579
11,COGS and Expenses,1410000,1760000,1770000,2230000,2520000,2710000,3070000,2980000,2990000,2580000,2900000,3270000,3670000,5243971,3570107,2856247,2916455,3142090,4967913,5995140,6412692,5800998,7326597,7159567,9312276,10791554,9391745,9560367,9999281,11093439,9872820,10626827,11527112,14239127,13492416
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111228,8719,- -,- -,- -,- -,12335,1929,1870,6049,5166,6544,32641,54757,70797,91459,136677,101592,22558
13,Interest Expense (Gain),-30000,-30000,-20000,-10000,- -,-30000,-30000,-40000,-60000,-70000,-70000,-50000,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5560,10214,7921,118115,113931,110151,64527,58447,52294,46117,39977,33038,39843
14,Depreciation and Amortization,- -,- -,70000,80000,90000,100000,90000,90000,90000,80000,60000,40000,50000,121049,71691,77176,76532,49469,53092,72155,132401,154020,263670,309575,312823,329501,349937,343869,407795,476528,440223,399526,332147,406731,463076
15,EBITDA,-330000,-650000,870000,650000,-700000,-320000,-520000,120000,-450000,170000,140000,240000,-820000,-551677,-1558798,-109215,200573,250808,860394,1115725,683865,139826,-632212,399922,929189,1589390,521713,1068984,1297879,1277427,568849,905706,553558,1653216,1850786
16,EBITDA ratio,-0.2895,-0.5603,0.3718,0.2481,-0.4142,-0.1379,-0.2072,0.0408,-0.1765,0.0618,0.0450,0.0672,-0.2828,-0.1150,-0.3619,-0.0315,0.0635,0.0716,0.1483,0.1624,0.0993,0.0245,-0.0986,0.0552,0.0937,0.1319,0.0547,0.1040,0.1196,0.1079,0.0585,0.0823,0.0477,0.1077,0.1248
17,Operating Income,-270000,-600000,570000,380000,-840000,-390000,-550000,-30000,-440000,160000,220000,300000,-760000,-446360,665097,613162,241301,359504,835673,875929,473761,-102396,-917801,82757,602036,1261339,150609,718571,850194,740291,-148267,381617,82487,1115492,1340461
18,Operating Income ratio,-0.2368,-0.5172,0.2436,0.1450,-0.4970,-0.1681,-0.2191,-0.0102,-0.1725,0.0582,0.0707,0.0840,-0.2621,-0.0930,0.1544,0.1767,0.0764,0.1027,0.1440,0.1275,0.0688,-0.0180,-0.1432,0.0114,0.0607,0.1047,0.0158,0.0699,0.0784,0.0626,-0.0152,0.0347,0.0071,0.0726,0.0904
19,Total Other Income Expenses (Gains),-30000,-20000,- -,30000,50000,- -,-30000,-30000,-40000,- -,-70000,-50000,-50000,-5322,-289787,-182640,-117871,-158165,-28371,167641,77703,88202,16359,-2624,6409,-119565,-92764,-103607,-24637,2161,224599,78446,98947,97955,7406
20,Income Before Tax,-300000,-620000,570000,410000,-790000,-390000,-580000,-60000,-480000,160000,150000,250000,-810000,- -,375310,430522,123430,201339,807302,1043570,551464,-14194,-901442,80133,608445,1141774,57845,614964,825557,742452,76332,460063,181434,1213447,1347867
21,Income Before Tax Ratio,-0.2632,-0.5345,0.2436,0.1565,-0.4675,-0.1681,-0.2311,-0.0204,-0.1882,0.0582,0.0482,0.0700,-0.2793,- -,0.0871,0.1241,0.0391,0.0575,0.1391,0.1519,0.0801,-0.0025,-0.1407,0.0111,0.0614,0.0947,0.0061,0.0598,0.0761,0.0627,0.0078,0.0418,0.0156,0.0790,0.0909
22,Income Tax expense (Gain),- -,- -,240000,180000,- -,- -,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,3085,-583890,12000,250,7261,-25399,611586,-1543,14500,-290519,-74406,130490,219424,194723,-19374,91856,19847,106005,227225
23,Net Income,-300000,-620000,580000,400000,-790000,-390000,-580000,90000,-480000,160000,150000,250000,-810000,-672726,-1630489,-186391,120956,785229,795302,1043320,544203,11205,-1513028,81676,593945,1432293,132251,484474,606133,547729,95706,368207,161587,1107442,1120642
24,Net Income ratio,-0.2632,-0.5345,0.2479,0.1527,-0.4675,-0.1681,-0.2311,0.0306,-0.1882,0.0582,0.0482,0.0700,-0.2793,-0.1402,-0.3786,-0.0537,0.0383,0.2242,0.1370,0.1518,0.0790,0.0020,-0.2361,0.0113,0.0599,0.1188,0.0139,0.0471,0.0559,0.0463,0.0098,0.0334,0.0139,0.0721,0.0756
25,EPS,-0.11,-0.17,0.16,0.10,-0.21,-0.10,-0.15,0.02,-0.12,0.04,0.03,0.05,-0.18,-0.09,-0.18,-0.02,0.01,0.08,0.07,0.07,0.04,0.00,-0.11,0.01,0.04,0.10,0.01,0.03,0.04,0.04,0.01,0.02,0.01,0.07,0.07
26,EPS Diluted,-0.11,-0.17,0.16,0.10,-0.21,-0.10,-0.15,0.02,-0.12,0.04,0.03,0.05,-0.18,-0.09,-0.18,-0.02,0.01,0.07,0.07,0.07,0.04,0.00,-0.11,0.01,0.04,0.09,0.01,0.03,0.04,0.04,0.01,0.02,0.01,0.07,0.07
27,Weighted Average Shares Outstanding,2830000,3600000,3620000,4010000,3750000,3750000,3780000,3870000,3880000,4480000,4510000,4770000,4390000,7511186,9011310,9096436,9152401,9248175,11708331,14156972,14359936,14360618,14381857,14414969,14439166,14442908,14484200,14541869,14737204,14943018,14961076,14968450,15107778,15302367,15428411
28,Weighted Average Shares Outstanding Diluted,2830000,3600000,3620000,4010000,3750000,3750000,3780000,3870000,3880000,4480000,4510000,4770000,4390000,7511186,9011310,9096436,10265644,11414584,12006170,14274493,14439808,14394010,14381857,14524417,15028047,15407144,14484200,14580165,14846808,15029601,15018282,15095123,15218913,15359088,15672253
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806172/000080617296000002/0000806172-96-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806172/000117152008000318/0001171520-08-000318-index.htm,https://www.sec.gov/Archives/edgar/data/806172/000117152009000380/0001171520-09-000380-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152010000340/0001171520-10-000340-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152011000397/0001171520-11-000397-index.html,- -,https://www.sec.gov/Archives/edgar/data/806172/000117152013000432/0001171520-13-000432-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152014000404/0001171520-14-000404-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152015000345/0001171520-15-000345-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152016000935/0001171520-16-000935-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152017000259/0001171520-17-000259-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152018000264/0001171520-18-000264-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152019000214/0001171520-19-000214-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152020000252/0001171520-20-000252-index.htm,https://www.sec.gov/Archives/edgar/data/806172/000117152021000215/0001171520-21-000215-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,220000,530000,300000,120000,10000,70000,70000,70000,110000,110000,70000,8176,3232,453215,265658,189987,421043,1740804,2268976,2339550,1472054,1787516,1683801,2531689,1940906,3232021,2562782,2388355,2557223,2016464,3144123,3659551,4084078
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249100,253987,975910,630794,1652485,1695689,2342184,4405900,2365706,4219240,4563470
33,Cash and Short-Term Investments,- -,- -,220000,530000,300000,120000,10000,70000,70000,70000,110000,110000,70000,8176,3232,453215,265658,189987,421043,1740804,2268976,2339550,1472054,1787516,1932901,2785676,2916816,3862815,4215267,4084044,4899407,6422364,5509829,7878791,8647548
34,Net Receivables,- -,- -,500000,580000,240000,480000,370000,670000,380000,460000,530000,810000,260000,1619639,593605,380092,375040,813835,813703,955094,946833,614378,801290,974429,976339,754605,941032,860296,1029250,1214713,1150801,774778,1397891,929701,1757802
35,Inventory,- -,- -,190000,270000,300000,310000,500000,520000,490000,480000,470000,620000,790000,1224380,796696,768711,794666,905469,1338410,1520397,1406231,1602511,1663574,1757153,1868144,2559128,1829171,1674815,2059177,1945383,1340684,1354083,1658016,2381891,2611106
36,Other Current Assets,- -,- -,30000,70000,50000,30000,90000,60000,40000,30000,30000,20000,40000,88275,97093,68395,56023,200599,228714,338024,339107,139032,98805,57775,131404,112392,79605,160373,94487,264868,442447,139406,395005,153698,151316
37,Total Current Assets,- -,- -,940000,1450000,890000,940000,970000,1320000,980000,1040000,1140000,1560000,1160000,2940470,1490626,1670413,1491387,2109890,2801870,4554319,4961147,4695471,4035723,4576873,4908788,6211801,5766624,6558299,7398181,7509008,7833339,8690631,8960741,11344081,13167772
38,PP&E,- -,- -,230000,270000,270000,220000,170000,200000,150000,100000,60000,120000,130000,256994,209675,141509,84878,57835,140133,257299,301360,536892,588109,514623,2944385,3096850,3103777,2959014,2927036,2986502,2749271,2555740,2784479,3116639,2900325
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,100000,120000,120000,130000,130000,120000,80000,60000,50000,50000,40000,1296776,51099,38542,40771,31050,22894,29922,30744,34011,57778,76913,79150,83455,- -,171828,175412,174027,153326,- -,- -,- -,- -
41,Intangible Assets,- -,- -,100000,120000,120000,130000,130000,120000,80000,60000,50000,50000,40000,1296776,51099,38542,40771,31050,22894,29922,30744,34011,57778,76913,79150,83455,106022,171828,175412,174027,153326,136576,122941,106291,95456
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468000,468000,315000,411239,615803,- -,- -,- -,86167,90021,90020,90021,- -,- -,396387,332017,176314,259838
44,Other Non-Current Assets,- -,- -,10000,30000,10000,20000,10000,- -,- -,- -,- -,- -,10000,19885,460630,7666,6541,6542,7171,7171,7171,7171,7171,7171,6542,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,340000,420000,400000,370000,310000,320000,230000,160000,110000,170000,180000,1573655,721404,187717,132190,563427,638198,609392,750514,1193877,653058,598707,3030077,3266472,3299820,3220862,3192469,3160529,2902597,3088703,3239437,3399244,3255619
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1280000,1870000,1290000,1310000,1280000,1640000,1210000,1200000,1250000,1730000,1340000,4514125,2212030,1858130,1623577,2673317,3440068,5163711,5711661,5889348,4688781,5175580,7938865,9478273,9066444,9779161,10590650,10669537,10735936,11779334,12200178,14743325,16423391
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,320000,847135,841267,280548,149920,245981,292729,330701,209202,412692,385825,595174,643315,552979,408738,556194,584963,475297,336561,652863,585694,668721,1294483
49,Short-Term Debt,- -,- -,20000,- -,150000,300000,370000,- -,- -,- -,- -,50000,290000,893923,907772,631949,570096,636333,350000,25415,27373,23909,273633,365727,62247,120303,125999,191466,158184,143388,149698,156119,162816,169716,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316246,- -,362846,462168,201478,78902,344098,1149558,1648690,1166541
52,Other Current Liabilities,- -,- -,190000,220000,310000,560000,920000,740000,780000,730000,720000,400000,280000,1162833,369386,257968,244286,441117,491828,498504,492379,469150,478413,540610,881094,566982,552204,694519,921864,833696,883374,977813,638978,1684030,1804483
53,Total Current Liabilities,- -,- -,210000,220000,460000,860000,1290000,740000,780000,730000,720000,860000,890000,2903891,2118425,1170465,964302,1323431,1134557,854620,728954,905751,1137871,1501511,1586656,1556510,1086941,1805025,2127179,1653859,1448535,2130893,2537046,4171157,4265507
54,Long-Term Debt,- -,- -,100000,- -,20000,10000,20000,840000,750000,660000,580000,580000,40000,805604,604858,1015833,1041429,574816,- -,79114,51506,27628,19220,3622,2035579,2114196,1987236,1479058,1319737,1176349,1026650,870532,707715,538000,1001640
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,57978,- -,- -,- -,- -,- -,- -,- -,171719,337726,385384,370757,251761,205562
57,Other Non-Current Liabilities,- -,- -,- -,- -,-10000,10000,20000,20000,30000,- -,-10000,10000,10000,77000,94111,454386,257299,188223,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,100000,- -,10000,20000,40000,860000,780000,660000,570000,590000,50000,882604,698969,1470219,1298728,763039,- -,79114,131506,85606,19220,3622,2035579,2114196,1987236,1479058,1319737,1348068,1364376,1255916,1078472,789761,1207202
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,310000,220000,470000,880000,1330000,1600000,1560000,1390000,1290000,1450000,940000,3786495,2817394,2640684,2263030,2086470,1134557,933734,860460,991357,1157091,1505133,3622235,3670706,3074177,3284083,3446916,3001927,2812911,3386809,3615518,4960918,5472709
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,60000,88666,90924,91055,92002,104942,138257,143545,143606,143612,144148,144376,144416,144553,145030,147085,149331,149554,149611,149864,151976,153482,154527
64,Retained Earnings,- -,- -,-2400000,-1990000,-2790000,-3180000,-3760000,-3670000,-4150000,-3990000,-3840000,-3590000,-4400000,-5072836,-6703325,-6889716,-6768760,-5983531,-5188229,-4144909,-3600706,-3589501,-5102529,-5020853,-4426908,-2994615,-2862364,-2377890,-1771757,-1224028,-1128322,-760115,-496923,610519,1731161
65,Other Comprehensive Income/Loss,- -,- -,-160000,-220000,-220000,-300000,-260000,-230000,-300000,-370000,-340000,-370000,-410000,-469011,-508928,-573519,-638341,-675795,-720384,-788245,-896772,-1046195,-1274793,-1551532,-1834560,-2156136,-2496421,-2799975,-3167162,-3542173,-3971533,-4354309,-4672818,- -,-5484428
66,Other Total Stockholders Equity,- -,- -,3500000,3820000,3790000,3870000,3920000,3890000,4060000,4130000,4100000,4200000,5150000,6180811,6515965,6589626,6675646,7141231,8075867,9019586,9205073,9390075,9764864,10098456,10433682,10813765,11206022,11525858,11933322,12284257,12873269,13357085,13602425,9018406,14549422
67,Total Stockholders Equity,- -,- -,980000,1650000,820000,430000,-60000,30000,-350000,-190000,-40000,280000,400000,727630,-605364,-782554,-639453,586847,2305511,4229977,4851201,4897991,3531690,3670447,4316630,5807567,5992267,6495078,7143734,7667610,7923025,8392525,8584660,9782407,10950682
68,Total Liabilities And Stockholders Equity,- -,- -,1290000,1870000,1290000,1310000,1270000,1630000,1210000,1200000,1250000,1730000,1340000,4514125,2212030,1858130,1623577,2673317,3440068,5163711,5711661,5889348,4688781,5175580,7938865,9478273,9066444,9779161,10590650,10669537,10735936,11779334,12200178,14743325,16423391
69,Minority Interest,- -,- -,-10000,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1280000,1870000,1290000,1310000,1280000,1640000,1210000,1200000,1250000,1730000,1340000,4514125,2212030,1858130,1623577,2673317,3440068,5163711,5711661,5889348,4688781,5175580,7938865,9478273,9066444,9779161,10590650,10669537,10735936,11779334,12200178,14743325,16423391
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806172/000080617296000002/0000806172-96-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806172/000117152008000318/0001171520-08-000318-index.htm,https://www.sec.gov/Archives/edgar/data/806172/000117152009000380/0001171520-09-000380-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152010000340/0001171520-10-000340-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152011000397/0001171520-11-000397-index.html,- -,https://www.sec.gov/Archives/edgar/data/806172/000117152013000432/0001171520-13-000432-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152014000404/0001171520-14-000404-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152015000345/0001171520-15-000345-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152016000935/0001171520-16-000935-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152017000259/0001171520-17-000259-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152018000264/0001171520-18-000264-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152019000214/0001171520-19-000214-index.html,https://www.sec.gov/Archives/edgar/data/806172/000117152020000252/0001171520-20-000252-index.htm,https://www.sec.gov/Archives/edgar/data/806172/000117152021000215/0001171520-21-000215-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,580000,400000,-790000,-390000,-580000,90000,-480000,160000,150000,250000,-810000,-672726,-1630489,-186391,120956,785229,795302,1043320,544203,11205,-1513028,81676,593945,1432293,132251,484474,606133,547729,95706,368207,161587,1107442,1120642
74,Depreciation and Amortization,- -,- -,70000,80000,90000,100000,90000,90000,90000,80000,60000,40000,50000,121049,71691,77176,76532,49469,53092,72155,132401,154020,263670,309575,312823,329501,349937,343869,407795,476528,440223,399526,332147,406731,463076
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-585000,- -,- -,- -,-26586,- -,- -,- -,- -,- -,- -,- -,106826,5750,-33558,49743,36707,-129723
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115426,56871,49278,48600,27103,18127,42523,43402,47319,41728,30548,90305,47633
77,Change in Working Capital,- -,- -,-550000,500000,-800000,-350000,-400000,900000,-380000,110000,110000,280000,-430000,-233421,-664378,1127747,27137,259374,880854,2032386,532494,-442473,-891868,177510,246770,1333159,24392,73591,517728,584147,529655,174934,-136043,749229,1729341
78,Accounts Receivable,- -,- -,- -,-80000,340000,-240000,110000,-300000,320000,-110000,-70000,-280000,550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186912,-170639,-11910,221734,-181426,68736,-180001,-188416,63912,376023,-623113,443190,-828100
79,Inventory,- -,- -,- -,-80000,-30000,-10000,-190000,-20000,30000,10000,10000,-150000,-170000,-547564,-160957,27985,-25955,-110803,-432941,-181987,114166,-196280,-61063,-93579,-110991,-690984,723401,159702,-483897,233718,524693,-118000,-369933,-646777,-305790
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340739,-327655,1063730,763269
81,Other Working Capital,- -,- -,730000,1230000,430000,80000,-320000,580000,200000,310000,420000,700000,270000,36579,-627799,499948,527085,786459,1667313,3699699,4232193,3789720,2897852,3075362,3322132,4655291,4679683,4753274,5271002,5855149,6384804,6559738,6423695,7172924,8902265
82,Other Non-Cash Items,- -,- -,-20000,-680000,1230000,380000,770000,-1350000,860000,-260000,-150000,-480000,1000000,-11574,2069090,-555600,-272715,-526049,-1244319,-2267426,-478567,794569,1291145,-131652,-44675,-1951224,77805,748370,-649722,-1129808,-90000,851497,-546962,863604,-2505783
83,Cash Provided by Operating Activities,- -,- -,80000,300000,-270000,-260000,-120000,-270000,90000,90000,170000,90000,-190000,-796672,-154086,462932,-48090,-16977,484929,880435,730531,490735,-734655,493980,1158141,1192329,611488,1668431,924457,628824,1028653,1802334,-108980,3254018,725186
84,CAPEX,- -,- -,-80000,-130000,-90000,-60000,-60000,-120000,-30000,-20000,-20000,-100000,-40000,-566221,-124433,- -,-8165,-10411,-126887,-185029,-189615,-384952,-396419,-316086,-2744193,-486271,-384430,-279931,-379402,-483127,-182837,-189245,-547251,-722241,-350353
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249100,-4887,-721923,- -,- -,-164825,-533559,-2004360,- -,-1853534,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1940010,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-428,3547,-12839,-2296,-976,-11320,-5392,-7867,-29020,35077,-9442,-12230,-32218,289539,-1044043,-17700,- -,- -,- -,- -,-250230
89,Cash Used for Investing Activites,- -,- -,-80000,-130000,-80000,-60000,-60000,-120000,-30000,-20000,-20000,-100000,-40000,-566221,-124861,3547,-21004,-12707,-127863,-196349,-195007,-392819,-396419,-255224,-2993293,-491158,-1106353,65185,-1401093,-647952,-716396,-2193605,1392759,-2575775,-594583
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26152,-273504,-371523,-100327,-121264,-2042711,-192603,-158184,-143389,-149698,-156120,-162815,-707716
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545640,187293,5056,18000,198296,923362,881146,18298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,270000,-30000,- -,- -,- -,80000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-150000,-120000,140000,150000,70000,450000,-140000,-100000,-120000,10000,180000,755378,88755,-21552,-136463,-244283,-1049372,-245471,-25650,-27342,289730,350210,2102960,247044,25346,1600210,- -,2885,- -,210,- -,- -,1001640
