,https://roic.ai/company/DBRM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,361,441,268583,76895,20942,2890,21735,69876,44777,29175,29397,201693,755536,124257,121825,23176,51115,61307
37,Total Current Assets,21432,532,1074610,4537634,1049217,2784213,1070541,593275,626778,376996,2142887,2554519,1475555,309308,333652,183547,240434,283239
38,PP&E,- -,- -,895400,4571406,187540,363856,1212287,2290001,2073185,1488883,4176121,5113084,3765828,912927,745796,712392,660570,612434
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8675,- -,- -,102426,2424280,390454,727208,429904,455506,753975,4358902,4645458,4359696,41078,16452,16452,16452,16452
45,Total Non-Current Assets,8675,- -,895400,4673832,2611820,754310,1939495,2719905,2528691,2242858,8535023,9758542,8125524,954005,762248,728844,677022,628886
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30107,532,1970010,9211466,3661037,3538523,3010036,3313180,3155469,2619854,10677910,12313061,9601079,1263313,1095900,912391,917456,912125
48,Accounts Payable,- -,8371,20376,2110458,316253,- -,1272807,1946752,497315,2061756,2158546,1435677,1777236,1727955,3687517,3432183,2475588,1710922
49,Short-Term Debt,- -,- -,1138701,334999,- -,- -,110124,719895,1269005,1001935,3472052,5811176,15467987,9623468,10832918,1641953,1471093,1533774
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,8270,- -,- -,356307,5408,5477,2081834,1088965,1204339,1064688,1665866,2110813,1822673,271927,117031,1224378
53,Total Current Liabilities,- -,8371,1167347,2445457,316253,356307,1388339,2672124,3848154,4152656,6834937,8311541,18911089,13462236,16343108,5346063,4063712,4469074
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,454944,495894,514917,1547636,6629638,9156507,- -,537136,- -,120000,120000,135460
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,99427,119207,20011,53318,55122,44107,280953,22079,29603,79979,93409,37174,558315,1372351,1424731
58,Total Non-Current Liabilities,- -,- -,- -,99427,119207,20011,508262,551016,559024,1828589,6651717,9186110,79979,630545,37174,678315,1492351,1560191
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5857,- -
61,Total Liabilities,- -,8371,1167347,2544884,435460,376318,1896601,3223140,4407178,5981245,13486654,17497651,18991068,14092781,16380282,6024378,5556063,6029265
62,Preferred Stock,- -,- -,- -,1400,1298,1061,1009,907,907,889,738,735,725,725,710,710,710,710
63,Common Stock,18199,18199,29458,40877,44294,45081,47786,48792,48788,48838,55509,51457,51487,51487,51532,51532,53532,60491
64,Retained Earnings,-706764,-736035,-2761317,-13600106,-17866279,-18931297,-21191162,-22406909,-23839493,-26074221,-27472573,-28205516,-32410915,-35879469,-38334383,-28161988,-28916632,-29428897
65,Other Comprehensive Income/Loss,8675,- -,- -,-4355,-13310,-1967087,-1784746,-902995,-217541,-1441912,-1599140,-2167064,-3569705,-2953226,-3027963,-3085043,- -,- -
66,Other Total Stockholders Equity,709997,709997,3534522,20228766,21059574,24014447,24040548,23350245,22755630,24105015,26206722,25135798,26538419,25951015,26025722,26082802,24223783,24250556
67,Total Stockholders Equity,30107,-7839,802663,6666582,3225577,3162205,1113435,90040,-1251709,-3361391,-2808744,-5184590,-9389989,-12829468,-15284382,-5111987,-4638607,-5117140
68,Total Liabilities And Stockholders Equity,- -,532,1970010,9211466,3661037,3538523,3010036,3313180,3155469,2619854,10677910,12313061,9601079,1263313,1095900,912391,917456,912125
69,Minority Interest,30107,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30107,532,1970010,9211466,3661037,3538523,3010036,3313180,3155469,2619854,10677910,12313061,9601079,1263313,1095900,912391,917456,912125
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000029/0001200952-09-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000220/0001200952-09-000220-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120010000539/0001171200-10-000539-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120011000469/0001171200-11-000469-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597112000171/0001515971-12-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597113000242/0001515971-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597114000245/0001515971-14-000245-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597115000192/0001515971-15-000192-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597116000523/0001515971-16-000523-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597117000089/0001515971-17-000089-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597118000074/0001515971-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597119000085/0001515971-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597120000072/0001515971-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597121000051/0001515971-21-000051-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-9241,-29271,-2025282,-8392030,-4266173,-130497,-2259865,-1215747,-1432584,-2234728,-1398352,-732943,-4205399,-3468554,-2454914,10172395,-754644,-512265
74,Depreciation and Amortization,- -,- -,- -,2398048,2333571,624575,550755,307023,- -,- -,- -,- -,- -,- -,- -,- -,- -,60063
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,88508,91218,27134,12426,2515,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-750,-29271,-84898,2184914,-1359213,1694942,-2745704,-1761051,-1142527,-554284,-916390,-1064972,-11678512,4282606,-2856528,10846940,1339238,-362557
78,Accounts Receivable,- -,- -,- -,- -,- -,80415,-390870,35667,117797,1784,-162418,415179,78228,-681779,-20244,32999,35017,-93128
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,124472,340945,296890,- -,- -,- -,- -,555732,283064,244001,221894
81,Other Working Capital,21432,-7839,-92737,2092177,732964,2427906,-317798,-2078849,-3221376,-3775660,-4692050,-5757022,-17435534,-13152928,-16009456,-5162516,-3823278,-4185835
82,Other Non-Cash Items,-3525,25744,1463494,3200617,1989602,-4980679,1755143,2765940,2446193,2813255,124252,2108100,15387244,-681900,5191274,-21048893,-543303,671233
83,Cash Provided by Operating Activities,-13516,-32798,-646686,-608451,-1302213,-2791659,-2699671,184673,-37700,51377,-2178064,312700,-496667,132152,-120168,-29558,41291,-143526
84,CAPEX,- -,- -,-720400,-5927867,-2045818,-716646,-662688,-1454672,-231388,-154181,-1853690,-1517738,-173047,-73683,- -,-12228,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2381213,- -,-100000,- -,- -,- -,- -,- -,-4762500,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,2234,11248,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,1500,-250000,-550000,2622392,5817282,762500,299428,- -,- -,-2908368,3563155,809081,-22276,- -,- -,- -,- -
89,Cash Used for Investing Activites,2234,12748,-970400,-8859080,576574,5000636,99812,-1155244,-231388,-154181,-4762058,-2717083,636034,-95959,- -,-12228,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-15000,-622466,-2961276,-644489,-26185,-60000,-810000,-60000,-61410
91,Common Stock Issued,21458,- -,1087500,8814461,731816,14700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1335522,225000,-325001,- -,565000,780000,485100,124408,7983023,5362000,15345,25000,186700,733300,82674,144421
95,Cash Used/Provided by Financing Activities,21458,- -,2423022,9039461,406815,14700,565000,780000,285100,109408,7360557,2400724,-629144,-1185,126700,-76700,22674,83011
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10176,-20050,805936,-428070,-318824,2223677,-2034859,-190571,16012,6604,420435,-3659,-489777,35008,6532,-118486,63965,-60515
98,Cash at the End of Period,20141,91,806027,377957,59133,2282810,247951,57380,73392,79996,500431,496772,6995,42003,48535,30078,94043,33528
99,Cash at the Beginning of Period,9965,20141,91,806027,377957,59133,2282810,247951,57380,73392,79996,500431,496772,6995,42003,148564,30078,94043
100,Free Cash Flow,-13516,-32798,-1367086,-6536318,-3348031,-3508305,-3362359,-1269999,-269088,-102804,-4031754,-1205038,-669714,58469,-120168,-41786,41291,-143526
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000029/0001200952-09-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000120095209000220/0001200952-09-000220-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120010000539/0001171200-10-000539-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000117120011000469/0001171200-11-000469-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597112000171/0001515971-12-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597113000242/0001515971-13-000242-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597114000245/0001515971-14-000245-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597115000192/0001515971-15-000192-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597116000523/0001515971-16-000523-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597117000089/0001515971-17-000089-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597118000074/0001515971-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597119000085/0001515971-19-000085-index.html,https://www.sec.gov/Archives/edgar/data/1164256/000151597120000072/0001515971-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1164256/000151597121000051/0001515971-21-000051-index.htm
102,false,,,,,,,,,,,,,,,,,,
