,https://roic.ai/company/NPTN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1227025/000119312512143139/0001193125-12-143139-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000119312513110074/0001193125-13-110074-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459014002398/0001564590-14-002398-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459015001751/0001564590-15-001751-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000155837016004127/0001558370-16-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702517000020/0001227025-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702518000009/0001227025-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702519000013/0001227025-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702520000020/0001227025-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702521000034/0001227025-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702522000014/0001227025-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,28741000,43420000,25465000,32321000,36940000,57101000,43035000,76088000,82500000,78906000,58185000,70467000,95117000,77833000
32,Short-Term Investments,- -,- -,- -,- -,54063000,64301000,17916000,- -,23294000,19015000,12311000,7481000,7638000,27669000,27675000
33,Cash and Short-Term Investments,- -,28741000,43420000,25465000,86384000,101241000,75017000,43035000,99382000,101515000,91217000,65666000,78105000,122786000,105508000
34,Net Receivables,- -,47891000,52561000,54374000,68877000,70354000,64533000,77597000,83161000,86904000,84164000,92875000,85250000,56851000,55324000
35,Inventory,- -,18544000,14155000,19426000,35341000,43793000,64908000,57347000,65602000,48237000,67301000,52159000,46930000,46901000,52896000
36,Other Current Assets,- -,3744000,6153000,10692000,10796000,10256000,12115000,21044000,15053000,34140000,21958000,22505000,20463000,9043000,16333000
37,Total Current Assets,- -,98920000,116289000,109957000,201398000,225644000,216573000,199023000,263198000,270796000,264640000,233205000,230748000,235581000,230061000
38,PP&E,- -,39637000,35301000,43113000,56344000,54440000,68851000,57657000,62618000,106867000,127565000,100090000,96736000,80588000,67391000
39,Goodwill,- -,4323000,4323000,4323000,- -,- -,- -,- -,1115000,1115000,1115000,1115000,1115000,1115000,1115000
40,Intangible Assets,- -,10694000,5475000,2146000,17999000,14213000,15005000,10263000,9852000,5562000,4294000,3018000,2151000,1468000,844000
41,Intangible Assets,- -,15017000,9798000,6469000,17999000,14213000,15005000,10263000,10967000,6677000,5409000,4133000,3266000,2583000,1959000
42,Investments,- -,- -,- -,- -,92000,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1202000,860000,12956000,1216000,1147000,1798000,19341000,5095000,6547000,5339000,3148000,3929000,4912000,6156000
45,Total Non-Current Assets,- -,55856000,45959000,62538000,75651000,69988000,85654000,87261000,78680000,120091000,138313000,107371000,103931000,88083000,75506000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,154776000,162248000,172495000,277049000,295632000,302227000,286284000,341878000,390887000,402953000,340576000,334679000,323664000,305567000
48,Accounts Payable,- -,21561000,22210000,29653000,37599000,36308000,48569000,48949000,50620000,84766000,69017000,58403000,58554000,43539000,58125000
49,Short-Term Debt,- -,35365000,34376000,23129000,19620000,17003000,20063000,25216000,33417000,30937000,41612000,7692000,3044000,3232000,17842000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,956000,939000,1114000,- -,- -,- -
52,Other Current Liabilities,- -,11411000,15536000,13046000,19980000,19959000,23643000,22728000,27950000,29669000,42303000,49174000,47481000,42053000,30008000
53,Total Current Liabilities,- -,68337000,72122000,65828000,77199000,73270000,92275000,96893000,111987000,146328000,153871000,116383000,109079000,88824000,105975000
54,Long-Term Debt,- -,1000000,2112000,2912000,22166000,17167000,24150000,20891000,10759000,10215000,40556000,50454000,39237000,30327000,39194000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184000,1712000,2108000,1380000,606000,- -
56,Deferred Tax Liabilities,- -,749000,768000,536000,927000,653000,1004000,1818000,88000,46000,106000,- -,528000,501000,- -
57,Other Non-Current Liabilities,- -,197713000,206828000,212857000,3103000,6724000,7987000,7226000,7388000,7709000,12257000,11391000,24249000,22999000,7437000
58,Total Non-Current Liabilities,- -,199462000,209708000,216305000,26196000,24544000,33141000,29935000,18235000,19154000,54631000,63953000,65394000,54433000,46631000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000,18629000,16650000,13441000
61,Total Liabilities,- -,267799000,281830000,282133000,103395000,97814000,125416000,126828000,130222000,165482000,208502000,180336000,174473000,143257000,152606000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,5000,5000,62000,76000,79000,82000,102000,106000,111000,116000,121000,126000,133000
64,Retained Earnings,- -,-212027000,-218990000,-215799000,-230553000,-248083000,-282422000,-302141000,-298473000,-298678000,-352011000,-397472000,-414548000,-418914000,-459633000
65,Other Comprehensive Income/Loss,- -,6000000,6000000,13000000,11000000,12000000,12000000,5000000,-2000000,-8000000,-125102000,-7000000,-8000000,1735000,2376000
66,Other Total Stockholders Equity,- -,91219000,91894000,93156000,393145000,433825000,447154000,456515000,512027000,531977000,671453000,564596000,582633000,597460000,- -
67,Total Stockholders Equity,- -,-114803000,-121091000,-109638000,173654000,197818000,176811000,159456000,211656000,225405000,194451000,160240000,160206000,180407000,152961000
68,Total Liabilities And Stockholders Equity,- -,152996000,160739000,172495000,277049000,295632000,302227000,286284000,341878000,390887000,402953000,340576000,334679000,323664000,305567000
69,Minority Interest,- -,1780000,1509000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,154776000,162248000,172495000,277049000,295632000,302227000,286284000,341878000,390887000,402953000,340576000,334679000,323664000,305567000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1227025/000119312512143139/0001193125-12-143139-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000119312513110074/0001193125-13-110074-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459014002398/0001564590-14-002398-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459015001751/0001564590-15-001751-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000155837016004127/0001558370-16-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702517000020/0001227025-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702518000009/0001227025-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702519000013/0001227025-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702520000020/0001227025-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702521000034/0001227025-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702522000014/0001227025-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-41480000,-28054000,-6963000,3191000,-14754000,-17530000,-34339000,-19719000,3668000,-205000,-53333000,-43637000,-17076000,-4366000,-40719000
74,Depreciation and Amortization,12520000,13543000,13574000,12122000,12931000,18716000,20381000,23403000,22875000,22400000,28350000,31105000,32562000,32560000,25629000
75,Deferred Income Tax,30000,-1574000,-62000,-32000,-452000,221000,-469000,1175000,-641000,-668000,792000,-328000,-287000,-928000,-1092000
76,Stock Based Compensation,- -,1128000,981000,1598000,3156000,4777000,5736000,6841000,7763000,17076000,8206000,14142000,12456000,12337000,10993000
77,Change in Working Capital,-11120000,30583000,13584000,-38000,80070000,28175000,-28076000,-22168000,49081000,-26743000,-13699000,6053000,4847000,25088000,-22671000
78,Accounts Receivable,- -,-15340000,-5369000,-682000,-2750000,-1802000,7234000,-13269000,2529000,2496000,13166000,-7874000,5838000,22567000,-10095000
79,Inventory,- -,5589000,3257000,-5958000,-8508000,-11828000,-10458000,4990000,-14899000,-1332000,-22347000,7368000,-2891000,-7411000,11971000
80,Accounts Payable,- -,-38000,832000,6648000,-452000,-2992000,7712000,979000,-4692000,23111000,-10874000,-1411000,-41000,-14962000,14201000
81,Other Working Capital,- -,30583000,44167000,44129000,124199000,152374000,124298000,102130000,151211000,124468000,110769000,116822000,121669000,146757000,124086000
82,Other Non-Cash Items,10660000,-30886000,-9352000,-5700000,-93461000,-43149000,41278000,10017000,-56608000,41976000,-3083000,12260000,2185000,-9761000,7273000
83,Cash Provided by Operating Activities,-29390000,-15260000,11762000,11141000,-12510000,-8790000,4511000,-451000,26138000,53836000,-32767000,19595000,34687000,54930000,-20587000
84,CAPEX,-12940000,-11121000,-4595000,-15760000,-11677000,-12738000,-19566000,-11027000,-16837000,-51693000,-47409000,-14867000,-9532000,-13870000,-398000
85,Acquisitions Net,- -,- -,- -,- -,-39000000,- -,-13000000,-2000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-8077000,-172972000,-155887000,-58860000,-9662000,-37130000,-84327000,-52062000,-2696000,-157000,-23531000,-30507000
87,Sales/Maturities of Investments,- -,4112000,- -,- -,139820000,145193000,104205000,19082000,22103000,86989000,60348000,5750000,- -,3500000,30501000
88,Other Investing Activites,1960000,335000,-1442000,-853000,-34000,2433000,525000,-10338000,9958000,-439000,23447000,32000,2242000,533000,-9653000
89,Cash Used for Investing Activites,-10980000,-6674000,-6037000,-24690000,-83863000,-20999000,13304000,-13945000,-21906000,-49470000,-15676000,-11781000,-7447000,-33368000,-10057000
90,Debt Repayment,- -,-33827000,-50698000,-51619000,-42371000,-33601000,-46276000,-40513000,-119530000,-114126000,-80131000,-66772000,-22945000,-10237000,-101000
91,Common Stock Issued,- -,- -,- -,- -,87275000,39636000,- -,- -,45648000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,450000,-98000,-37000,-1000,- -,- -,-565000,- -,- -,-164000,-117000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3360000,70573000,59745000,46758000,57731000,28029000,49356000,43542000,103505000,117806000,123350000,47312000,8067000,1694000,12897000
95,Cash Used/Provided by Financing Activities,3810000,36648000,9010000,-4862000,102635000,34064000,2515000,3029000,29623000,3516000,43102000,-19460000,-14878000,-8543000,12796000
96,Effect of Forex Changes on Cash,-400000,364000,-56000,456000,758000,180000,-169000,-2699000,-802000,-1470000,1747000,-680000,-161000,1148000,162000
97,Net Change In Cash,-36970000,15078000,14679000,-17955000,7020000,4455000,20161000,-14066000,33053000,6412000,-3594000,-12326000,12201000,14167000,-17686000
98,Cash at the End of Period,21215000,28741000,43420000,25465000,32485000,36940000,57101000,43035000,76088000,82500000,78906000,69238000,81439000,95606000,77920000
99,Cash at the Beginning of Period,58185000,13663000,28741000,43420000,25465000,32485000,36940000,57101000,43035000,76088000,82500000,81564000,69238000,81439000,95606000
100,Free Cash Flow,-42330000,-26381000,7167000,-4619000,-24187000,-21528000,-15055000,-11478000,9301000,2143000,-80176000,4728000,25155000,41060000,-20985000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1227025/000119312512143139/0001193125-12-143139-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000119312513110074/0001193125-13-110074-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459014002398/0001564590-14-002398-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000156459015001751/0001564590-15-001751-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000155837016004127/0001558370-16-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702517000020/0001227025-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702518000009/0001227025-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702519000013/0001227025-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702520000020/0001227025-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702521000034/0001227025-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1227025/000122702522000014/0001227025-22-000014-index.htm
102,false,,,,,,,,,,,,,,,
