,https://roic.ai/company/DOGZ,2016,2017,2018,2019,2020,2021
50,Tax Payable,655875,1518518,2295788,2909097,2814411,4443192
51,Deferred Revenue,71808,425283,240216,179306,152299,209508
52,Other Current Liabilities,884885,1885669,3416367,4435959,4292281,18182812
53,Total Current Liabilities,8173074,10160919,8843158,8072423,10769734,21262335
54,Long-Term Debt,- -,- -,- -,- -,73300,7680668
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1200299,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,1273599,7680668
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1373015,1294863
61,Total Liabilities,8173074,10160919,8843158,8072423,12043333,28943003
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,30000,30000,51827,51827,51827,59249
64,Retained Earnings,3671085,5756706,10263198,11657630,3216071,4628708
65,Other Comprehensive Income/Loss,-242724,-54871,-1720384,-3702584,-5596249,-668842
66,Other Total Stockholders Equity,1625306,1625306,52144891,52827145,53221610,- -
67,Total Stockholders Equity,5083667,7357141,60739532,60834018,50893259,64374393
68,Total Liabilities And Stockholders Equity,13256741,17518060,69582690,68906441,62936592,93317396
69,Minority Interest,- -,- -,- -,117486,614669,528012
70,Total Liabilities & Equity,13256741,17518060,69582690,69023927,63551261,93845408
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1707303/000149315219016141/form20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,3483441,4945764,4603708,1421781,-8441559,1512364
74,Depreciation and Amortization,837649,830328,1219892,1466522,2642392,3505985
75,Deferred Income Tax,-66509,53398,-12747,-209015,84046,-478316
76,Stock Based Compensation,- -,- -,341127,682254,394465,249797
77,Change in Working Capital,-442982,63522,-2514211,-4609211,-384607,-821456
78,Accounts Receivable,-588364,-743349,-1462024,55189,1621042,-526372
79,Inventory,438741,-434413,-1235858,-1356110,1214601,-1212224
80,Accounts Payable,-803387,57359,-317716,205428,-2784131,91185
81,Other Working Capital,-52710,353134,-198827,-52719,-22153,43622
82,Other Non-Cash Items,137032,-385021,-123384,-21282,3492992,-216142
83,Cash Provided by Operating Activities,3948631,5507991,3514385,-1268951,-2212271,3752232
84,CAPEX,-1219728,-3620512,-15523441,-16729541,-9444474,-14445861
85,Acquisitions Net,- -,- -,- -,-1143707,-287244,-241600
86,Purchases of Investments,- -,- -,-28737530,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-2079731,2678350,-1333169,-10226269
89,Cash Used for Investing Activites,-1219728,-3620512,-44260971,-1622638,-2457921,-11245631
90,Debt Repayment,-9808783,-5872120,-7509104,-4716829,-2889000,-5456458
91,Common Stock Issued,- -,- -,50200285,- -,- -,6611432
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-2725883,- -,- -,- -,- -
94,Other Financing Activites,8166682,6588338,4921600,3068710,5930584,9896597
95,Cash Used/Provided by Financing Activities,-1642101,-2009665,47612781,-1648119,3041584,11051571
96,Effect of Forex Changes on Cash,19805,242547,-1285556,4625,345329,110709
97,Net Change In Cash,1106607,120361,5580639,-4535083,-1283279,3668881
98,Cash at the End of Period,1384235,1504596,7085235,2550152,1266873,4935754
99,Cash at the Beginning of Period,277628,1384235,1504596,7085235,2550152,1266873
100,Free Cash Flow,2728903,1887479,-12009056,-17998492,-11656745,-10693629
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1707303/000149315219016141/form20f.htm,- -,- -
102,false,,,,,,
