,https://roic.ai/company/TOUR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,Cash and Short-Term Investments,332100808,329237536,746402835,1926292376,3327632000,5138261000,3600072000,1419567000,1600849000,1567208000
34,Net Receivables,1973418,6356752,5418538,15154341,199632000,644211000,582132000,1835581000,1254110000,408814000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,67843419,133793538,292042796,612817046,2012089000,1723345000,907099000,1152740000,968317000,308503000
37,Total Current Assets,401917645,469387826,1043864169,2554263763,5539353000,7505817000,5089303000,4407888000,3823276000,2284525000
38,PP&E,21381878,28782865,24851303,72310290,145190000,177817000,148278000,187360000,329179000,153990000
39,Goodwill,- -,- -,- -,- -,136569000,147639000,147639000,159409000,232007000,232007000
40,Intangible Assets,- -,- -,- -,- -,715548000,592267000,460634000,418721000,265041000,168075000
41,Intangible Assets,- -,- -,- -,- -,852117000,739906000,608273000,578130000,497048000,400082000
42,Investments,- -,- -,- -,- -,- -,58764000,484991000,1302506000,1305612000,266866000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4466959,4667734,6657304,18443279,649481000,674013000,326960000,81039000,641505000,91180000
45,Total Non-Current Assets,25848837,33450599,31508607,90753569,1646788000,1650500000,1568502000,2149035000,2773344000,912118000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,427766482,502838425,1075372776,2645017332,7186141000,9156317000,6657805000,6556923000,6596620000,3196643000
48,Accounts Payable,55821997,127240021,288964931,382704323,767307000,879383000,852500000,1305610000,1311963000,705838000
49,Short-Term Debt,- -,- -,- -,- -,70000000,- -,- -,49312000,261335000,78943000
50,Tax Payable,822067,598831,1323961,3884044,8429000,11619000,32036000,23316000,12207000,6004000
51,Deferred Revenue,162565886,254865561,408058468,677671253,1925517000,2019563000,1363074000,1200485000,1335846000,319823000
52,Other Current Liabilities,30342347,40117726,67123647,153640059,1027809000,1630003000,705722000,547248000,839625000,639965000
53,Total Current Liabilities,248730230,422223308,764147046,1214015635,3790633000,4528949000,2921296000,3102655000,3748769000,1744569000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,64407000,56944000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,23456000,21142000,19855000,23658000,14861000
57,Other Non-Current Liabilities,2207777,11038886,19870002,22278479,57785000,121544000,118058000,89880000,48147000,30254000
58,Total Non-Current Liabilities,2207777,11038886,19870002,22278479,57785000,145000000,139200000,109735000,136212000,102059000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,112208000,52631000
61,Total Liabilities,250938007,433262194,784017048,1236294114,3848418000,4673949000,3060496000,3212390000,3884981000,1846628000
62,Preferred Stock,350743850,350743850,716441243,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17757,17757,17757,121068,181000,242000,248000,249000,249000,249000
64,Retained Earnings,-159329600,-266519523,-405580002,-869043761,-2328423000,-4755514000,-5505897000,-5691409000,-6385974000,-7713355000
65,Other Comprehensive Income/Loss,-14803532,-14865853,-19723270,-21080728,167025000,400925000,272386000,284079000,293784000,275012000
66,Other Total Stockholders Equity,200000,200000,200000,2298726639,5482637000,8836283000,8828374000,8757444000,8802570000,8822773000
67,Total Stockholders Equity,176828475,69576231,291355728,1408723218,3321420000,4481936000,3595111000,3350363000,2710629000,1384679000
68,Total Liabilities And Stockholders Equity,427766482,502838425,1075372776,2645017332,7169838000,9155885000,6655607000,6562753000,6595610000,3231307000
69,Minority Interest,- -,- -,- -,- -,16303000,432000,2198000,-5830000,1010000,-34664000
70,Total Liabilities & Equity,427766482,502838425,1075372776,2645017332,7186141000,9156317000,6657805000,6556923000,6596620000,3196643000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597095/000114420416096767/v436298_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420417020584/v462092_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420418022518/tv488625_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420419018111/tv516353_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000110465920065425/tm206460d1_20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-91949864,-107189923,-79632079,-447857851,-1459379000,-2427197000,-773029000,-187934000,-699199000,-1307956000
74,Depreciation and Amortization,6742807,10721378,9246061,11852763,85851000,211573000,215796000,220161000,322572000,223385000
75,Deferred Income Tax,- -,- -,- -,- -,-1057000,-2322000,-2314000,-2362000,-2727000,-8797000
76,Stock Based Compensation,- -,- -,- -,39172678,65143000,92419000,98675000,68738000,61736000,20464000
77,Change in Working Capital,128005416,110034784,188294768,122940427,691232000,-136669000,-12105000,190534000,47013000,-1045818000
78,Accounts Receivable,-1277211,-4573176,4574361,-6993394,-74475000,-76810000,-64286000,-60584000,-55043000,208175000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,38069659,74989927,161608152,84394365,320502000,78768000,-167262000,553445000,-36253000,-492659000
81,Other Working Capital,117629924,85484300,152193156,228716312,214560000,1011508000,-609188000,-182785000,39297000,-950351000
82,Other Non-Cash Items,-6528697,1097019,-1172500,2790785,103475000,22752000,54328000,-21048000,150144000,805607000
83,Cash Provided by Operating Activities,36269662,14663258,116736250,-271101198,-514735000,-2239444000,-418649000,268089000,-120461000,-1313115000
84,CAPEX,-15405834,-21440852,-4842892,-50622276,-155478000,-117894000,-160497000,-119442000,-122479000,-28330000
85,Acquisitions Net,- -,- -,- -,- -,-60149000,-16501000,-111000,454000,-33216000,56264000
86,Purchases of Investments,- -,-224000000,-451800000,-547575000,-1139691000,-5154809000,-2914237000,-2732152000,-2588485000,-1460051000
87,Sales/Maturities of Investments,- -,194000000,154800000,405000000,442136000,2847284000,3271860000,4158834000,2182630000,2350177000
88,Other Investing Activites,-5280000,4655000,-2375000,-34726020,-1001986000,-72327000,451291000,-1153702000,-16584000,241003000
89,Cash Used for Investing Activites,-20685834,-46785852,-304217892,-227923296,-1915168000,-2514247000,648306000,153992000,-578134000,1159063000
90,Debt Repayment,- -,- -,- -,- -,-15000000,- -,- -,-390000,-281354000,-918532000
91,Common Stock Issued,- -,- -,- -,1538061497,2430223000,3275835000,- -,- -,- -,- -
92,Common Stock Repurchased,-32809002,- -,- -,- -,- -,-19708000,-166149000,-139070000,-13547000,-308000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,290255691,- -,306360473,2335161,590615000,370931000,-618617000,-5752000,780011000,709294000
95,Cash Used/Provided by Financing Activities,257446689,- -,306360473,1540396658,3005838000,3627058000,-784766000,-145212000,485110000,-209546000
96,Effect of Forex Changes on Cash,6529319,-740678,1286468,-3052623,67560000,110652000,-46026000,-21754000,4974000,5187000
97,Net Change In Cash,279559836,-32863272,120165299,1038319541,643495000,-1015981000,-601135000,255115000,-208511000,-358411000
98,Cash at the End of Period,332100808,299237536,419402835,1457722376,2101217000,1085236000,484101000,831026000,622515000,264104000
99,Cash at the Beginning of Period,52540972,332100808,299237536,419402835,1457722000,2101217000,1085236000,575911000,831026000,622515000
100,Free Cash Flow,20863828,-6777594,111893358,-321723474,-670213000,-2357338000,-579146000,148647000,-242940000,-1341445000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597095/000114420416096767/v436298_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420417020584/v462092_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420418022518/tv488625_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000114420419018111/tv516353_20f.htm,https://www.sec.gov/Archives/edgar/data/1597095/000110465920065425/tm206460d1_20f.htm,- -
102,Forex Rate,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
