,https://roic.ai/company/PM,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,7641000000,8226000000,8863000000,9937000000,9243000000,10324000000,12532000000,12987000000,12542000000,10650000000,9615000000,9924000000,10589000000,10671000000,9872000000,10953000000,12232000000
21,Income Before Tax Ratio,- -,0.1687,0.1705,0.3888,0.3866,0.3692,0.3794,0.4030,0.4139,0.4018,0.3578,0.3588,0.3719,0.3683,0.3602,0.3312,0.3817,0.3895
22,Income Tax expense (Gain),- -,1835000000,1829000000,2564000000,2787000000,2691000000,2826000000,3653000000,3833000000,3670000000,3097000000,2688000000,2768000000,4307000000,2445000000,2293000000,2377000000,2671000000
23,Net Income,- -,5620000000,6146000000,6026000000,6890000000,6342000000,7259000000,8591000000,8800000000,8576000000,7493000000,6873000000,6967000000,6035000000,7911000000,7185000000,8056000000,9109000000
24,Net Income ratio,- -,0.1241,0.1274,0.2643,0.2680,0.2533,0.2668,0.2763,0.2805,0.2747,0.2517,0.2565,0.2611,0.2099,0.2670,0.2411,0.2808,0.2900
25,EPS,- -,2.66,2.91,2.87,3.33,3.25,3.93,4.98,5.17,5.26,4.76,4.42,4.48,3.88,5.08,4.61,5.16,5.85
26,EPS Diluted,- -,2.66,2.91,2.85,3.32,3.24,3.92,4.98,5.17,5.26,4.76,4.42,4.48,3.88,5.08,4.61,5.16,5.85
27,Weighted Average Shares Outstanding,- -,2109313033,2109313033,2101000000,2068000000,1943000000,1839000000,1725908666,1692000000,1622000000,1566000000,1549000000,1551000000,1552000000,1555000000,1555000000,1557000000,1557000000
28,Weighted Average Shares Outstanding Diluted,- -,2109313033,2109313033,2116000000,2078000000,1950000000,1842000000,1725908666,1692000000,1622000000,1566000000,1549000000,1551000000,1553000000,1555000000,1556000000,1558000000,1557000000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413329/000119312509038765/0001193125-09-038765-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312510041735/0001193125-10-041735-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312511046772/0001193125-11-046772-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312512076983/0001193125-12-076983-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332913000019/0001413329-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332914000012/0001413329-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332915000016/0001413329-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332916000076/0001413329-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332917000014/0001413329-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/0001413329-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/0001413329-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/0001413329-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332921000007/0001413329-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/0001413329-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1209000000,1676000000,1656000000,1531000000,1540000000,1703000000,2550000000,2983000000,2154000000,1682000000,3417000000,4239000000,8447000000,6593000000,6861000000,7280000000,4496000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1209000000,1676000000,1656000000,1531000000,1540000000,1703000000,2550000000,2983000000,2154000000,1682000000,3417000000,4239000000,8447000000,6593000000,6861000000,7280000000,4496000000
34,Net Receivables,- -,1898000000,2160000000,3497000000,2848000000,3098000000,3009000000,3201000000,3589000000,3853000000,4004000000,2778000000,3499000000,3738000000,3564000000,3717000000,3761000000,3940000000
35,Inventory,- -,5420000000,7075000000,9332000000,9664000000,9207000000,8317000000,8120000000,8949000000,9846000000,8592000000,8473000000,9017000000,8806000000,8804000000,9235000000,9591000000,8720000000
36,Other Current Assets,- -,1498000000,1014000000,567000000,896000000,837000000,727000000,988000000,1069000000,999000000,1206000000,1136000000,853000000,603000000,481000000,701000000,860000000,561000000
37,Total Current Assets,- -,10025000000,11925000000,15052000000,14939000000,14682000000,13756000000,14859000000,16590000000,16852000000,15484000000,15804000000,17608000000,21594000000,19442000000,20514000000,21492000000,17717000000
38,PP&E,- -,4603000000,5238000000,6435000000,6348000000,6390000000,6499000000,6250000000,6645000000,6755000000,6071000000,5721000000,6064000000,7271000000,7201000000,6631000000,6365000000,6168000000
39,Goodwill,- -,5571000000,6197000000,7925000000,8015000000,9112000000,10161000000,9928000000,9900000000,8893000000,8388000000,7415000000,7324000000,7666000000,7189000000,5858000000,5964000000,6680000000
40,Intangible Assets,- -,1399000000,1627000000,1906000000,3084000000,3546000000,3873000000,3697000000,3619000000,3193000000,2985000000,2623000000,2470000000,2432000000,2278000000,2113000000,2019000000,2818000000
41,Intangible Assets,- -,6970000000,7824000000,9831000000,11099000000,12658000000,14034000000,13625000000,13519000000,12086000000,11373000000,10038000000,9794000000,10098000000,9467000000,7971000000,7983000000,9498000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,24000000,1536000000,1083000000,890000000,1011000000,1074000000,1269000000,4635000000,4798000000,4463000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,859000000,1007000000,977000000,1153000000,1410000000,895000000
44,Other Non-Current Assets,- -,1537000000,1133000000,725000000,586000000,822000000,761000000,754000000,892000000,939000000,1176000000,1503000000,1515000000,1924000000,1445000000,1971000000,2767000000,2549000000
45,Total Non-Current Assets,- -,13110000000,14195000000,16991000000,18033000000,19870000000,21294000000,20629000000,21080000000,21316000000,19703000000,18152000000,19243000000,21374000000,20359000000,22361000000,23323000000,23573000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23135000000,26120000000,32043000000,32972000000,34552000000,35050000000,35488000000,37670000000,38168000000,35187000000,33956000000,36851000000,42968000000,39801000000,42875000000,44815000000,41290000000
48,Accounts Payable,- -,669000000,672000000,852000000,1013000000,670000000,835000000,1031000000,1103000000,1274000000,1242000000,1289000000,1666000000,2242000000,2068000000,2299000000,2780000000,3331000000
49,Short-Term Debt,- -,- -,- -,729000000,584000000,1744000000,3132000000,3717000000,5200000000,3655000000,2526000000,3230000000,3216000000,3005000000,4784000000,4389000000,3368000000,3023000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7494000000,7349000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,5665000000,6317000000,6970000000,8547000000,8764000000,8837000000,10046000000,10713000000,12137000000,11344000000,10867000000,11585000000,10715000000,10339000000,12145000000,13467000000,12901000000
53,Total Current Liabilities,- -,6334000000,6989000000,8551000000,10144000000,11178000000,12804000000,14794000000,17016000000,17066000000,15112000000,15386000000,16467000000,15962000000,17191000000,18833000000,19615000000,19255000000
54,Long-Term Debt,- -,4141000000,2222000000,5578000000,11377000000,13672000000,13370000000,14828000000,17639000000,24023000000,26929000000,25250000000,25851000000,31334000000,26975000000,26656000000,28168000000,24783000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1024000000,1166000000,1240000000,1401000000,1688000000,2027000000,1976000000,1875000000,1477000000,1549000000,1543000000,1897000000,799000000,898000000,908000000,684000000,726000000
57,Other Non-Current Liabilities,- -,1329000000,1476000000,1273000000,2550000000,1869000000,1728000000,2127000000,4294000000,1876000000,2800000000,3253000000,3536000000,5103000000,5476000000,6077000000,6979000000,4734000000
58,Total Non-Current Liabilities,- -,6494000000,4864000000,8091000000,15328000000,17229000000,17125000000,18931000000,23808000000,27376000000,31278000000,30046000000,31284000000,37236000000,33349000000,33641000000,35831000000,30243000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,12828000000,11853000000,16642000000,25472000000,28407000000,29929000000,33725000000,40824000000,44442000000,46390000000,45432000000,47751000000,53198000000,50540000000,52474000000,55446000000,49498000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,9042000000,13002000000,12448000000,13354000000,15358000000,18133000000,21757000000,25076000000,27843000000,29249000000,29842000000,30397000000,29859000000,31014000000,30987000000,31638000000,33082000000
65,Other Comprehensive Income/Loss,- -,-3515000000,-4224000000,1688000000,-2281000000,-817000000,-1140000000,-2863000000,-3604000000,-4190000000,-6826000000,-9402000000,-9559000000,-8535000000,-10111000000,-9363000000,-11181000000,-9577000000
66,Other Total Stockholders Equity,- -,4780000000,5489000000,1265000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,10307000000,14267000000,15401000000,7500000000,5716000000,3506000000,229000000,-3476000000,-7766000000,-12629000000,-13244000000,-12688000000,-12086000000,-12459000000,-11577000000,-12567000000,-10106000000
68,Total Liabilities And Stockholders Equity,- -,23135000000,26120000000,32043000000,32972000000,34123000000,33435000000,33954000000,37348000000,36676000000,33761000000,32188000000,35063000000,41112000000,38081000000,40897000000,42879000000,39392000000
69,Minority Interest,- -,- -,- -,- -,- -,429000000,1615000000,1534000000,322000000,1492000000,1426000000,1768000000,1788000000,1856000000,1720000000,1978000000,1936000000,1898000000
70,Total Liabilities & Equity,- -,23135000000,26120000000,32043000000,32972000000,34552000000,35050000000,35488000000,37670000000,38168000000,35187000000,33956000000,36851000000,42968000000,39801000000,42875000000,44815000000,41290000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413329/000119312509038765/0001193125-09-038765-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312510041735/0001193125-10-041735-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312511046772/0001193125-11-046772-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312512076983/0001193125-12-076983-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332913000019/0001413329-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332914000012/0001413329-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332915000016/0001413329-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332916000076/0001413329-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332917000014/0001413329-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/0001413329-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/0001413329-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/0001413329-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332921000007/0001413329-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/0001413329-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5620000000,6146000000,6026000000,6890000000,6342000000,7259000000,8591000000,8800000000,8576000000,7493000000,6873000000,6967000000,6035000000,7911000000,7185000000,8056000000,9109000000
74,Depreciation and Amortization,- -,527000000,658000000,748000000,842000000,853000000,932000000,993000000,898000000,882000000,889000000,754000000,743000000,875000000,989000000,964000000,981000000,998000000
75,Deferred Income Tax,- -,-746000000,226000000,-21000000,5000000,129000000,101000000,15000000,-248000000,-28000000,-62000000,-18000000,182000000,-501000000,-100000000,-141000000,-143000000,-17000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,1245000000,1565000000,-1706000000,-1291000000,-2552000000,-887000000,-491000000,212000000,586000000,46000000,723000000,4491000000,-3381000000,-570000000,196000000,18377000000,1367000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-398000000,-449000000,-463000000,647000000,-1009000000,-92000000,53000000,-331000000,- -,- -
79,Inventory,- -,-441000000,-1077000000,-1264000000,-914000000,660000000,1071000000,-36000000,-728000000,-1413000000,105000000,-841000000,-695000000,730000000,-613000000,-548000000,-165000000,549000000
80,Accounts Payable,- -,- -,- -,38000000,-90000000,-116000000,-72000000,199000000,10000000,103000000,177000000,310000000,373000000,425000000,-51000000,451000000,406000000,653000000
81,Other Working Capital,- -,4936000000,6501000000,4795000000,3504000000,952000000,65000000,-426000000,-214000000,372000000,418000000,1141000000,5632000000,2251000000,1681000000,1877000000,20254000000,363000000
82,Other Non-Cash Items,- -,-1488000000,-2359000000,542000000,1489000000,3112000000,2032000000,1421000000,-241000000,119000000,-627000000,-467000000,-4306000000,5884000000,1248000000,1886000000,-17459000000,510000000
83,Cash Provided by Operating Activities,- -,5158000000,6236000000,5589000000,7935000000,7884000000,9437000000,10529000000,9421000000,10135000000,7739000000,7865000000,8077000000,8912000000,9478000000,10090000000,9812000000,11967000000
84,CAPEX,- -,-736000000,-886000000,-1072000000,-1099000000,-715000000,-713000000,-897000000,-1056000000,-1200000000,-1153000000,-960000000,-1172000000,-1548000000,-1436000000,-852000000,-602000000,-748000000
85,Acquisitions Net,- -,- -,- -,-1432000000,-1663000000,-429000000,-83000000,-80000000,- -,- -,-110000000,- -,- -,- -,- -,-1346000000,-47000000,-2145000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-4886000000,447000000,-82000000,-399000000,46000000,86000000,-55000000,64000000,-1480000000,267000000,252000000,204000000,-1466000000,438000000,387000000,-1107000000,-213000000
89,Cash Used for Investing Activites,- -,-5622000000,-439000000,-2586000000,-3161000000,-1098000000,-710000000,-1032000000,-992000000,-2680000000,-996000000,-708000000,-968000000,-3014000000,-998000000,-1811000000,-1154000000,-2358000000
90,Debt Repayment,- -,- -,- -,-3381000000,-5736000000,-101000000,-183000000,-2630000000,-3457000000,-4686000000,-3327000000,-1495000000,-2405000000,-4312000000,-2484000000,-5351000000,-4114000000,-3042000000
91,Common Stock Issued,- -,- -,- -,- -,118000000,177000000,229000000,75000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5256000000,-5625000000,-5030000000,-5372000000,-6525000000,-5963000000,-3833000000,-48000000,- -,- -,- -,- -,- -,-775000000
93,Dividends Paid,- -,-7682000000,-2780000000,-6560000000,-5079000000,-4327000000,-4423000000,-4788000000,-5404000000,-5720000000,-6035000000,-6250000000,-6378000000,-6520000000,-6885000000,-7161000000,-7364000000,-7580000000
94,Other Financing Activites,- -,4718000000,-2637000000,6572000000,11775000000,2965000000,829000000,4377000000,7285000000,8154000000,6356000000,3057000000,3370000000,8063000000,-282000000,4451000000,2982000000,-580000000
95,Cash Used/Provided by Financing Activities,- -,-2964000000,-5417000000,-3369000000,-4178000000,-6911000000,-8578000000,-8338000000,-8100000000,-8215000000,-6839000000,-4736000000,-5413000000,-2769000000,-9651000000,-8061000000,-8496000000,-11977000000
96,Effect of Forex Changes on Cash,- -,-359000000,87000000,346000000,-566000000,134000000,14000000,-312000000,104000000,-69000000,-376000000,-686000000,-874000000,1079000000,-685000000,27000000,258000000,-417000000
97,Net Change In Cash,- -,-3787000000,467000000,-20000000,30000000,9000000,163000000,847000000,433000000,-829000000,-472000000,1735000000,822000000,4208000000,-1856000000,245000000,420000000,-2785000000
98,Cash at the End of Period,- -,1209000000,1676000000,1656000000,1531000000,1540000000,1703000000,2550000000,2983000000,2154000000,1682000000,3417000000,4239000000,8447000000,6620000000,6865000000,7285000000,4500000000
99,Cash at the Beginning of Period,- -,4996000000,1209000000,1676000000,1501000000,1531000000,1540000000,1703000000,2550000000,2983000000,2154000000,1682000000,3417000000,4239000000,8476000000,6620000000,6865000000,7285000000
100,Free Cash Flow,- -,4422000000,5350000000,4517000000,6836000000,7169000000,8724000000,9632000000,8365000000,8935000000,6586000000,6905000000,6905000000,7364000000,8042000000,9238000000,9210000000,11219000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413329/000119312509038765/0001193125-09-038765-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312510041735/0001193125-10-041735-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312511046772/0001193125-11-046772-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000119312512076983/0001193125-12-076983-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332913000019/0001413329-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332914000012/0001413329-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332915000016/0001413329-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332916000076/0001413329-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332917000014/0001413329-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332918000007/0001413329-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332919000007/0001413329-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332920000007/0001413329-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332921000007/0001413329-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/0001413329-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,
