,https://roic.ai/company/BRSF,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1143,-1005,- -,-58647
90,Debt Repayment,- -,- -,- -,-1200,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,3905,- -,- -,- -,207732,280174
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,50,35000,59200,979868,953238,981635,6365675
95,Cash Used/Provided by Financing Activities,- -,50,38905,58000,979868,953238,1189367,6645849
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,366,-4538,-3990
97,Net Change In Cash,- -,- -,110,-147,-133965,97873,11420,512507
98,Cash at the End of Period,- -,50,160,13,163563,261436,272856,785363
99,Cash at the Beginning of Period,- -,- -,50,160,297528,163563,261436,272856
100,Free Cash Flow,- -,- -,-38795,-58147,-1113833,-855731,-1173409,-5925439
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662382/000118518517000534/0001185185-17-000534-index.html,https://www.sec.gov/Archives/edgar/data/1662382/000118518518001247/0001185185-18-001247-index.htm,https://www.sec.gov/Archives/edgar/data/1662382/000118518519000489/0001185185-19-000489-index.html,https://www.sec.gov/Archives/edgar/data/1662382/000121390020008234/0001213900-20-008234-index.htm,https://www.sec.gov/Archives/edgar/data/1662382/000121390021021685/0001213900-21-021685-index.htm,https://www.sec.gov/Archives/edgar/data/1662382/000121390022016981/0001213900-22-016981-index.htm
102,false,,,,,,,,
