,https://roic.ai/company/VET,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.02,0.08,0.29,0.07,0.37,1.17,1.17,0.73,0.96,1.77,2.49,2.22,2.39,3.23,2.53,1.32,1.55,1.92,3.20,2.51,-1.98,-1.38,0.51,1.91,0.21,-9.61,7.27
27,Weighted Average Shares Outstanding,10000000,21111111,38000000,48571429,50000000,53000000,54000000,55791000,58600290,60166163,61755432,63977134,66122423,69548183,72405606,83155116,90878000,98016000,100969000,105448000,109642000,115695000,120582000,140619000,154736000,157908000,157908000
28,Weighted Average Shares Outstanding Diluted,10000000,23750000,39310345,48571429,54054054,53000000,56000000,56847000,59093044,66375229,69395074,73059877,75782723,78018769,80569607,84497279,92272000,99294000,102467000,107187000,109642000,115695000,122408000,142335000,156095000,157908000,157908000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000115752309002374/0001157523-09-002374-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000115752310001702/0001157523-10-001702-index.html,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956912000311/0001279569-12-000311-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956913000291/0001279569-13-000291-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956916002843/0001279569-16-002843-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956917000330/0001279569-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956918000371/0001279569-18-000371-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956919000430/0001279569-19-000430-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000110465920030132/0001104659-20-030132-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2900000,1400000,4600000,15861000,6716000,32562000,53351000,65031000,42777000,26950000,47868000,67231000,99066000,145623000,220158000,102125000,389559000,120405000,41676000,62775000,46561000,26809000,29028000,6904000,6028000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1624000,37000,9491000,24112000,15132000,14349000,- -,9623000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,2900000,1400000,4600000,15861000,6716000,32562000,53351000,65031000,42777000,28574000,47905000,76722000,123178000,160755000,234507000,102125000,399182000,120405000,41676000,62775000,46561000,26809000,29028000,6904000,6028000
34,Net Receivables,8900000,8000000,14200000,11400000,17500000,42530000,43457000,56582000,39640000,54044000,75639000,120573000,119645000,123794000,117051000,147329000,176820000,180064000,167618000,171820000,160499000,131719000,165760000,260322000,211409000,196077000,328584000
35,Inventory,- -,- -,3200000,2800000,7200000,6018000,2593000,3207000,3477000,4468000,10279000,4898000,11033000,12167000,5235000,10707000,13885000,25719000,17143000,9510000,13079000,14528000,17105000,27751000,29389000,13402000,20070000
36,Other Current Assets,- -,100000,1600000,1600000,2000000,2692000,5296000,4699000,2966000,5090000,10553000,13473000,7669000,27490000,11422000,24308000,10447000,12594000,3840000,36424000,69524000,16884000,32420000,114995000,77855000,44610000,118163000
37,Total Current Assets,8900000,8100000,21900000,17200000,31300000,67101000,58062000,97050000,99434000,128633000,139248000,167518000,186252000,240173000,256886000,343099000,435659000,320502000,587783000,338159000,284778000,225906000,261846000,429877000,347681000,260993000,472845000
38,PP&E,10500000,27700000,108300000,246900000,266500000,415648000,546705000,711902000,688144000,688837000,891357000,1187316000,1331460000,1407629000,1606995000,2031501000,2123983000,2562401000,2936104000,3891713000,3775561000,3708075000,3630243000,5620168000,5301769000,3361198000,5057485000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19840000,19840000,19840000,19840000,19840000,51589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,6954000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,6954000,- -,- -,- -,- -,19840000,19840000,19840000,19840000,19840000,51589000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73345000,3108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119714000,151477000,175545000,193354000,184832000,154816000,135753000,152046000,80324000,219411000,196543000,484497000,374993000
44,Other Non-Current Assets,200000,8400000,- -,600000,5500000,- -,1012000,2759000,1678000,27132000,61294000,88165000,130571000,130717000,7896000,942000,- -,- -,- -,1403000,13128000,1157000,2552000,1215000,20127000,2451000,- -
45,Total Non-Current Assets,10700000,36100000,108300000,247500000,272000000,422602000,547717000,714661000,689822000,715969000,972491000,1295321000,1481871000,1558186000,1827790000,2238617000,2299528000,2755755000,3120936000,4047932000,3924442000,3861278000,3713119000,5840794000,5518439000,3848146000,5432478000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19600000,44200000,130200000,264700000,303300000,489703000,605779000,811711000,789256000,844602000,1111739000,1462839000,1668123000,1798359000,2084676000,2581716000,2735187000,3076257000,3708719000,4386091000,4209220000,4087184000,3974965000,6270671000,5866120000,4109139000,5905323000
48,Accounts Payable,9300000,7900000,24800000,32500000,30500000,71527000,69206000,79817000,79937000,85837000,90422000,139672000,128858000,179312000,212742000,253086000,297756000,300682000,267832000,298196000,248747000,181557000,219084000,449651000,312442000,297670000,440658000
49,Short-Term Debt,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224901000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2366000,58795000,36407000,27709000,55615000,44463000,6006000,36219000,39061000,37410000,5416000,4539000,37182000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1100000,- -,- -,7484000,10977000,15437000,55796000,22616000,24419000,21762000,70963000,4821000,87848000,193428000,55029000,79612000,67533000,30083000,109305000,144222000,113548000,103768000,135458000,306155000
53,Total Current Liabilities,9600000,8200000,24800000,33600000,30500000,71527000,76690000,90794000,95374000,141633000,113038000,164091000,150620000,250275000,217563000,340934000,491184000,355711000,347444000,365729000,503731000,290862000,363306000,563199000,416210000,433128000,746813000
54,Long-Term Debt,4300000,5600000,17500000,93900000,95500000,101619000,101053000,193025000,135558000,75014000,271099000,358236000,452490000,197651000,159723000,302558000,373436000,642022000,990024000,1238080000,1186563000,1381820000,1286137000,1904396000,2017737000,2010372000,1711759000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,1300000,7900000,9700000,23900000,96865000,129698000,171094000,152993000,145680000,160475000,224631000,205702000,245799000,218764000,246982000,227668000,288815000,328714000,410183000,354654000,283533000,253108000,318134000,336309000,264272000,328839000
57,Other Non-Current Liabilities,- -,7800000,2300000,3700000,4300000,6253000,7965000,11169000,13514000,51688000,70214000,127494000,163374000,265101000,348512000,390676000,311298000,371063000,326162000,350753000,305613000,552506000,529528000,667691000,642559000,475965000,1051767000
58,Total Non-Current Liabilities,4600000,14700000,27700000,107300000,123700000,204737000,238716000,375288000,302065000,272382000,501788000,710361000,821566000,708551000,726999000,940216000,912402000,1301900000,1644900000,1999016000,1846830000,2217859000,2068773000,2890221000,2996605000,2750609000,3092365000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23565000,19628000,15807000,108189000,93072000,76524000,60190000
61,Total Liabilities,14200000,22900000,52500000,140900000,154200000,276264000,315406000,466082000,397439000,414015000,614826000,874452000,972186000,958826000,944562000,1281150000,1403586000,1657611000,1992344000,2364745000,2350561000,2508721000,2432079000,3453420000,3412815000,3183737000,3839178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1481345000,1618443000,1959021000,2181089000,2452722000,2650706000,4008828000,4119031000,4181160000,4241773000
64,Retained Earnings,-100000,1800000,13100000,16600000,36400000,80474000,142897000,183751000,240493000,115636000,168774000,663437000,217209000,280959000,297210000,254636000,-3157000,-99871000,-24637000,-35585000,-544023000,-1006386000,-1264003000,-1388237000,-1791039000,-3399994000,-2253624000
65,Other Comprehensive Income/Loss,-700000,-2500000,-8300000,-20400000,-39400000,-72252000,-126388000,-216972000,-87653000,27697000,-509300000,-478378000,-865500000,-1106500000,-1334800000,-1588200000,-33387000,-32409000,47142000,5722000,113647000,30339000,71829000,118182000,49578000,77986000,28467000
66,Other Total Stockholders Equity,6200000,22000000,72900000,127600000,152100000,205217000,262534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69581000,75427000,92188000,107946000,101788000,84354000,78478000,75735000,66250000,49529000
67,Total Stockholders Equity,5400000,21300000,77700000,123800000,149100000,213439000,279043000,324308000,362219000,391261000,458153000,536607000,627361000,755010000,1039290000,1300566000,1331601000,1418646000,1716375000,2021346000,1858659000,1578463000,1542886000,2817251000,2453305000,925402000,2066145000
68,Total Liabilities And Stockholders Equity,19600000,44200000,130200000,264700000,303300000,489703000,594449000,790390000,759658000,805276000,1072979000,1411059000,1599547000,1713836000,1983852000,2581716000,2735187000,3076257000,3708719000,4386091000,4209220000,4087184000,3974965000,6270671000,5866120000,4109139000,5905323000
69,Minority Interest,- -,- -,- -,- -,- -,- -,11330000,21321000,29598000,39326000,38760000,51780000,68576000,84523000,100824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19600000,44200000,130200000,264700000,303300000,489703000,605779000,811711000,789256000,844602000,1111739000,1462839000,1668123000,1798359000,2084676000,2581716000,2735187000,3076257000,3708719000,4386091000,4209220000,4087184000,3974965000,6270671000,5866120000,4109139000,5905323000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000115752309002374/0001157523-09-002374-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000115752310001702/0001157523-10-001702-index.html,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956912000311/0001279569-12-000311-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956913000291/0001279569-13-000291-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956916002843/0001279569-16-002843-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956917000330/0001279569-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956918000371/0001279569-18-000371-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956919000430/0001279569-19-000430-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000110465920030132/0001104659-20-030132-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,1900000,11400000,3400000,20000000,61449000,65743000,41322000,56742000,113700000,158471000,146923000,164286000,229189000,185498000,111263000,142821000,190622000,327641000,269326000,-217302000,-160051000,62258000,271650000,32799000,-1517427000,1148696000
74,Depreciation and Amortization,600000,1800000,7400000,13500000,20300000,31797000,53932000,95450000,95988000,104988000,126816000,162254000,211397000,255473000,248726000,271556000,236708000,295943000,322386000,425694000,458758000,528002000,491683000,609056000,675177000,580461000,- -
75,Deferred Income Tax,300000,1500000,7700000,1500000,14400000,43380000,32327000,21121000,-23044000,-21033000,-12050000,-16349000,-9325000,4003000,-30963000,-55383000,-46210000,-19291000,35177000,26410000,-47728000,-82855000,30117000,39471000,56096000,-374313000,187343000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18196000,28170000,38667000,47104000,60845000,67802000,75232000,69235000,61579000,60746000,64233000,42906000,41565000
77,Change in Working Capital,- -,- -,- -,- -,-14000000,13370000,3501000,-11730000,14931000,22479000,-32101000,-32252000,-31965000,96369000,-76782000,64656000,-4173000,-47409000,49421000,3077000,-60390000,8366000,665000,-6876000,-65148000,12365000,-56884000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-14000000,13370000,3501000,-11730000,14931000,22479000,-32101000,-32252000,-31965000,-737000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,400000,-600000,5500000,10400000,600000,1525000,883000,-1518000,19422000,-28757000,3980000,45457000,15497000,75101000,-114359000,1020000,79279000,29611000,-90445000,-323000,235838000,146843000,-52406000,-158036000,60308000,1756160000,-486267000
83,Cash Provided by Operating Activities,1500000,4600000,32000000,28800000,41300000,151521000,156386000,144645000,164039000,191377000,245116000,306033000,349890000,660135000,230316000,421282000,447092000,496580000,705025000,791986000,444408000,509540000,593896000,816011000,823465000,500152000,834453000
84,CAPEX,-6300000,-12200000,-46000000,-149800000,-46300000,-36779000,-2194000,-23433000,- -,-140244000,-203848000,-163374000,-296933000,-233302000,-354202000,-438837000,-130431000,-558722000,-560542000,-908450000,-515758000,-340932000,-348086000,-794522000,-523164000,-367202000,-374796000
85,Acquisitions Net,- -,- -,- -,- -,- -,-8460000,- -,-87601000,- -,- -,-87036000,-124604000,- -,-1764000,- -,- -,- -,-197789000,-15497000,-176179000,- -,- -,- -,- -,-38472000,-25810000,-131628000
86,Purchases of Investments,- -,- -,- -,- -,- -,-800000,-3520000,- -,- -,- -,-12299000,-12426000,-32193000,-10118000,-6404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136479000,64889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2700000,-15200000,-32600000,-1000000,-100000,-96034000,-158136000,-113311000,-81244000,112178000,-32251000,-9005000,-4512000,-10557000,-1631000,14885000,-417295000,-435950000,-593044000,-675359000,-512841000,-254706000,-320042000,-462723000,-57072000,-8422000,36724000
89,Cash Used for Investing Activites,-9000000,-27400000,-78600000,-150800000,-46400000,-142073000,-163850000,-224345000,-81244000,-28066000,-335434000,-309409000,-333638000,-255741000,-225758000,-359063000,-547726000,-739923000,-617730000,-1072264000,-541738000,-353230000,-347679000,-739031000,-618708000,-401434000,-469700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37053000,- -,-150001000,- -,- -,- -,-2246000,-229270000,-4874000,-18884000,-26354000,-25048000,-22187000
91,Common Stock Issued,3600000,13800000,44400000,43800000,8400000,3767000,4864000,13127000,88162000,39704000,25421000,30356000,43037000,22193000,240178000,40824000,311085000,36339000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-5003000,-717000,- -,- -,- -,- -,- -,-1213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-88864000,-122366000,-125884000,-130264000,-134595000,-158128000,-164616000,-187943000,-206434000,-187484000,-168719000,-190657000,-127535000,-104723000,-200074000,-330194000,-391549000,-117737000,- -
94,Other Financing Activites,3900000,9000000,5100000,76800000,100000,-2227000,-983000,91836000,-57201000,-60440000,195500000,85606000,99053000,-258836000,- -,142700000,220561000,265395000,347284000,196387000,138341000,202617000,-58740000,251155000,214895000,22183000,-341259000
95,Cash Used/Provided by Financing Activities,7500000,22800000,49500000,120600000,8500000,1540000,-1122000,104246000,-57903000,-143102000,95037000,-14302000,7495000,-395984000,38509000,-4419000,175211000,114250000,178565000,5730000,8560000,-131376000,-263688000,-97923000,-203008000,-120602000,-363446000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-200000,306000,-559000,1300000,-4103000,502000,-9062000,1851000,-2829000,10953000,-11232000,-11243000,-825000,-3289000,21574000,5394000,10041000,-3835000,1257000,1191000,470000,-240000,-2183000
97,Net Change In Cash,7500000,22800000,49500000,-1500000,3200000,11294000,-9145000,25846000,20789000,20711000,-4343000,-15827000,20918000,19363000,31835000,46557000,73752000,-132382000,287434000,-269154000,-78729000,21099000,-16214000,-19752000,2219000,-22124000,-876000
98,Cash at the End of Period,- -,- -,2900000,1400000,4600000,15861000,6716000,32562000,53351000,65031000,42777000,26950000,47868000,67231000,99066000,145623000,234507000,102125000,389559000,120405000,41676000,62775000,46561000,26809000,29028000,6904000,6028000
99,Cash at the Beginning of Period,- -,- -,- -,2900000,1400000,4567000,15861000,6716000,32562000,44320000,47120000,42777000,26950000,47868000,67231000,99066000,160755000,234507000,102125000,389559000,120405000,41676000,62775000,46561000,26809000,29028000,6904000
100,Free Cash Flow,-4800000,-7600000,-14000000,-121000000,-5000000,114742000,154192000,121212000,164039000,51133000,41268000,142659000,52957000,426833000,-123886000,-17555000,316661000,-62142000,144483000,-116464000,-71350000,168608000,245810000,21489000,300301000,132950000,459657000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000115752309002374/0001157523-09-002374-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000115752310001702/0001157523-10-001702-index.html,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956912000311/0001279569-12-000311-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956913000291/0001279569-13-000291-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1293135/000127956916002843/0001279569-16-002843-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956917000330/0001279569-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956918000371/0001279569-18-000371-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000127956919000430/0001279569-19-000430-index.html,https://www.sec.gov/Archives/edgar/data/1293135/000110465920030132/0001104659-20-030132-index.html,- -,- -
102,Forex Rate,0.7329,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
