,https://roic.ai/company/REI,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1384195/000127351107000063/0001273511-07-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1384195/000107878211000832/0001078782-11-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878212000754/0001078782-12-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878213000609/0001078782-13-000609-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878214000424/0001078782-14-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420415016346/0001144204-15-016346-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420416088170/0001144204-16-088170-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420417014740/0001144204-17-014740-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420418014905/0001144204-18-014905-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420419011298/0001144204-19-011298-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465920034179/0001104659-20-034179-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465921037111/0001104659-21-037111-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465922035610/0001104659-22-035610-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,21849,734,87296,993860,931103,4423913,5404167,52350583,8622235,4431350,71086381,15006581,3363726,10004622,3578634,2408316
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,21849,734,87296,993860,931103,4423913,5404167,52350583,8622235,4431350,71086381,15006581,3363726,10004622,3578634,2408316
34,Net Receivables,- -,- -,- -,- -,- -,5623,- -,- -,417965,3888402,6300463,4137023,3907699,13887905,13221622,24721664,16825147,24026807
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,57228,2000,2900,2100,60398,66051,160600,146118,226835,229438,258909,3982255,396109,3371840
37,Total Current Assets,- -,- -,21849,734,144524,1001483,934003,4426013,5882530,56305036,15083298,8714491,75220915,29123924,16844257,38708541,20799890,29806963
38,PP&E,- -,- -,- -,- -,- -,31111,5794,4595,22630848,55418382,152558162,241266527,211918551,373611020,542010862,931083199,640276959,652636900
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64323,20051908,11232200,7786479,- -,- -,90292
44,Other Non-Current Assets,- -,- -,- -,- -,1249614,- -,- -,853122,- -,- -,- -,820904,406025,135342,424061,3214408,2379348,1623174
45,Total Non-Current Assets,- -,- -,- -,- -,1249614,31111,5794,857717,22630848,55418382,152558162,242151754,232376484,384978562,550221402,934297607,642656307,654350366
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,21849,734,1394138,1032594,939797,5283730,28513378,111723418,167641460,250866245,307597399,414102486,567065659,973006148,663456197,684157329
48,Accounts Payable,- -,280,7306,2806,941,- -,5420,- -,1191431,6229490,16241022,11023269,9099391,44475163,51910432,54635602,32500081,46233452
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126857,1193690
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,10100,56800,- -,21007,1209,5645,- -,1002153,22029,309898,- -,3968286,- -,4456952,4314799,29241588
53,Total Current Liabilities,- -,280,17406,59606,941,21007,6629,5645,1191431,7231643,16263051,11333167,9099391,48443449,51910432,59092554,36941737,76668730
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45900000,- -,- -,39500000,366500000,313000000,291138319
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90292
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,625950,703651,4939390,- -,- -,- -,- -,6001176,- -,90292
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,496286,1182410,3896489,7401950,7957035,9055697,13055797,17902485,18748647,15545489
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1122236,1886061,8835879,53301950,7957035,9055697,52555797,390403661,331748647,306864392
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,10100,56800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2572140,1916567,- -
61,Total Liabilities,- -,280,17406,59606,941,21007,6629,5645,2313667,9117704,25098930,64635117,17056426,57499146,104466229,449496215,368690384,383533122
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,30000,54743,54743,3541,3548,3548,4716,14166,23576,25734,30392,49113,54224,63230,67994,85568,100193
64,Retained Earnings,- -,-2280,-30547,-157628,-281706,-663702,-742121,-1062369,-5983818,-6436027,1984473,-7068298,-44705985,-41355653,-32355893,-2859342,-256271170,-252948278
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-2597,-3796,-596162,-2880253,-14688047,-29863838,-41347152,-61864932,-100576087,-157074044,- -,- -
66,Other Total Stockholders Equity,- -,-28000,-19753,44013,1671362,- -,1674338,6339534,32765525,111898418,155220370,223132872,376544997,459769701,595468180,683375325,550951415,553472292
67,Total Stockholders Equity,- -,-280,4443,-58872,1393197,1011587,933168,5278085,26199711,102605714,142542530,186231128,290540973,356603340,462599430,523509933,294765813,300624207
68,Total Liabilities And Stockholders Equity,- -,- -,21849,734,1394138,1032594,939797,5283730,28513378,111723418,167641460,250866245,307597399,414102486,567065659,973006148,663456197,684157329
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,21849,734,1394138,1032594,939797,5283730,28513378,111723418,167641460,250866245,307597399,414102486,567065659,973006148,663456197,684157329
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1384195/000127351107000063/0001273511-07-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1384195/000107878211000832/0001078782-11-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878212000754/0001078782-12-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878213000609/0001078782-13-000609-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878214000424/0001078782-14-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420415016346/0001144204-15-016346-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420416088170/0001144204-16-088170-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420417014740/0001144204-17-014740-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420418014905/0001144204-18-014905-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420419011298/0001144204-19-011298-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465920034179/0001104659-20-034179-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465921037111/0001104659-21-037111-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465922035610/0001104659-22-035610-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-28267,-127081,-124078,-334055,-78419,-320248,-1669283,-452209,8420500,-9052771,-37637687,1753869,8999760,29496551,-253411828,3322892
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1199,1199,- -,- -,- -,- -,- -,- -,- -,- -,43010660,37167967
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-300324,77701,4235739,-5003713,-19987585,10466067,2537837,9932265,-3975170,265479
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,944681,3489022,2517211,2566716,2267053,3685079,3870934,3082625,5364162,2418323
77,Change in Working Capital,- -,- -,7026,-63315,202455,-45979,-53102,3492994,270731,44382294,-50253146,-1438923,68740200,-85441049,-15746650,14682162,4242166,-30719920
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,5623,- -,-326943,-3470437,-2412061,2163440,229324,-9980206,666283,-10035648,7896517,-9483639
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-805,-2100,- -,1081217,6040212,9031408,-4929884,-2233776,12375772,4435269,12320308,-8380594,15449215
81,Other Working Capital,- -,- -,4443,-58872,143583,980476,927374,4420368,4691099,49073393,-1179753,-2618676,66121524,-19319525,-35066175,-20384013,-16141847,-46861767
82,Other Non-Cash Items,- -,- -,- -,70498,-260093,370071,67565,-3496300,722344,-39380400,68827761,22772435,-2167584,112342238,70695440,49422618,276929265,60276471
83,Cash Provided by Operating Activities,- -,- -,-21241,-119898,-181716,-9963,-62757,-322355,-31851,8116408,33748065,9843744,11214397,42806204,70357321,106616221,72159255,72731212
84,CAPEX,- -,- -,- -,-7917,- -,-276032,- -,- -,-10377549,-34378638,-106166783,-109663090,-38339845,-157912960,-203526850,-155525731,-43830397,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-268000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-1250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1249614,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-850000,- -,-60544,-39316,-446192,- -,- -,105536,485480,- -,-51239400
89,Cash Used for Investing Activites,- -,- -,- -,-7917,-1250000,973582,- -,-850000,-10377549,-34439182,-106206099,-110109282,-38339845,-157912960,-203421314,-423040251,-43830397,-51239400
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-9244428,- -,- -,- -,-52900000,- -,- -,-153417,-80282928,- -
91,Common Stock Issued,- -,- -,32990,- -,1500000,- -,- -,4665165,23896623,73201690,28514686,50039853,139567979,59026956,81821138,- -,19383131,367509
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,10100,106700,18278,- -,- -,- -,1150000,67500,215000,46034800,7112500,- -,39600000,323218343,26144951,-23029639
95,Cash Used/Provided by Financing Activities,- -,- -,43090,106700,1518278,- -,- -,4665165,15802195,73269190,28729686,96074653,93780479,59026956,121421138,323064926,-34754846,-22662130
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-21115,86562,963619,-62757,3492810,5392795,46946416,-43728348,-4190885,66655031,-56079800,-11642855,6640896,-6425988,-1170318
98,Cash at the End of Period,- -,- -,21849,734,87296,1050915,931103,4423913,5404167,52350583,8622235,4431350,71086381,15006581,3363726,10004622,3578634,2408316
99,Cash at the Beginning of Period,- -,- -,- -,21849,734,87296,993860,931103,11372,5404167,52350583,8622235,4431350,71086381,15006581,3363726,10004622,3578634
100,Free Cash Flow,- -,- -,-21241,-127815,-181716,-285995,-62757,-322355,-10409400,-26262230,-72418718,-99819346,-27125448,-115106756,-133169529,-48909510,28328858,72731212
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1384195/000127351107000063/0001273511-07-000063-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1384195/000107878211000832/0001078782-11-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878212000754/0001078782-12-000754-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878213000609/0001078782-13-000609-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000107878214000424/0001078782-14-000424-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420415016346/0001144204-15-016346-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420416088170/0001144204-16-088170-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420417014740/0001144204-17-014740-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420418014905/0001144204-18-014905-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000114420419011298/0001144204-19-011298-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465920034179/0001104659-20-034179-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465921037111/0001104659-21-037111-index.htm,https://www.sec.gov/Archives/edgar/data/1384195/000110465922035610/0001104659-22-035610-index.htm
102,false,,,,,,,,,,,,,,,,,,
