,https://roic.ai/company/HCMC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4106017,2150643,2040845,4499519,2879447,2164352,1863593
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,311495,- -,- -,- -,- -,- -,- -,- -,12000,12000,65284,91360,165198,128157,117244,672448,490252,2394109,85437
45,Total Non-Current Assets,- -,- -,- -,1149346,- -,- -,- -,- -,- -,- -,- -,39323,37190,93969,803379,4681492,2917726,2747595,5669006,8365008,8867801,5669948
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,4331704,340,281,230,94,- -,1359300,1799132,4699507,4399467,13962375,4928483,34247862,17234751,11701405,15172664,14006669,11874993,34443487
48,Accounts Payable,- -,- -,- -,817292,2396,40139,32397,14580,23437,453823,1001122,1628940,3208595,1123508,1920135,1581347,520586,512395,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,2456847,262000,366907,541469,807035,878163,- -,- -,- -,- -,478847,802015,60871,53054,2111,2150684,2838303,4547170,437328
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,173471,724356,- -,5807,3092,- -,121617,36000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,477695,182266,140626,95588,- -,- -,442630,26823,21262,- -
52,Other Current Liabilities,- -,- -,- -,50167,15058,34694,54344,73994,93644,202000,173471,1683398,350151,426170,1134454,45035691,14203565,10769901,3024346,825860,1085663,2086666
53,Total Current Liabilities,- -,- -,- -,3324306,279454,441740,628210,895609,995244,655823,1174593,3312338,4036441,2210791,3997230,46773497,14777205,11284407,5617660,3690986,5654095,2523994
54,Long-Term Debt,- -,- -,- -,836792,- -,- -,- -,- -,- -,- -,- -,- -,846470,- -,119443,58572,- -,10459,1128234,4413952,3963530,3103057
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,836792,- -,- -,- -,- -,- -,- -,- -,- -,846470,- -,119443,58572,- -,10459,1128234,4413952,3963530,3103057
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,836792,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171458,119443,53054,- -,- -,4100688,3589207,- -
61,Total Liabilities,- -,- -,- -,4161098,279454,441740,628210,895609,995244,655823,1174593,3312338,4882911,2210791,4116673,46832069,14777205,11294866,6745894,8104938,9617625,5209830
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13,- -,- -,20150116,20150116,16277116,- -
63,Common Stock,- -,- -,- -,640,640,640,640,640,640,60000,60135,60185,60185,16214,16762,15,1421386,2934887,6662351,6769849,14384084,33974163
64,Retained Earnings,- -,- -,- -,-1175723,-1631443,-1794988,-1982709,-2551444,-2652373,317977,217289,-260034,-2181006,-1379654,-15231903,-13431150,-2746658,-12608586,-25734088,-28636479,-32358871,-36396330
65,Other Comprehensive Income/Loss,- -,- -,- -,-522165,- -,- -,- -,- -,- -,- -,- -,-10000,-20000,-30000,-84310,-211820,-293400,-393770,-579210,-742900,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,1867854,1351689,1352889,1354089,1655289,1656489,325500,347115,1597018,1657377,13145024,16111261,1058735,4076218,10474008,7927600,8361145,3955039,31655824
67,Total Stockholders Equity,- -,- -,- -,170606,-279114,-441459,-627980,-895515,-995244,703477,624539,1387169,-483444,11751584,811810,-12584207,2457546,406539,8426769,5901731,2257368,29233657
68,Total Liabilities And Stockholders Equity,- -,- -,- -,4331704,340,281,230,94,- -,1359300,1799132,4699507,4399467,13962375,4928483,34247862,17234751,11701405,15172663,14006669,11874993,34443487
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,4331704,340,281,230,94,- -,1359300,1799132,4699507,4399467,13962375,4928483,34247862,17234751,11701405,15172664,14006669,11874993,34443487
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844856/000119312512134703/0001193125-12-134703-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312513134687/0001193125-13-134687-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312514069730/0001193125-14-069730-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000149315215001079/0001493152-15-001079-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104916013764/0001571049-16-013764-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104917002865/0001571049-17-002865-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390018002977/0001213900-18-002977-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390019004953/0001213900-19-004953-index.html,https://www.sec.gov/Archives/edgar/data/844856/000084485620000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485621000019/0000844856-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485622000019/0000844856-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-116881,-57733,-310156,-565968,-455720,-163545,-187721,-568735,-100929,334731,-100688,713338,-1920972,801352,-13852249,1800753,10684492,-9861928,-13163261,-2799376,-3722392,-4037459
74,Depreciation and Amortization,96939,96558,94594,94431,- -,- -,- -,- -,- -,- -,- -,5144,11451,11284,56435,462103,374388,350647,375690,920148,1134496,497408
75,Deferred Income Tax,-59185,-4245,-147686,376167,- -,- -,- -,- -,- -,- -,- -,-143037,-79093,-197585,766498,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49292,46089,135239,1766579,4473418,75430,7505851,1712412,374241,78029,34375
77,Change in Working Capital,-2155362,- -,- -,-141948,-137166,-162345,-186521,-267535,-99729,1698721,-78938,723307,-1022010,11331779,-11529741,-17335001,16746947,-1870417,6216595,-1935323,-4597578,28896448
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-324391,-395202,-129632,-1250034,1450231,-205987,-197908,-35398,39610,27202,41726,-4806
79,Inventory,-2830549,414197,2457106,810841,- -,- -,- -,- -,- -,-816099,-97397,-1310025,564827,-1651891,-561604,1322530,-350148,-505170,-534085,107607,7766,707710
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,8857,- -,- -,730318,1579655,-2085087,796627,-861795,332012,-8191,349890,-475558,- -,- -
81,Other Working Capital,- -,- -,- -,-141948,-279114,-441459,-627980,-895515,-995244,703477,624539,1347846,325836,11657615,127874,-17207127,-460180,-2330597,3885998,1950675,-2646903,26249545
82,Other Non-Cash Items,111175,-360192,2063881,1661827,565041,325831,374191,836134,200564,-2354373,244519,-1024826,1943777,-16202221,16501481,1311969,-35197244,1052402,4655957,-94931,4818531,-28918977
83,Cash Provided by Operating Activities,-2123314,-325612,1700633,1424509,-27845,-59,-51,-136,-94,-320921,64893,323218,-1020758,-4120152,-6290997,-9286758,-7315987,-2823445,-202607,-3535241,-2288914,-3528205
84,CAPEX,-109806,- -,-19617,- -,-307281,- -,- -,- -,- -,- -,- -,-32467,-9318,-14779,-560410,-214766,-50299,-192885,-245593,-57866,-114078,-56418
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1262611,-2910612,- -,-3250000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59143,- -,- -,- -
88,Other Investing Activites,-95191,103460,-576146,-801163,-282749,- -,- -,- -,- -,- -,- -,- -,- -,- -,-517095,447095,-251605,-50000,-698257,159620,-50539,-30904
89,Cash Used for Investing Activites,-204997,278460,-595763,-801163,-282749,- -,- -,- -,- -,- -,- -,-32467,-9318,-14779,-1077505,-1010282,-3187516,-192885,-3964457,126754,-75202,-87322
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-679041,-736748,-5369015,-66389,-54461,-2112,-258891,-1652339,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9125103,- -,2941960,- -,- -,- -,- -,- -,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2627886,-68478,-1163440,-516021,-10736,- -,- -,- -,- -,10000,- -,- -,850000,2082675,2006229,39467892,-3278827,-2412290,3347238,131540,3416515,22186456
95,Cash Used/Provided by Financing Activities,2627886,-68478,-1163440,-516021,-10736,- -,- -,- -,- -,10000,- -,- -,850000,10528737,1269481,37040837,-3345216,-2466751,3345126,-127351,1764176,27186456
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,299575,-115630,-58570,107325,-321330,-59,-51,-136,- -,-310921,64893,290751,-180076,6393806,-6099021,26743797,-13848719,-5483081,-821938,-3535838,-599940,23570929
98,Cash at the End of Period,388545,272915,214345,321670,340,281,230,94,- -,841,65734,356485,176409,6570215,471194,27214991,13366272,7883191,7061253,3525415,2925475,26496404
99,Cash at the Beginning of Period,88970,388545,272915,214345,321670,340,281,230,94,311762,841,65734,356485,176409,6570215,471194,27214991,13366272,7883191,7061253,3525415,2925475
100,Free Cash Flow,-2233120,-325612,1681016,1424509,-335126,-59,-51,-136,-94,-320921,64893,290751,-1030076,-4134931,-6851407,-9501524,-7366286,-3016330,-448200,-3593107,-2402992,-3584623
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844856/000119312512134703/0001193125-12-134703-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312513134687/0001193125-13-134687-index.html,https://www.sec.gov/Archives/edgar/data/844856/000119312514069730/0001193125-14-069730-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000149315215001079/0001493152-15-001079-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104916013764/0001571049-16-013764-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000157104917002865/0001571049-17-002865-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390018002977/0001213900-18-002977-index.html,https://www.sec.gov/Archives/edgar/data/844856/000121390019004953/0001213900-19-004953-index.html,https://www.sec.gov/Archives/edgar/data/844856/000084485620000011/form10k.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485621000019/0000844856-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/844856/000084485622000019/0000844856-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
