,https://roic.ai/company/SBFM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79710,289847,- -,949006,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79710,289847,- -,949006,1900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1500,22739,14314,11404,3434,64367,38950,531003,1270306,274104,830848,1202324,833527,2000311,1991229
62,Preferred Stock,- -,- -,- -,73000,73000,- -,- -,- -,- -,50000,50000,50000,50000,50000,100000,- -
63,Common Stock,- -,9388,9388,29660,30691,48729,51416,60299,73551,198265,769400,918736,85652,35320,346418,2591
64,Retained Earnings,- -,-13122,-44227,-1201130,-1738512,-2294714,-3002666,-5494149,-7428359,-9081267,-12577954,-13618190,-15774345,-17434636,-20218727,-32655174
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-479,-2228,-9132,-57964,-37109,- -,- -
66,Other Total Stockholders Equity,- -,17129,17129,1196272,1831041,2348988,3021676,5426140,6967228,8236436,11551082,12085223,15640904,16651040,18817472,32864245
67,Total Stockholders Equity,- -,13395,-17710,97802,196220,103003,70426,-7710,-387580,-597045,-209700,-573363,-55753,-735385,-954837,211662
68,Total Liabilities And Stockholders Equity,- -,14895,5029,112116,207624,106437,134793,31240,143423,673261,64404,257485,1146571,98142,1045474,2202891
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,14895,5029,112116,207624,106437,134793,31240,143423,673261,64404,257485,1146571,98142,1045474,2202891
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402328/000135448812001221/0001354488-12-001221-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448813001224/0001354488-13-001224-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448814001275/0001354488-14-001275-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448815001081/0001354488-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448816006700/0001354488-16-006700-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402328/000165495418003495/0001654954-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000165495419004354/0001654954-19-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495420004731/0001654954-20-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495421003507/0001654954-21-003507-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000168316822001788/0001683168-22-001788-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-13122,-31105,-25015,-537382,-556202,-707952,-2491483,-1934210,-1652908,-3496687,-1040236,-2156155,-1660291,-2784091,-12436447
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,4251,60731,6629,49361,13774,14066,12741
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,237200,267385,272875,1246310,1258006,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,1500,-25015,140527,98418,-93217,-32577,-78136,-379870,-828817,1000753,-418295,-67026,-66876,742479,2129963
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15447,-430,-1486,-5882
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15910,-7861,-81879
80,Accounts Payable,- -,1500,3713,4759,-2910,-7970,-2839,23214,10957,92311,-18960,-8808,61629,-18692,-35012,-18156
81,Other Working Capital,- -,-17710,-42725,97802,196220,103003,70426,-7710,-387580,-1216397,-215644,-633939,-700965,-767841,-25362,2104601
82,Other Non-Cash Items,- -,8500,28587,-125737,-146561,84735,74600,758911,517479,1609830,2121021,908382,1661014,1217595,1370247,8464615
83,Cash Provided by Operating Activities,- -,-3122,-27533,-10225,-348325,-297299,-393054,-564398,-538595,-867644,-314182,-543520,-512806,-495798,-657299,-1829128
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-623603,-3439,-3718,-18850,-860,-1191,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618810,- -,-80290,4942,-14416,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-623603,-3439,-84008,-13908,-15276,-1191,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115000,-194184,-53000,-106600,- -
91,Common Stock Issued,- -,42000,- -,- -,398600,195600,402500,- -,153334,236550,104128,63912,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-23983,17000,6500,- -,- -,62500,463000,497444,1162072,220494,721793,721824,495255,1714853,2904675
95,Cash Used/Provided by Financing Activities,- -,18017,17000,6500,398600,195600,465000,463000,650778,1398622,324622,670705,527640,442255,1608253,2904675
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-346,6902,6758,-5896,-376,- -
97,Net Change In Cash,- -,- -,-10533,-3725,50275,-101699,71946,-101398,112183,-92625,6655,50079,7684,-74715,949387,1055279
98,Cash at the End of Period,- -,14895,4362,637,162391,60692,132638,31240,143423,50798,57453,107532,115216,40501,989888,2045167
99,Cash at the Beginning of Period,- -,- -,14895,4362,112116,162391,60692,132638,31240,143423,50798,57453,107532,115216,40501,989888
100,Free Cash Flow,- -,-3122,-27533,-10225,-348325,-297299,-393054,-564398,-538595,-1491247,-317621,-547238,-531656,-496658,-658490,-1829128
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402328/000135448812001221/0001354488-12-001221-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448813001224/0001354488-13-001224-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000135448814001275/0001354488-14-001275-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448815001081/0001354488-15-001081-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000135448816006700/0001354488-16-006700-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402328/000165495418003495/0001654954-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1402328/000165495419004354/0001654954-19-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495420004731/0001654954-20-004731-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000165495421003507/0001654954-21-003507-index.htm,https://www.sec.gov/Archives/edgar/data/1402328/000168316822001788/0001683168-22-001788-index.htm
102,false,,,,,,,,,,,,,,,,
