,https://roic.ai/company/ELMD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,6545324,8413023,9441697,16634058,16302037,12421329,10623318,12586997,15820776,18476272,22211947,24539031,28022539,31704000
38,PP&E,2275650,2731269,2688941,2807082,3170014,3743675,3935802,3635516,3375189,3303233,3091242,3604744,3788469,3605000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,183658,228783,1055776,- -,1174033,1081000,930451,999842,904033,721276,649103,581413,598389,663000
41,Intangible Assets,183658,228783,1055776,1235828,1174033,1081000,930451,999842,904033,721276,649103,581413,598389,663000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,360000,- -,- -,- -,- -,- -,- -,- -,343000,460000,594000,629000,755000,1049000
44,Other Non-Current Assets,30965,88023,956823,191964,274940,309823,302595,182699,144263,99868,91912,- -,80166,88000
45,Total Non-Current Assets,2850273,3048075,4701540,4234874,4618987,5134498,5168848,4818057,4766485,4584377,4426257,4815157,5222024,5405000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9395597,11461098,14143237,20868932,20921024,17555827,15792166,17405054,20587261,23060649,26638204,29354188,33244563,37109000
48,Accounts Payable,339278,426320,1239827,733621,749985,643681,380582,538518,589225,663376,810644,586575,555510,685000
49,Short-Term Debt,370984,392251,2166014,2206395,2022148,57540,46375,48749,46309,50703,1101043,- -,- -,- -
50,Tax Payable,- -,334031,7789,- -,- -,- -,- -,122657,- -,156524,397390,288511,- -,288000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1916909,1279289,1096457,1473491,1398553,1492290,1393522,1692010,2436992,2181895,2831485,3033627,2430870,3954000
53,Total Current Liabilities,2627171,2097860,4502298,4413507,4170686,2193511,1820479,2279277,3072526,2895974,4743172,3620202,2986380,4639000
54,Long-Term Debt,2727407,3167496,2033325,1582102,1390003,1332455,1251192,1202446,1156139,1097125,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,137000,145000,167000,280000,103000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8868,54000
58,Total Non-Current Liabilities,2727407,3304496,2178325,1749102,1670003,1435455,1251192,1202446,1156139,1097125,- -,- -,8868,54000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5354578,5402356,6680623,6162609,5840689,3628966,3071671,3481723,4228665,3993099,4743172,3620202,2995248,4693000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,58809,60472,61879,81005,81143,81143,81143,81339,81871,82302,82887,84084,85678,85000
64,Retained Earnings,-1451371,-118465,797873,1853450,2040056,710780,-577814,514672,2727174,4956646,6859042,9522076,13683503,14922000
65,Other Comprehensive Income/Loss,-757000,-737000,-1028059,- -,-1602000,-1968000,-2351000,-2628000,-3022000,-3240000,-3740000,-3928000,-4417000,- -
66,Other Total Stockholders Equity,6185923,6847136,7630921,- -,14561136,15102938,15568166,15955320,16571551,17268602,18693103,20055826,20897134,17409000
67,Total Stockholders Equity,4036361,6052143,7462614,14706323,15080335,13926861,12720495,13923331,16358596,19067550,21895032,25733986,30249315,32416000
68,Total Liabilities And Stockholders Equity,9390939,11454499,14143237,20868932,20921024,17555827,15792166,17405054,20587261,23060649,26638204,29354188,33244563,37109000
69,Minority Interest,4658,6599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9395597,11461098,14143237,20868932,20921024,17555827,15792166,17405054,20587261,23060649,26638204,29354188,33244563,37109000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1488917/000089710112001630/0000897101-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710113001368/0000897101-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710114001338/0000897101-14-001338-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710115001220/0000897101-15-001220-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710116002894/0000897101-16-002894-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710117001106/0000897101-17-001106-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710118000907/0000897101-18-000907-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710119000806/a191725_10k.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710120000703/0000897101-20-000703-index.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710121000726/0000897101-21-000726-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,267852,1332906,916338,1055577,186606,-1329276,-1288594,1092486,2212502,2229472,1902396,1969218,4161439,2362000
74,Depreciation and Amortization,268395,318945,351748,449470,532626,589864,695546,736215,738702,755127,790027,925227,738230,610000
75,Deferred Income Tax,-459000,299000,-149000,-186000,179000,-78000,454000,- -,-343000,-117000,-134000,-265000,-126000,-294000
76,Stock Based Compensation,67860,153233,168895,156169,135605,175802,82228,110350,222763,479482,862674,924071,901932,1024000
77,Change in Working Capital,-172282,2397010,-1375764,7281152,-89200,-1903533,-1424979,1504881,2440530,2832048,1888477,3450054,4117330,2028841
78,Accounts Receivable,-629650,-2418665,-228856,-3016103,-1257754,1836816,2526776,-31549,-1092621,-2338322,-1613449,-948734,-180635,-4091000
79,Inventory,-259361,-329181,-292086,-385182,-536459,1012822,-855902,163388,-347623,-28334,234594,-106174,-449335,971000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555992,-2564,-472589,1284000
81,Other Working Capital,3918153,6315163,4939399,12220551,12131351,10227818,8802839,10307720,12748250,15580298,17468775,20918829,25036159,27065000
82,Other Non-Cash Items,270333,-5658800,695720,-10171472,-2116414,4421800,3544460,-662718,-3104594,-4988008,-2867374,-4413696,-5596483,-2653841
83,Cash Provided by Operating Activities,243158,-1157706,607937,-1415104,-1171777,1876657,2062661,2781214,2166903,1191121,2442200,2589874,4196448,3077000
84,CAPEX,-611858,-710624,-784121,-1125525,-853751,-1053372,-935799,-624507,-579521,-687148,-571777,-1388388,-977196,-448000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-79741,-63604,-639505,-644398,-57201,-36748,-40622,-101322,-44577,-68385,-45550,-56040,-132970,-161000
89,Cash Used for Investing Activites,-645631,-712320,-909121,-1110713,-848751,-1053372,-935799,-624507,-579521,-687148,-571777,-1386638,-977196,-448000
90,Debt Repayment,-2004835,-641409,-3648744,-435968,-409264,-2022156,-1392428,-46372,-48747,-48747,-50700,-1103001,- -,- -
91,Common Stock Issued,689405,364004,390832,6363713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-6360,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1124000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2192808,1074082,3807907,79084,40488,- -,1264704,-14797,-13520,-4872,62412,251849,-548030,-95000
95,Cash Used/Provided by Financing Activities,877378,790317,549995,6006829,-368776,-2022156,-127724,-61169,-62267,-53619,11712,-851152,-548030,-1219000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,474905,-1079709,248811,3481012,-2389304,-1198871,999138,2095538,1525115,450354,1882135,352084,2671222,1410000
98,Cash at the End of Period,1441625,361916,610727,4091739,1702435,503564,1502702,3598240,5123355,5573709,7455844,7807928,10479150,11889000
99,Cash at the Beginning of Period,966720,1441625,361916,610727,4091739,1702435,503564,1502702,3598240,5123355,5573709,7455844,7807928,10479000
100,Free Cash Flow,-368700,-1868330,-176184,-2540629,-2025528,823285,1126862,2156707,1587382,503973,1870423,1201486,3219252,2629000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1488917/000089710112001630/0000897101-12-001630-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710113001368/0000897101-13-001368-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710114001338/0000897101-14-001338-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710115001220/0000897101-15-001220-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710116002894/0000897101-16-002894-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710117001106/0000897101-17-001106-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710118000907/0000897101-18-000907-index.html,https://www.sec.gov/Archives/edgar/data/1488917/000089710119000806/a191725_10k.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710120000703/0000897101-20-000703-index.htm,https://www.sec.gov/Archives/edgar/data/1488917/000089710121000726/0000897101-21-000726-index.htm
102,false,,,,,,,,,,,,,,
