,https://roic.ai/company/ABB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4387000000,4178000000,3049000000,2987000000,3434000000,2226000000,1938000000,1593000000,5718000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1048,0.1049,0.0859,0.0883,0.1001,0.0805,0.0693,0.0610,0.1975
19,Total Other Income Expenses (Gains),-195000000,149000000,-410000000,-272000000,-681000000,-272000000,-194000000,-4000000,17000000,-600000000,-6000000,-78000000,-117000000,-320000000,-321000000,-282000000,-209000000,-188000000,-203000000,-107000000,-76000000,-752000000,69000000
20,Income Before Tax,1022000000,1258000000,-25000000,180000000,164000000,861000000,1496000000,2433000000,4010000000,4518000000,4120000000,3740000000,4550000000,3838000000,4066000000,3896000000,2840000000,2799000000,3231000000,2119000000,1862000000,841000000,5787000000
21,Income Before Tax Ratio,0.0420,0.0548,-0.0011,0.0098,0.0087,0.0416,0.0667,0.0997,0.1374,0.1294,0.1296,0.1184,0.1198,0.0976,0.0972,0.0978,0.0800,0.0827,0.0942,0.0766,0.0666,0.0322,0.1999
22,Income Tax expense (Gain),343000000,377000000,105000000,83000000,78000000,311000000,482000000,697000000,595000000,1119000000,1001000000,1018000000,1244000000,1030000000,1122000000,1202000000,788000000,781000000,860000000,544000000,772000000,496000000,1057000000
23,Net Income,1360000000,1443000000,-691000000,-783000000,-767000000,-35000000,735000000,1390000000,3757000000,3118000000,2901000000,2561000000,3168000000,2704000000,2787000000,2594000000,1933000000,1899000000,2213000000,2173000000,1439000000,5146000000,4546000000
24,Net Income ratio,0.0558,0.0628,-0.0291,-0.0428,-0.0408,-0.0017,0.0328,0.0569,0.1287,0.0893,0.0912,0.0811,0.0834,0.0687,0.0666,0.0651,0.0545,0.0561,0.0645,0.0786,0.0514,0.1969,0.1571
25,EPS,0.29,0.31,-0.61,-0.70,-0.63,-0.02,0.36,0.65,1.66,1.36,1.27,1.12,1.38,1.18,1.21,1.13,0.87,0.91,1.04,1.02,0.67,2.44,2.15
26,EPS Diluted,0.29,0.30,-0.61,-0.83,-0.63,-0.02,0.36,0.63,1.63,1.36,1.27,1.12,1.38,1.18,1.21,1.13,0.87,0.91,1.03,1.02,0.67,2.43,2.15
27,Weighted Average Shares Outstanding,4736000000,4720000000,1132000000,1118571429,1171000000,1750000000,2041666667,2138461538,2263253012,2287000000,2284000000,2287000000,2288000000,2293000000,2297000000,2288000000,2226000000,2151000000,2138000000,2132000000,2133000000,2111000000,2111000000
28,Weighted Average Shares Outstanding Diluted,4752000000,4736000000,1135000000,1118571429,1171000000,1750000000,2041666667,2206349206,2304907975,2287000000,2288000000,2291000000,2291000000,2295000000,2305000000,2295000000,2230000000,2154000000,2148000000,2139000000,2135000000,2119000000,2119000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091587/000104746905016038/0001047469-05-016038-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465906025947/0001104659-06-025947-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465907029222/0001104659-07-029222-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746908003093/0001047469-08-003093-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746909002416/0001047469-09-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746910002469/0001047469-10-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746911002277/0001047469-11-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746912002737/0001047469-12-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746913002744/0001047469-13-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746914001945/0001047469-14-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746915001710/0001047469-15-001710-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746916010413/0001047469-16-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465917015892/0001104659-17-015892-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465918011480/0001104659-18-011480-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000141057819000158/0001410578-19-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465920024879/0001104659-20-024879-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1615000000,1397000000,2767000000,2478000000,4669000000,3676000000,3226000000,4262000000,4650000000,6399000000,7119000000,5897000000,4819000000,6875000000,6021000000,5443000000,4565000000,3644000000,4526000000,3445000000,3544000000,3278000000,4159000000
32,Short-Term Investments,4771000000,4209000000,2946000000,2135000000,473000000,524000000,368000000,528000000,3460000000,1407000000,2433000000,2713000000,948000000,1606000000,464000000,1325000000,1633000000,1953000000,1102000000,712000000,566000000,2108000000,1170000000
33,Cash and Short-Term Investments,6386000000,5606000000,5713000000,4613000000,5142000000,4200000000,3594000000,4790000000,8110000000,7806000000,9552000000,8610000000,5767000000,8481000000,6485000000,6768000000,6198000000,5597000000,5628000000,4157000000,4110000000,5386000000,5329000000
34,Net Receivables,7804000000,8328000000,8368000000,7175000000,5337000000,6330000000,6515000000,7276000000,8582000000,9245000000,9451000000,9970000000,10773000000,11575000000,12146000000,11078000000,10061000000,9696000000,10416000000,7468000000,7459000000,7805000000,7541000000
35,Inventory,3265000000,3192000000,3075000000,2377000000,2605000000,2977000000,3074000000,3880000000,4863000000,5306000000,4550000000,4878000000,5737000000,6182000000,6004000000,5376000000,4757000000,4347000000,5059000000,4284000000,4184000000,4469000000,4880000000
36,Other Current Assets,1602000000,1585000000,2358000000,5790000000,8429000000,1843000000,965000000,1231000000,1590000000,1990000000,1676000000,1890000000,1510000000,1764000000,1790000000,1764000000,1744000000,2300000000,836000000,5956000000,10705000000,1566000000,945000000
37,Total Current Assets,19057000000,18711000000,19514000000,19955000000,21513000000,15350000000,14148000000,17177000000,23145000000,24347000000,25229000000,25348000000,23787000000,28002000000,26425000000,24986000000,22760000000,21940000000,21939000000,21865000000,26458000000,19226000000,18695000000
38,PP&E,3813000000,3243000000,3003000000,2792000000,2840000000,2981000000,2565000000,2811000000,3246000000,3562000000,4072000000,4356000000,4922000000,5947000000,6254000000,5652000000,5276000000,4743000000,5363000000,4133000000,4966000000,5143000000,4940000000
39,Goodwill,- -,- -,- -,- -,2331000000,- -,- -,2581000000,2421000000,2817000000,3026000000,4085000000,7269000000,10226000000,10670000000,10053000000,9671000000,9501000000,11199000000,10764000000,10825000000,10850000000,10482000000
40,Intangible Assets,- -,3155000000,3299000000,2912000000,549000000,3095000000,2828000000,309000000,270000000,411000000,443000000,701000000,2253000000,3501000000,3297000000,2702000000,2337000000,1996000000,2622000000,2607000000,2252000000,2078000000,1561000000
41,Intangible Assets,2904000000,3155000000,3299000000,2912000000,2880000000,3095000000,2828000000,2890000000,2691000000,3228000000,3469000000,4786000000,9522000000,13727000000,13967000000,12755000000,12008000000,11497000000,13821000000,13371000000,13077000000,12928000000,12043000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,19000000,156000000,558000000,269000000,242000000,236000000,227000000,237000000,87000000,33000000,1784000000,1670000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,628000000,523000000,862000000,1190000000,1052000000,846000000,318000000,334000000,370000000,511000000,423000000,527000000,1250000000,1006000000,910000000,843000000,1177000000
44,Other Non-Current Assets,4804000000,5853000000,6528000000,3874000000,3180000000,3251000000,2107000000,1741000000,1057000000,854000000,857000000,940000000,943000000,502000000,779000000,732000000,653000000,565000000,652000000,3979000000,664000000,1164000000,1735000000
45,Total Non-Current Assets,11521000000,12251000000,12830000000,9578000000,8900000000,9327000000,8128000000,7965000000,7856000000,8834000000,9499000000,10947000000,15861000000,21068000000,21639000000,19892000000,18596000000,17559000000,21323000000,22576000000,19650000000,21862000000,21565000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30578000000,30962000000,32344000000,29533000000,30413000000,24677000000,22276000000,25142000000,31001000000,33181000000,34728000000,36295000000,39648000000,49070000000,48064000000,44878000000,41356000000,39499000000,43262000000,44441000000,46108000000,41088000000,40260000000
48,Accounts Payable,5880000000,5738000000,6701000000,5135000000,4375000000,5709000000,4493000000,5120000000,6285000000,6967000000,5179000000,4555000000,4789000000,4992000000,5112000000,4765000000,4342000000,4446000000,5419000000,4424000000,4353000000,4571000000,4921000000
49,Short-Term Debt,3367000000,3587000000,4747000000,2576000000,1597000000,633000000,169000000,122000000,536000000,354000000,161000000,1043000000,765000000,2537000000,453000000,353000000,1454000000,1003000000,738000000,2031000000,2592000000,1563000000,1614000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530000000,410000000,471000000,564000000,511000000,527000000,671000000,537000000,637000000,681000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1757000000,3972000000,3595000000,3248000000,3129000000,2786000000,2755000000,1743000000,1744000000,1903000000,1894000000
52,Other Current Liabilities,6635000000,6127000000,7587000000,10703000000,10240000000,6726000000,6944000000,7134000000,7658000000,8683000000,9239000000,11140000000,9250000000,7473000000,7515000000,7214000000,6919000000,7172000000,7361000000,10249000000,11577000000,7379000000,7139000000
53,Total Current Liabilities,15882000000,15452000000,19035000000,18414000000,16212000000,13068000000,11606000000,12376000000,14479000000,16004000000,14579000000,16738000000,16561000000,18974000000,16675000000,15580000000,15844000000,15407000000,16273000000,18447000000,20266000000,15416000000,15568000000
54,Long-Term Debt,3586000000,3776000000,5043000000,5376000000,6290000000,4901000000,3933000000,3160000000,2138000000,2009000000,2172000000,1139000000,3231000000,7534000000,7570000000,7338000000,5985000000,5800000000,6709000000,6587000000,6772000000,4828000000,4866000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,57000000,89000000,85000000,80000000,82000000,12000000,7000000,- -,- -
56,Deferred Tax Liabilities,1656000000,1528000000,1360000000,1166000000,969000000,953000000,692000000,769000000,407000000,425000000,328000000,411000000,537000000,1260000000,1265000000,1165000000,965000000,957000000,1099000000,927000000,911000000,661000000,685000000
57,Other Non-Current Liabilities,4866000000,4714000000,4677000000,3306000000,3631000000,2634000000,2221000000,2348000000,2428000000,2973000000,3176000000,2549000000,2983000000,3808000000,3289000000,3891000000,3489000000,3358000000,3750000000,3934000000,4172000000,4184000000,3184000000
58,Total Non-Current Liabilities,10108000000,10018000000,11080000000,9848000000,10890000000,8488000000,6846000000,6277000000,4973000000,5407000000,5676000000,4099000000,6751000000,12650000000,12181000000,12483000000,10524000000,10195000000,11640000000,11460000000,11862000000,9673000000,8735000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1022000000,1001000000,919000000
61,Total Liabilities,25990000000,25470000000,30115000000,28262000000,27102000000,21556000000,18452000000,18653000000,19452000000,21411000000,20255000000,20837000000,23312000000,31624000000,28856000000,28063000000,26368000000,25602000000,27913000000,29907000000,32128000000,25089000000,24303000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2071000000,2082000000,2028000000,2027000000,3067000000,3083000000,3121000000,4514000000,5634000000,4695000000,3943000000,1454000000,1621000000,1691000000,1750000000,1777000000,1444000000,216000000,188000000,188000000,188000000,188000000,178000000
64,Retained Earnings,3716000000,4628000000,3435000000,2614000000,1847000000,1725000000,2460000000,3647000000,6955000000,10073000000,12828000000,15389000000,16988000000,18066000000,19186000000,19939000000,20476000000,19925000000,19594000000,19839000000,19640000000,22946000000,22477000000
65,Other Comprehensive Income/Loss,- -,-4083000000,-4022000000,-1878000000,-1750000000,-1846000000,-1962000000,-2019000000,-1330000000,-2710000000,-2084000000,-1517000000,-2408000000,-2523000000,-2012000000,-4241000000,-4858000000,-5187000000,-4345000000,-5311000000,-5590000000,-4002000000,-4088000000
66,Other Total Stockholders Equity,- -,2865000000,788000000,-1750000000,-138000000,-138000000,-136000000,-104000000,-302000000,-900000000,-897000000,-441000000,-424000000,-328000000,-246000000,-1206000000,-2581000000,-1559000000,-618000000,-764000000,-712000000,-3447000000,- -
67,Total Stockholders Equity,4588000000,5492000000,2229000000,1013000000,3026000000,2824000000,3483000000,6038000000,10957000000,11158000000,13790000000,14885000000,15777000000,16906000000,18678000000,16269000000,14481000000,13395000000,14819000000,13952000000,13526000000,15685000000,15579000000
68,Total Liabilities And Stockholders Equity,30578000000,30962000000,32344000000,29275000000,30128000000,24380000000,21935000000,24691000000,30409000000,32569000000,34045000000,35722000000,39089000000,48530000000,47534000000,44332000000,40849000000,38997000000,42732000000,43859000000,45654000000,40774000000,39882000000
69,Minority Interest,- -,- -,- -,258000000,285000000,297000000,341000000,451000000,592000000,612000000,683000000,573000000,559000000,540000000,530000000,546000000,507000000,502000000,530000000,582000000,454000000,314000000,378000000
70,Total Liabilities & Equity,30578000000,30962000000,32344000000,29533000000,30413000000,24677000000,22276000000,25142000000,31001000000,33181000000,34728000000,36295000000,39648000000,49070000000,48064000000,44878000000,41356000000,39499000000,43262000000,44441000000,46108000000,41088000000,40260000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091587/000104746905016038/0001047469-05-016038-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465906025947/0001104659-06-025947-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465907029222/0001104659-07-029222-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746908003093/0001047469-08-003093-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746909002416/0001047469-09-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746910002469/0001047469-10-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746911002277/0001047469-11-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746912002737/0001047469-12-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746913002744/0001047469-13-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746914001945/0001047469-14-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746915001710/0001047469-15-001710-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746916010413/0001047469-16-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465917015892/0001104659-17-015892-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465918011480/0001104659-18-011480-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000141057819000158/0001410578-19-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465920024879/0001104659-20-024879-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1360000000,1443000000,-691000000,-783000000,-767000000,-35000000,735000000,1390000000,3757000000,3118000000,2901000000,2561000000,3168000000,2704000000,2787000000,2594000000,1933000000,1899000000,2213000000,2173000000,1439000000,5146000000,4546000000
74,Depreciation and Amortization,795000000,836000000,787000000,611000000,585000000,633000000,597000000,570000000,602000000,661000000,655000000,702000000,995000000,1182000000,1318000000,1305000000,1160000000,1135000000,1101000000,916000000,961000000,915000000,893000000
75,Deferred Income Tax,10000000,102000000,-89000000,-140000000,50000000,3000000,38000000,113000000,-351000000,-199000000,-56000000,151000000,-34000000,64000000,-137000000,65000000,-219000000,-147000000,-205000000,-142000000,-83000000,-280000000,-289000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54000000,58000000,50000000,46000000,44000000,- -
77,Change in Working Capital,411000000,-301000000,1493000000,418000000,253000000,20000000,-889000000,-571000000,-267000000,-94000000,339000000,599000000,-675000000,-411000000,-518000000,189000000,658000000,673000000,718000000,50000000,-372000000,352000000,308000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000000,-407000000,-731000000,-310000000,-571000000,-12000000,162000000,10000000,-80000000,-144000000,-202000000,-100000000,-142000000
79,Inventory,-7000000,-136000000,-106000000,367000000,241000000,-74000000,-328000000,-512000000,-551000000,-800000000,1130000000,-264000000,-600000000,61000000,324000000,-176000000,105000000,115000000,-55000000,-336000000,-182000000,196000000,-771000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,678000000,213000000,-57000000,-43000000,257000000,-112000000,340000000,599000000,454000000,130000000,-13000000,659000000
81,Other Working Capital,313000000,- -,- -,-1153000000,- -,274000000,304000000,-314000000,81000000,781000000,-67000000,597000000,637000000,-105000000,-228000000,111000000,527000000,128000000,142000000,-176000000,-42000000,361000000,108000000
82,Other Non-Cash Items,-1001000000,-109000000,483000000,-50000000,-282000000,649000000,540000000,441000000,-648000000,498000000,188000000,184000000,158000000,240000000,203000000,-308000000,286000000,229000000,-86000000,-123000000,334000000,-4484000000,-2128000000
83,Cash Provided by Operating Activities,1575000000,1971000000,1983000000,56000000,-161000000,1270000000,1021000000,1943000000,3093000000,3984000000,4027000000,4197000000,3612000000,3779000000,3653000000,3845000000,3818000000,3843000000,3799000000,2924000000,2325000000,1693000000,3330000000
84,CAPEX,-839000000,-553000000,-761000000,-602000000,-547000000,-543000000,-456000000,-536000000,-756000000,-1171000000,-967000000,-840000000,-1021000000,-1293000000,-1106000000,-1026000000,-876000000,-831000000,-949000000,-772000000,-762000000,-694000000,-820000000
85,Acquisitions Net,-1364000000,-893000000,-578000000,-144000000,-55000000,-24000000,-124000000,24000000,1088000000,-607000000,-193000000,-1230000000,-4012000000,-3694000000,-852000000,1040000000,13000000,-27000000,-1523000000,-2551000000,47000000,-257000000,2717000000
86,Purchases of Investments,-973000000,-2239000000,-3280000000,-4377000000,-2781000000,-2877000000,-1915000000,-4743000000,-10115000000,-3626000000,-4985000000,-5621000000,-2951000000,-2355000000,-556000000,-2895000000,-2539000000,-4306000000,-705000000,-352000000,-748000000,-5933000000,-1649000000
87,Sales/Maturities of Investments,1307000000,2292000000,3873000000,4525000000,3049000000,2317000000,1833000000,4366000000,7361000000,5417000000,3917000000,4904000000,4729000000,1682000000,1532000000,1895000000,2109000000,3837000000,1559000000,727000000,829000000,4352000000,2353000000
88,Other Investing Activites,-167000000,-320000000,-472000000,3249000000,1088000000,1481000000,346000000,195000000,131000000,101000000,8000000,40000000,2000000,85000000,265000000,-135000000,319000000,22000000,168000000,-137000000,-181000000,9292000000,-294000000
89,Cash Used for Investing Activites,-2036000000,-1713000000,-1218000000,2651000000,754000000,354000000,-316000000,-694000000,-2291000000,114000000,-2220000000,-2747000000,-3253000000,-5575000000,-717000000,-1121000000,-974000000,-1305000000,-1450000000,-3085000000,-815000000,6760000000,2307000000
90,Debt Repayment,-4478000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-764000000,-445000000,-2126000000,-1104000000,-2590000000,-193000000,-101000000,-1401000000,-1007000000,-830000000,-2156000000,-4046000000,-1538000000
91,Common Stock Issued,- -,244000000,- -,- -,2675000000,- -,35000000,47000000,241000000,49000000,89000000,16000000,110000000,90000000,74000000,38000000,107000000,192000000,163000000,42000000,10000000,412000000,826000000
92,Common Stock Repurchased,- -,- -,-1393000000,- -,- -,-36000000,- -,- -,-199000000,-621000000,- -,-166000000,- -,- -,- -,-1003000000,-1879000000,-2909000000,-251000000,-250000000,- -,-3048000000,-3708000000
93,Dividends Paid,-503000000,-531000000,-502000000,- -,- -,- -,- -,-203000000,-449000000,-1060000000,-1220000000,-1305000000,-1569000000,-1626000000,-1667000000,-1841000000,-1357000000,- -,-1635000000,-1717000000,-1675000000,-1736000000,-1726000000
94,Other Financing Activites,3794000000,-105000000,2572000000,-2812000000,-1084000000,-2769000000,-931000000,-236000000,-218000000,-487000000,594000000,-630000000,2377000000,6402000000,327000000,-25000000,-150000000,763000000,995000000,1966000000,2438000000,243000000,1178000000
95,Cash Used/Provided by Financing Activities,-1187000000,-392000000,677000000,-2812000000,1591000000,-2805000000,-896000000,-392000000,-625000000,-2119000000,-1301000000,-2530000000,-1208000000,3762000000,-3856000000,-3024000000,-3380000000,-3355000000,-1735000000,-789000000,-1383000000,-8175000000,-4968000000
96,Effect of Forex Changes on Cash,-100000000,-84000000,-72000000,141000000,149000000,74000000,-259000000,184000000,275000000,-230000000,214000000,-142000000,-229000000,90000000,66000000,-278000000,-342000000,-104000000,268000000,-131000000,-28000000,79000000,-81000000
97,Net Change In Cash,-1025000000,-218000000,1370000000,36000000,2333000000,-1107000000,-450000000,1041000000,452000000,1749000000,720000000,-1222000000,-1078000000,2056000000,-854000000,-578000000,-878000000,-921000000,882000000,-1081000000,99000000,357000000,588000000
98,Cash at the End of Period,1615000000,1397000000,2767000000,2478000000,4669000000,3676000000,3226000000,4262000000,4650000000,6399000000,7119000000,5897000000,4819000000,6875000000,6021000000,5443000000,4565000000,3644000000,4526000000,3445000000,3544000000,3901000000,4489000000
99,Cash at the Beginning of Period,2640000000,1615000000,1397000000,2442000000,2336000000,4783000000,3676000000,3221000000,4198000000,4650000000,6399000000,7119000000,5897000000,4819000000,6875000000,6021000000,5443000000,4565000000,3644000000,4526000000,3445000000,3544000000,3901000000
100,Free Cash Flow,736000000,1418000000,1222000000,-546000000,-708000000,727000000,565000000,1407000000,2337000000,2813000000,3060000000,3357000000,2591000000,2486000000,2547000000,2819000000,2942000000,3012000000,2850000000,2152000000,1563000000,999000000,2510000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091587/000104746905016038/0001047469-05-016038-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465906025947/0001104659-06-025947-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465907029222/0001104659-07-029222-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746908003093/0001047469-08-003093-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746909002416/0001047469-09-002416-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746910002469/0001047469-10-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746911002277/0001047469-11-002277-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746912002737/0001047469-12-002737-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746913002744/0001047469-13-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746914001945/0001047469-14-001945-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746915001710/0001047469-15-001710-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000104746916010413/0001047469-16-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465917015892/0001104659-17-015892-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465918011480/0001104659-18-011480-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000141057819000158/0001410578-19-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1091587/000110465920024879/0001104659-20-024879-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
