,https://roic.ai/company/BHC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0180,0.1676,0.1262,0.3539,0.4551,0.4353,0.4278,0.4217,0.4314,0.1704,0.0206,0.1198,0.1649,0.2144,0.2231,0.1639,0.2208,-0.0932,0.1218,0.0225,-0.0710,0.2468,0.1462,-0.0585,0.0117,-0.2845,-0.0236,0.0842,0.0534
19,Total Other Income Expenses (Gains),4300000,7000000,3500000,-100000,-400000,-1700000,-8800000,-205469000,-148905000,-24989000,-48201000,-44492000,-32117000,-7249000,20725000,2795000,-6199000,-126178000,-317959000,-473913000,-904950000,-947100000,-1682700000,-1869000000,-1843000000,-1770000000,-1634000000,-1610000000,-1474000000
20,Income Before Tax,4100000,9900000,6100000,23400000,37100000,47400000,66700000,-75077000,102733000,109295000,-31265000,61697000,122152000,222285000,208739000,126904000,174955000,-236263000,-18000000,-394228000,-1314452000,1092600000,-155300000,-2435000000,-1741000000,-4154000000,-1837000000,-934000000,-1024000000
21,Income Before Tax Ratio,0.3694,0.5723,0.2961,0.3524,0.4502,0.4202,0.3779,-0.2428,0.1761,0.1387,-0.0380,0.0696,0.1306,0.2077,0.2477,0.1676,0.2132,-0.2000,-0.0073,-0.1112,-0.2278,0.1322,-0.0149,-0.2517,-0.1996,-0.4957,-0.2136,-0.1164,-0.1214
22,Income Tax expense (Gain),200000,400000,200000,700000,1900000,2000000,4200000,9360000,15285000,21500000,-4000000,8950000,22550000,14499000,13200000,-73000000,-1500000,-28070000,-177559000,-278203000,-450783000,180400000,132500000,-27000000,-4145000000,-10000000,-54000000,-375000000,-87000000
23,Net Income,3900000,9500000,5900000,22700000,35200000,45400000,62500000,-147976000,87448000,87795000,-27265000,52747000,89027000,203938000,195539000,199904000,176455000,-208193000,159559000,-116025000,-866142000,913500000,-291700000,-2409000000,2404000000,-4148000000,-1788000000,-560000000,-948000000
24,Net Income ratio,0.3514,0.5491,0.2864,0.3419,0.4272,0.4025,0.3541,-0.4786,0.1499,0.1114,-0.0331,0.0595,0.0952,0.1905,0.2320,0.2640,0.2151,-0.1762,0.0648,-0.0327,-0.1501,0.1105,-0.0279,-0.2490,0.2756,-0.4950,-0.2079,-0.0698,-0.1124
25,EPS,-0.04,0.02,0.06,0.23,0.34,0.42,0.61,0.63,0.64,0.58,-0.17,1.01,1.48,1.27,1.22,1.25,1.11,-1.06,0.52,-0.38,-2.70,2.72,-0.84,-6.94,6.86,-11.86,-5.08,-1.58,-2.67
26,EPS Diluted,-0.04,0.02,0.06,0.23,0.34,0.42,0.61,0.57,0.58,0.55,-0.17,1.01,0.56,1.27,1.22,1.25,1.11,-1.06,0.49,-0.38,-2.70,2.67,-0.84,-6.94,6.83,-11.86,-5.08,-1.58,-2.65
27,Weighted Average Shares Outstanding,89116000,75833333,99972000,101512000,102424000,106564000,102542000,128824000,136928000,151960000,158516000,159115000,159433000,160060000,160839000,159730000,158236000,195808000,304655000,305446000,320996000,335400000,347300000,347300000,350200000,349871102,352100000,355000000,355000000
28,Weighted Average Shares Outstanding Diluted,89116000,75833333,99972000,101512000,102424000,106564000,102542000,143512000,150690000,160463000,158516000,159258000,159681000,160078000,160875000,159730000,158510000,195808000,326119000,305446000,320996000,341500000,347300000,347300000,351800000,349871102,357200000,358200000,358200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885590/000104746910001559/0001047469-10-001559-index.htm,https://www.sec.gov/Archives/edgar/data/885590/000104746911001555/a2202280z10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000104746912001906/0001047469-12-001906-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559013000014/0000885590-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559014000025/valeant2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559015000015/valeant2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559016000101/valeant2015form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/0000885590-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559018000017/0000885590-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559019000006/0000885590-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559020000006/0000885590-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559021000011/0000885590-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559022000010/0000885590-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,2800000,24300000,4500000,8300000,78300000,178100000,125144000,434891000,56080000,133261000,34324000,445289000,834499000,433641000,317547000,114463000,394269000,164111000,916091000,600340000,322600000,597300000,542000000,720000000,721000000,3243000000,605000000,582000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,65900000,- -,- -,- -,- -,5020000,511000,- -,3895000,997000,9566000,6083000,6338000,4410000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,2800000,24300000,4500000,8300000,78300000,244000000,125144000,434891000,56080000,133261000,39344000,445800000,834499000,437536000,318544000,124029000,400352000,170449000,920501000,600340000,322600000,597300000,542000000,720000000,721000000,3243000000,605000000,582000000
34,Net Receivables,2900000,5300000,6400000,10400000,33100000,42800000,60600000,105850000,96556000,190980000,179374000,148762000,132699000,129241000,174056000,90863000,119919000,283062000,577501000,913835000,1814769000,2075800000,2686900000,2517000000,2130000000,1865000000,1839000000,1577000000,1775000000
35,Inventory,- -,500000,3900000,8100000,16600000,10500000,12700000,24108000,38506000,53047000,84058000,110154000,89473000,78777000,80745000,59561000,82773000,229582000,355212000,531256000,882966000,950600000,1256600000,1061000000,1048000000,934000000,1107000000,1094000000,993000000
36,Other Current Assets,1200000,100000,100000,3600000,5000000,6300000,23100000,5347000,6643000,21524000,15759000,16395000,16816000,15054000,14680000,21396000,23919000,107170000,254344000,411859000,587814000,844100000,966400000,957000000,848000000,691000000,780000000,2066000000,2257000000
37,Total Current Assets,6800000,8700000,34700000,26600000,63000000,137900000,340400000,260449000,576596000,321631000,412452000,314655000,684788000,1057571000,707017000,490364000,350640000,1020166000,1357506000,2777451000,3885889000,4193100000,5507200000,5077000000,4746000000,4211000000,6969000000,5342000000,5607000000
38,PP&E,14400000,14200000,19900000,24900000,24200000,23700000,45300000,52541000,85581000,136784000,173804000,186556000,199567000,211968000,238457000,148269000,103848000,281752000,414242000,462724000,1234236000,1310500000,1441800000,1312000000,1403000000,1353000000,1466000000,1567000000,1598000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102909000,100289000,100294000,100294000,100294000,3001376000,3598786000,5141366000,9752100000,9346400000,18552800000,15794000000,15593000000,13142000000,13126000000,13044000000,12457000000
40,Intangible Assets,1100000,2700000,3600000,3400000,3100000,3300000,38500000,770536000,652837000,1182715000,1150289000,1399261000,1085397000,697611000,630514000,720372000,1335222000,6372780000,7657798000,9308669000,12848160000,11255900000,23083000000,18884000000,15211000000,12001000000,10201000000,8445000000,6948000000
41,Intangible Assets,1100000,2700000,3600000,3400000,3100000,3300000,38500000,770536000,652837000,1182715000,1150289000,1399261000,1188306000,797900000,730808000,820666000,1435516000,9374156000,11256584000,14450035000,22600260000,20602300000,41635800000,34678000000,30804000000,25143000000,23327000000,21489000000,19405000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,62000000,49000000,22000000,11516000,2083000,- -,7167000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57288000,- -,20700000,116800000,132800000,80085000,54681000,76422000,54942000,54000000,156000000,146000000,433000000,1676000000,1690000000,2137000000,2252000000
44,Other Non-Current Assets,1000000,- -,2700000,3700000,3400000,35000000,210900000,23741000,16469000,192674000,186229000,111708000,-14856000,45565000,36133000,25466000,32724000,36875000,58700000,176580000,195470000,193100000,223700000,2316000000,111000000,109000000,411000000,664000000,340000000
45,Total Non-Current Assets,16500000,16900000,26200000,32000000,30700000,62000000,294700000,846818000,754887000,1512173000,1510322000,1697525000,1503305000,1117433000,1075098000,1133201000,1716404000,9774951000,11784207000,15172928000,24084908000,22159900000,43457300000,38452000000,32751000000,28281000000,26894000000,25857000000,23595000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23300000,25600000,60900000,58600000,93700000,199900000,635100000,1107267000,1331483000,1833804000,1922774000,2012180000,2188093000,2175004000,1782115000,1623565000,2067044000,10795117000,13141713000,17950379000,27970797000,26353000000,48964500000,43529000000,37497000000,32492000000,33863000000,31199000000,29202000000
48,Accounts Payable,3300000,4700000,5600000,5500000,4600000,12200000,22700000,34683000,31811000,71641000,67932000,41120000,61453000,44986000,50415000,41070000,72022000,101324000,157620000,227384000,326970000,398000000,433700000,324000000,365000000,411000000,503000000,337000000,407000000
49,Short-Term Debt,200000,1500000,2200000,2300000,1900000,700000,12000000,182564000,12592000,122590000,58816000,33465000,24360000,11145000,- -,- -,12110000,116900000,111250000,490730000,216837000,7100000,838500000,7000000,209000000,228000000,1234000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9153000,10335000,32802000,64969000,147600000,258400000,240000000,202000000,167000000,196000000,158000000,98000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,26334000,27030000,19947000,5765000,8141000,61160000,61913000,49088000,40435000,- -,21520000,12783000,7032000,19487000,18800000,16600000,26000000,- -,- -,- -,- -,- -
52,Other Current Liabilities,1000000,1900000,26300000,9200000,8800000,9600000,39700000,42163000,77307000,130980000,130055000,107511000,126583000,292222000,268075000,185661000,172774000,452712000,642619000,1097606000,1949102000,2306900000,4023800000,3252000000,3694000000,3197000000,4511000000,4576000000,4791000000
53,Total Current Liabilities,4500000,8100000,34100000,17000000,15300000,22500000,74400000,285744000,148740000,345158000,262568000,190237000,273556000,410266000,367578000,267166000,256906000,692456000,924272000,1822752000,2512396000,2730800000,5312600000,3609000000,4268000000,3836000000,6248000000,4913000000,5198000000
54,Long-Term Debt,21400000,9800000,8000000,4700000,3000000,126200000,125500000,556165000,33569000,624760000,764111000,442186000,412596000,400625000,- -,- -,380175000,3574479000,6539761000,10535443000,17162946000,15253700000,30265400000,29845000000,25235000000,24077000000,24661000000,23925000000,22654000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69247000,50021000,38153000,36127000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1436743000,1236012000,1248312000,2319202000,2227500000,5902400000,5434000000,1180000000,885000000,705000000,528000000,529000000
57,Other Non-Current Liabilities,- -,- -,4200000,- -,-100000,- -,-100000,27900000,23100000,18200000,14500000,21439000,122392000,79250000,116718000,154800000,6344000,130322000,396499000,590347000,742931000,706500000,1454300000,1383000000,870000000,879000000,1113000000,1228000000,855000000
58,Total Non-Current Liabilities,21400000,9800000,12200000,4700000,2900000,126200000,125400000,584065000,56669000,642960000,778611000,463625000,534988000,479875000,116718000,154800000,455766000,5191565000,8210425000,12410229000,20225079000,18187700000,37622100000,36662000000,27285000000,25841000000,26479000000,25681000000,24038000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,25900000,17900000,46300000,21700000,18200000,148700000,199800000,869809000,205409000,988118000,1041179000,653862000,808544000,890141000,484296000,421966000,712672000,5884021000,9134697000,14232981000,22737475000,20918500000,42934700000,40271000000,31553000000,29677000000,32727000000,30594000000,29236000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,368500000,492733000,1407507000,1433624000,1448353000,1523021000,- -,- -,- -,- -,- -,- -,- -,5940652000,8301179000,8349200000,9897400000,10038000000,10090000000,10121000000,10172000000,10227000000,10317000000
64,Retained Earnings,-16800000,-6400000,-600000,22700000,49700000,24700000,57300000,-261819000,-280004000,-580413000,-607678000,-258518000,-249270000,-246566000,-278495000,-319909000,-245974000,-934511000,-2030292000,-2370976000,-3278529000,-2365000000,-2749700000,-5129000000,-2725000000,-5664000000,-7452000000,-8013000000,-8961000000
65,Other Comprehensive Income/Loss,-1700000,-2200000,-3300000,-4700000,-7100000,-9800000,-14200000,-21654000,-29758000,-7525000,40920000,93815000,32907000,39621000,62582000,25669000,43574000,98836000,-202430000,-119396000,-132780000,-915900000,-1541600000,-2108000000,-1896000000,-2137000000,-2086000000,-2133000000,-1924000000
66,Other Total Stockholders Equity,15900000,16300000,18500000,18900000,32900000,36300000,23700000,28198000,28329000,- -,- -,- -,1732239000,1653269000,1729043000,1495508000,1556346000,5746607000,6317308000,267118000,228853000,243900000,304900000,351000000,380000000,413000000,429000000,454000000,- -
67,Total Stockholders Equity,-2600000,7700000,14600000,36900000,75500000,51200000,435300000,237458000,1126074000,845686000,881595000,1358318000,1379549000,1284863000,1297819000,1201599000,1354372000,4911096000,4007016000,3717398000,5118723000,5312200000,5911000000,3152000000,5849000000,2733000000,1063000000,535000000,-106000000
68,Total Liabilities And Stockholders Equity,23300000,25600000,60900000,58600000,93700000,199900000,635100000,1107267000,1331483000,1833804000,1922774000,2012180000,2188093000,2175004000,1782115000,1623565000,2067044000,10795117000,13141713000,17950379000,27856198000,26230700000,48845700000,43423000000,37402000000,32410000000,33790000000,31129000000,29130000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114599000,122300000,118800000,106000000,95000000,82000000,73000000,70000000,72000000
70,Total Liabilities & Equity,23300000,25600000,60900000,58600000,93700000,199900000,635100000,1107267000,1331483000,1833804000,1922774000,2012180000,2188093000,2175004000,1782115000,1623565000,2067044000,10795117000,13141713000,17950379000,27970797000,26353000000,48964500000,43529000000,37497000000,32492000000,33863000000,31199000000,29202000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885590/000104746910001559/0001047469-10-001559-index.htm,https://www.sec.gov/Archives/edgar/data/885590/000104746911001555/a2202280z10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000104746912001906/0001047469-12-001906-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559013000014/0000885590-13-000014-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559014000025/valeant2013form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559015000015/valeant2014form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559016000101/valeant2015form10-k.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/0000885590-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559018000017/0000885590-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559019000006/0000885590-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559020000006/0000885590-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/885590/000088559021000011/0000885590-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/885590/000088559022000010/0000885590-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3900000,9500000,5900000,22700000,35200000,45400000,62500000,-147976000,87448000,87795000,-27265000,52747000,89027000,203938000,195539000,199904000,176455000,-208193000,159559000,-116025000,-866142000,913500000,-291700000,-2409000000,2404000000,-4148000000,-1788000000,-560000000,-948000000
74,Depreciation and Amortization,700000,800000,1200000,2000000,3200000,5000000,10100000,21526000,67866000,89964000,166854000,194638000,205408000,107865000,100768000,103425000,149260000,254504000,612603000,986222000,2015806000,1737600000,2627500000,2866000000,2858000000,2819000000,2075000000,1825000000,1552000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,3750000,1450000,- -,- -,- -,- -,- -,- -,-90000000,-16000000,-55403000,-249492000,-319603000,-515884000,81800000,-7000000,-236000000,-4386000000,-144000000,-230000000,-475000000,-225000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5613000,98033000,94023000,66236000,45478000,78200000,140100000,165000000,87000000,87000000,102000000,105000000,128000000
77,Change in Working Capital,-400000,-1700000,- -,9000000,38100000,67700000,150600000,-291295000,453151000,-451383000,173411000,-25466000,286814000,236073000,-307866000,-116241000,-129464000,233976000,105524000,521465000,418794000,88807000,-1267700000,1273400000,-990000000,-103000000,346000000,-292000000,-128000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30140000,25187000,-164581000,-219431000,-261380000,-572400000,-625900000,-34000000,417000000,216000000,39000000,170000000,-229000000
79,Inventory,-400000,-500000,-3800000,-4500000,-8600000,6300000,-1600000,-3886000,- -,-14643000,-30023000,-26108000,16610000,10905000,3023000,20577000,-26212000,7463000,-11521000,-80304000,-122701000,-174300000,-276000000,-164000000,7000000,-5000000,-209000000,-77000000,-16000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30771000,-76100000,-8980000,-29070000,- -,- -,- -,- -,- -,- -,- -,- -,121000000
81,Other Working Capital,2300000,600000,600000,9600000,47700000,115400000,266000000,-25295000,427856000,-23527000,149884000,124418000,411232000,647305000,339439000,223198000,93734000,327710000,433234000,954699000,1373493000,1462300000,194600000,1468000000,478000000,375000000,721000000,429000000,- -
82,Other Non-Cash Items,-6300000,-6000000,24000000,-39300000,-72200000,-64500000,-142200000,516489000,-325794000,607728000,-31021000,55171000,-83140000,-25942000,352412000,107237000,175033000,-59726000,-45744000,-481717000,-56095000,-605207000,999200000,427600000,2317000000,2990000000,996000000,508000000,1047000000
83,Cash Provided by Operating Activities,-2100000,2600000,31100000,-5600000,4300000,53600000,81000000,102494000,284121000,334104000,281979000,277090000,498109000,521934000,340853000,204325000,360897000,263191000,676473000,656578000,1041957000,2294700000,2200400000,2087000000,2290000000,1501000000,1501000000,1111000000,1426000000
84,CAPEX,-300000,-1200000,-2600000,-6700000,-2700000,-3700000,-51500000,-15845000,-44436000,-61382000,-36923000,-28029000,-63807000,-44800000,-35086000,-21999000,-569252000,-16823000,-385952000,-181133000,-184955000,-470600000,-303300000,-291000000,-336000000,-235000000,-278000000,-309000000,-283000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-622145000,- -,-240581000,-25741000,-9318000,- -,- -,- -,-101920000,-200000000,224450000,-2464108000,-3485286000,-5253543000,-1102600000,-15457400000,-49000000,- -,5000000,-180000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-54700000,-2454000,-866000,-85119000,-4555000,-7915000,-8791000,-4499000,-35910000,-86015000,-3823000,- -,-81087000,-7200000,- -,-72000000,-49300000,-1000000,-7000000,-7000000,-16000000,-4000000,-19000000
87,Sales/Maturities of Investments,- -,200000,- -,- -,- -,- -,- -,65893000,- -,- -,- -,- -,6296000,4853000,55951000,109391000,2001000,7965000,86639000,624774000,17020000,53200000,251300000,17000000,2000000,7000000,10000000,8000000,42000000
88,Other Investing Activites,-800000,-2000000,-7900000,-3700000,-500000,-29300000,-23200000,-7752000,-12445000,-405385000,-211227000,2999000,98127000,4001000,- -,-7288000,-533527000,13347000,-327437000,9629000,-28544000,1313300000,-86800000,143000000,3063000000,-44000000,37000000,37000000,655000000
89,Cash Used for Investing Activites,-1100000,-3000000,-10500000,-10400000,-3200000,-33000000,-129400000,-582303000,-57747000,-792467000,-278446000,-42263000,31825000,-40445000,-15045000,-107831000,-742772000,228939000,-2844508000,-2965721000,-5380386000,-99700000,-15577400000,-125000000,2887000000,-196000000,-419000000,-261000000,409000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000000,-796381000,-2618112000,-2570446000,-6401359000,-3916400000,-5185800000,-2439000000,-14211000000,-10104000000,-4418000000,-5643000000,-3440000000
91,Common Stock Issued,3100000,100000,700000,200000,4500000,3900000,253700000,109604000,618243000,132438000,12079000,8012000,2990000,15633000,11217000,- -,866000,58425000,- -,- -,2307436000,- -,1432800000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,- -,- -,- -,- -,-72100000,-30600000,- -,-129975000,-503100000,- -,- -,- -,- -,- -,-29842000,- -,-60130000,-639242000,-280724000,-55629000,- -,-72400000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79779000,-80058000,-321523000,-180287000,-147146000,-356291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1500000,300000,-400000,-3200000,-1900000,117700000,-75200000,317450000,-404666000,450195000,60444000,-342538000,-42306000,-27826000,-418344000,-182000,453327000,941094000,5205519000,5908538000,8177304000,1472700000,17507200000,476000000,9248000000,8751000000,5861000000,3349000000,1927000000
95,Cash Used/Provided by Financing Activities,3900000,400000,300000,-3000000,2600000,49500000,147900000,427054000,83602000,79533000,72523000,-334526000,-119095000,-92251000,-728650000,-210311000,177047000,-213283000,1948165000,3057368000,4027752000,-2443700000,13681800000,-1963000000,-4963000000,-1353000000,1443000000,-2294000000,-1513000000
96,Effect of Forex Changes on Cash,- -,300000,600000,-800000,- -,-100000,300000,-187000,-229000,19000,1125000,762000,173000,-5000,1943000,-2277000,1744000,959000,-10288000,3755000,-5074000,-29000000,-30100000,-54000000,41000000,-26000000,-4000000,16000000,-19000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,99800000,-52942000,309747000,-378811000,77181000,-98937000,410965000,389232000,-400899000,-116094000,-203084000,279806000,-230158000,751980000,-315751000,-277700000,274700000,-55000000,255000000,-74000000,2521000000,-1428000000,303000000
