,https://roic.ai/company/MOGU,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,389356000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-6566000,-119858000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,194964000,7136000,27823000,-22766000,609000
95,Cash Used/Provided by Financing Activities,194964000,7136000,414872000,-29332000,-119249000
96,Effect of Forex Changes on Cash,96010000,-78833000,46091000,33929000,-20647000
97,Net Change In Cash,-1083160000,-46098000,52319000,-420342000,-314490000
98,Cash at the End of Period,1271495000,1225397000,1277716000,857374000,542884000
99,Cash at the Beginning of Period,2354655000,1271495000,1225397000,1277716000,857374000
100,Free Cash Flow,-859122000,-320451000,-345594000,-374652000,-243682000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743971/000119312519185197/0001193125-19-185197-index.html,- -,- -
102,Forex Rate,0.1451,0.1593,0.149,0.1412,0.1526
