,https://roic.ai/company/SPNE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,111495000,91284000,147339000,110977000,105653000,142085000,109760000,171718000,312364000
68,Total Liabilities And Stockholders Equity,- -,153493000,139642000,176389000,147165000,134474000,172342000,141718000,214401000,377267000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,153493000,139642000,176389000,147165000,134474000,172342000,141718000,214401000,377267000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776116000053/0001637761-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776117000041/0001637761-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776118000034/0001637761-18-000034-index.html,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776120000019/0001637761-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776121000056/0001637761-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1637761/000163776122000057/0001637761-22-000057-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-30424000,-25746000,-24545000,-55532000,-43212000,-32115000,-33524000,-39276000,-43181000,-54346000
74,Depreciation and Amortization,16333000,13579000,14693000,12445000,11758000,10871000,10695000,10347000,10725000,- -
75,Deferred Income Tax,-256000,-697000,-673000,-282000,-10000,-78000,126000,285000,- -,- -
76,Stock Based Compensation,743000,706000,551000,3816000,6438000,6067000,5800000,7806000,10357000,- -
77,Change in Working Capital,462000,38130000,-9193000,59023000,-29445000,-4981000,40251000,-27828000,64481000,12818000
78,Accounts Receivable,-4641000,2314000,2997000,-2004000,4295000,-612000,1383000,-4621000,-1119000,- -
79,Inventory,-3087000,-12633000,-2685000,-8365000,1404000,1206000,-3454000,-5924000,-10480000,- -
80,Accounts Payable,7119000,7944000,5797000,5818000,-5006000,-2080000,1860000,-1458000,-2691000,- -
81,Other Working Capital,-273000,37857000,28664000,87687000,58242000,53261000,93512000,65684000,130165000,142983000
82,Other Non-Cash Items,3507000,-33452000,19973000,-52036000,40201000,11614000,-35906000,28389000,-66981000,41528000
83,Cash Provided by Operating Activities,-9635000,-7480000,806000,-32566000,-14270000,-8622000,-12558000,-20277000,-24599000,- -
84,CAPEX,-6330000,-5550000,-3804000,-11705000,-8719000,-7646000,-8348000,-12834000,-17035000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-29756000,- -,-25007000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,30000000,25000000,- -
88,Other Investing Activites,-7525000,- -,- -,-150000,-1150000,-200000,- -,- -,-950000,- -
89,Cash Used for Investing Activites,-13855000,-5550000,-3804000,-11705000,-8719000,-7646000,-38104000,17166000,-17042000,- -
90,Debt Repayment,- -,- -,- -,- -,-757000,-4465000,-7000000,- -,-1000000,- -
91,Common Stock Issued,- -,- -,- -,- -,691000,16578000,62611000,- -,91622000,7820000
92,Common Stock Repurchased,- -,- -,- -,- -,-160000,-50000,-627000,-2129000,-2164000,-1000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,21210000,13581000,3012000,77130000,4502000,-23000,9213000,1300000,9680000,- -
95,Cash Used/Provided by Financing Activities,21210000,13581000,3012000,77130000,4276000,12040000,64197000,-829000,98138000,- -
96,Effect of Forex Changes on Cash,18000,4000,-8000,-82000,-150000,450000,-90000,-94000,117000,- -
97,Net Change In Cash,-2262000,555000,6000,32777000,-18863000,-3778000,13445000,-4034000,56614000,- -
98,Cash at the End of Period,91000,646000,652000,33429000,14566000,10788000,24233000,20199000,76813000,- -
99,Cash at the Beginning of Period,2353000,91000,646000,652000,33429000,14566000,10788000,24233000,20199000,76813000
100,Free Cash Flow,-15965000,-13030000,-2998000,-44271000,-22989000,-16268000,-20906000,-33111000,-41634000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776116000053/0001637761-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776117000041/0001637761-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776118000034/0001637761-18-000034-index.html,- -,https://www.sec.gov/Archives/edgar/data/1637761/000163776120000019/0001637761-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1637761/000163776121000056/0001637761-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1637761/000163776122000057/0001637761-22-000057-index.htm
102,false,,,,,,,,,,
