,https://roic.ai/company/CURLF,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,3503000,12185000,-19905000,-36677000,-105193000
80,Accounts Payable,- -,- -,488,-197000,1334000,533000,9958000,-10298000
81,Other Working Capital,- -,- -,- -,-590000,-120000,-1216000,-17702000,- -
82,Other Non-Cash Items,-0,0,0,-14211000,-4456000,-17857000,-79866000,-41046000
83,Cash Provided by Operating Activities,-24838,-153878,-106886,-7715000,-33101000,-38321000,12355000,-33964000
84,CAPEX,-9347,-8659,-590,-10740000,-45859000,-82075000,-126273000,-171955000
85,Acquisitions Net,- -,- -,- -,-28685000,-72925000,-86526000,-66191000,6508000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,498000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-18924000,-15721000,-35444000,-4646000,1473000
89,Cash Used for Investing Activites,-9347,-8659,-590,-57704000,-134266000,-204045000,-197110000,-163974000
90,Debt Repayment,- -,- -,- -,- -,-26300000,-8244000,-29682000,-419524000
91,Common Stock Issued,88297,288249,- -,19944000,403659000,- -,24552000,240569000
92,Common Stock Repurchased,- -,- -,- -,-966000,-69312000,-1278000,-2508000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-45392,- -,1559000,104961000,27582000,231714000,603755000
95,Cash Used/Provided by Financing Activities,88297,242857,- -,20537000,413008000,18060000,224076000,424800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-1075000
97,Net Change In Cash,88297,80320,-107476,-44882000,245641000,-224306000,31232000,225787000
98,Cash at the End of Period,54112,125587,22184,20975000,266616000,42310000,73542000,299329000
99,Cash at the Beginning of Period,- -,45267,129660,65857000,20975000,266616000,42310000,73542000
100,Free Cash Flow,-34184,-162537,-107476,-18455000,-78960000,-120396000,-113918000,-205919000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,
