,https://roic.ai/company/GNFT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
44,Other Non-Current Assets,3224400,6087000,4319900,3925100,1813400,1253400,2008400,603000,681300,776200,506000,433000,2384000,2033000,703000,770000
45,Total Non-Current Assets,13462800,17249900,17490900,17034300,14574200,11690800,9915700,12428000,2052000,2553000,2505000,4219000,9611000,11362000,19099000,13897000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30834500,46244300,40213800,45992200,38427900,31386700,29075700,23582000,29151000,86366000,69258000,166215000,293183000,229478000,309852000,198614000
48,Accounts Payable,3379500,4686800,3588900,3549300,3706000,4142900,- -,2926000,5454000,5900000,5275000,13341000,19053000,32649000,32753000,20337000
49,Short-Term Debt,1113300,792100,716700,6822300,2907700,- -,- -,3113300,1820900,1665900,1223000,1249000,3163000,3154000,4537000,4348000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,197000,162500,357800,156000,211000,260000,287000,489000,633000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,911300,169700,260100,29000,1000,1000,1000,139000,124000
52,Other Current Liabilities,3003000,3927900,3124400,3740000,2941600,7663000,- -,1544400,1630400,2565000,2086000,2971000,4889000,3444000,6228000,6258000
53,Total Current Liabilities,7495800,9406800,7430000,14111600,9555300,11805900,- -,8495000,9075000,10391000,8613000,17562000,27106000,39248000,43657000,31067000
54,Long-Term Debt,4520600,3623600,2981300,3328200,6861000,- -,- -,7589000,5527900,4930300,4482000,5003000,160588000,166431000,179080000,181343000
55,Deferred Revenue,2920700,1940700,1577700,1519700,2825600,- -,- -,281100,43500,1100,5000,3000,2000,1000,- -,- -
56,Deferred Tax Liabilities,195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000,1773000,1193000,767000
57,Other Non-Current Liabilities,- -,- -,- -,4650800,3665900,11192000,- -,381900,411600,614600,742000,849000,937000,1086000,1858000,1599000
58,Total Non-Current Liabilities,7636300,5564300,4559000,9498700,13352500,11192000,- -,8252000,5983000,5546000,5229000,5855000,161848000,169291000,182131000,183709000
59,Other Liabilities,17588500,14630900,11974800,- -,- -,- -,24618570,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3821300,3487700,- -,- -,123200,60300,27800,- -,386000,1889000,1901000,12281000,10131000
61,Total Liabilities,17448000,18473400,14845800,23610300,22907800,22997900,24618570,16747000,15058000,15937000,13842000,23417000,188954000,208539000,225788000,214776000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2400000,2817700,2817700,2817700,2817700,2915600,3407600,4011000,5135000,5989000,5990000,7792000,7792000,7796000,9715000,9722000
64,Retained Earnings,1773100,327700,-2800800,-3960500,-7373900,-9380600,-20367400,-5412000,-35668000,-17025000,-68627000,-102321000,-161135000,-238418000,-303484000,-404850000
65,Other Comprehensive Income/Loss,8560500,10263900,10989500,-6401400,-7315500,-7942700,-32100,-17284000,311000,-34379000,15000,21000,-8000,6000,14000,-92000
66,Other Total Stockholders Equity,609800,14361600,14361500,29926100,27391900,22796500,21448930,25519000,44315000,115844000,118038000,237305000,257580000,251555000,377820000,379058000
67,Total Stockholders Equity,13343400,27770900,25367900,22381900,15520200,8388800,4457030,6834000,14093000,70429000,55416000,142797000,104229000,20939000,84065000,-16162000
68,Total Liabilities And Stockholders Equity,30791400,46244300,40213700,45992200,38428000,31386700,29075600,23581000,29151000,86366000,69258000,166214000,293183000,229478000,309853000,198614000
69,Minority Interest,43100,- -,100,- -,-100,- -,100,1000,- -,- -,- -,1000,- -,- -,-1000,- -
70,Total Liabilities & Equity,30834500,46244300,40213800,45992200,38427900,31386700,29075700,23582000,29151000,86366000,69258000,166215000,293183000,229478000,309852000,198614000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,1773100,327700,-2800800,-3960500,-7373900,-9380600,-9681700,-5411600,-12652100,-17025500,-17135000,-33667000,-58604000,-79521000,-65144000,-101221000
74,Depreciation and Amortization,1122600,638300,943900,1001500,1056500,860700,788800,556300,465500,292100,327000,816000,1412000,1819000,3263000,3559000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1880300,-2317900,2318000,400,- -,35000,384000,- -,-576000,-428000
76,Stock Based Compensation,- -,- -,386500,994200,555800,- -,78900,- -,- -,1050900,2012000,11000,278000,787000,1657000,1236000
77,Change in Working Capital,-1563900,-1113500,-1005200,-1771700,4301500,973600,-542400,-288600,466200,149500,-60000,5900000,5281000,10332000,-356000,-11129000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-638400,625500,-54200,-272700,946000,-2942000,-2106000,-724000,-1640000,318000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000,14000,10000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-134800,-1082100,2528200,445800,-1462000,8828000,7377000,11056000,1284000,-11447000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,91800,73300,74400,53000,237000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,343700,-1595900,-2338400,-1426300,1239100,2152500,362400,-400100,211200,41200,-14000,-321000,1393000,10502000,13476000,11612000
83,Cash Provided by Operating Activities,1675500,-1743400,-4814000,-5162800,-221000,-5393800,-7113700,-7861900,-9191200,-15491400,-14870000,-27226000,-49856000,-56081000,-47680000,-96371000
84,CAPEX,-249700,-1013000,-541200,-464700,-275500,-190200,-112700,-294000,-239600,-721000,-790000,-2036000,-2800000,-2938000,-2030000,-900000
85,Acquisitions Net,-15800,-187500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-949200,- -,-20100,- -,-27600,- -,-8300,-483200,-4300000,-16000,-51000,-163000,-1050000,-160000,-66000
87,Sales/Maturities of Investments,1300,738900,- -,583400,865800,- -,3700,- -,- -,- -,4300000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,73200,-459900,-200900,- -,100,7700,8045800,15000,2000,1000,15000,2000,2517000,- -
89,Cash Used for Investing Activites,- -,- -,-468000,103400,664900,- -,-108900,-294600,7323000,-5006000,3496000,-2086000,-2948000,-3986000,327000,-966000
90,Debt Repayment,-1391100,-1261200,-1074900,-957100,-888200,-2902300,-2074900,-4554000,-9798900,-1605500,-1609000,-1034000,-1655000,-2000000,-1884000,- -
91,Common Stock Issued,715700,14105000,- -,- -,- -,5320300,5662800,4672400,19921200,72296400,2000,121007000,19960000,- -,126486000,7000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-264700,-226400,-182600,7058700,1007700,-330100,2522100,1536000,6370000,843800,1087000,1507000,156043000,-4514000,-7742000,-8263000
95,Cash Used/Provided by Financing Activities,-940100,12617400,-1257500,6101600,119500,2087900,6110000,1654400,16492300,71534700,-520000,121480000,174348000,-6514000,116860000,-8256000
96,Effect of Forex Changes on Cash,7000,-5500,-5200,1000,-600,1100,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126000
97,Net Change In Cash,478300,9874600,-6544800,1043200,562800,-3511100,-1112600,-6502100,14624100,51037200,-11894000,92166000,121543000,-66580000,69508000,-105719000
98,Cash at the End of Period,12497900,22372500,15827700,16870900,17433700,13922300,12809800,6302800,20923800,71958900,60111000,152277000,273820000,207240000,276748000,171029000
99,Cash at the Beginning of Period,12019600,12497900,22372500,15827700,16870900,17433400,13922400,12804900,6299700,20921700,72005000,60111000,152277000,273820000,207240000,276748000
100,Free Cash Flow,1425800,-2756400,-5355200,-5627500,-496500,-5584000,-7226400,-8155900,-9430800,-16212400,-15660000,-29262000,-52656000,-59019000,-49710000,-97271000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213
