,https://roic.ai/company/XERS,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,263000,234000,232000,- -,- -,- -
52,Other Current Liabilities,949000,2650000,9074000,21735000,25090000,70116000
53,Total Current Liabilities,2527000,4860000,10172000,27338000,28207000,79040000
54,Long-Term Debt,- -,- -,31890000,58305000,87021000,88067000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,4942000
57,Other Non-Current Liabilities,62940000,97968000,2560000,8908000,10162000,37081000
58,Total Non-Current Liabilities,62940000,97968000,34450000,67213000,97183000,130090000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,65467000,102828000,44622000,94551000,125390000,209130000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,3000,6000,13000
64,Retained Earnings,-34031000,-60585000,-120665000,-246245000,-337385000,-460110000
65,Other Comprehensive Income/Loss,-268000,-440000,-52000,43000,6000,-31000
66,Other Total Stockholders Equity,2364000,3194000,196121000,260635000,371134000,- -
67,Total Stockholders Equity,-31934000,-57830000,75406000,14436000,33761000,95231000
68,Total Liabilities And Stockholders Equity,33533000,44998000,120028000,108987000,159151000,304361000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33533000,44998000,120028000,108987000,159151000,304361000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1346302/000134630219000009/0001346302-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630220000007/0001346302-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630221000026/0001346302-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1867096/000186709622000040/0001867096-22-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-13209000,-26554000,-60080000,-125580000,-91140000,-122725000
74,Depreciation and Amortization,116000,177000,320000,1078000,1467000,1879000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,540000,499000,1728000,6484000,8273000,11381000
77,Change in Working Capital,-3583000,8546000,68534000,-47582000,63860000,11854000
78,Accounts Receivable,204000,-1098000,-1670000,-3059000,-2182000,-6237000
79,Inventory,- -,- -,- -,-2176000,-5143000,-7418000
80,Accounts Payable,-2909000,661000,-1110000,4737000,-2486000,5527000
81,Other Working Capital,30647000,39193000,107727000,60145000,124005000,-77000
82,Other Non-Cash Items,49000,-7331000,-66781000,61254000,-63018000,2076000
83,Cash Provided by Operating Activities,-16087000,-24663000,-56279000,-104346000,-80558000,-95535000
84,CAPEX,-35000,-700000,-1510000,-1107000,-377000,-1085000
85,Acquisitions Net,- -,- -,- -,- -,- -,38469000
86,Purchases of Investments,- -,- -,-68851000,-102472000,-101773000,-43020000
87,Sales/Maturities of Investments,- -,- -,2100000,101196000,74745000,103600000
88,Other Investing Activites,- -,- -,- -,-1107000,-377000,-1085000
89,Cash Used for Investing Activites,-35000,-700000,-68261000,-2383000,-27405000,97964000
90,Debt Repayment,-32000,- -,- -,-35000000,-25089000,- -
91,Common Stock Issued,- -,- -,98325000,61692000,65891000,27000000
92,Common Stock Repurchased,- -,- -,- -,-4465000,-63000,-534000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3936000,35139000,29886000,58303000,85325000,781000
95,Cash Used/Provided by Financing Activities,3904000,35139000,128211000,80530000,126064000,27247000
96,Effect of Forex Changes on Cash,- -,- -,- -,2000,-22000,-3000
97,Net Change In Cash,-12218000,9776000,3671000,-26197000,18079000,29673000
98,Cash at the End of Period,32269000,42045000,45716000,19519000,37598000,67271000
99,Cash at the Beginning of Period,44487000,32269000,42045000,45716000,19519000,37598000
100,Free Cash Flow,-16122000,-25363000,-57789000,-105453000,-80935000,-96620000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1346302/000134630219000009/0001346302-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630220000007/0001346302-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1346302/000134630221000026/0001346302-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1867096/000186709622000040/0001867096-22-000040-index.htm
102,false,,,,,,
