,https://roic.ai/company/PWCO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
23,Net Income,-2547609,174936,531449,-23708,91090,-44479,48904,-344694,168659,-134540,-136318,-81812,-148338,-151453,-126641,-56421,-23828,-693615,-328280,-449421,-112056
24,Net Income ratio,-3.6587,1.0185,0.2439,-1.0824,0.1661,-0.0819,0.0681,-0.9766,0.2773,-0.5457,-0.8582,-1.5562,-1.7365,-0.1526,-0.1231,-0.0485,-0.0252,-0.7256,-0.2958,-0.5932,-0.5899
25,EPS,-0.09,0.01,0.02,-0.00,0.01,-0.01,0.00,-0.02,0.01,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.09,0.01,0.02,-0.00,0.01,-0.01,0.00,-0.02,0.01,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,23344085,25005733,25005733,25005733,8256198,15011359,17457079,16944150,17108901,16052896,16075499,17815614,17948896,188904750,197767874,200103229,200609918,202552119,208541403,210342722,210342722
28,Weighted Average Shares Outstanding Diluted,23344085,25005733,25005733,25005733,15706198,21261359,19553079,18840150,19004901,16052896,16075499,17815614,17948896,188904750,197767874,200103229,200609918,202552119,208541403,210342722,210342722
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733337/000114420408002257/0001144204-08-002257-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420408071321/0001144204-08-071321-index.html,https://www.sec.gov/Archives/edgar/data/733337/000114420410001925/0001144204-10-001925-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420411001901/0001144204-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000016/0001393905-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000727/0001393905-12-000727-index.html,- -,https://www.sec.gov/Archives/edgar/data/733337/000139390515000143/0001393905-15-000143-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390516000778/0001393905-16-000778-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390517000042/0001393905-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390518000119/0001393905-18-000119-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390519000094/0001393905-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390520000113/0001393905-20-000113-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390521000223/0001393905-21-000223-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,21284,486124,212424,154640,286530,233450,196443,186401,178318,60572,347877,49169,119167,90764,114217,345406,126632,49729
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,21284,486124,212424,154640,286530,233450,196443,186401,178318,60572,347877,49169,119167,90764,114217,345406,126632,49729
34,Net Receivables,- -,- -,- -,- -,208112,274663,279703,123959,79457,47050,18923,165432,- -,203445,402639,320937,258151,215993,225847,151882,43602
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,5316,- -,- -,15000,1241,939,939,- -,- -,- -,69319,67892,57943,84670,54667,34379,32039,30354
37,Total Current Assets,- -,- -,- -,26600,694236,487087,449343,411730,313846,244432,205324,343750,60572,620641,519700,498047,433585,384877,605632,310553,123685
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6447
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242509,230109,217709,21094,94500,81000,108000,94500
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242509,230109,217709,21094,94500,81000,108000,94500
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,520295,557649,567881,248290,158938,94113,38418,865,- -,- -,- -,17986,13754,22154,18849,11061,- -
45,Total Non-Current Assets,- -,- -,- -,- -,520295,557649,567881,248290,158938,94113,38418,865,- -,242509,230109,235695,34848,116654,99849,119061,100947
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,26600,1214531,1044736,1017224,660020,472784,338545,243742,344615,60572,863150,749809,733742,468433,501531,705481,429614,224632
48,Accounts Payable,- -,- -,- -,578376,84485,18238,- -,- -,- -,- -,- -,- -,- -,573052,441524,617719,336650,- -,- -,- -,623242
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,191257,- -,- -,- -,170000,50000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17833,- -,- -,34587,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,801538,49038,121187,198712,55424,37497,37798,41481,37071,21366,187000,187000,- -,- -,441950,620814,794368,- -
53,Total Current Liabilities,- -,- -,- -,1379914,133523,139425,198712,246681,37497,37798,41481,207071,71366,777885,628524,617719,371237,441950,620814,794368,623242
54,Long-Term Debt,- -,- -,- -,- -,- -,10000,- -,133021,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,37497000,- -,- -,- -,- -,1,- -,-1,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,10000,- -,133021,37497000,- -,- -,- -,- -,1,- -,-1,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78200
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,1379914,133523,149425,198712,379702,37497,37798,41481,207071,71366,777886,628524,617718,371237,441950,620814,794368,701442
62,Preferred Stock,- -,- -,- -,- -,800000,800000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,25005,14846,15556,17809,16929,17123,16053,16803,17949,17949,196514,199489,200512,200739,207662,210342,210342,210342
64,Retained Earnings,- -,- -,- -,-35446673,91090,-3389,703,-363991,-195332,-329872,-466190,-548002,-696340,-207800,-334441,-390862,-414690,-1108305,-1436585,-1886006,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,34068354,175072,83144,- -,627380,613496,614566,651648,667597,667597,- -,256237,306374,311147,960224,1310910,1310910,-687152
67,Total Stockholders Equity,- -,- -,- -,-1353314,1081008,895311,818512,280318,435287,300747,202261,137544,-10794,85264,121285,116024,97196,59581,84667,-364754,-476810
68,Total Liabilities And Stockholders Equity,- -,- -,- -,26600,1214531,1044736,1017224,660020,472784,338545,243742,344615,60572,863150,749809,733742,468433,501531,705481,429614,224632
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,26600,1214531,1044736,1017224,660020,472784,338545,243742,344615,60572,863150,749809,733742,468433,501531,705481,429614,224632
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733337/000114420408002257/0001144204-08-002257-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420408071321/0001144204-08-071321-index.html,https://www.sec.gov/Archives/edgar/data/733337/000114420410001925/0001144204-10-001925-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420411001901/0001144204-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000016/0001393905-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000727/0001393905-12-000727-index.html,- -,https://www.sec.gov/Archives/edgar/data/733337/000139390515000143/0001393905-15-000143-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390516000778/0001393905-16-000778-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390517000042/0001393905-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390518000119/0001393905-18-000119-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390519000094/0001393905-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390520000113/0001393905-20-000113-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390521000223/0001393905-21-000223-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2547609,174936,531449,-23708,91090,-44479,48904,-344694,168659,-134540,-136318,-81812,-148338,-151453,-126641,-56421,-23828,-693615,-328280,-449421,-112056
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200,12400,15912,15197,6697,21288,21288,18114
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31750,12500,- -,- -,- -,- -,- -
77,Change in Working Capital,857282,- -,- -,-1353314,1914027,-213051,-97031,-85582,111300,-69715,-42791,-27164,-147473,632036,48420,-10848,182020,-119421,41891,-468633,-15742
78,Accounts Receivable,295812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209292,-199194,81702,62786,-21114,-2787,78064,108281
79,Inventory,156716,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362529,173554,- -
81,Other Working Capital,- -,- -,- -,-1353314,560713,347662,250631,165049,276349,206634,163843,136679,-10794,- -,-108824,-119672,62348,-57073,-15182,-483815,-499557
82,Other Non-Cash Items,1663855,-34120,-370832,1094623,-2532455,60048,38286,577648,-56470,167248,148817,86016,300848,47500,-377716,91355,-206792,272589,165407,718492,-45419
83,Cash Provided by Operating Activities,-26472,140816,160617,-282399,-527338,-197482,-9841,147372,223489,-37007,-30292,-22960,5037,534283,-411787,52498,-33403,-533750,-99694,-178274,-155103
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107797,-4483,-40500,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53929,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94500,- -,-40500,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53929,- -,- -,- -,-107797,-4483,-40500,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,7178,5250,6750,- -,- -,- -,- -,- -,- -,2500,100829,17500,5000,665000,335366,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-101468,-114068,-55000,-15190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-50000,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-49612,- -,- -,- -,985000,70000,89375,39518,-261379,- -,20250,14877,-2782,-246250,12250,- -,- -,- -,- -,- -,78200
95,Cash Used/Provided by Financing Activities,-49612,- -,- -,- -,992178,-76218,-47943,-15482,-276569,- -,20250,14877,-122782,-243750,113079,17500,5000,665000,335366,- -,78200
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-76084,140816,160617,-282399,464840,-273700,-57784,131890,-53080,-37007,-10042,-8083,-117745,344462,-298708,69998,-28403,23453,231189,-218774,-76903
98,Cash at the End of Period,2250,143066,303683,21284,486124,212424,154640,286530,233450,196443,186401,178318,60573,347877,49169,119167,90764,114217,345406,126632,49729
99,Cash at the Beginning of Period,78334,2250,143066,303683,21284,486124,212424,154640,286530,233450,196443,186401,178318,3415,347877,49169,119167,90764,114217,345406,126632
100,Free Cash Flow,-26472,140816,160617,-282399,-527338,-197482,-9841,147372,223489,-37007,-30292,-22960,5037,534283,-411787,52498,-33403,-641547,-104177,-218774,-155103
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/733337/000114420408002257/0001144204-08-002257-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420408071321/0001144204-08-071321-index.html,https://www.sec.gov/Archives/edgar/data/733337/000114420410001925/0001144204-10-001925-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000114420411001901/0001144204-11-001901-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000016/0001393905-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390512000727/0001393905-12-000727-index.html,- -,https://www.sec.gov/Archives/edgar/data/733337/000139390515000143/0001393905-15-000143-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390516000778/0001393905-16-000778-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390517000042/0001393905-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390518000119/0001393905-18-000119-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390519000094/0001393905-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/733337/000139390520000113/0001393905-20-000113-index.htm,https://www.sec.gov/Archives/edgar/data/733337/000139390521000223/0001393905-21-000223-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
