,https://roic.ai/company/SYNA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,- -,- -,- -,- -,13181000,21875000,33790000,34034000,56721000,69362000,84739000,101509000,93808000,104140000,148454000,195057000,324600000,252600000,255200000,289100000,230000000,195300000,228300000
35,Inventory,- -,- -,- -,- -,6428000,6525000,7731000,10010000,12034000,21065000,14950000,18667000,28850000,31667000,49948000,82311000,140200000,146400000,131400000,131200000,158700000,102000000,82000000
36,Other Current Assets,- -,- -,- -,- -,2877000,3083000,3046000,3407000,4245000,3417000,3094000,4471000,4373000,5365000,6715000,17858000,51300000,28900000,37600000,18200000,14600000,16900000,33100000
37,Total Current Assets,- -,- -,- -,- -,99772000,127782000,273488000,292627000,338017000,240360000,294753000,334505000,374184000,446177000,560420000,742431000,916000000,780100000,792000000,739500000,731100000,1077600000,1179700000
38,PP&E,- -,- -,- -,- -,1934000,1829000,14615000,16038000,19400000,22459000,25431000,25821000,26222000,24903000,58035000,80849000,123400000,112700000,113800000,117800000,103000000,84300000,91200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1927000,1927000,1927000,1927000,1927000,1927000,18995000,20695000,61030000,206800000,206800000,206800000,372800000,372800000,360800000,570000000
40,Intangible Assets,- -,- -,- -,- -,1968000,1927000,1927000,- -,- -,- -,- -,- -,- -,12800000,13110000,82111000,235400000,160300000,101000000,219200000,144800000,93400000,301500000
41,Intangible Assets,- -,- -,- -,- -,1968000,1927000,1927000,1927000,1927000,1927000,1927000,1927000,1927000,31795000,33805000,143141000,442200000,367100000,307800000,592000000,517600000,454200000,871500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28767000,28012000,25876000,15321000,16969000,19785000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,280000,- -,- -,1098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,834000,1115000,20895000,20829000,13968000,40517000,25343000,24414000,27992000,23309000,22037000,34127000,37800000,40300000,53100000,50500000,58100000,77700000,84400000
45,Total Non-Current Assets,- -,- -,- -,- -,4736000,4871000,37717000,38794000,35295000,66001000,81468000,80174000,82017000,95328000,130846000,277902000,603400000,520100000,474700000,760300000,678700000,616200000,1047100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,104508000,132653000,311205000,331421000,373312000,306361000,376221000,414679000,456201000,541505000,691266000,1020333000,1519400000,1300200000,1266700000,1499800000,1409800000,1693800000,2226800000
48,Accounts Payable,- -,- -,- -,- -,6893000,9220000,12390000,16542000,21552000,27784000,32210000,65618000,44930000,55220000,83710000,97109000,188500000,172800000,135800000,156900000,98300000,60600000,97600000
49,Short-Term Debt,- -,- -,- -,- -,231000,28000,- -,- -,1500000,- -,65303000,- -,- -,- -,- -,- -,11300000,18800000,15000000,- -,- -,- -,487100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9128000,10061000,11808000,11221000,10751000,12538000,34700000,11500000,17200000,13100000,19100000,33000000,29400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13076000,16291000,38758000,36900000,34800000,- -,26400000,52000000,29000000,43100000
52,Other Current Liabilities,- -,- -,- -,- -,8833000,11910000,25858000,18297000,15044000,22725000,38810000,40353000,47831000,37302000,49625000,118541000,210000000,124400000,159600000,100500000,103600000,154500000,158900000
53,Total Current Liabilities,- -,- -,- -,- -,15957000,21158000,38248000,34839000,38096000,50509000,136323000,105971000,92761000,105598000,149626000,254408000,446700000,350800000,310400000,283800000,253900000,244100000,786700000
54,Long-Term Debt,- -,- -,- -,- -,1500000,1500000,126500000,126500000,125000000,125000000,- -,2305000,2305000,2305000,2305000,- -,231100000,216700000,202000000,450700000,468300000,586600000,418400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900000,9000000,- -,- -,- -,- -,27100000
57,Other Non-Current Liabilities,- -,- -,- -,- -,787000,855000,1797000,3040000,2129000,17075000,18484000,19892000,21142000,36812000,17480000,64768000,14600000,18700000,14100000,36000000,30300000,44000000,27400000
58,Total Non-Current Liabilities,- -,- -,- -,- -,2287000,2355000,128297000,129540000,127129000,142075000,18484000,22197000,23447000,39117000,19785000,64768000,279600000,244400000,216100000,486700000,498600000,630600000,472900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,28000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,24000000
61,Total Liabilities,- -,- -,- -,- -,18244000,23513000,166545000,164379000,165225000,192584000,154807000,128168000,116208000,144715000,169411000,319176000,726300000,595200000,526500000,770500000,752500000,874700000,1259600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,24000,25000,25000,27000,30000,43000,44000,45000,47000,49000,51000,56000,100000,100000,100000,100000,100000,100000,100000
64,Retained Earnings,- -,- -,- -,- -,8583000,21575000,59560000,73261000,99795000,130895000,187666000,219119000,282915000,337059000,435992000,482681000,593100000,665300000,714100000,606400000,583500000,701400000,781000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1104000,-794000,-432000,-464000,-139000,-2317000,129000,1515000,2520000,1998000,6802000,8560000,7800000,3300000,1500000,1500000,- -,-131200000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,78761000,88334000,85507000,94218000,108401000,-14844000,33575000,65832000,54511000,57684000,79010000,209860000,192100000,36300000,24500000,121300000,73700000,248800000,186100000
67,Total Stockholders Equity,- -,- -,- -,- -,86264000,109140000,144660000,167042000,208087000,113777000,221414000,286511000,339993000,396790000,521855000,701157000,793100000,705000000,740200000,729300000,657300000,819100000,967200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,104508000,132653000,311205000,331421000,373312000,306361000,376221000,414679000,456201000,541505000,691266000,1020333000,1519400000,1300200000,1266700000,1499800000,1409800000,1693800000,2226800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,104508000,132653000,311205000,331421000,373312000,306361000,376221000,414679000,456201000,541505000,691266000,1020333000,1519400000,1300200000,1266700000,1499800000,1409800000,1693800000,2226800000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/817720/000156459020040946/0001564590-20-040946-index.htm,https://www.sec.gov/Archives/edgar/data/817720/000156459021045326/0001564590-21-045326-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2007000,810000,9400000,7718000,12992000,37985000,13701000,26534000,31100000,54324000,52965000,63796000,54144000,98933000,46689000,110400000,72200000,48800000,-124100000,-22900000,118800000,79600000
74,Depreciation and Amortization,- -,605000,1660000,1769000,2015000,1530000,1876000,2509000,3208000,4657000,6338000,8677000,11169000,10409000,10846000,21636000,112400000,104200000,92500000,122800000,110000000,78100000,131700000
75,Deferred Income Tax,- -,- -,-400000,-1345000,-88000,-519000,1831000,1504000,-115000,597000,-9693000,-6534000,-3666000,-741000,-890000,12275000,-25200000,-21100000,-17400000,4900000,-15200000,2700000,-5200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24420000,35376000,33925000,34161000,32210000,32861000,44100000,56800000,61800000,71300000,59000000,49300000,66100000
77,Change in Working Capital,- -,- -,- -,- -,83815000,22809000,128616000,22548000,42133000,-110070000,-31421000,70104000,52889000,59156000,70215000,77229000,-18723000,-40000000,52300000,-25900000,21500000,356300000,-440500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15377000,-16770000,7701000,-10329000,-44314000,-42763000,700000,72000000,-2600000,-22700000,64300000,31000000,-25900000
79,Inventory,- -,- -,-3698000,1423000,-561000,-97000,-1206000,-2279000,-2024000,-9031000,6115000,-3717000,-10183000,-2817000,-16872000,-30209000,-51500000,-6200000,15000000,79500000,-27500000,43000000,53100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4426000,33408000,-20688000,10235000,23264000,13208000,30200000,-15300000,-38400000,6200000,-55800000,-36200000,32200000
81,Other Working Capital,- -,- -,- -,- -,83815000,106624000,235240000,257788000,299921000,189851000,158430000,228534000,281423000,340579000,410794000,488023000,469300000,429300000,481600000,455700000,477200000,833500000,393000000
82,Other Non-Cash Items,- -,1402000,-4365000,3016000,-81796000,-22030000,-127763000,-15481000,-45446000,150103000,37623000,-46580000,-68400000,-55736000,-109157000,-59094000,-18877000,84500000,-85100000,96000000,1800000,-383400000,487500000
83,Cash Provided by Operating Activities,- -,- -,-2295000,12840000,11664000,14782000,42545000,24781000,26314000,76387000,81591000,114008000,89713000,101393000,102157000,131596000,204100000,256600000,152900000,145000000,154200000,221800000,319200000
84,CAPEX,- -,- -,-2946000,-1287000,-1306000,-908000,-13847000,-3072000,-5812000,-7066000,-9310000,-9067000,-11570000,-10359000,-48519000,-38675000,-51900000,-33200000,-48400000,-41800000,-23700000,-18800000,-21100000
85,Acquisitions Net,- -,- -,- -,- -,-960000,- -,- -,- -,- -,- -,- -,- -,- -,-14632000,-5000000,-19620000,-294300000,- -,-1400000,-396700000,- -,- -,-626500000
86,Purchases of Investments,- -,- -,- -,-19626000,-25058000,-21199000,-221387000,-250936000,-280894000,-172547000,-25007000,-5986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,9195000,19718000,101539000,200838000,268569000,294264000,57200000,30687000,3200000,10110000,3350000,- -,4900000,6600000,7500000,- -,2800000,- -,95800000
88,Other Investing Activites,- -,- -,- -,- -,-240000,240000,-4000000,- -,- -,- -,- -,- -,- -,- -,12626000,- -,- -,-4600000,- -,-7700000,- -,136200000,34200000
89,Cash Used for Investing Activites,- -,- -,-982000,-20913000,-18369000,-2149000,-137695000,-53170000,-18137000,114651000,22883000,15634000,-8370000,-14881000,-37543000,-58295000,-341300000,-26600000,-42300000,-438500000,-20900000,119900000,-522600000
90,Debt Repayment,- -,- -,-570000,- -,- -,- -,- -,- -,- -,- -,-55656000,-62998000,- -,- -,-4600000,-2305000,-76400000,-68800000,-25300000,-220000000,- -,- -,-119400000
91,Common Stock Issued,- -,- -,607000,50082000,- -,5370000,133405000,8477000,21482000,24764000,16427000,14031000,26423000,34876000,37434000,80747000,49100000,32400000,24700000,32300000,21300000,34500000,27800000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-21180000,-18819000,-32346000,-165042000,- -,-44545000,-70210000,-61743000,-46275000,-70262000,-121300000,-240600000,-88000000,-93600000,-118500000,-30200000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,499000,-284000,2911000,-211000,-4332000,5223000,9878000,-457000,7573000,4692000,-261000,-1793000,-875000,10421000,242200000,-4100000,-5500000,508000000,-9400000,89600000,365700000
95,Cash Used/Provided by Financing Activities,- -,- -,536000,49798000,2911000,5159000,107893000,-5119000,-986000,-140735000,-31656000,-88820000,-44048000,-28660000,-14316000,18601000,93600000,-281100000,-94100000,226700000,-106600000,93900000,274100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,3400000,-900000,- -,100000,- -,2200000
97,Net Change In Cash,- -,- -,-2741000,41725000,-3794000,17792000,12743000,-33508000,7191000,50303000,72818000,40822000,37295000,57852000,50298000,91902000,-47300000,-47700000,15600000,-66800000,26800000,435600000,72900000
98,Cash at the End of Period,- -,- -,3766000,45491000,41697000,59489000,72232000,38724000,45915000,96218000,169036000,209858000,247153000,305005000,355303000,447205000,399900000,352200000,367800000,301000000,327800000,763400000,836300000
99,Cash at the Beginning of Period,- -,- -,6507000,3766000,45491000,41697000,59489000,72232000,38724000,45915000,96218000,169036000,209858000,247153000,305005000,355303000,447200000,399900000,352200000,367800000,301000000,327800000,763400000
100,Free Cash Flow,- -,- -,-5241000,11553000,10358000,13874000,28698000,21709000,20502000,69321000,72281000,104941000,78143000,91034000,53638000,92921000,152200000,223400000,104500000,103200000,130500000,203000000,298100000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/817720/000156459020040946/0001564590-20-040946-index.htm,https://www.sec.gov/Archives/edgar/data/817720/000156459021045326/0001564590-21-045326-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
