,https://roic.ai/company/ENVA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.2083,0.1968,0.2239,0.1405,0.1589,0.2179,0.1081,0.0770,0.0449,0.0686,0.1448,0.4018,0.2791
22,Income Tax expense (Gain),10205000,14183000,21350000,33967000,43594000,64828000,26527000,22834000,8660000,6315000,42053000,57191000,80087000
23,Net Income,17703000,24821000,37032000,58872000,78038000,111671000,43992000,34602000,29240000,70098000,36612000,377844000,256295000
24,Net Income ratio,0.1322,0.1253,0.1420,0.0891,0.1020,0.1379,0.0674,0.0464,0.0347,0.0629,0.0312,0.3487,0.2122
25,EPS,0.54,0.75,1.12,1.78,2.36,3.38,1.33,1.04,0.87,2.06,1.09,11.85,7.00
26,EPS Diluted,0.54,0.75,1.12,1.78,2.36,3.38,1.33,1.03,0.86,1.99,1.06,11.70,6.77
27,Weighted Average Shares Outstanding,33000000,33000000,33000000,33000000,33000000,33000000,33006000,33192000,33523000,33993000,33715000,31897000,36744000
28,Weighted Average Shares Outstanding Diluted,33000000,33000000,33000000,33000000,33000000,33008000,33026000,33462000,34132000,35176000,34398000,32302000,37984000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529864/000156459015001871/enva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1529864/000156459016014129/0001564590-16-014129-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459017002412/0001564590-17-002412-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459018003222/0001564590-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459019004886/0001564590-19-004886-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459020007473/0001564590-20-007473-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459021009434/0001564590-21-009434-index.htm,https://www.sec.gov/Archives/edgar/data/1529864/000095017022002334/0000950170-22-002334-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27261000,19187000,38160000,37548000,47480000,75106000,42066000,39934000,68684000,52917000,35895000,297273000,165477000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,27261000,19187000,38160000,37548000,47480000,75106000,42066000,39934000,68684000,52917000,35895000,297273000,165477000
34,Net Receivables,- -,- -,- -,228390000,303467000,323611000,460185000,581074000,732614000,918843000,1127152000,1281807000,2068068000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,42850000,39600000,42058000,28975000,26306000,29460000,24342000,45069000,71927000,60406000
37,Total Current Assets,- -,- -,- -,308788000,390547000,440775000,531226000,647314000,830758000,996102000,1208116000,1651007000,2293951000
38,PP&E,26361000,31588000,36716000,41759000,39405000,33985000,48055000,47100000,48525000,49553000,74126000,119540000,101503000
39,Goodwill,236929000,255786000,255786000,255875000,255869000,255862000,267008000,267010000,267015000,267013000,267013000,267974000,279275000
40,Intangible Assets,2132000,1046000,228000,168000,45000,39000,6540000,5404000,4325000,3255000,2185000,26008000,35444000
41,Intangible Assets,239061000,256832000,256014000,256043000,255914000,255901000,273548000,272414000,271340000,270268000,269198000,293982000,314719000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,6278000,6286000,29536000,28041000,11051000,8837000,12262000,22912000,43546000,51310000
45,Total Non-Current Assets,- -,- -,- -,304080000,301605000,319422000,349644000,330565000,328702000,332083000,366236000,457068000,467532000
46,Other Assets,375736000,421767000,534437000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,375736000,421767000,534437000,612868000,692152000,760197000,880870000,977879000,1159460000,1328185000,1574352000,2108075000,2761483000
48,Accounts Payable,- -,- -,14220000,16001000,18660000,25512000,25665000,25420000,25579000,32584000,23829000,26721000,156102000
49,Short-Term Debt,- -,- -,- -,427889000,424133000,1576000,4756000,4996000,5258000,2166000,1511000,- -,- -
50,Tax Payable,6093000,11019000,- -,- -,- -,6802000,- -,282000,- -,- -,44780000,2624000,- -
51,Deferred Revenue,- -,- -,- -,4476000,4573000,3630000,9465000,6869000,7074000,5608000,11266000,2171000,- -
52,Other Current Liabilities,- -,- -,- -,27243000,26381000,33361000,32255000,34668000,39212000,48959000,85557000,97803000,- -
53,Total Current Liabilities,- -,- -,- -,475609000,473747000,64079000,72141000,71953000,77123000,89317000,122163000,126695000,156102000
54,Long-Term Debt,255799000,270269000,410815000,427889000,424133000,494181000,553267000,649911000,788542000,857929000,991181000,1014417000,1425386000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,15845000,22586000,33847000,39843000,45306000,47953000,49494000,14316000,12108000,33171000,48683000,48129000,86943000
57,Other Non-Current Liabilities,- -,- -,- -,-427889000,-424082000,- -,- -,- -,- -,- -,35712000,- -,- -
58,Total Non-Current Liabilities,271644000,292855000,444662000,39843000,45357000,542134000,602761000,664227000,800650000,891100000,1075576000,1062546000,1512329000
59,Other Liabilities,592028000,634748000,937558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35712000,67956000,40987000
61,Total Liabilities,320384000,341893000,492896000,515452000,519104000,606213000,674902000,736180000,877773000,980417000,1197739000,1189241000,1668431000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,54761000,79585000,41617000,96682000,169947000,156861000,200853000,235455000,264695000,336415000,372681000,849466000,1105761000
65,Other Comprehensive Income/Loss,173000,-206000,-753000,734000,3101000,-3171000,-4622000,-11578000,-7086000,-13805000,-3066000,-6898000,-8540000
66,Other Total Stockholders Equity,591000,289000,27773000,41426000,59571000,123000,10115000,18244000,23992000,25353000,6932000,- -,- -
67,Total Stockholders Equity,55352000,79874000,41541000,97416000,173048000,153984000,205968000,241699000,281687000,347768000,376613000,917348000,1093052000
68,Total Liabilities And Stockholders Equity,375736000,421767000,534437000,612868000,692152000,760197000,880870000,977879000,1159460000,1328185000,1574352000,2106589000,2761483000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1486000,- -
70,Total Liabilities & Equity,375736000,421767000,534437000,612868000,692152000,760197000,880870000,977879000,1159460000,1328185000,1574352000,2108075000,2761483000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529864/000156459015001871/enva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1529864/000156459016014129/0001564590-16-014129-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459017002412/0001564590-17-002412-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459018003222/0001564590-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459019004886/0001564590-19-004886-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459020007473/0001564590-20-007473-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459021009434/0001564590-21-009434-index.htm,https://www.sec.gov/Archives/edgar/data/1529864/000095017022002334/0000950170-22-002334-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,17703000,24821000,37032000,58872000,78038000,111671000,43992000,34602000,29240000,70098000,36612000,377844000,256295000
74,Depreciation and Amortization,7297000,8559000,11263000,13272000,17143000,18732000,18388000,15564000,14388000,15190000,15055000,19732000,- -
75,Deferred Income Tax,3360000,2858000,2446000,-2425000,5238000,12145000,-1399000,-2201000,-4742000,21971000,4741000,3240000,- -
76,Stock Based Compensation,96000,76000,176000,146000,250000,664000,9630000,8522000,11307000,11660000,11967000,18041000,- -
77,Change in Working Capital,1278000,- -,- -,-166821000,83621000,459896000,82389000,116276000,178274000,153150000,179168000,438359000,- -
78,Accounts Receivable,- -,- -,- -,-6900000,-5697000,3695000,-467000,-16232000,-19056000,-22698000,-36572000,68848000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,3257000,6378000,7705000,8673000,8462000,-5306000,17766000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-166821000,-83200000,376696000,459085000,575361000,753635000,906785000,1085953000,1524312000,- -
82,Other Non-Cash Items,121146000,182140000,207023000,472464000,254008000,-173173000,130921000,220610000,218706000,412771000,601096000,-116345000,215573000
83,Cash Provided by Operating Activities,150880000,218454000,257940000,375508000,438298000,429935000,283921000,393373000,447173000,684840000,848639000,740871000,471868000
84,CAPEX,-12360000,-12687000,-15073000,-17872000,-14872000,-13284000,-32241000,-14396000,-16528000,-16079000,-20062000,-29491000,-29674000
85,Acquisitions Net,-42446000,-21162000,- -,- -,- -,- -,-17735000,- -,- -,- -,- -,109920000,-27225000
86,Purchases of Investments,- -,- -,- -,-1000000,- -,-703000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-124418000,-191063000,-266213000,-346645000,-388867000,-299110000,-322193000,-470180000,-510605000,-704854000,-921335000,3154000,-923469000
89,Cash Used for Investing Activites,-179224000,-224912000,-281286000,-365517000,-403739000,-313097000,-372169000,-484576000,-527133000,-720933000,-941397000,83583000,-980368000
90,Debt Repayment,- -,- -,- -,-4070000,- -,-431762000,-5000000,-231456000,-498853000,-861916000,-529252000,-731773000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-187000,-437000,-5079000,-17314000,-33776000,-56408000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-122384000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,39321000,-1034000,43124000,-4938000,-28567000,475107000,61804000,331773000,608514000,901709000,658512000,252207000,365149000
95,Cash Used/Provided by Financing Activities,39321000,-1034000,43124000,-9008000,-28567000,-79039000,56617000,99880000,104582000,22479000,95484000,-535974000,365149000
96,Effect of Forex Changes on Cash,-212000,-582000,-805000,2154000,3940000,-10173000,-1409000,-10809000,4128000,-7271000,979000,-244000,34000
97,Net Change In Cash,10765000,-8074000,18973000,3137000,9932000,27626000,-33040000,-2132000,28750000,-20885000,30681000,288236000,-143317000
98,Cash at the End of Period,27261000,19187000,38160000,37548000,47480000,75106000,42066000,39934000,68684000,77259000,80964000,369200000,225883000
99,Cash at the Beginning of Period,16496000,27261000,19187000,34411000,37548000,47480000,75106000,42066000,39934000,98144000,50283000,80964000,369200000
100,Free Cash Flow,138520000,205767000,242867000,357636000,423426000,416651000,251680000,378977000,430645000,668761000,828577000,711380000,442194000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529864/000156459015001871/enva-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1529864/000156459016014129/0001564590-16-014129-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459017002412/0001564590-17-002412-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459018003222/0001564590-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459019004886/0001564590-19-004886-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459020007473/0001564590-20-007473-index.html,https://www.sec.gov/Archives/edgar/data/1529864/000156459021009434/0001564590-21-009434-index.htm,https://www.sec.gov/Archives/edgar/data/1529864/000095017022002334/0000950170-22-002334-index.htm
102,false,,,,,,,,,,,,,
