,https://roic.ai/company/GNOG,2018,2019,2020,2021
78,Accounts Receivable,-1488000,-1429000,-1478000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,757000,1174000,6153000,- -
81,Other Working Capital,17328000,-6887000,60374000,94123000
82,Other Non-Cash Items,- -,47339000,-47955000,-91626000
83,Cash Provided by Operating Activities,26362000,35199000,-4902000,- -
84,CAPEX,-73000,- -,-59000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-73000,- -,-59000,- -
90,Debt Repayment,-6525000,-84000,-150074000,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-8396000,-10776000,248535000,- -
95,Cash Used/Provided by Financing Activities,-14921000,-10860000,98461000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,11368000,24339000,93500000,- -
98,Cash at the End of Period,14593000,38932000,132432000,- -
99,Cash at the Beginning of Period,3225000,14593000,38932000,132432000
100,Free Cash Flow,26289000,35199000,-4961000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1768012/000110465921044733/0001104659-21-044733-index.htm,https://www.sec.gov/Archives/edgar/data/1768012/000155837022003693/0001558370-22-003693-index.htm
102,false,,,,
