,https://roic.ai/company/ANAB,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-5545000,3532000,-5405000,-4259000,-30070000,-61656000,-97336000,-19931000,-57796000
24,Net Income ratio,-1.0113,0.2230,-0.3076,-0.2553,-3.0070,-12.3312,-12.1670,-0.2657,-0.9149
25,EPS,-0.09,0.06,-0.49,-0.23,-1.52,-2.50,-3.60,-0.73,-2.11
26,EPS Diluted,-0.09,0.06,-0.49,-0.23,-1.52,-2.50,-3.60,-0.73,-2.11
27,Weighted Average Shares Outstanding,58473000,58473000,11132000,18159333,19782000,24673000,27059000,27302000,27431000
28,Weighted Average Shares Outstanding Diluted,59732000,59732000,11132000,18159333,19782000,24673000,27059000,27302000,27431000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370053/000156459017003710/0001564590-17-003710-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005318000014/0001370053-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005319000006/0001370053-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005320000009/0001370053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005321000019/0001370053-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005322000009/0001370053-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2810000,22188000,51684000,51232000,81189000,113596000,171017000,250456000,495729000
32,Short-Term Investments,- -,- -,- -,- -,167218000,313486000,203210000,143197000,52368000
33,Cash and Short-Term Investments,2810000,22188000,51684000,51232000,248407000,427082000,374227000,393653000,548097000
34,Net Receivables,- -,1455000,1226000,5343000,1601000,174000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,244000,758000,554000,1633000,2688000,6960000,3506000,2908000,5779000
37,Total Current Assets,3054000,24401000,53464000,58208000,252696000,434216000,377733000,396561000,553876000
38,PP&E,750000,579000,551000,471000,665000,1445000,1618000,1783000,21841000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,75897000,73128000,54305000,17546000,67097000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,110000,85000,2265000,3501000,106000,208000,1541000,662000,256000
45,Total Non-Current Assets,860000,664000,2816000,3972000,76668000,74781000,57464000,19991000,89194000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3914000,25065000,56280000,62180000,329364000,508997000,435197000,416552000,643070000
48,Accounts Payable,197000,415000,1521000,2278000,2323000,5443000,16237000,4217000,1741000
49,Short-Term Debt,932000,129000,21000,1000,6892000,7632000,2246000,342000,3010000
50,Tax Payable,- -,- -,139000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1290000,10085000,2942000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,743000,1052000,2892000,3429000,4875000,8761000,11052000,15262000,11348000
53,Total Current Liabilities,3162000,11681000,7376000,5708000,14090000,21836000,29535000,19821000,16099000
54,Long-Term Debt,- -,4793000,4903000,13809000,7553000,625000,- -,- -,19450000
55,Deferred Revenue,- -,1935000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,607000,663000,1664000,3395000,140000,171000,654000,- -,251093000
58,Total Non-Current Liabilities,607000,7391000,6567000,17204000,7693000,796000,654000,- -,270543000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,114000,129000,21000,1000,17000,58000,871000,342000,- -
61,Total Liabilities,3769000,19072000,13943000,22912000,21783000,22632000,30189000,19821000,286642000
62,Preferred Stock,34672000,36828000,77516000,77516000,- -,- -,- -,- -,- -
63,Common Stock,17000,17000,3000,3000,24000,27000,27000,27000,28000
64,Retained Earnings,-48791000,-45259000,-50664000,-54923000,-85034000,-146690000,-244026000,-263957000,-321753000
65,Other Comprehensive Income/Loss,-3114000,-3355000,-3583000,-3798000,-426000,-223000,338000,-4000,-422000
66,Other Total Stockholders Equity,17361000,17762000,19065000,20470000,393017000,633251000,648669000,660665000,678575000
67,Total Stockholders Equity,145000,5993000,42337000,39268000,307581000,486365000,405008000,396731000,356428000
68,Total Liabilities And Stockholders Equity,3914000,25065000,56280000,62180000,329364000,508997000,435197000,416552000,643070000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3914000,25065000,56280000,62180000,329364000,508997000,435197000,416552000,643070000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370053/000156459017003710/0001564590-17-003710-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005318000014/0001370053-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005319000006/0001370053-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005320000009/0001370053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005321000019/0001370053-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005322000009/0001370053-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-5545000,3532000,-5405000,-4259000,-30070000,-61656000,-97336000,-19931000,-57796000
74,Depreciation and Amortization,580000,308000,274000,233000,183000,315000,514000,559000,2090000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,151000,160000,604000,1160000,4378000,9961000,12411000,11499000,15347000
77,Change in Working Capital,-1247000,12828000,33368000,6412000,186106000,173774000,-64182000,28542000,161037000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-255000,482000,1949000,1251000,2218000,7083000,14499000,-8877000,-4740000
81,Other Working Capital,-108000,12720000,46088000,52500000,238606000,412380000,348198000,376740000,537777000
82,Other Non-Cash Items,265000,-2225000,-38510000,-12576000,-180035000,-170900000,79076000,-34826000,-166598000
83,Cash Provided by Operating Activities,-5796000,14603000,-9669000,-9030000,-19438000,-48506000,-69517000,-14157000,-45920000
84,CAPEX,-37000,-145000,-238000,-50000,-290000,-1063000,-805000,-569000,15000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-290905000,-347537000,-251815000,-194927000,-118662000
87,Sales/Maturities of Investments,- -,- -,- -,- -,48137000,206149000,384051000,289971000,158848000
88,Other Investing Activites,- -,5000,- -,- -,- -,- -,- -,- -,-1366000
89,Cash Used for Investing Activites,-37000,-140000,-238000,-50000,-243058000,-142451000,131431000,94475000,38835000
90,Debt Repayment,- -,- -,- -,- -,- -,-6875000,-7500000,-1375000,- -
91,Common Stock Issued,4000,- -,160000,31000,292537000,227476000,- -,496000,2553000
92,Common Stock Repurchased,- -,- -,- -,-1000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1960000,4915000,39243000,8598000,-84000,2763000,3007000,- -,249745000
95,Cash Used/Provided by Financing Activities,1964000,4915000,39403000,8628000,292453000,223364000,-4493000,-879000,252298000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3869000,19378000,29496000,-452000,29957000,32407000,57421000,79439000,245213000
98,Cash at the End of Period,2810000,22188000,51684000,51232000,81249000,113656000,171077000,250516000,495729000
99,Cash at the Beginning of Period,6679000,2810000,22188000,51684000,51292000,81249000,113656000,171077000,250516000
100,Free Cash Flow,-5833000,14458000,-9907000,-9080000,-19728000,-49569000,-70322000,-14726000,-45905000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370053/000156459017003710/0001564590-17-003710-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005318000014/0001370053-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005319000006/0001370053-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005320000009/0001370053-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005321000019/0001370053-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1370053/000137005322000009/0001370053-22-000009-index.htm
102,false,,,,,,,,,
