,https://roic.ai/company/IEHC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,COGS and Expenses,4993204,4105549,4467030,4528130,4300000,4291071,4408774,4260930,4544489,4768872,5128145,6404608,6016057,7179974,9241512,10135099,10838516,- -,- -,12885341,13252852,16236310,17348284,19119726,20793319,28868601
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66681,41510,43946,39021,28412,21349,17782,25193,53094,48178,63271,71595
14,Depreciation and Amortization,258765,289236,272894,268173,300000,298558,275737,244350,203670,203650,177504,204253,184757,197900,172658,156883,161182,185243,235336,273899,333000,331786,443432,330037,345840,955124
15,EBITDA,81260,218924,386820,375169,100000,353612,306663,187895,258211,327920,370876,1389069,425450,823844,1649442,2164128,3149645,- -,- -,2896571,3473277,3479768,3277512,4734252,8039017,4267792
16,EBITDA ratio,0.0164,0.0536,0.0818,0.0790,0.0233,0.0788,0.0668,0.0433,0.0546,0.0670,0.0697,0.1831,0.0680,0.1055,0.1539,0.1782,0.2278,- -,- -,0.1877,0.2119,0.1798,0.1628,0.2017,0.2830,0.1327
17,Operating Income,-179224,-177361,112512,105865,- -,195502,185066,77082,182910,123883,193124,1183645,239549,625469,1409350,1965332,2941178,2167524,1780333,2546603,3121583,3121936,2779757,4352968,7613347,3285948
18,Operating Income ratio,-0.0361,-0.0434,0.0238,0.0223,- -,0.0436,0.0403,0.0178,0.0387,0.0253,0.0363,0.1560,0.0383,0.0801,0.1315,0.1619,0.2128,Infinity,Infinity,0.1650,0.1904,0.1613,0.1381,0.1854,0.2680,0.1022
19,Total Other Income Expenses (Gains),1719,107049,1414,1131,- -,-140448,-154140,-133537,-128369,387,248,1171,1144,475,753,403,3339,- -,- -,54720,912,853,1229,3069,16559,-44875
20,Income Before Tax,-177505,-70312,113926,106996,- -,55054,30926,-56455,54541,124270,193372,1184816,240693,625944,1410103,1965735,2944517,- -,- -,2601323,3122495,3122789,2780986,4356037,7629906,3241073
21,Income Before Tax Ratio,-0.0358,-0.0172,0.0241,0.0225,- -,0.0123,0.0067,-0.0130,0.0115,0.0254,0.0363,0.1561,0.0385,0.0802,0.1316,0.1619,0.2130,- -,- -,0.1686,0.1905,0.1613,0.1382,0.1856,0.2686,0.1008
22,Income Tax expense (Gain),4093,25206,8217,11345,- -,11200,4100,1554,3100,5847,26888,47194,40000,22079,642100,896298,1275000,- -,- -,1147616,1312940,1432679,1307010,1790478,2469130,683693
23,Net Income,-181598,-95518,105709,95651,-200000,43854,26826,-58009,51441,118423,166484,1137622,200693,603865,768003,1069437,1669517,- -,- -,1453707,1809555,1690110,1473976,2565559,5160776,2557380
24,Net Income ratio,-0.0366,-0.0234,0.0224,0.0201,-0.0465,0.0098,0.0058,-0.0134,0.0109,0.0242,0.0313,0.1499,0.0321,0.0774,0.0717,0.0881,0.1208,- -,- -,0.0942,0.1104,0.0873,0.0732,0.1093,0.1817,0.0795
25,EPS,-0.08,-0.04,0.05,0.04,-0.07,0.02,0.01,-0.03,0.02,0.05,0.07,0.49,0.09,0.26,0.33,0.46,0.73,0.48,0.40,0.63,0.79,0.73,0.64,1.11,2.23,1.09
26,EPS Diluted,-0.08,-0.04,0.05,0.04,-0.07,0.02,0.01,-0.03,0.02,0.05,0.07,0.49,0.09,0.26,0.33,0.46,0.73,0.48,0.40,0.63,0.79,0.73,0.64,1.11,2.15,1.04
27,Weighted Average Shares Outstanding,2303502,2303502,2303502,2304000,2857143,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2321331,2341
28,Weighted Average Shares Outstanding Diluted,2303502,2303502,2303502,2304000,2857143,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2303000,2413730,2341
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50292/000091431712001012/0000914317-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431713001533/0000914317-13-001533-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431714000918/0000914317-14-000918-index.htm,- -,https://www.sec.gov/Archives/edgar/data/50292/000117494716002871/0001174947-16-002871-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494717001061/0001174947-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494719000340/0001174947-19-000340-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000426/0001174947-20-000426-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000987/0001174947-20-000987-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,5565,4480,25154,8742,34908,29136,169316,320006,157049,- -,- -,1733460,1721410,1753749,1210761,1407013,7080126,7760057
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5565,4480,25154,8742,34908,29136,169316,320006,157049,- -,- -,1733460,1721410,1753749,1210761,1407013,7080126,7760057
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,769845,586491,769402,900347,981571,1180220,1830668,1520364,2065697,- -,- -,1655930,2608408,2212508,3107670,4429267,3833090,5358164
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1089075,1014598,1219103,1540423,1573632,1986367,2248140,2573196,3713372,- -,- -,4581432,6749659,7250300,8685988,10751498,12021443,12621701
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,53722,16616,14212,25992,11380,24137,25920,334360,247088,- -,- -,1410232,15791,1563982,1499468,644554,534897,175873
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1918207,1622185,2027871,2475504,2601491,3219860,4274044,4747926,6183206,- -,- -,9381054,11095268,12780539,14503887,17232332,23469556,25915795
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1119513,1130026,1172433,1200143,1192256,1172379,1183427,1195240,1268890,- -,- -,1576476,1691541,1867191,2019150,2066155,2560607,2574884
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264215
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,42430,41356,41562,23177,25098,24784,24968,25019,27887,- -,- -,46284,54361,54361,54451,54489,54489,165614
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1161943,1171382,1213995,1223320,1217354,1197163,1208395,1220259,1296777,- -,- -,1622760,1745902,1921552,2073601,2120644,2615096,3004713
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,3080150,2793567,3241866,3698824,3818845,4417023,5482439,5968185,7479983,- -,- -,11003814,12841170,14702091,16577488,19352976,26084652,28920508
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1017432,738105,882646,775870,588804,584938,1003671,389013,356225,- -,- -,267599,138653,195831,235187,576629,480012,484477
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,16978,8936,192069,272457,480523,17000,- -,- -,- -,54943,- -,- -,- -,- -,- -,- -,- -,119629
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8009,3752,- -,- -,96169,181934,294412,599739,935762,1676428,854909
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245960
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,958292,907135,951873,343733,264975,727200,555301,479482,415855,- -,- -,655312,812059,925692,1287757,1704131,3336384,1559595
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1992702,1654176,2026588,1392060,1334302,1329138,1558972,868495,772080,54943,- -,922911,950712,1121523,1522944,2280760,3816396,2409661
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,7822,11170,6573,3437,523,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,218828,149000,63000,20000,- -,- -,67579,174365,113061,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,226650,160170,69573,23437,523,- -,67579,174365,113061,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119629
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2219352,1814346,2096161,1415497,1334825,1329138,1626551,1042860,885141,- -,- -,922911,950712,1121523,1522944,2280760,3816396,2409661
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,23035,23035,23035,23035,23035,23035,23035,23035,23035,- -,- -,23035,23035,23035,23035,23035,23235,23703
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-1906810,-1788387,-1621903,-484281,- -,320277,1088280,2157717,3827234,- -,- -,7313295,9122850,10812960,12286936,13281573,18442349,20999729
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-5788365,-5991765,-6169269,-6373522,-6558278,-6756178,-6927669,-7084552,-7244628,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,8532938,8736338,8913842,9118095,9019263,9500751,9672242,9829125,9989201,- -,- -,2744573,- -,2744573,2744573,3767608,3802672,5487415
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,860798,979221,1145705,2283327,2484020,3087885,3855888,4925325,6594842,7697266,8627196,10080903,11890458,13580568,15054544,17072216,22268256,26510847
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3080150,2793567,3241866,3698824,3818845,4417023,5482439,5968185,7479983,- -,- -,11003814,12841170,14702091,16577488,19352976,26084652,28920508
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,3080150,2793567,3241866,3698824,3818845,4417023,5482439,5968185,7479983,- -,- -,11003814,12841170,14702091,16577488,19352976,26084652,28920508
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50292/000091431712001012/0000914317-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431713001533/0000914317-13-001533-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431714000918/0000914317-14-000918-index.htm,- -,https://www.sec.gov/Archives/edgar/data/50292/000117494716002871/0001174947-16-002871-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494717001061/0001174947-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494719000340/0001174947-19-000340-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000426/0001174947-20-000426-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000987/0001174947-20-000987-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-181598,-95518,105709,95651,-200000,43854,26826,-58009,51441,118423,166484,1137622,200693,603865,768003,1069437,1669517,- -,- -,1453707,1809555,1690110,1473976,2565559,5160776,2557380
74,Depreciation and Amortization,258765,289236,272894,268173,300000,298558,275737,244350,203670,203650,177504,204253,184757,197900,172658,156883,161182,185243,235336,273899,333000,331786,443432,330037,345840,955124
75,Deferred Income Tax,-13800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-746428
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35264,1421211
77,Change in Working Capital,510984,-81686,151403,16236,- -,-47916,-42552,130571,-15853,-36988,-228315,-639104,-399567,-587846,-540287,-452211,-1759930,-851710,-693036,-57319,-1706540,-1482121,-1865005,-1774415,237240,-2757479
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-650448,86264,-321293,21715,189298,161838,16241,14199,-895162,-1321597,944407,-1525074
79,Inventory,135280,4037,-90828,157818,- -,-49698,-14251,-25119,-73536,74477,-204505,-321320,-33209,-412735,-261773,-325056,-1140176,-519888,-229920,-118252,-2168227,-500641,-1435688,-2065510,-1669924,-853863
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159935,-32893,-50439,-220237,193095,-128946,57175,39356,341444,-96617,4464
81,Other Working Capital,233271,-171457,23733,360124,- -,- -,- -,- -,- -,- -,- -,- -,-44921,314,87847,125752,-2868,-50928,-3043,-605207,-8077,- -,-88,-38,- -,-93766
82,Other Non-Cash Items,-195671,88014,-156418,-436304,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1102424,929930,- -,- -,- -,- -,27980,399979,253605
83,Cash Provided by Operating Activities,378680,200046,373588,-56244,200000,294496,260011,316912,239258,285085,115673,702771,-14117,213919,400374,774109,70769,435957,472230,1670287,436015,539775,52403,1149161,6179099,1683413
84,CAPEX,-218354,-196847,-215762,-192957,-300000,- -,-209499,-153166,-222452,-213913,-219911,-231963,-176869,-178023,-184539,-168696,-233726,-361840,-287539,-352684,-448065,-507436,-595391,-377042,-840292,-969400
85,Acquisitions Net,- -,- -,- -,- -,- -,-117978,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-218354,-196847,-215762,-192957,-300000,-117978,-209499,-153166,-222452,-213913,-219911,-231963,-176869,-178023,-184539,-168696,-233726,-361840,-287539,-352684,-448065,-507436,-595391,-377042,-840292,-969400
90,Debt Repayment,-45318,-57843,-39045,-102177,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-575867,- -,- -
94,Other Financing Activites,-122881,57926,-106923,355558,100000,-187593,-42724,-172704,-14116,-72257,124912,-487220,217152,-41668,-58655,-454723,- -,54943,-54943,- -,- -,- -,- -,- -,334306,-34082
95,Cash Used/Provided by Financing Activities,-168199,83,-145968,253381,100000,-187593,-42724,-172704,-14116,-72257,124912,-487220,217152,-41668,-75655,-454723,- -,54943,-54943,- -,- -,- -,- -,-575867,334306,-34082
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-7873,3116,11858,4180,100000,-11075,7788,-8958,2690,-1085,20674,-16412,26166,-5772,140180,150690,-162957,129060,129748,1317603,-12050,32339,-542988,196252,5673113,679931
98,Cash at the End of Period,300,3416,15274,19454,- -,4045,11833,2875,5565,4480,25154,8742,34908,29136,169316,320006,157049,286109,415857,1733460,1721410,1753749,1210761,1407013,7080126,7760057
99,Cash at the Beginning of Period,8173,300,3416,15274,- -,15120,4045,11833,2875,5565,4480,25154,8742,34908,29136,169316,320006,157049,286109,415857,1733460,1721410,1753749,1210761,1407013,7080126
100,Free Cash Flow,160326,3199,157826,-249201,-100000,294496,50512,163746,16806,71172,-104238,470808,-190986,35896,215835,605413,-162957,74117,184691,1317603,-12050,32339,-542988,772119,5338807,714013
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50292/000091431712001012/0000914317-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431713001533/0000914317-13-001533-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000091431714000918/0000914317-14-000918-index.htm,- -,https://www.sec.gov/Archives/edgar/data/50292/000117494716002871/0001174947-16-002871-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494717001061/0001174947-17-001061-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494719000340/0001174947-19-000340-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000426/0001174947-20-000426-index.htm,https://www.sec.gov/Archives/edgar/data/50292/000117494720000987/0001174947-20-000987-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
