,https://roic.ai/company/L&TFH.NS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,1491347314,1523495390,1737799315,1844140638,1846386079,1848466328,1860233532,1886312829,1961501167,2147226662,2151401143,2164026642
28,Weighted Average Shares Outstanding Diluted,- -,1512805549,1523495390,1737799315,1845595950,1849010011,1850444958,1861319538,1912550718,1980438462,2155508743,2161648089,2170499809
29,SEC Link,undefined,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20472805,58069,1634650000,1127488000,4207387000,8216367000,9199514000,4408825000,6347951000,12009904000,19099300000,71571200000,72592500000
32,Short-Term Investments,- -,- -,- -,1080984000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20472805,58069,1634650000,2208472000,4207387000,8216367000,9199514000,4408825000,6347951000,12009904000,19099300000,71571200000,72592500000
34,Net Receivables,- -,- -,- -,- -,4876127000,7407400000,10687604000,12091122000,13289189000,16453217000,4724800000,2109800000,1742800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,22783405,9270050000,85074796000,316194733000,371513401000,438397778000,527087687000,578017551000,701178534000,942263900000,951755000000,917958600000
37,Total Current Assets,20472805,22841474,10904700000,87283268000,325278247000,387137168000,458284896000,543587634000,597654691000,729641655000,966088000000,1025436000000,992293900000
38,PP&E,- -,- -,4453450000,4998633000,5638608000,7101923000,7048382000,6876840000,5863938000,5055765000,676900000,819200000,641300000
39,Goodwill,- -,- -,- -,416010000,416010000,6389106000,6389106000,6389106000,6389106000,6389106000,6389100000,6367100000,6367100000
40,Intangible Assets,- -,- -,- -,112213000,6146063000,185488000,136322000,84944000,124173000,255637000,916900000,1324800000,1366900000
41,Intangible Assets,- -,- -,491210000,528223000,6562073000,6574594000,6525428000,6474050000,6513279000,6644743000,7306000000,7691900000,7734000000
42,Investments,- -,- -,- -,5536625000,28335796000,47795574000,55562959000,80524806000,115104012000,150963495000,86480100000,61343100000,89047300000
43,Tax Assets,- -,- -,56660000,609134000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10765584841,16292779461,181436500000,170371385000,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,10765584841,16292779461,186437820000,182044000000,40536477000,61472091000,69136769000,93875696000,127481229000,162664003000,94463000000,69854200000,97422600000
46,Other Assets,- -,- -,- -,- -,406351201000,510081350000,596558434000,731339026000,852617149000,1054969661000,1155014000000,1165144400000,1187139100000
47,Total Assets,10786057646,16315620935,197342520000,269327268000,365814724000,448609259000,527421665000,637463330000,725135920000,892305658000,1060551000000,1095290200000,1089716500000
48,Accounts Payable,- -,- -,- -,- -,5978272000,7910519000,11990878000,17660445000,20695607000,27344793000,1200500000,648400000,192500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,561367000,953100000,1078900000,3760400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,141736,1750885,7253170000,62347291000,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,141736,1750885,7253170000,62347291000,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,- -,- -,159164660000,157185000000,284792096000,361388765000,424990913000,521739220000,600830670000,717398160000,907268000000,939340700000,885915700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2019120000,2268000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,161183780000,159453000000,284792096000,361388765000,424990913000,521739220000,600830670000,717398160000,907268000000,939340700000,885915700000
59,Other Liabilities,- -,- -,- -,- -,588404647000,741741495000,874010835000,1074114033000,1233707548000,1472629661000,1831110400000,1885504600000,1785928700000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,141736,1750885,168436950000,221800000000,303612551000,380352730000,449019922000,552374813000,632876878000,755231501000,923842400000,946163900000,900013000000
62,Preferred Stock,- -,- -,- -,- -,7500000000,10000000000,13634000000,12134000000,12134000000,10344000000,- -,- -,- -
63,Common Stock,10785915910,16285915910,14170240000,17147616000,17167605000,17184490000,17202859000,17533986000,17557220000,19956770000,19988100000,20048300000,24694500000
64,Retained Earnings,- -,- -,- -,- -,8407898000,8442115000,11184351000,11875254000,18403758000,26594497000,27714100000,37206800000,46424000000
65,Other Comprehensive Income/Loss,- -,- -,-3126420000,-5667892000,-1950213000,-2309708000,-2648762000,-3021933000,-2919439000,-3023838000,-575500000,-802600000,- -
66,Other Total Stockholders Equity,- -,27954140,17861750000,36047745000,31076883000,34939632000,38026295000,45564210000,45897839000,81971327000,87359300000,90471700000,116613500000
67,Total Stockholders Equity,10785915910,16313870050,28905570000,47527469000,62202173000,68256529000,77398743000,84085517000,91073378000,135842756000,134486000000,146924200000,187732000000
68,Total Liabilities And Stockholders Equity,10786057646,16315620935,197342520000,269327469000,365814724000,448609259000,526418665000,636460330000,723950256000,891074257000,1058328400000,1093088100000,1087745000000
69,Minority Interest,- -,- -,- -,-201000,- -,- -,1003000000,1003000000,1185664000,1231401000,2222600000,2202100000,1971500000
70,Total Liabilities & Equity,10786057646,16315620935,197342520000,269327268000,365814724000,448609259000,527421665000,637463330000,725135920000,892305658000,1060551000000,1095290200000,1089716500000
71,SEC Link,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,28123071,3911690000,4547951000,7304714000,5968933000,8546790000,8566926000,10421867000,14594880000,22263000000,17001700000,9709400000
74,Depreciation and Amortization,- -,- -,542100000,600376000,651258000,801427000,955041000,828138000,672998000,519265000,496200000,815900000,870900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,103681000,681600000,886300000,545100000
77,Change in Working Capital,- -,-21174256,-64322370000,-67046734000,-2578777000,3779430000,-10785434000,1385731000,-5866516000,-455642000,-483200000,1114400000,2048900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-51228095,848580000,1968508000,-66342141000,-71380060000,-63452713000,-100138442000,-62889740000,-170670765000,-139392100000,1799300000,41468700000
83,Cash Provided by Operating Activities,- -,-44279280,-59020000000,-59929899000,-60964946000,-60830270000,-64736316000,-89357647000,-57661391000,-155908581000,-116434500000,21617600000,54643000000
84,CAPEX,- -,- -,-1334870000,-1496841000,-8084275000,-2667180000,-1217584000,-922001000,-332850000,-832545000,-912000000,-797100000,-525800000
85,Acquisitions Net,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-1516363551,-142999820000,-518898000,-10687653000,-7835536000,-970235000,-8723032000,-654815302000,-2413999000,-1265241700000,-407054100000,-42638000000
87,Sales/Maturities of Investments,- -,- -,140374440000,164000000,71778000,- -,1982108000,- -,633653233000,17644746000,1230166300000,409188600000,13351700000
88,Other Investing Activites,- -,-3959771905,425260000,146407000,1991431000,185458000,229373000,129984000,319483000,1089895000,113300000,257800000,9567300000
89,Cash Used for Investing Activites,- -,-5476135456,-3544990000,-1705332000,-16708719000,-10317258000,23662000,-9515049000,-21175436000,15488097000,-35874100000,1595200000,-20244800000
90,Debt Repayment,- -,- -,- -,-9681239000,- -,- -,- -,- -,- -,-9611442000,-269079200000,-541912000000,-250412300000
91,Common Stock Issued,- -,13515415910,1500000000,15753901000,7606451000,2589926000,3731575000,2105347000,114974000,33859744000,215000000,397000000,30050600000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1790000000,-2500000000,-1844000000,-6000000000
93,Dividends Paid,- -,- -,- -,- -,- -,-2545517000,-1479827000,-3671555000,-2958309000,-3042877000,-2703800000,-4841300000,- -
94,Other Financing Activites,- -,-8015415910,61530690000,55034144000,71865088000,75976377000,63271768000,95830245000,82364346000,126952016000,434149900000,562705600000,205454900000
95,Cash Used/Provided by Financing Activities,- -,5500000000,63030690000,61106806000,79471539000,76020786000,65523516000,94264037000,79521011000,146367441000,160081900000,14505300000,-20906800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,2300000,-400000
97,Net Change In Cash,- -,-20414736,465700000,-528425000,1797875000,4873258000,810862000,-4608659000,684184000,5946957000,7772600000,37720400000,13491000000
98,Cash at the End of Period,- -,58069,1634650000,1105481000,2903356000,7779471000,8590333000,3981674000,4665858000,10480086000,18266500000,55986900000,69477900000
99,Cash at the Beginning of Period,- -,20472805,1168950000,1633906000,1105481000,2906213000,7779471000,8590333000,3981674000,4533129000,10493900000,18266500000,55986900000
100,Free Cash Flow,- -,-44279280,-60354870000,-61426740000,-69049221000,-63497450000,-65953900000,-90279648000,-57994241000,-156741126000,-117346500000,20820500000,54117200000
101,SEC Link,undefined,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports
102,Forex Rate,undefined,- -,- -,- -,- -,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
