,https://roic.ai/company/IVFH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518508000591/0001185185-08-000591-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518512000603/0001185185-12-000603-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518513000648/0001185185-13-000648-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518514000757/0001185185-14-000757-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518515000741/0001185185-15-000741-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518516004093/0001185185-16-004093-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518517000701/0001185185-17-000701-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518518000523/0001185185-18-000523-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518519000555/0001185185-19-000555-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518520000646/0001185185-20-000646-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518521000542/0001185185-21-000542-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518522000380/0001185185-22-000380-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28011,34063,118518,74610,160545,144765,518082,862464,1347029,2073605,3112526,1645320,3764053,5133435,4759817,3966050,5060015,6122671
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461130,1767333,- -,325500,- -,435225,496575,- -
33,Cash and Short-Term Investments,28011,34063,118518,74610,160545,144765,518082,862464,1347029,2073605,3573656,3412653,3764053,5458935,4759817,4401275,5556590,6122671
34,Net Receivables,325498,626086,607846,243148,299566,482256,565609,493700,959805,771205,1242970,1650584,1538395,2042505,3039756,3309830,2380305,3256764
35,Inventory,4664,4281,- -,- -,- -,19075,52657,42312,517631,839979,1195327,920885,815033,937962,2301377,2350622,3719786,3109984
36,Other Current Assets,- -,1507,15509,299177,9000,6120,5420,5420,13753,11316,625495,68559,55393,86730,144301,-161536,-209760,314107
37,Total Current Assets,358173,665937,741873,616935,469111,652216,1141768,1403896,2838218,3696105,6637448,6052681,6172874,8526132,10245251,9900191,11446921,12803526
38,PP&E,119706,87368,92628,83823,52620,33698,23788,18222,145632,954068,1922044,2193463,2068110,1955250,2456610,6645389,8550401,8418608
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,151000,- -,- -,- -,- -,- -,3058708,2183065,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282855,1342741,100380,1605040
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,887442,23610549,940452,707684,1336916,4341563,3525806,1532822,1605040
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000,150000,208983,201525,339525,435225,496575,286725
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1069200,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,93000,- -,- -,- -,1071322,- -,-1069200,4665554,- -,- -,- -,368364,-496575,669039
45,Total Non-Current Assets,119706,87368,92628,83823,145620,33698,23788,18222,1216954,1841510,25736593,7949469,2984777,3493691,7137698,10974784,10083223,10979412
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,477879,753305,834501,700758,614731,685914,1165556,1422118,4055172,5537615,32374041,14002150,9157651,12019823,17382949,20874975,21530144,23782938
48,Accounts Payable,593765,419030,- -,765614,832613,689075,815161,925790,1376772,1285149,4096700,1702526,3119533,1836559,3689868,4009956,5098523,- -
49,Short-Term Debt,46521,24247,927421,1205870,1199366,1264407,1367561,1109482,11543,1260753,1186182,2277615,1589082,346855,928857,890894,3974950,646872
50,Tax Payable,- -,- -,- -,- -,173471,170144,197786,29396,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4792609,- -,- -,- -,559315,499776,2917676,1631406
52,Other Current Liabilities,555026,915540,2793934,1982596,4001790,3075680,5074766,2758637,541316,1324180,3461371,11071195,691873,215860,489278,203973,215873,7919254
53,Total Current Liabilities,1195312,1358817,3721355,3954080,6033769,5029162,7257488,4793909,1929631,3870082,13536862,15051336,5400488,2399274,5667318,5604599,12207022,10197532
54,Long-Term Debt,113000,112758,20956,- -,10723,27718,- -,130500,185068,727328,1251745,1254042,1137811,866010,1196245,3881037,159362,158293
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1069200,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6017012
58,Total Non-Current Liabilities,132000,112758,20956,- -,10723,27718,- -,130500,185068,727328,2320945,1254042,1137811,866010,1196245,3881037,159362,6175305
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1089323,- -,5773844,5588350,- -,1932020,2750090,8134016,7224806,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378470,1030878,- -
61,Total Liabilities,1327312,1471575,3742311,700758,6044492,5056880,7257488,4793909,2833886,4597410,16989761,19385644,6538299,3465284,7221163,9857578,19272466,16372837
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7299,10474,15131,- -,18358,19464,21639,29369,602,774,2140,2423,2528,3605,3627,3718,3817,4885
64,Retained Earnings,-2687310,-3251131,-3363247,- -,-7433454,-6587843,-8697717,-7207600,-5177106,-6663363,-10395495,-37570402,-31182697,-26653435,-24957536,-24734769,- -,-33116124
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-307286,-339394,-364310,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1830578,2522387,440306,- -,2292621,2536807,2948456,3806440,6397790,7602794,25777635,32184485,33799521,35204369,35115695,35748448,3873992,40521340
67,Total Stockholders Equity,-849433,-718270,-2907810,-3269405,-5429761,-4370966,-6091932,-3371791,1221286,940205,15384280,-5383494,2619352,8554539,10161786,11017397,3877809,7410101
68,Total Liabilities And Stockholders Equity,477879,753305,834501,-2568647,614731,685914,1165556,1422118,4055172,5537615,32374041,14002150,9157651,12019823,17382949,20874975,23150275,23782938
69,Minority Interest,- -,- -,- -,3269405,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1620131,- -
70,Total Liabilities & Equity,477879,753305,834501,700758,614731,685914,1165556,1422118,4055172,5537615,32374041,14002150,9157651,12019823,17382949,20874975,21530144,23782938
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518508000591/0001185185-08-000591-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518512000603/0001185185-12-000603-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518513000648/0001185185-13-000648-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518514000757/0001185185-14-000757-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518515000741/0001185185-15-000741-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518516004093/0001185185-16-004093-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518517000701/0001185185-17-000701-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518518000523/0001185185-18-000523-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518519000555/0001185185-19-000555-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518520000646/0001185185-20-000646-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518521000542/0001185185-21-000542-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518522000380/0001185185-22-000380-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-1512225,-563821,12137413,-661799,-2421122,845611,-2109874,1490117,2030494,-1486257,-3732132,-27176091,6387705,4529262,1695899,222767,-7665024,-716331
74,Depreciation and Amortization,69164,45151,54298,49415,39332,32392,24616,14034,126855,262882,630086,1417916,497920,533473,1082224,1421352,865867,526854
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,348120,309013,1212891,4685447,2105055,439774,67405,414178,525436,668251
77,Change in Working Capital,71549,144259,-2286602,-357663,-2227513,1187712,-1738774,2725707,4298600,-1082564,-6725437,-2099241,9771041,5354472,-1548925,-282341,-5055693,3366095
78,Accounts Receivable,- -,- -,- -,- -,-2295,-99640,-110414,-77185,-3864,150336,-485112,-432422,81877,-504110,-821735,-366611,674626,-930595
79,Inventory,-4664,383,- -,- -,- -,- -,- -,- -,-188967,-319911,-347278,17254,193659,-154266,-1246310,-153633,-1443640,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,134670,58242,- -,-192935,- -,-1544749,1530476,414326,1108451,- -
81,Other Working Capital,-837139,-692880,-2979482,-3337145,-5564658,-4376946,-6115720,-3390013,908587,-173977,-6899414,-8998655,772386,6126858,4577933,4295592,-760101,2605994
82,Other Non-Cash Items,419061,-89825,-9726334,973439,4496233,-2056610,4292962,-3635294,-5997195,3351807,9554638,19509535,-15292625,-7437579,1264176,-181309,9569531,-7506438
83,Cash Provided by Operating Activities,-952451,-464236,178775,3392,-113070,9105,468930,594564,806874,1354881,940046,-3662434,3469096,3419402,2560779,1594647,-1759883,-3661569
84,CAPEX,-111644,-12813,-26445,-40610,-8129,-13470,-14706,-8468,-40748,-341438,-4519,-1551618,-10512,-49845,-480582,-1133604,-450387,-24511
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1176605,- -,177885,-3000000,-470482,-300000,-2703320,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-204000,- -,-7458,-325500,-138000,-60200,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,12000,9950,5000,1500,- -,- -,- -,59400,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-186975,-190000,- -,- -,- -,- -,-99,- -,- -,44481,- -,- -,- -,- -,-71505,-19250,- -
89,Cash Used for Investing Activites,-111644,-199788,-216445,-40610,3871,-3520,-9706,-7067,-1217353,-441438,13847,-4492218,-488452,-675345,-3321902,-1181309,-450387,-24511
90,Debt Repayment,- -,- -,-14040,- -,-4866,-21365,-85907,-243115,-164956,-511543,-2382515,-7340181,-2144989,-1006831,-1158996,-908613,-345986,-433087
91,Common Stock Issued,419975,5000,- -,- -,- -,- -,- -,- -,- -,- -,1585000,4288596,- -,- -,- -,250000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,- -,-14850,-505660,-24057,-125000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,628000,665076,160025,-6690,200000,- -,- -,- -,1060000,324676,942543,10231000,805959,137816,1570558,-423492,3650221,5181823
95,Cash Used/Provided by Financing Activities,1047975,670076,145985,-6690,195134,-21365,-85907,-243115,895044,-186867,85028,7179415,-1353880,-1374675,387505,-1207105,3304235,4748736
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16120,6052,108315,-43908,85935,-15780,373317,344382,484565,726576,1038921,-975237,1626764,1369382,-373618,-793767,1093965,1062656
98,Cash at the End of Period,28011,34063,118518,74610,160545,144765,518082,862464,1347029,2073605,3112526,2137289,3764053,5133435,4759817,3966050,5060015,6122671
99,Cash at the Beginning of Period,44131,28011,10203,118518,74610,160545,144765,518082,862464,1347029,2073605,3112526,2137289,3764053,5133435,4759817,3966050,5060015
100,Free Cash Flow,-1064095,-477049,152330,-37218,-121199,-4365,454224,586096,766126,1013443,935527,-5214052,3458584,3369557,2080197,461043,-2210270,-3686080
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518508000591/0001185185-08-000591-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/312257/000118518512000603/0001185185-12-000603-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518513000648/0001185185-13-000648-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518514000757/0001185185-14-000757-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518515000741/0001185185-15-000741-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518516004093/0001185185-16-004093-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518517000701/0001185185-17-000701-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518518000523/0001185185-18-000523-index.html,https://www.sec.gov/Archives/edgar/data/312257/000118518519000555/0001185185-19-000555-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518520000646/0001185185-20-000646-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518521000542/0001185185-21-000542-index.htm,https://www.sec.gov/Archives/edgar/data/312257/000118518522000380/0001185185-22-000380-index.htm
102,false,,,,,,,,,,,,,,,,,,
