,https://roic.ai/company/ECOM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,14550177,14687536,14550177,13695804,24619714,25062610,25604893,26366748,27138274,27886278,28616401,28616401
28,Weighted Average Shares Outstanding Diluted,14550177,14687536,14550177,13695804,24619714,25062610,25604893,26366748,27138274,28816977,30035261,28616401
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169652/000116965221000007/0001169652-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1169652/000116965222000007/0001169652-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4998000,10865000,104406000,68366000,60474000,65420000,53422000,47185000,51785000,71545000,100567000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4998000,10865000,104406000,68366000,60474000,65420000,53422000,47185000,51785000,71545000,100567000
34,Net Receivables,- -,7677000,9571000,13951000,14619000,18949000,19445000,27452000,23436000,22126000,24705000,28886000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1575000,2589000,3571000,4940000,9356000,10972000,16462000,9248000,10452000,13874000,15497000
37,Total Current Assets,- -,14250000,23025000,121928000,87925000,88779000,95837000,97336000,79869000,84363000,110124000,144950000
38,PP&E,- -,2312000,4315000,9088000,12603000,16696000,13252000,10877000,12007000,20725000,16848000,10538000
39,Goodwill,- -,16106000,16106000,16106000,21518000,21632000,21632000,23486000,23486000,23486000,30990000,30042000
40,Intangible Assets,- -,2038000,1245000,670000,4083000,3246000,2660000,2503000,1894000,1285000,4155000,3079000
41,Intangible Assets,- -,18144000,17351000,16776000,25601000,24878000,24292000,25989000,25380000,24771000,35145000,33121000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,5244000,5550000,4162000,3584000,3551000,32616000
44,Other Non-Current Assets,- -,1071000,3331000,994000,918000,603000,533000,759000,12851000,13424000,14993000,18747000
45,Total Non-Current Assets,- -,21527000,24997000,26858000,39122000,42177000,43321000,43175000,54400000,62504000,70537000,95022000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,35777000,48022000,148786000,127047000,130956000,139158000,140511000,134269000,146867000,180661000,239972000
48,Accounts Payable,- -,1415000,1269000,4237000,564000,2435000,4709000,7243000,1598000,409000,158000,1457000
49,Short-Term Debt,- -,4821000,3370000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,5942000,9750000,14093000,16840000,19835000,23474000,27143000,24205000,21000000,22819000,29942000
52,Other Current Liabilities,- -,3389000,5630000,9215000,9855000,14096000,15517000,17088000,12927000,15008000,20037000,17475000
53,Total Current Liabilities,- -,15567000,20019000,27545000,27259000,36366000,43700000,51474000,38730000,36417000,43014000,48874000
54,Long-Term Debt,- -,87000,8738000,1558000,2014000,2031000,1262000,641000,1404000,9794000,5402000,1182000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,91976000,95444000,1903000,4126000,8635000,7199000,6485000,4497000,1007000,2154000,1718000
58,Total Non-Current Liabilities,- -,92063000,104182000,3461000,6140000,10666000,8461000,7126000,5901000,10801000,7556000,2900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,82000,1136000,1558000,2014000,2031000,1262000,641000,1404000,9794000,5402000,1182000
61,Total Liabilities,- -,107630000,124201000,31006000,33399000,47032000,52161000,58600000,44631000,47218000,50570000,51774000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,24000,25000,25000,26000,27000,27000,28000,29000,30000
64,Retained Earnings,- -,-74542000,-79475000,-100103000,-134617000,-155568000,-163575000,-180132000,-180232000,-176750000,-157685000,-110470000
65,Other Comprehensive Income/Loss,- -,-244000,-289000,-471000,-130000,-893000,-1612000,-789000,-1707000,-1740000,-1095000,-2237000
66,Other Total Stockholders Equity,- -,2932000,3584000,218330000,228370000,240360000,252158000,262805000,271550000,278111000,288842000,300875000
67,Total Stockholders Equity,- -,-71853000,-76179000,117780000,93648000,83924000,86997000,81911000,89638000,99649000,130091000,188198000
68,Total Liabilities And Stockholders Equity,- -,35777000,48022000,148786000,127047000,130956000,139158000,140511000,134269000,146867000,180661000,239972000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,35777000,48022000,148786000,127047000,130956000,139158000,140511000,134269000,146867000,180661000,239972000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169652/000116965221000007/0001169652-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1169652/000116965222000007/0001169652-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-4724000,-3864000,-4933000,-20628000,-34514000,-20951000,-8007000,-16557000,-7601000,3482000,18825000,47215000
74,Depreciation and Amortization,3370000,2061000,2903000,3722000,6264000,8793000,7838000,6578000,6094000,6336000,6513000,6567000
75,Deferred Income Tax,41000,49000,30000,-12000,- -,- -,-5649000,130000,493000,531000,-39000,-29477000
76,Stock Based Compensation,334000,200000,638000,2099000,7981000,11837000,13262000,11947000,10598000,8976000,10200000,12034000
77,Change in Working Capital,151000,930000,1434000,4199000,-2723000,-2045000,4474000,-4952000,-8494000,-7582000,-889000,-2346000
78,Accounts Receivable,-1316000,-1537000,-1966000,-4917000,-1407000,-5833000,-1885000,-8261000,2634000,361000,-2143000,-4358000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1455000,1911000,4121000,4470000,2499000,3667000,4676000,3581000,-10495000,-6529000,-1288000,1826000
82,Other Non-Cash Items,45000,785000,1119000,5306000,1457000,907000,-347000,-142000,140000,1265000,-304000,259000
83,Cash Provided by Operating Activities,-783000,161000,1191000,-5314000,-21535000,-1459000,11571000,-2996000,1230000,13008000,34306000,34252000
84,CAPEX,-912000,-1723000,-2094000,-5218000,-6817000,-4252000,-1963000,-3083000,-2939000,-3707000,-4738000,-5004000
85,Acquisitions Net,- -,- -,- -,- -,-8034000,- -,- -,-2177000,- -,- -,-8467000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-912000,-1723000,-2094000,-5218000,-14851000,-4252000,-1963000,-5260000,-2939000,-3707000,-13205000,-5004000
90,Debt Repayment,-1487000,-1541000,-1548000,-14230000,-1699000,-1745000,-2096000,-2840000,-2241000,-2209000,-1808000,-15000
91,Common Stock Issued,89000,- -,222000,118463000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-193000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,179000,1098000,8325000,-69000,2060000,153000,-1802000,-1299000,-1853000,-2415000,344000,-1000
95,Cash Used/Provided by Financing Activities,-1219000,-443000,6806000,104164000,361000,-1592000,-3898000,-4139000,-4094000,-4624000,-1464000,-16000
96,Effect of Forex Changes on Cash,-48000,64000,-36000,-91000,-15000,-589000,-764000,397000,-434000,-77000,123000,-210000
97,Net Change In Cash,-2962000,-1941000,5867000,93541000,-36040000,-7892000,4946000,-11998000,-6237000,4600000,19760000,29022000
98,Cash at the End of Period,6939000,4998000,10865000,104406000,68366000,60474000,65420000,53422000,47185000,51785000,71545000,100567000
99,Cash at the Beginning of Period,9901000,6939000,4998000,10865000,104406000,68366000,60474000,65420000,53422000,47185000,51785000,71545000
100,Free Cash Flow,-1695000,-1562000,-903000,-10532000,-28352000,-5711000,9608000,-6079000,-1709000,9301000,29568000,29248000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169652/000116965221000007/0001169652-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1169652/000116965222000007/0001169652-22-000007-index.htm
102,false,,,,,,,,,,,,
