,https://roic.ai/company/CORR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,1327461,8815072,-1365095,-23364110,-6549,4362017,19577655,8918624,8344450,11989564,30526988,36681934,41293150,4314113,-306152437,1539201
21,Income Before Tax Ratio,0.6262,4.0297,-1.0557,-19.8535,-0.0030,1.3679,0.6441,0.2851,0.2070,0.1682,0.3420,0.4133,0.4628,0.0502,-27.0022,0.0120
22,Income Tax expense (Gain),391422,3671096,-386602,-23375104,-2443,1439874,7228934,2949518,-225563,-1947553,-464420,2345318,-2418726,234618,-84858,4074759
23,Net Income,936039,12486168,-24370233,10994,14666874,2922143,12348721,4502339,7013856,12319911,29663200,32602790,43711876,4079495,-306067579,-11531081
24,Net Income ratio,0.4416,5.7079,-18.8474,0.0093,6.8085,0.9163,0.4063,0.1439,0.1740,0.1728,0.3324,0.3674,0.4899,0.0475,-26.9947,-0.0900
25,EPS,1.50,3.30,-13.70,0.01,8.05,1.60,6.70,0.95,1.05,0.79,2.14,2.07,2.86,-0.40,-23.09,-1.44
26,EPS Diluted,1.50,3.30,-13.70,0.01,8.05,1.60,6.70,0.95,1.05,0.79,2.14,2.07,2.79,-0.40,-23.09,-1.44
27,Weighted Average Shares Outstanding,617719,1550318,1777417,1799429,1821414,1831961,1836485,4829879,6605714,10685892,11901985,11900516,11935021,13041613,13650718,14581850
28,Weighted Average Shares Outstanding Diluted,617719,1550318,1777417,1799429,1821414,1831961,1836485,4829879,6605714,10685892,11901985,11900516,15389180,13041613,13650718,14581850
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347652/000090901208000384/t304154.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677409000240/0001206774-09-000240-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677410000282/0001206774-10-000282-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677411000104/tto_10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677412000579/0001206774-12-000579-index.html,- -,https://www.sec.gov/Archives/edgar/data/1347652/000134765214000002/corr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765215000002/corr-20141231x10k1.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765216000016/0001347652-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765217000005/0001347652-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765218000021/0001347652-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765219000030/0001347652-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765220000025/0001347652-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765221000014/0001347652-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765222000020/0001347652-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,2793326,14333456,17963266,7578164,14618740,7895084,15787069,69287177,120863643,99596907,12496478
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,2793326,14333456,17963266,7578164,14618740,7895084,15787069,69287177,120863643,99596907,12496478
34,Net Receivables,112732,383221,6062031,5479321,157204,3676121,2268986,3613804,28481477,18106866,20915666,27346823,37325998,35236336,4885713,17080874
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3953523
36,Other Current Assets,- -,- -,- -,- -,- -,-4727987051,2477977,326561,380303,491024,354230,742154,668584,804341,2228623,9075043
37,Total Current Assets,- -,- -,- -,- -,- -,-4721517604,19080419,21903631,36439944,33216630,29164980,43876046,107281759,156904320,106711243,42605918
38,PP&E,- -,- -,- -,- -,- -,17675215,16584191,3318483,122820122,119629978,116412806,113158872,109881552,106855677,106224598,447506132
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1718868,1718868,1718868,1718868,1718868,1718868,1718868,16210020
40,Intangible Assets,- -,- -,- -,- -,- -,973130,681191,364924,72987,4697672,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,973130,681191,364924,1791855,6416540,1718868,1718868,1718868,1718868,1718868,16210020
42,Investments,42575514,158636333,106151230,83981940,- -,68894372,75086032,23304321,9572181,8393683,9287209,2958315,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1606976,1758289,2244629,4948203,4593561,4282576,206285
44,Other Non-Current Assets,- -,- -,- -,- -,- -,4728262283,- -,234984300,273191740,509226215,492390419,469461383,401052798,381383368,66015893,2064393
45,Total Non-Current Assets,- -,- -,- -,- -,- -,4815805000,92351414,261972028,407375898,645273392,621567591,589542067,517601421,494551474,178241935,465986830
46,Other Assets,42933012,159174320,112321057,89478053,96041393,- -,203783247,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42933012,159174320,112321057,89478053,96041393,94287396,111431833,283875659,443815842,678490022,650732571,633418113,624883180,651455794,284953178,508592748
48,Accounts Payable,112765,2108691,533552,299060,327436,597157,2636305,2920267,3935307,2317774,2416283,2333782,3493490,6000981,4685288,17036064
49,Short-Term Debt,- -,30550000,22200000,4600000,- -,2188000,120000,81935,35669277,66132000,89387985,40745354,37261109,33785930,- -,99724756
50,Tax Payable,86386,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2204626,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6125728,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,-1185157,- -,-81935,-30976878,1763747,-87652961,-36792302,-35429496,-32115980,-5154102,648316
53,Total Current Liabilities,- -,32658691,22733552,4899060,- -,1600000,2756305,2920267,8627706,70213521,4151307,6286834,5325103,7670931,5656914,117409136
54,Long-Term Debt,- -,- -,- -,- -,- -,91883,27522,70081935,95673277,151243153,200632880,152777437,150038380,152109426,115008130,121712487
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,2370762,- -,711230,- -,155961,3397717,6552049,6891798,6125728,5839602
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,7172133,5332087,1262587,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,2208117,- -,- -,- -,12839042,11882943,9170493,7956343,8044200,8762579,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2300000,9570417,75414022,97647094,164082195,212671784,165345647,164546772,167045424,129896437,127552089
59,Other Liabilities,604610,4602663,362205,282408,562220,- -,19390160,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,107550,27522,- -,- -,- -,- -,- -,- -,- -,- -,6046657
61,Total Liabilities,604610,37261354,23095757,5181468,562220,3861083,12576048,78334289,106274800,234295716,216823091,171632481,169871875,174716355,135553351,244961225
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,56250000,56250000,130000000,125555675,125493175,125270350,129525675
63,Common Stock,3089,8858,8962,9078,9147,9177,9191,24156,46605,11940,11886,11916,11960,13639,13652,15577
64,Retained Earnings,-906,160474,- -,- -,- -,- -,5712419,1580062,- -,- -,- -,- -,9147701,-9611872,-315626555,-327157636
65,Other Comprehensive Income/Loss,203669,5186265,-19023494,-19012500,-4345626,-6636302,- -,777403,453302,190797,-11196,-12643636,-15969346,-19304610,- -,- -
66,Other Total Stockholders Equity,42122550,116557369,108239832,103300007,99815652,97053438,- -,174811719,309950440,361581507,350217746,344417352,336265315,380149107,339742380,338302735
67,Total Stockholders Equity,42328402,121912966,89225300,84296585,95479173,90426313,98855785,177193340,310450347,418034244,406468436,461785632,455011305,476739439,149399827,140686351
68,Total Liabilities And Stockholders Equity,42933012,159174320,112321057,89478053,96041393,94287396,111431833,255527629,416725147,652329960,623291527,633418113,624883180,651455794,284953178,385647576
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,28348030,27090695,26160062,27441044,- -,- -,- -,- -,122945172
70,Total Liabilities & Equity,42933012,159174320,112321057,89478053,96041393,94287396,111431833,283875659,443815842,678490022,650732571,633418113,624883180,651455794,284953178,508592748
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347652/000090901208000384/t304154.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677409000240/0001206774-09-000240-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677410000282/0001206774-10-000282-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677411000104/tto_10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677412000579/0001206774-12-000579-index.html,- -,https://www.sec.gov/Archives/edgar/data/1347652/000134765214000002/corr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765215000002/corr-20141231x10k1.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765216000016/0001347652-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765217000005/0001347652-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765218000021/0001347652-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765219000030/0001347652-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765220000025/0001347652-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765221000014/0001347652-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765222000020/0001347652-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,936039,12486168,-24370233,10994,14666874,2922143,12348721,4502339,7013856,12319911,29663200,32602790,43711876,4079495,-306067579,-11531081
74,Depreciation and Amortization,- -,- -,- -,- -,- -,485895,1410208,12339704,14289017,20662297,24548350,25708891,26361907,23808083,14924464,16406557
75,Deferred Income Tax,- -,- -,-9866666,- -,4772648,629207,7199669,2936044,-4069500,-2869563,-151313,-486340,-1845710,354642,310985,4076290
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,60000,67500,67500,- -,- -,- -
77,Change in Working Capital,-1289900,-32658691,9925139,17834492,4899060,-4723117604,4739441718,2659250,8828874,-64809129,62010564,12575539,64367444,47276733,-48179060,-7471908
78,Accounts Receivable,- -,- -,- -,- -,- -,-92473,-167302,-1145299,-178100,-2273092,-8534426,-6431157,-8336055,-2975338,219539,-92089
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2183946
80,Accounts Payable,- -,- -,- -,-674245,- -,236579,- -,816430,-2276773,-847683,-231151,-225961,476223,2517069,-1903936,-2627549
81,Other Working Capital,- -,-32658691,-22733552,-4899060,- -,-4723117604,16324114,18983364,27812238,-36996891,25013673,37589212,101956656,149233389,101054329,-629635
82,Other Non-Cash Items,-41132558,-84251138,40979193,4694311,-16254298,4721842805,-4750751824,-14729325,-9123694,77207102,-65022149,-13676809,-84040277,-13739849,349394260,15818252
83,Cash Provided by Operating Activities,-41486419,-104423661,16667433,22539797,8084284,2762446,9648492,7708012,16938553,42600618,51108652,56791571,48622740,61779104,10383070,17298110
84,CAPEX,- -,- -,- -,- -,- -,-1045,-30321,-40670,-11970,-138918,-191926,-116595,-105357,-372934,-2186155,-15883609
85,Acquisitions Net,- -,- -,- -,- -,- -,-12250000,- -,-1834036,-168204309,-251513344,- -,- -,- -,- -,- -,-68049565
86,Purchases of Investments,- -,- -,- -,- -,- -,-38060281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,53950583,9354306,5580985,10806879,- -,- -,7591166,449067,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-310768,1703940,-19666393,7039646,671016,120906,56472780,5072000,58333,339220
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,3639257,9013217,5410219,-177075793,-244612616,479090,7595477,56816490,4699066,-2127822,-83593954
90,Debt Repayment,- -,-15900000,-31100000,-18500000,-4600000,-1621000,-7433028,-160095,-5557606,-83861609,-61031383,-99600577,-3528000,-82467743,-7830822,-28000000
91,Common Stock Issued,46000005,86270250,2700,- -,- -,- -,- -,- -,141827913,73184679,- -,- -,- -,- -,- -,22500
92,Common Stock Repurchased,-3769373,-25790218,-8320133,-4939797,-3484284,-3503365,- -,-523094,- -,- -,-2041851,- -,-4275553,-60550,-161997,- -
93,Dividends Paid,-1050123,-5106371,- -,- -,- -,- -,- -,-8946941,-15187976,-32031349,-39045164,-42959626,-43871559,-48355777,-21529165,-11835050
94,Other Financing Activites,- -,64950000,22750000,900000,- -,-44816,311449,-3205618,28669807,251760853,43807000,86065140,-264010,115982366,- -,19007965
95,Cash Used/Provided by Financing Activities,41180509,104423661,-16667433,-22539797,-8084284,-5169181,-7121579,-12835748,149752138,209052574,-58311398,-56495063,-51939122,-14901704,-29521984,-20804585
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,41180509,104423661,-16667433,-22539797,-8084284,1327133,11540130,282483,-10385102,7040576,-6723656,7891985,53500108,51576466,-21266736,-87100429
98,Cash at the End of Period,- -,- -,- -,- -,- -,2793326,14333456,17963266,7578164,14618740,7895084,15787069,69287177,120863643,99596907,12496478
99,Cash at the Beginning of Period,305910,- -,- -,- -,- -,1466193,2793326,17680783,17963266,7578164,14618740,7895084,15787069,69287177,120863643,99596907
100,Free Cash Flow,-41486419,-104423661,16667433,22539797,8084284,2761401,9618171,7667342,16926583,42461700,50916726,56674976,48622740,61406170,8196915,1414501
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347652/000090901208000384/t304154.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677409000240/0001206774-09-000240-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677410000282/0001206774-10-000282-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000120677411000104/tto_10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000120677412000579/0001206774-12-000579-index.html,- -,https://www.sec.gov/Archives/edgar/data/1347652/000134765214000002/corr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765215000002/corr-20141231x10k1.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765216000016/0001347652-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765217000005/0001347652-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765218000021/0001347652-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765219000030/0001347652-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765220000025/0001347652-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1347652/000134765221000014/0001347652-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1347652/000134765222000020/0001347652-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,
