,https://roic.ai/company/SGTX,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-22765000,-43925000,-54608000,- -
74,Depreciation and Amortization,374000,675000,854000,1118000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,821000,2073000,3127000,- -
77,Change in Working Capital,59783000,1234000,120630000,- -
78,Accounts Receivable,- -,-136000,-41000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,844000,164000,-467000,- -
81,Other Working Capital,35328000,36562000,157192000,- -
82,Other Non-Cash Items,118000,-10131000,-131651000,-1118000
83,Cash Provided by Operating Activities,38331000,-50074000,-61648000,- -
84,CAPEX,-1653000,-1209000,-972000,-1834000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-18060000
89,Cash Used for Investing Activites,-1653000,-1209000,-972000,-18060000
90,Debt Repayment,- -,-1000000,-15000000,- -
91,Common Stock Issued,- -,- -,132527000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,24228000,64242000,71870000,- -
95,Cash Used/Provided by Financing Activities,24228000,63242000,189397000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,60906000,11959000,126777000,- -
98,Cash at the End of Period,64686000,76645000,203422000,108511000
99,Cash at the Beginning of Period,3780000,64686000,76645000,- -
100,Free Cash Flow,36678000,-51283000,-62620000,-80239000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1821323/000155837021003212/0001558370-21-003212-index.htm,https://www.sec.gov/Archives/edgar/data/1821323/000155837022003555/0001558370-22-003555-index.htm
102,false,,,,
