,https://roic.ai/company/SMLR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.67,-0.98,-0.80,-1.10,-1.72,-0.50,-0.28,0.66,1.88,1.74,2.12
27,Weighted Average Shares Outstanding,2798902,2798902,2798902,4104545,4928881,5123568,5405388,6079326,6440724,6584441,6731693
28,Weighted Average Shares Outstanding Diluted,2798902,2798902,2798902,4104545,4928881,5123568,5405388,7629523,8029909,8066561,8138608
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1554859/000157104915001102/0001571049-15-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104916012229/0001571049-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104917002561/0001571049-17-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420418013487/0001144204-18-013487-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420419012776/0001144204-19-012776-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465920030781/0001104659-20-030781-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465921033887/0001104659-21-033887-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000155485922000008/0001554859-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,28000,731000,734000,4156000,405000,622000,1457000,3284000,7741000,22079000,37323000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28000,731000,734000,4156000,405000,622000,1457000,3284000,7741000,22079000,37323000
34,Net Receivables,21000,75000,228000,355000,1278000,877000,1315000,2801000,3486000,2808000,3619000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550000
36,Other Current Assets,5000,21000,47000,2235000,69000,93000,111000,153000,216000,1376000,4044000
37,Total Current Assets,54000,827000,1009000,6746000,1752000,1592000,2883000,6238000,11443000,26263000,45536000
38,PP&E,242000,359000,513000,682000,1327000,1465000,1340000,1466000,2328000,2542000,2037000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3051000,821000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,4501000,2365000,1946000
44,Other Non-Current Assets,378000,290000,202000,72000,- -,15000,15000,15000,15000,418000,332000
45,Total Non-Current Assets,620000,649000,715000,754000,1327000,1480000,1355000,1481000,6844000,8376000,5136000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,674000,1476000,1724000,7500000,3079000,3072000,4238000,7719000,18287000,34639000,50672000
48,Accounts Payable,119000,86000,255000,89000,839000,450000,488000,280000,338000,677000,443000
49,Short-Term Debt,60000,60000,60000,2000000,- -,81000,1255000,- -,- -,- -,80000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1159000
51,Deferred Revenue,25000,64000,366000,612000,952000,513000,531000,435000,955000,963000,921000
52,Other Current Liabilities,566000,969000,1175000,1363000,2317000,2185000,2866000,2797000,3914000,2874000,3436000
53,Total Current Liabilities,770000,1179000,1856000,4064000,4108000,3229000,5140000,3512000,5207000,4514000,4880000
54,Long-Term Debt,218000,158000,98000,- -,- -,2532000,1668000,- -,- -,- -,245000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365000,- -
57,Other Non-Current Liabilities,155000,3714000,65000,- -,43000,230000,13000,11000,7000,-2033000,- -
58,Total Non-Current Liabilities,373000,3872000,163000,- -,43000,2762000,1681000,11000,7000,332000,245000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,194000,155000,112000,- -,- -,- -,- -,- -,- -,- -,325000
61,Total Liabilities,1143000,5051000,2019000,4064000,4151000,5991000,6821000,3523000,5214000,4846000,5125000
62,Preferred Stock,- -,690000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,5000,5000,5000,6000,6000,7000,7000,7000
64,Retained Earnings,-4378000,-7119000,-9352000,-13867000,-22368000,-24922000,-26432000,-21418000,-6334000,7673000,24895000
65,Other Comprehensive Income/Loss,-24000,-93000,-176000,-283000,-495000,-656000,-829000,-234000,-1682000,- -,- -
66,Other Total Stockholders Equity,3932000,2946000,9230000,17581000,21786000,22654000,24672000,25842000,21082000,22113000,- -
67,Total Stockholders Equity,-469000,-3575000,-295000,3436000,-1072000,-2919000,-2583000,4196000,13073000,29793000,45547000
68,Total Liabilities And Stockholders Equity,674000,1476000,1724000,7500000,3079000,3072000,4238000,7719000,18287000,34639000,50672000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,674000,1476000,1724000,7500000,3079000,3072000,4238000,7719000,18287000,34639000,50672000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1554859/000157104915001102/0001571049-15-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104916012229/0001571049-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104917002561/0001571049-17-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420418013487/0001144204-18-013487-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420419012776/0001144204-19-012776-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465920030781/0001104659-20-030781-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465921033887/0001104659-21-033887-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000155485922000008/0001554859-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-1876000,-2741000,-2233000,-4515000,-8501000,-2554000,-1510000,5014000,15084000,14007000,17222000
74,Depreciation and Amortization,25000,70000,129000,196000,315000,452000,559000,503000,632000,576000,628000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-4501000,2136000,408000
76,Stock Based Compensation,32000,96000,141000,190000,2605000,300000,343000,601000,365000,253000,749000
77,Change in Working Capital,381000,364000,-495000,3529000,-5038000,719000,-620000,4983000,3510000,15513000,-4578000
78,Accounts Receivable,-20000,-54000,-243000,-255000,-1195000,293000,-479000,-1503000,-734000,623000,-874000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1412000
80,Accounts Payable,19000,-33000,169000,-167000,750000,-389000,38000,-208000,58000,339000,-234000
81,Other Working Capital,-716000,-352000,-847000,2682000,-2356000,-1637000,-2257000,2726000,6236000,21749000,- -
82,Other Non-Cash Items,163000,390000,1266000,-3222000,6484000,-721000,1849000,-6404000,-2362000,-17068000,1627000
83,Cash Provided by Operating Activities,-1275000,-1821000,-1192000,-3822000,-4135000,-1804000,621000,4697000,12728000,15417000,16056000
84,CAPEX,-187000,-190000,-441000,-441000,-1104000,-814000,-971000,-844000,-1698000,-1061000,-825000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-191000,- -,-2100000,2100000,- -,3000,1000,- -,-248000,- -
89,Cash Used for Investing Activites,-187000,-381000,-441000,-2541000,996000,-814000,-968000,-843000,-1698000,-1309000,-825000
90,Debt Repayment,-42000,-99000,-103000,-270000,-2000000,-43000,-144000,-2897000,- -,- -,- -
91,Common Stock Issued,725000,125000,- -,10014000,1374000,- -,475000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,474000,2879000,1739000,41000,14000,2878000,851000,870000,-6573000,230000,13000
95,Cash Used/Provided by Financing Activities,1157000,2905000,1636000,9785000,-612000,2835000,1182000,-2027000,-6573000,230000,13000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-305000,703000,3000,3422000,-3751000,217000,835000,1827000,4457000,14338000,15244000
98,Cash at the End of Period,28000,731000,734000,4156000,405000,622000,1457000,3284000,7741000,22079000,37323000
99,Cash at the Beginning of Period,333000,28000,731000,734000,4156000,405000,622000,1457000,3284000,7741000,22079000
100,Free Cash Flow,-1462000,-2011000,-1633000,-4263000,-5239000,-2618000,-350000,3853000,11030000,14356000,15231000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1554859/000157104915001102/0001571049-15-001102-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104916012229/0001571049-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000157104917002561/0001571049-17-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420418013487/0001144204-18-013487-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000114420419012776/0001144204-19-012776-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465920030781/0001104659-20-030781-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000110465921033887/0001104659-21-033887-index.htm,https://www.sec.gov/Archives/edgar/data/1554859/000155485922000008/0001554859-22-000008-index.htm
102,false,,,,,,,,,,,
