,https://roic.ai/company/FLGT,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,35914000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,86811000
42,Investments,- -,- -,25597000,16820000,7898000,42819000,132502000,507012000
43,Tax Assets,- -,- -,54000,126000,- -,- -,- -,- -
44,Other Non-Current Assets,432000,433000,17000,39000,17000,251000,3316000,10650000
45,Total Non-Current Assets,1410000,2902000,31902000,24257000,14361000,51677000,176845000,666760000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2120000,5832000,58040000,57184000,53904000,88756000,700461000,1278720000
48,Accounts Payable,165000,314000,2756000,2089000,1313000,1581000,26488000,20494000
49,Short-Term Debt,- -,- -,- -,- -,- -,420000,15286000,21284000
50,Tax Payable,- -,- -,124000,- -,- -,24000,53319000,787000
51,Deferred Revenue,- -,- -,- -,- -,- -,365000,26576000,34376000
52,Other Current Liabilities,271000,372000,560000,911000,1425000,1357000,61765000,29156000
53,Total Current Liabilities,436000,686000,3316000,3000000,2738000,3723000,130115000,105310000
54,Long-Term Debt,- -,- -,- -,- -,- -,2256000,568000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,245000,6000,14000,- -,391000,7530000
58,Total Non-Current Liabilities,- -,- -,245000,6000,14000,2256000,959000,7530000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2676000,835000,- -
61,Total Liabilities,436000,686000,3561000,3006000,2752000,5979000,131074000,112840000
62,Preferred Stock,12000000,45990000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12316000,2000,2000,2000,2000,3000,3000
64,Retained Earnings,-10316000,-53160000,-55154000,-57664000,-63018000,-63429000,150881000,657597000
65,Other Comprehensive Income/Loss,-372000,-900000,-103000,-44000,-35000,146000,438000,-759000
66,Other Total Stockholders Equity,12372000,900000,109734000,111884000,114203000,146058000,418065000,501908000
67,Total Stockholders Equity,1684000,5146000,54479000,54178000,51152000,82777000,569387000,1158749000
68,Total Liabilities And Stockholders Equity,2120000,5832000,58040000,57184000,53904000,88756000,700461000,1271589000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,7131000
70,Total Liabilities & Equity,2120000,5832000,58040000,57184000,53904000,88756000,700461000,1278720000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674930/000156459017004681/0001564590-17-004681-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459018006239/0001564590-18-006239-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459019008991/0001564590-19-008991-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459020010617/0001564590-20-010617-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459021011526/0001564590-21-011526-index.htm,https://www.sec.gov/Archives/edgar/data/1674930/000156459022007366/0001564590-22-007366-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-4283000,-8314000,-5347000,-2510000,-5607000,-411000,214310000,506239000
74,Depreciation and Amortization,196000,575000,1170000,1728000,2163000,2107000,2962000,11004000
75,Deferred Income Tax,- -,- -,246000,-336000,36000,-21000,-1398000,-7840000
76,Stock Based Compensation,- -,8156000,4654000,2119000,2304000,3209000,8157000,15882000
77,Change in Working Capital,-323000,1970000,20578000,7105000,6878000,-915000,-91451000,-2676000
78,Accounts Receivable,-416000,-1779000,-2322000,214000,-1970000,-839000,-178480000,42300000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,150000,132000,1094000,-363000,102000,-329000,22617000,-12206000
81,Other Working Capital,274000,2244000,22822000,29927000,36805000,- -,- -,- -
82,Other Non-Cash Items,13000,-3356000,-16896000,-6775000,-6449000,1548000,8048000,15968000
83,Cash Provided by Operating Activities,-4397000,-969000,4405000,1331000,-675000,5517000,140628000,538577000
84,CAPEX,-731000,-2100000,-3788000,-5356000,-2832000,-1319000,-36510000,-23844000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2591000,-61868000
86,Purchases of Investments,- -,- -,-39017000,-11659000,-24187000,-52077000,-324359000,-730490000
87,Sales/Maturities of Investments,- -,- -,- -,14966000,27969000,24350000,37014000,269591000
88,Other Investing Activites,-49000,-105000,10000,- -,- -,- -,8000,31000
89,Cash Used for Investing Activites,-780000,-2205000,-42795000,-2049000,950000,-29046000,-326438000,-546548000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-11000
91,Common Stock Issued,- -,- -,36790000,- -,- -,28758000,246190000,89475000
92,Common Stock Repurchased,- -,- -,-11977000,- -,- -,-21000,-62000,- -
93,Dividends Paid,- -,- -,-4751000,- -,- -,- -,- -,- -
94,Other Financing Activites,4000000,3500000,25727000,-770000,15000,38000,15123000,-4059000
95,Cash Used/Provided by Financing Activities,4000000,3500000,45789000,-770000,15000,28775000,261251000,85405000
96,Effect of Forex Changes on Cash,- -,- -,- -,81000,-44000,-17000,20000,34000
97,Net Change In Cash,-1177000,326000,7399000,-1407000,246000,5229000,75461000,77468000
98,Cash at the End of Period,172000,498000,7897000,6490000,6736000,11965000,87426000,164894000
99,Cash at the Beginning of Period,1349000,172000,498000,7897000,6490000,6736000,11965000,87426000
100,Free Cash Flow,-5128000,-3069000,617000,-4025000,-3507000,4198000,104118000,514733000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674930/000156459017004681/0001564590-17-004681-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459018006239/0001564590-18-006239-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459019008991/0001564590-19-008991-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459020010617/0001564590-20-010617-index.html,https://www.sec.gov/Archives/edgar/data/1674930/000156459021011526/0001564590-21-011526-index.htm,https://www.sec.gov/Archives/edgar/data/1674930/000156459022007366/0001564590-22-007366-index.htm
102,false,,,,,,,,
