,https://roic.ai/company/ESEA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,28973488,23971773,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,28973488,23971773,21724846,52544877,79493599,99400483,76387354,91965031,102982809,84226420,68686651,51914272,90376108,77358370,89586740,80021604,44376584,98753414,75228005,144737552
62,Preferred Stock,- -,- -,- -,- -,- -,- -,917269,- -,- -,- -,- -,- -,30440100,32079249,33804948,35613759,18757361,7654577,8019636,- -
63,Common Stock,297542,297542,297542,367812,378605,907834,917269,925492,930067,935017,1359588,1371698,1714720,245873,326283,338230,375476,168008,201268,218836
64,Retained Earnings,- -,- -,13741732,8744963,19349288,39734814,28744133,-5060620,-18515006,-25856739,-43491901,-148984299,-168343304,-184030436,-229977258,-237880629,-230222985,-233682015,-230333881,-188057404
65,Other Comprehensive Income/Loss,- -,- -,-2530000,-2657914,-18036433,-34459525,-48304393,-53056940,-71036690,-89385246,-100196305,-32496457,-29239689,-35790625,-33793471,-30207630,-12453848,-16632734,-17872993,- -
66,Other Total Stockholders Equity,20988092,27188704,19603381,20541695,36320200,265607225,281954794,288645331,307316621,326228716,351954764,284811140,265630677,282544532,283746262,314444227,246121975,270600442,275340973,264609028
67,Total Stockholders Equity,21285634,27486246,31112655,26996556,38011660,271790348,264229072,231453263,218694992,211921748,209626146,104702082,100202504,95048593,54106764,82307957,22577979,28108278,35355003,76770460
68,Total Liabilities And Stockholders Equity,50259122,51458019,52837501,79541433,117505259,371190831,340616426,323418294,321677801,296148168,278312797,156616354,190578612,172406963,143693504,162329561,66954563,126861692,110583008,221508012
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50259122,51458019,52837501,79541433,117505259,371190831,340616426,323418294,321677801,296148168,278312797,156616354,190578612,172406963,143693504,162329561,66954563,126861692,110583008,221508012
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341170/000091957408002886/d8776685_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957409010892/d996968_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957410003759/d1103249_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957411003640/d1199272_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957412002928/d1286452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957413002931/d1378549_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957414002798/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957415003826/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957416012713/d7086652_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957417003286/d7425598_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957418003225/d7878614_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957419003020/d8122244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957420003093/d8498133_20-f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,891628,8426612,30611765,25178454,20069407,40664064,23674018,-15627504,-6605850,1115989,-13198741,-103424827,-17918905,-14047983,-44221123,-6094560,-108890,-1682671,4041431,42877224
74,Depreciation and Amortization,- -,- -,-3512359,4291996,7367439,18035788,28284752,19092384,17979750,18348556,17385608,19983772,12137445,10995023,8788121,8372237,3305951,4178886,6605976,7203198
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1618484,820189,696117,568488,671381,568334,510114,306111,294341,116562,124487,97919,121631,182324
77,Change in Working Capital,- -,- -,2427953,-8975697,-1670797,1200754,-7811121,-9852520,10188415,-2430982,-5238593,6165129,68843,-1510997,829328,1938257,-3482961,916580,-2970997,2517236
78,Accounts Receivable,- -,- -,422286,-68782,68802,-1144105,-183791,-416818,86952,192875,-54285,-453980,-316841,781714,-23842,-47168,-73210,243608,-1297926,- -
79,Inventory,- -,- -,51449,-68213,-344440,-1187547,-108295,142735,80982,-818279,793899,338522,-284816,293990,245079,145173,-511373,-184773,226742,- -
80,Accounts Payable,- -,- -,77487,-42359,197531,1920051,-2189320,-243112,2207566,-2064168,476397,-101764,466139,-1262798,588420,235412,766052,1539553,-1008707,- -
81,Other Working Capital,- -,- -,- -,-603423,965463,- -,- -,- -,- -,- -,- -,-96718,-186944,-341525,-24802,442594,-172544,556140,-24410,- -
82,Other Non-Cash Items,4739715,2529520,4681334,100029,-4797225,-10941835,28517608,13405111,-9509443,-284378,8893451,80739481,4472226,2230274,33477095,3630816,-1313417,-270285,-5388664,-153316
83,Cash Provided by Operating Activities,5631343,10956132,34208693,20594782,20968824,48958771,74283741,7837660,12748989,17317673,8513106,4031889,-730277,-2027572,-832238,7963312,-1474830,3240429,2409377,52626666
84,CAPEX,- -,- -,- -,-20821647,-53830357,-149502254,-45404118,-62224639,-16121360,- -,- -,-6015882,-36961303,-16628889,-27329825,-39698984,-1867,-55720226,-647069,-74113160
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -
88,Other Investing Activites,-17036079,214832,6756242,-1011969,-1536658,2830263,-741385,16625874,1914516,1896435,-3505057,3136414,-131678,5994900,8523005,9552260,6253868,-55720226,16986376,- -
89,Cash Used for Investing Activites,-17036079,214832,6756242,-21833616,-55367015,-146671991,-46145503,-45598765,-29206844,1896435,-3505057,-7879468,-37092981,-10633989,-18806820,-26146724,6253868,-55720226,16319307,-74113160
90,Debt Repayment,- -,- -,-6605000,-18630000,-17360000,-18360000,-25575000,-17708000,-11790250,-13472000,-13332000,-15937000,-14687000,-22135960,-18464125,-11057144,-32349000,-13401460,-18530920,-26291840
91,Common Stock Issued,- -,- -,- -,18702376,10000,527204,5030,4023,- -,- -,15237303,- -,14550000,10545007,3168058,549495,1975110,6853101,715550,743553
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-197193,- -,-148392,-295733,-99200,-150687,- -,- -,- -,- -,-11686000,- -,-2000000
93,Dividends Paid,- -,- -,-26962500,-46875223,-9465082,-20278538,-34547949,-10849609,-6863112,-8442371,-4447522,-2090944,-13050,- -,- -,- -,- -,-1031827,-320877,-424000
94,Other Financing Activites,12247355,-4778000,- -,52991500,43557079,237168767,1695552,33645242,28400186,-220000,- -,- -,52135178,7556730,29427581,32541666,30509293,64464456,-184321,74618833
95,Cash Used/Provided by Financing Activities,12247355,-4778000,-33567500,6188653,16741997,199057433,-58422367,4894463,9746824,-22282763,-2837952,-18127144,51834441,-4034223,14131514,22034017,135403,45198270,-18320568,46646546
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12247355,-4778000,7397435,4949819,-17656194,101344213,-30284129,-32866642,-6711031,-3068655,2170097,-21974723,14011183,-16695784,-5507544,3850605,4914441,-7281527,408116,25160052
98,Cash at the End of Period,- -,- -,15497482,20447301,2791107,104135320,73851191,40984549,34273518,31204863,33374960,11400237,25411420,8715636,3208092,13198704,13211588,5930061,6338177,31498229
99,Cash at the Beginning of Period,- -,- -,8100047,15497482,20447301,2791107,104135320,73851191,40984549,34273518,31204863,33374960,11400237,25411420,8715636,9348099,8297147,13211588,5930061,6338177
100,Free Cash Flow,5631343,10956132,34208693,-226865,-32861533,-100543483,28879623,-54386979,-3372371,17317673,8513106,-1983993,-37691580,-18656461,-28162063,-31735672,-1476697,-52479797,1762308,-21486494
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341170/000091957408002886/d8776685_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957409010892/d996968_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957410003759/d1103249_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957411003640/d1199272_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957412002928/d1286452_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957413002931/d1378549_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957414002798/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957415003826/d1473828_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957416012713/d7086652_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957417003286/d7425598_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957418003225/d7878614_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957419003020/d8122244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1341170/000091957420003093/d8498133_20-f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
