,https://roic.ai/company/CDIX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,607,- -,- -,- -,- -,- -,15561,- -,253550,253550
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,607,- -,- -,- -,- -,932529,15561,2092048,3753513,3753513
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24105,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,15600,600,600,600,600,600,600,600,600,38226,16817,1528,8421,32390,52938,- -
45,Total Non-Current Assets,- -,- -,- -,53248,15726,2703,2004,2032,4154,35583,755,600,1175438,1159841,2297834,1118455,3108739,5064979,3965292
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,53248,23816,4362,4657,10591,7635,46116,4266,6935,1250856,1212479,2472009,1309061,3341066,5297194,4260980
48,Accounts Payable,- -,1854,1850,841522,925297,652568,724061,135348,683859,841760,784765,814265,73153,29080,65901,193239,1094521,236874,617073
49,Short-Term Debt,- -,31909,37042,744408,838817,847620,718000,1404640,1003823,1127990,1219000,245750,303032,375011,758467,1114944,1894494,1444926,3568556
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,335823,374223,412623,38400,38902,65227,17912,- -,299786,282798
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,50000,50000,- -,- -,- -,- -,- -,- -,1036039,297113,353830
52,Other Current Liabilities,- -,3176,5496,556318,328642,615609,858102,1607987,3542754,6016670,2546020,680954,933369,1418877,3246938,3592157,3122238,8334142,8115209
53,Total Current Liabilities,- -,36939,44388,2142248,2092756,2115797,2300163,3147975,5280436,8036420,4549785,1740969,1309554,1822968,4071306,4900340,7147292,10313055,12654668
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,166250,181841,173348,106242,74925,100000,- -,- -,- -,1040000,894568,1528735
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,50000,20000,156816,- -,- -,- -,- -,- -,1,-1,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,166250,231841,193348,263058,74925,100000,- -,- -,- -,1040001,894567,1528735
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388933,54185
61,Total Liabilities,- -,36939,44388,2142248,2092756,2115797,2300163,3314225,5512277,8229768,4812843,1815894,1409554,1822968,4071306,4900340,8187293,11207622,13054446
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11337971,6348,6072,5480,8849,311706,12360760,12960216
63,Common Stock,- -,545659,545659,3236991,- -,- -,- -,- -,- -,- -,8639161,11283603,4929,9413,25224,66031,603,677420,- -
64,Retained Earnings,- -,-582598,-590047,-5518564,-6798005,-7586600,-9484763,-10620046,-12909386,-15744197,-15147952,-26130747,-39262444,-43206865,-45461357,-50461676,-55378603,-61742235,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-15901,-173000,-175000,-192393,-130,-1220,-12748,-3969,-4124,-279673,-357830,-838736,-717260,-495331,-566858,- -
66,Other Total Stockholders Equity,- -,- -,- -,208474,4907736,5666859,7381650,7316542,7405964,7573293,1704183,1704338,39372142,42938721,44670092,47512777,50715398,43360485,- -
67,Total Stockholders Equity,- -,-36939,-44388,-2089000,-2068940,-2111435,-2295506,-3303634,-5504642,-8183652,-4808577,-1808959,-158698,-610489,-1599297,-3591279,-4846227,-5910428,-8124299
68,Total Liabilities And Stockholders Equity,- -,- -,- -,53248,23816,4362,4657,10591,7635,46116,4266,6935,1250856,1212479,2472009,1309061,3341066,5297194,4930147
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-669167
70,Total Liabilities & Equity,- -,- -,- -,53248,23816,4362,4657,10591,7635,46116,4266,6935,1250856,1212479,2472009,1309061,3341066,5297194,4260980
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811222/000168316819001141/0001683168-19-001141-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316820001188/0001683168-20-001188-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316821001166/0001683168-21-001166-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-6842,-7449,-1668498,-1279441,-788596,-1896782,-1135283,-2289340,-2834811,596245,-10982795,-13131697,-3944421,-2254492,-5000319,-6265251,- -,- -
74,Depreciation and Amortization,- -,- -,- -,42502,37522,13023,100699,122009,1090,11571,15752,155,39992,84752,174859,268211,80165,67702,23100
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,307350,22826,139272,10602299,11712560,3136120,1020602,402994,287472,- -,748735
77,Change in Working Capital,- -,1726,2316,224483,321811,2367,406944,830213,818090,945725,656890,-137247,61580,645828,657809,515842,1430709,1603765,1244636
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3782,3728,56028,-31053,88047,53324,83163
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8205,-4699,43849,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73153,-44073,-23780,127336,455741,303576,-156678
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-27500,- -,- -,-9125,2775,5422,- -,323316,-10080840,-12358980
82,Other Non-Cash Items,- -,- -,- -,302573,15901,10000,1212159,-26948,966670,1553971,-1663981,312662,620837,1949,203087,3149442,3192806,-2439304,-2850613
83,Cash Provided by Operating Activities,- -,-5116,-5133,-1098940,-904207,-763206,-176980,-210009,-196140,-300718,-255822,-204926,-696728,-75772,-198135,-663830,-1274099,-767837,-834142
84,CAPEX,- -,- -,- -,-2500,- -,- -,- -,-1562,-3212,-43000,- -,- -,- -,-109459,-18665,-14468,-852000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30902,31637,-5000,91847,32448,- -
89,Cash Used for Investing Activites,- -,- -,- -,-2500,- -,- -,- -,-1562,-3212,-43000,- -,- -,- -,-78557,12972,-14468,-760153,32448,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-6298,- -,-39410,-77500,- -,- -,- -,-58221,-61279,-53341,-13499,-576086,- -
91,Common Stock Issued,- -,- -,- -,277000,1283600,712250,201000,34925,188000,57000,163300,107750,596314,162500,136500,40000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5116,5133,819296,-372962,44525,-16728,182552,45684,371270,85500,100000,142049,35298,101298,697677,1935652,1293945,- -
95,Cash Used/Provided by Financing Activities,- -,5116,5133,1096296,910638,756775,177974,217477,194274,350770,248800,207750,738363,139577,176519,684336,1922153,717859,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,5906,-5078,7052,-7022,2824,41635,-14752,-8644,6038,-112100,-57900,- -
98,Cash at the End of Period,- -,- -,- -,- -,6431,- -,994,6900,1822,8874,1852,4676,46311,31559,62948,68986,118307,100776,- -
99,Cash at the Beginning of Period,- -,- -,- -,5144,- -,6431,- -,994,6900,1822,8874,1852,4676,46311,71592,62948,230407,158676,- -
100,Free Cash Flow,- -,-5116,-5133,-1101440,-904207,-763206,-176980,-211571,-199352,-343718,-255822,-204926,-696728,-185231,-216800,-678298,-2126099,-767837,-834142
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811222/000168316819001141/0001683168-19-001141-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316820001188/0001683168-20-001188-index.htm,https://www.sec.gov/Archives/edgar/data/811222/000168316821001166/0001683168-21-001166-index.htm
102,false,,,,,,,,,,,,,,,,,,,
