,https://roic.ai/company/PCYO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,119327,- -,- -,- -,6106,133119,33255,50919,67687,74754,71847,167083,146585,136184,128177,135938,163267,4657098,7297261,1677005,2198503,181006,879266,1067268,1241041,2711775,17532000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5195059,11613112,481451,608000
36,Other Current Assets,16037,10864,7830,7830,11259,11259,11259,- -,- -,34077,213557,50825,246968,127018,154928,236627,242000,279782,154345,1036693,293395,1031106,613848,1372886,1016751,-54086126,458000
37,Total Current Assets,1004596,141049,381685,434286,998390,965502,480174,338639,593467,5738675,5740321,3121383,7288430,5502175,3990396,1819636,5065597,7661764,9899969,4463256,39580939,29085850,27124282,27918218,23537737,25991201,38715000
38,PP&E,5359,5155,3089,1143,- -,- -,- -,19201683,19342994,19473121,19875409,124927980,4210,8005,16593,102940201,110215356,98037453,92280278,94486670,32800263,33667726,40824084,41832094,55825418,60647787,63136000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,684,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,684,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,125000000,103000000,103000000,103159632,103000000,106000000,89000000,89000000,91000000,28000000,6853276,187975,190370,- -,55000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,282000,1283246,- -,- -
44,Other Non-Current Assets,11373244,18547125,18786104,18901440,19235789,19382216,19594716,487957,476943,413805,-19569278,-123747598,1599251,1389223,924460,-101382083,-105158301,-83117140,-82561916,-81776104,-27320289,1272762,1651231,1683933,3074993,-51877975,15326000
45,Total Non-Current Assets,11379287,18552280,18789193,18902583,19235789,19382216,19594716,19689640,19819937,19886926,20306131,126180382,104603461,104397228,104100685,104558118,111057055,103920313,98718362,103710566,33479974,41793764,42663290,43988397,60183657,63769812,78462000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,12383883,18693329,19170878,19336869,20234179,20347718,20074890,20028279,20413404,25625601,26046452,129301765,111891891,109899403,108091081,106377754,116122652,111582077,108618331,108173822,73060913,70879614,69787572,71906615,83721394,89761013,117177000
48,Accounts Payable,60450,53796,6856,4049,55915,6955,- -,2384,8244,2946,28119,34650,15056,37585,22216,44818,69330,261383,167775,1379647,198338,160390,492410,787662,170822,179718,1787000
49,Short-Term Debt,185460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26542,- -,- -,- -,- -,- -,4668943,925980,- -,- -,- -,- -,- -,195566,84000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4213000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420309,55800,55800,55800,55800,55800,55800,65384,65384,65124,56700,55800,55800,361050,3991535,1635443,1995000
52,Other Current Liabilities,- -,- -,45809,45809,921189,794192,17994,19495,43528,180927,240931,289596,85919,70478,60080,70704,533129,5928000,500223,903613,1244027,266018,392017,905271,4134882,4207855,8594000
53,Total Current Liabilities,245910,53796,52665,49858,977104,801147,17994,21879,51772,183873,689359,380046,183317,163863,138096,171322,658259,6254767,5402325,3274364,1499065,482208,940227,2053983,8297239,6218582,12460000
54,Long-Term Debt,2888296,2750311,3550925,3786981,4021177,4287251,4518619,4713270,4889545,1420964,1454921,26542,- -,- -,58737689,- -,1212232,4209329,3211112,4032227,- -,- -,- -,- -,- -,- -,37000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1446108,1390305,1334503,1297605,1232220,1167095,1111293,1055491,999688,60378,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885632,1615000
57,Other Non-Current Liabilities,120228,11218098,11204473,11211613,11218753,122567,11090630,11090630,11090630,10697265,8549437,88828272,53863748,56567786,- -,62356128,65627319,69702614,61000199,8669655,365007,343966,341558,339035,693024,613015,325000
58,Total Non-Current Liabilities,3008524,13968409,14755398,14998594,15239930,4409818,15609249,15803900,15980175,12118229,10004358,88854814,53863748,56567786,60183797,63746433,68174054,75209548,65443531,13868977,1476300,1399457,1341246,399413,693024,1498647,1977000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120285,121000
61,Total Liabilities,3254434,14022205,14808063,15048452,16217034,5210965,15627243,15825779,16031947,12302102,10693717,89234860,54047065,56731649,60321893,63917755,68832313,81464315,70845856,17143341,2975365,1881665,2281473,2453396,8990263,7717229,14437000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,10488,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,- -
63,Common Stock,261584,261584,261584,261584,261584,261584,261584,261584,261584,44387,47770,61602,67512,67360,67360,67360,80130,80130,80130,80130,80185,79185,79185,79218,79427,79525,80000
64,Retained Earnings,-6043987,-19226054,-19579363,-20105144,-20466416,-20549371,-20601414,-20846561,-21167604,-23143260,-24194141,-24987001,-31901737,-38828437,-44556507,-49947769,-55963928,-73382589,-77533034,-77844478,-100972425,-102283032,-103993900,-102524171,-97713023,-90962669,-70853000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-4958,-10543,-16286,-22605,-40105,- -,- -,- -,-1402900,-1695000,-1995300,- -,- -,- -,- -,- -,- -,-4056900,-5450300,- -
66,Other Total Stockholders Equity,10891222,23635594,23680594,24131977,24221977,24333910,24787477,24792435,25287532,36438225,39521278,65031976,89678618,91928398,92257902,93742875,104868704,105415088,115224946,168794396,170977355,171201363,171420381,171897739,176421204,178376838,173513000
67,Total Stockholders Equity,5108819,4671124,4362815,4288417,4017145,4046123,4447647,4202500,4381457,13323499,15352735,40066905,57844826,53167754,47769188,42459999,47290339,30117762,37772475,91030481,70085548,68997949,67506099,69453219,74731141,82043827,102740000
68,Total Liabilities And Stockholders Equity,8363253,18693329,19170878,19336869,20234179,9257088,20074890,20028279,20413404,25625601,26046452,129301765,111891891,109899403,108091081,106377754,116122652,111582077,108618331,108173822,73060913,70879614,69787572,71906615,83721404,89761056,117177000
69,Minority Interest,4020630,- -,- -,- -,- -,11090630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,-43,- -
70,Total Liabilities & Equity,12383883,18693329,19170878,19336869,20234179,20347718,20074890,20028279,20413404,25625601,26046452,129301765,111891891,109899403,108091081,106377754,116122652,111582077,108618331,108173822,73060913,70879614,69787572,71906615,83721394,89761013,117177000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/276720/000110465905057823/a05-20739_110ksb.htm,https://www.sec.gov/Archives/edgar/data/276720/000110465906076952/a06-23975_110k.htm,https://www.sec.gov/Archives/edgar/data/276720/000136231007003014/0001362310-07-003014-index.html,https://www.sec.gov/Archives/edgar/data/276720/000136231008007354/0001362310-08-007354-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012309062329/0000950123-09-062329-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012310104947/0000950123-10-104947-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012311097816/0000950123-11-097816-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119312512484250/0001193125-12-484250-index.html,https://www.sec.gov/Archives/edgar/data/276720/000138713113004505/0001387131-13-004505-index.html,https://www.sec.gov/Archives/edgar/data/276720/000110262414001912/0001102624-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119907315000130/0001199073-15-000130-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495416003152/0001654954-16-003152-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495417010721/0001654954-17-010721-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036118042948/0001140361-18-042948-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036119020266/0001140361-19-020266-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036120025088/0001140361-20-025088-index.htm,https://www.sec.gov/Archives/edgar/data/276720/000155837021015383/0001558370-21-015383-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-515446,-455695,-353309,-525781,-361272,-82955,-52043,-245147,-321043,-1975656,-1050881,-792860,-6914736,-6926700,-5728070,-5391262,-6016159,-17418661,-4150445,-311444,-22835218,-1310607,-1710868,414680,4811148,6750354,20110000
74,Depreciation and Amortization,4900,3253,2066,1946,1143,- -,- -,4958,4948,80548,7891,20082,368960,382648,293113,166513,212184,220657,220834,46807,174717,253434,353939,251230,312602,355909,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1284066,2168878,729000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325518,87639,94550,54588,66812,251915,239986,219886,233245,324840,336228,517024,497000
77,Change in Working Capital,51306,-671433,241767,55408,-363142,143069,297825,-145420,224935,5013107,-503840,-2309625,4363776,-1766801,-1486012,-2203986,2759024,-3000341,3090647,-3308752,36892982,-9478232,-2419587,-319820,-10623737,4532121,-19605000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8007,-7761,-27329,-36974,-449344,-1041288,918252,-23161,-482756,-369923,4870,-24109,-414000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1217292,-5018452,6487689,-522000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,758686,87253,329020,384428,21286,164355,462180,316760,541695,5554802,5050962,2741337,7105113,5338312,3852300,1648314,4407338,1406997,4497644,1188892,38081874,28603642,26184055,25864235,15240498,19772619,4515000
82,Other Non-Cash Items,200676,809599,-63358,212860,1502093,-197801,-886890,362751,-23884,-3633643,728568,2314816,-188423,7018143,5112966,5756522,2327156,18256651,-984513,3373218,-15446533,10044790,2490392,-670448,9978352,6395806,1725000
83,Cash Provided by Operating Activities,-258564,-314276,-172834,-255567,778822,-137687,-641108,-22858,-115044,-515644,-818262,-767587,-2370423,-1292710,-1482485,-1584574,-623245,-1887106,-1756665,51744,-974066,-270729,-1052879,482,3530527,20720092,3456000
84,CAPEX,-138910,-168961,-133284,- -,- -,- -,- -,-109172,-146896,-135870,-410179,-2414527,-40603,-7547,-125346,-19649,- -,-3894,-418308,-3867813,-2118439,-1681726,-3484388,-5469964,-14460720,-8630455,-2896000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-173110,849742,- -,- -,-735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-100212,-91832,-310824,-142214,-63856,- -,- -,-8076016,-5424071,-3885238,-295084,-317998,-3005222,- -,-13198432,-1368078,- -,- -,- -,-32825910,-4368196,-22886836,-52040964,-1720234,- -
87,Sales/Maturities of Investments,1278289,- -,- -,- -,- -,- -,- -,- -,- -,4035207,5971735,4833174,1955669,790661,- -,1561588,3202373,4724847,1101367,- -,- -,2840000,9786406,34057552,55697933,6905157,- -
88,Other Investing Activites,-254232,-279906,-133284,- -,- -,- -,- -,-15910,- -,50000,60400,- -,19250,1000,59671,- -,- -,1099,3415000,6004116,44650149,-451347,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1023379,-282271,-233496,-91832,-310824,-142214,-63856,-125082,-146896,-4126679,197885,-1639701,2488974,466116,-3070897,806939,-9996059,3353974,4098059,2136303,42531710,-32118983,1933822,5700752,-10803751,-3445532,-2896000
90,Debt Repayment,-21453,-142500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3033,- -,-4720,- -,-1792192,-2880667,-8928992,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,400000,90000,120000,319500,- -,500000,10576743,676498,1177938,9024608,- -,- -,- -,5401606,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,650000,- -,- -,- -,- -,- -,- -,-4886001,343560,-370463,-3422153,-29508,22525,84569,5282196,84854,275644,-6185,2710831,-2041,-2408,287981,186205,44778,87000
95,Cash Used/Provided by Financing Activities,-21453,-142500,650000,400000,90000,120000,319500,- -,500000,5690742,1020058,807475,5602455,-29508,19492,84569,10679082,84854,-1516548,-2886852,-6218161,-2041,-2408,287981,186205,44778,87000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,743362,-739047,243670,52601,557998,-159901,-385464,-147940,238060,1048421,399681,-1599813,5721006,-856102,-4533890,-693066,59778,1551722,824846,-698805,35339483,-32391753,878535,5989215,-7087019,17319338,647000
98,Cash at the End of Period,865803,126756,370426,423027,981025,821124,435660,287720,525780,1574201,1973882,374069,6095075,5238973,705083,12017,71795,1623517,2448363,1749558,37089041,4697288,5575823,11565038,4478019,21797358,22444000
99,Cash at the Beginning of Period,122441,865803,126756,370426,423027,981025,821124,435660,287720,525780,1574201,1973882,374069,6095075,5238973,705083,12017,71795,1623517,2448363,1749558,37089041,4697288,5575823,11565038,4478020,21797000
100,Free Cash Flow,-397474,-483237,-306118,-255567,778822,-137687,-641108,-132030,-261940,-651514,-1228441,-3182114,-2411026,-1300257,-1607831,-1604223,-623245,-1891000,-2174973,-3816069,-3092505,-1952455,-4537267,-5469482,-10930193,12089637,560000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/276720/000110465905057823/a05-20739_110ksb.htm,https://www.sec.gov/Archives/edgar/data/276720/000110465906076952/a06-23975_110k.htm,https://www.sec.gov/Archives/edgar/data/276720/000136231007003014/0001362310-07-003014-index.html,https://www.sec.gov/Archives/edgar/data/276720/000136231008007354/0001362310-08-007354-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012309062329/0000950123-09-062329-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012310104947/0000950123-10-104947-index.html,https://www.sec.gov/Archives/edgar/data/276720/000095012311097816/0000950123-11-097816-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119312512484250/0001193125-12-484250-index.html,https://www.sec.gov/Archives/edgar/data/276720/000138713113004505/0001387131-13-004505-index.html,https://www.sec.gov/Archives/edgar/data/276720/000110262414001912/0001102624-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/276720/000119907315000130/0001199073-15-000130-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495416003152/0001654954-16-003152-index.html,https://www.sec.gov/Archives/edgar/data/276720/000165495417010721/0001654954-17-010721-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036118042948/0001140361-18-042948-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036119020266/0001140361-19-020266-index.html,https://www.sec.gov/Archives/edgar/data/276720/000114036120025088/0001140361-20-025088-index.htm,https://www.sec.gov/Archives/edgar/data/276720/000155837021015383/0001558370-21-015383-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
