,https://roic.ai/company/RIBT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,4302537,3988686,9763157,24775591,8558570,17043000,37291000,61655000,60923000,42693000,44949000,45341000,44721000,52872000,46172000,47512000,19452000,22974000,38270000,36641000,37776000
12,Interest Income ,1443,637,2,4497,18299,545000,2809000,850000,448000,156000,126000,74000,109000,115000,107000,100000,- -,- -,50000,20000,1000
13,Interest Expense (Gain),1080602,98927,4310796,27602,896021,7000,1000,728000,2314000,1542000,1763000,1926000,3934000,10334000,3101000,4032000,1623000,12000,96000,318000,-463000
14,Depreciation and Amortization,94397,126460,238900,38057,1091390,1150000,2202000,5962000,6955000,4774000,4980000,4612000,4048000,6549000,4063000,3037000,757000,773000,1930000,2621000,- -
15,EBITDA,-2596475,-2575150,-7988102,-23508808,-1884729,2742000,-9688000,-57818000,-23300000,-10287000,-3701000,-4906000,-8478000,-7450000,-1280000,-1420000,-7181000,-7271000,-11925000,-8772000,-9391000
16,EBITDA ratio,-1.6125,-2.0018,-5.2001,-19.2029,-0.3387,0.1516,-0.4372,-1.6414,-0.7013,-0.3252,-0.1001,-0.1301,-0.2419,-0.1857,-0.0321,-0.0360,-0.5377,-0.4925,-0.5029,-0.3348,-0.3017
17,Operating Income,-2692315,-2702247,-8227004,-23551362,-2994419,1047000,-15130000,-63658000,-29294000,-13905000,-9584000,-8687000,-9970000,-12764000,-6276000,-11131000,-6097000,-8212000,-14557000,-11289000,-10566000
18,Operating Income ratio,-1.6720,-2.1006,-5.3556,-19.2377,-0.5382,0.0579,-0.6827,-1.8072,-0.8817,-0.4396,-0.2593,-0.2303,-0.2844,-0.3182,-0.1573,-0.2825,-0.4565,-0.5563,-0.6139,-0.4309,-0.3394
19,Total Other Income Expenses (Gains),-1079159,- -,- -,- -,- -,- -,3239000,-930000,-3383000,-2698000,-1636000,-4384000,-9109000,-15167000,-4476000,-78000,-9118000,156000,822000,-422000,1638000
20,Income Before Tax,-3771474,- -,- -,- -,- -,- -,-11891000,-64588000,-32677000,-16603000,-11220000,-13071000,-19079000,-27931000,-10752000,-11209000,-15215000,-8056000,-13735000,-11711000,-8928000
21,Income Before Tax Ratio,-2.3422,- -,- -,- -,- -,- -,-0.5366,-1.8336,-0.9836,-0.5249,-0.3036,-0.3465,-0.5443,-0.6964,-0.2695,-0.2845,-1.1393,-0.5457,-0.5792,-0.4470,-0.2868
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,20000,64000,-474000,-935000,-345000,-1935000,-1439000,-1304000,-176000,41000,-5030000,45000,- -,19000,21000
23,Net Income,-3771474,-2800537,-12537798,-23574467,-3872140,1585000,-11911000,-64572000,-32095000,-15668000,-10099000,-9509000,-15021000,-23029000,-8268000,-8530000,-4531000,-8101000,-13951000,-11730000,-8949000
24,Net Income ratio,-2.3422,-2.1770,-8.1618,-19.2566,-0.6959,0.0876,-0.5375,-1.8332,-0.9660,-0.4953,-0.2733,-0.2521,-0.4285,-0.5742,-0.2072,-0.2165,-0.3393,-0.5488,-0.5883,-0.4477,-0.2875
25,EPS,-400.00,-260.00,-414.00,-236.00,-20.00,4.00,-18.00,-80.00,-34.00,-16.00,-10.00,-10.00,-12.95,-3.96,-0.90,-0.97,-0.45,-0.37,-0.85,-0.29,-0.19
26,EPS Diluted,-400.00,-260.00,-414.00,-236.00,-20.00,4.00,-18.00,-80.00,-34.00,-16.00,-10.00,-10.00,-12.95,-3.96,-0.90,-0.97,-0.45,-0.37,-0.85,-0.29,-0.19
27,Weighted Average Shares Outstanding,9343,11035,30532,99529,193076,396250,629690,802925,917765,965980,991850,1023411,1160196,5809364,9187983,9338370,11923923,22099149,32359316,41131782,47738948
28,Weighted Average Shares Outstanding Diluted,9343,11035,30532,99529,193076,396250,629690,802925,917765,965980,991850,1023411,1160196,5809364,9187983,9338370,11923923,22099149,32359316,41131782,47738948
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063537/000114036106004846/0001140361-06-004846-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420407015919/0001144204-07-015919-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420408015917/0001144204-08-015917-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036109023581/0001140361-09-023581-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111011956/0001140361-11-011956-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111019762/0001140361-11-019762-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036112018362/0001140361-12-018362-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036113014766/0001140361-13-014766-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036114014774/0001140361-14-014774-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036115013726/0001140361-15-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036116059519/0001140361-16-059519-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036117013050/0001140361-17-013050-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036118013699/0001140361-18-013699-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036119006270/0001140361-19-006270-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036120006720/0001140361-20-006720-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774921004127/0001437749-21-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774922006591/0001437749-22-006591-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,34718,100023,1928281,3490556,14867000,41298000,4867000,952000,537000,3329000,1040000,5091000,3610000,1070000,451000,6203000,7044000,8444000,5263000,5825
32,Short-Term Investments,- -,- -,- -,183801,144947,368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,34718,100023,2112082,3635503,15235000,41298000,4867000,952000,537000,3329000,1040000,5091000,3610000,1070000,451000,6203000,7044000,8444000,5263000,5825
34,Net Receivables,- -,7273,30453,7681,2514961,8787000,5282000,3286000,4706000,4702000,6061000,4654000,3258000,3792000,2978000,2091000,1273000,3676000,3738000,2819000,4136
35,Inventory,- -,42695,70894,304064,594614,796000,1808000,3883000,3238000,2994000,2297000,1994000,2430000,3508000,3857000,3773000,678000,958000,898000,1878000,2444
36,Other Current Assets,- -,27180,14857,30755,82400,1383000,3303000,6465000,19753000,8062000,3326000,3128000,2753000,3162000,2816000,1213000,1294000,835000,691000,1380000,810
37,Total Current Assets,- -,111866,216227,2454582,6827478,26201000,51691000,18501000,28649000,16295000,15013000,10816000,13532000,14072000,10721000,7528000,9448000,12513000,13771000,11340000,13215
38,PP&E,- -,155712,18532,119650,5493036,8961000,19328000,56983000,26243000,24054000,27995000,28457000,24958000,24753000,18328000,18933000,7850000,15010000,21829000,18819000,17571
39,Goodwill,- -,- -,- -,- -,32581007,32314000,39510000,5579000,5626000,5835000,5240000,4773000,4139000,4431000,3258000,790000,- -,3178000,3915000,3915000,- -
40,Intangible Assets,- -,298749,306322,579852,2417815,5097000,5743000,12043000,7679000,6296000,3928000,2575000,1417000,2740000,1225000,242000,- -,- -,950000,722000,527
41,Intangible Assets,- -,298749,306322,579852,34998822,37411000,45253000,17622000,13305000,12131000,9168000,7348000,5556000,7171000,4483000,1032000,- -,3178000,4865000,4637000,527
42,Investments,- -,- -,- -,- -,- -,- -,- -,6394000,91000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,183801,144947,682000,8021000,2880000,1880000,695000,56000,385000,532000,88000,103000,1352000,63000,16000,27000,- -,- -
45,Total Non-Current Assets,- -,454461,324854,883303,40636805,47054000,72602000,83879000,41519000,36929000,37219000,36190000,31046000,32012000,22914000,21317000,7913000,18204000,26721000,23456000,18098
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,566327,541081,3337885,47464283,73255000,124293000,102380000,70168000,53224000,52232000,47006000,44578000,46084000,33635000,28845000,17361000,30717000,40492000,34796000,31313
48,Accounts Payable,- -,707331,304353,261073,998706,2778000,7506000,3415000,2588000,2573000,2995000,3021000,4489000,3286000,2514000,3710000,765000,4318000,1662000,955000,826
49,Short-Term Debt,- -,230800,- -,1635174,6069,- -,23000,6159000,6642000,3235000,6792000,8003000,8250000,4808000,5050000,9878000,4000,686000,1851000,2783000,1651
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,5147,103000,90000,305000,67000,- -,- -,- -,- -,- -,- -,- -,75000,145000,12000,- -,- -
52,Other Current Liabilities,- -,559908,724001,274500,251179,- -,- -,13420000,5047000,10672000,5817000,4509000,6222000,7036000,7114000,7773000,1772000,1712000,2287000,2088000,6679
53,Total Current Liabilities,- -,1498039,1028354,2170747,1261101,2881000,7619000,23299000,14344000,16480000,15604000,15533000,18961000,15130000,14678000,21361000,2616000,6861000,5812000,5826000,9156
54,Long-Term Debt,- -,- -,- -,- -,8906,- -,77000,4717000,5957000,7365000,7933000,11581000,10919000,11288000,10908000,6009000,12000,145000,73000,5550000,3304
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,4187000,5110000,4361000,3767000,1674000,- -,396000,34000,29000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2190931,- -,- -,7300500,5490000,- -,1000000,9233000,2628000,1296000,13782000,8862000,3598000,747000,1527000,- -,- -,2864000,- -,358
58,Total Non-Current Liabilities,- -,2190931,- -,- -,7309406,5490000,77000,10955000,20300000,14354000,12996000,27037000,19781000,15282000,11689000,7565000,12000,145000,2937000,5550000,3662
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3274000,2869000,- -
61,Total Liabilities,- -,3688970,1028354,2170747,8570507,8371000,7696000,34254000,34644000,30834000,28600000,42570000,38742000,30412000,26367000,28926000,2628000,7006000,8749000,11376000,12818
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551000,313000,201000,112000,112000,- -
63,Common Stock,- -,5457796,20979874,48123282,89783817,- -,- -,- -,- -,- -,- -,210396000,227513000,261299000,262895000,264232000,279548000,296739000,318811000,322218000,326279
64,Retained Earnings,- -,-8278840,-21344955,-44927792,-48799935,-49305000,-61216000,-133136000,-169144000,-184812000,-194911000,-204420000,-219441000,-242470000,-250738000,-260518000,-265128000,-273229000,-287180000,-298910000,-307859
65,Other Comprehensive Income/Loss,- -,-210478,-299067,-315370,-2000000,-1445000,-2784000,2000000,-7426000,-10121000,-1000000,-2000000,-2000000,-3000000,-5000000,-4000000,-9436000,-10122000,-11996000,- -,- -
66,Other Total Stockholders Equity,- -,-91121,176875,-1712982,-90106,115634000,180597000,199342000,212250000,217479000,209625000,460000,-236000,-157000,111000,-346000,9436000,10122000,11996000,- -,75
67,Total Stockholders Equity,- -,-3122643,-487273,1167138,38893776,64884000,116597000,68206000,35680000,22546000,13714000,4436000,5836000,15672000,7268000,-81000,14733000,23711000,31743000,23420000,18495
68,Total Liabilities And Stockholders Equity,- -,566327,541081,3337885,47464283,73255000,124293000,102460000,70324000,53380000,42314000,47006000,44578000,46084000,33635000,28845000,17361000,30717000,40492000,34796000,31313
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-80000,-156000,-156000,9918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,566327,541081,3337885,47464283,73255000,124293000,102380000,70168000,53224000,52232000,47006000,44578000,46084000,33635000,28845000,17361000,30717000,40492000,34796000,31313
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063537/000114036106004846/0001140361-06-004846-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420407015919/0001144204-07-015919-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420408015917/0001144204-08-015917-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036109023581/0001140361-09-023581-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111011956/0001140361-11-011956-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111019762/0001140361-11-019762-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036112018362/0001140361-12-018362-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036113014766/0001140361-13-014766-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036114014774/0001140361-14-014774-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036115013726/0001140361-15-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036116059519/0001140361-16-059519-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036117013050/0001140361-17-013050-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036118013699/0001140361-18-013699-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036119006270/0001140361-19-006270-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036120006720/0001140361-20-006720-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774921004127/0001437749-21-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774922006591/0001437749-22-006591-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3771474,-2800537,-12537798,-23574467,-3872140,1585000,-11911000,-64572000,-32095000,-15668000,-10099000,-9509000,-15021000,-23029000,-8268000,-8530000,-4531000,-8101000,-13951000,-11730000,-8949000
74,Depreciation and Amortization,94397,126460,238900,38057,1091390,1150000,2202000,5962000,6955000,4774000,4980000,4612000,4048000,6549000,4063000,3037000,757000,773000,1930000,2621000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-474000,-935000,-345000,-1935000,-1248000,-1304000,-192000,-5000,-5046000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2510000,574000,2141000,1475000,1161000,765000,729000,898000,1275000,1073000,886000,1360000,1077000,- -
77,Change in Working Capital,353985,574046,1095962,5282542,17753623,20752000,-48870000,19103000,-14490000,-406000,-4126000,-712000,4371000,-2899000,-9876000,20665000,-1180000,2307000,-2445000,-5509941,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000,-577000,-462000,256000,-766000,63000,228000,-179000,331000,-1102000,997000,- -
79,Inventory,421886,51191,-28199,-233170,107488,-202000,-971000,-1494000,1024000,334000,343000,201000,-561000,-138000,-677000,248000,279000,-138000,332000,-980000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2111000,-1682000,517000,215000,- -,- -,- -,- -,- -,1111000,-296000,-709000,- -
81,Other Working Capital,-1386173,-812127,283835,5566377,23320000,44072000,-4798000,14305000,-185000,-591000,-4717000,-5429000,-1058000,-3957000,-13833000,6832000,5652000,7959000,5514000,4059,4059
82,Other Non-Cash Items,2467776,1228765,10227924,18871193,-18351189,-24116000,56226000,20437000,30751000,2753000,-1037000,1561000,1883000,9887000,9581000,-20372000,5153000,-1106000,-344000,5595941,8949000
83,Cash Provided by Operating Activities,-855316,-871266,-975012,617325,-3378316,-629000,-2353000,-16560000,-8779000,-7341000,-9152000,-4822000,-5202000,-10067000,-3794000,-3930000,-3774000,-5241000,-13450000,-7946000,- -
84,CAPEX,-234348,-61150,-20075,-117421,-96601,-4682000,-11652000,-29834000,-1768000,-772000,-6867000,-6482000,-4319000,-5423000,-1068000,-720000,-862000,-3248000,-4219000,-1184000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,-2000000,-4000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-2380000,- -,- -,-8812000,-20826000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4969000,823000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-30199,-24669,-17770,-295284,32777,-5016000,-6797000,-6036000,6214000,8846000,690000,1520000,-371000,298000,- -,1925000,- -,-337000,223000,265000,- -
89,Cash Used for Investing Activites,-264547,-85819,-37845,-2792705,-63824,-9698000,-27261000,-48339000,5269000,9274000,-6177000,-4962000,-3490000,-6125000,-1068000,1205000,-862000,-5585000,-7996000,-919000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5716000,-8818000,-12610000,-18404000,-18971000,-23823000,-38153000,-19744000,-16000,-5541000,-27868000,- -
91,Common Stock Issued,1020000,355501,532075,2776468,7405932,5784000,56045000,18775000,- -,- -,- -,- -,8025000,13296000,- -,- -,2778000,- -,19422000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-360000,- -,- -,- -,- -,-556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-48004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,499500,230800,546087,1635174,-2401517,15919000,- -,11291000,69000,3399000,27187000,20252000,23193000,20749000,25991000,40156000,12083000,11133000,9215000,33552000,- -
95,Cash Used/Provided by Financing Activities,1519500,586301,1078162,4003638,5004415,21703000,56045000,30066000,-487000,-2317000,18369000,7642000,12814000,15074000,2168000,2003000,-4883000,11117000,23096000,5684000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-1498000,82000,-31000,-248000,-147000,-71000,-363000,154000,103000,154000,- -,- -,- -,- -
97,Net Change In Cash,399637,-370784,65305,1828258,1562275,11376000,26431000,-36331000,-3915000,-415000,2792000,-2289000,4051000,-1481000,-2540000,-619000,6636000,291000,1175000,-3181000,- -
98,Cash at the End of Period,405502,34718,100023,1928281,3490556,14867000,41298000,4867000,952000,537000,3329000,1040000,5091000,3610000,1070000,451000,6978000,7269000,8444000,5263000,- -
99,Cash at the Beginning of Period,5865,405502,34718,100023,1928281,3491000,14867000,41198000,4867000,952000,537000,3329000,1040000,5091000,3610000,1070000,342000,6978000,7269000,8444000,5263000
100,Free Cash Flow,-1089664,-932416,-995087,499904,-3474917,-5311000,-14005000,-46394000,-10547000,-8113000,-16019000,-11304000,-9521000,-15490000,-4862000,-4650000,-4636000,-8489000,-17669000,-9130000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063537/000114036106004846/0001140361-06-004846-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420407015919/0001144204-07-015919-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114420408015917/0001144204-08-015917-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036109023581/0001140361-09-023581-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111011956/0001140361-11-011956-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036111019762/0001140361-11-019762-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036112018362/0001140361-12-018362-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036113014766/0001140361-13-014766-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036114014774/0001140361-14-014774-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036115013726/0001140361-15-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036116059519/0001140361-16-059519-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036117013050/0001140361-17-013050-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036118013699/0001140361-18-013699-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036119006270/0001140361-19-006270-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000114036120006720/0001140361-20-006720-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774921004127/0001437749-21-004127-index.htm,https://www.sec.gov/Archives/edgar/data/1063537/000143774922006591/0001437749-22-006591-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
