,https://roic.ai/company/WW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19515000,- -,23300000,57500000,- -,23400000,31476000,37500000,39800000,- -,47300000,46100000,47469000,70200000,174600000,- -,301212000,108656000,83054000,236974000,182736000,- -,165887000
34,Net Receivables,148452000,- -,13600000,19100000,- -,18500000,28040000,40300000,42400000,- -,37900000,39600000,47175000,37400000,36200000,- -,31960000,27518000,23913000,27247000,30519000,- -,34555000
35,Inventory,7580000,- -,26200000,38600000,- -,39100000,31678000,38500000,44600000,- -,40100000,32500000,53437000,46800000,40900000,- -,32382000,32629000,31728000,25851000,27204000,- -,39456000
36,Other Current Assets,11207000,- -,20800000,30200000,- -,33600000,36516000,38400000,59500000,- -,99700000,81800000,66445000,63600000,64000000,- -,60111000,66408000,70293000,76352000,54931000,- -,59294000
37,Total Current Assets,186754000,- -,83900000,145400000,- -,114600000,127710000,154700000,186300000,- -,225000000,200000000,214526000,218000000,315700000,- -,425665000,235211000,208988000,366424000,295390000,- -,299192000
38,PP&E,8725000,- -,10700000,12500000,- -,15700000,20775000,31000000,37600000,- -,37500000,36000000,41072000,71800000,87100000,- -,74650000,49574000,47978000,52202000,206049000,- -,171037000
39,Goodwill,143714000,- -,234300000,308200000,- -,23800000,51305000,51300000,51400000,- -,51300000,51400000,50012000,59400000,79300000,- -,168279000,166138000,156281000,152519000,157916000,- -,155617000
40,Intangible Assets,8113000,- -,6900000,2400000,- -,498700000,564441000,712900000,751700000,- -,777100000,790300000,801487000,839500000,882100000,- -,828998000,807231000,800576000,808296000,812476000,- -,825559000
41,Intangible Assets,151827000,- -,241200000,310600000,- -,522500000,615746000,764200000,803100000,- -,828400000,841700000,851499000,898900000,961400000,- -,997277000,973369000,956857000,960815000,970392000,- -,981176000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,4133000,- -,3200000,3300000,- -,- -,61917000,- -,1800000,- -,2700000,34600000,- -,129400000,164100000,- -,176278000,- -,143591000,190258000,175235000,- -,13625000
44,Other Non-Current Assets,19995000,- -,143800000,138100000,- -,116900000,9343000,52500000,17400000,- -,13200000,-24800000,14531000,-99500000,-119400000,- -,-139230000,12822000,-111414000,-155158000,-148752000,- -,16144000
45,Total Non-Current Assets,184680000,- -,398900000,464500000,- -,655100000,707781000,847700000,859900000,- -,881800000,887500000,907102000,1000600000,1093200000,- -,1108975000,1035765000,1037012000,1048117000,1202924000,- -,1181982000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,371434000,- -,482800000,609900000,- -,769700000,835491000,1002400000,1046200000,- -,1106800000,1087500000,1121628000,1218600000,1408900000,- -,1534640000,1270976000,1246000000,1414541000,1498314000,- -,1481174000
48,Accounts Payable,12710000,- -,17700000,20200000,- -,22300000,19714000,31900000,42700000,- -,33200000,28400000,60810000,49300000,45500000,- -,52411000,40639000,24356000,27098000,29064000,- -,23052000
49,Short-Term Debt,- -,- -,2900000,18361000,- -,15554000,4700000,18922000,45625000,- -,152500000,215000000,124933000,114695000,30000000,- -,24000000,21000000,82750000,77000000,129486000,- -,105551000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33744000,- -,- -,- -,- -,- -,- -,- -,22618000,3644000,- -,7810000
51,Deferred Revenue,- -,- -,- -,4519000,- -,3804000,38489000,3443000,9917000,- -,32331000,18242000,83758000,86161000,76330000,- -,66190000,62880000,74332000,53501000,60613000,- -,50475000
52,Other Current Liabilities,82844000,- -,87400000,80320000,- -,92542000,102985000,182235000,260158000,- -,277069000,274458000,224706000,197744000,193970000,- -,289094000,167869000,161589000,183717000,174907000,- -,161021000
53,Total Current Liabilities,95554000,- -,108000000,123400000,- -,134200000,165888000,236500000,358400000,- -,495100000,536100000,494207000,447900000,345800000,- -,431695000,292388000,343027000,341316000,394070000,- -,340099000
54,Long-Term Debt,15500000,- -,458300000,436300000,- -,454300000,741425000,830200000,1602500000,- -,1485000000,1238000000,926868000,2291700000,2358000000,- -,2277272000,1981299000,1740612000,1669708000,1480016000,- -,1408800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,8228000,- -,- -,- -,- -,- -,26000,- -,- -,- -,- -,- -,100723000,129431000,164064000,- -,176278000,175115000,143591000,190258000,175235000,- -,173713000
57,Other Non-Current Liabilities,3204000,- -,4100000,3700000,- -,- -,8803000,4100000,11700000,- -,14200000,49900000,9596000,15069000,15736000,- -,22436000,29747000,34756000,22202000,134536000,- -,106773000
58,Total Non-Current Liabilities,26932000,- -,462400000,440000000,- -,454300000,750254000,834300000,1614200000,- -,1499200000,1287900000,1037187000,2436200000,2537800000,- -,2475986000,2186161000,1918959000,1882168000,1789787000,- -,1689286000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161700000,- -,130112000
61,Total Liabilities,122486000,- -,570400000,563400000,- -,588500000,916142000,1070800000,1972600000,- -,1994300000,1824000000,1531394000,2884100000,2883600000,- -,2907681000,2478549000,2261986000,2223484000,2183857000,- -,2029385000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-74000000,73500000,- -,223600000,617470000,465700000,645400000,- -,826200000,955500000,1378616000,1603500000,1773300000,- -,1900506000,2056893000,2203317000,2382438000,2500083000,- -,2617841000
65,Other Comprehensive Income/Loss,- -,- -,-26600000,-3873000,- -,6052000,-307257000,-298588000,-306489000,- -,-333768000,-7683000,5601000,12859000,8517000,- -,-19560000,-27120000,-10467000,-15757000,-27352000,- -,-25149000
66,Other Total Stockholders Equity,248948000,- -,13100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,248948000,- -,-87500000,46548000,- -,181188000,-80651000,-68367000,-926330000,- -,-887516000,-736512000,-409766000,-1665459000,-1474622000,- -,-1389808000,-1207573000,-1015986000,-808943000,-685543000,- -,-548211000
68,Total Liabilities And Stockholders Equity,371434000,- -,482900000,609948000,- -,769688000,835491000,1002433000,1046270000,- -,1106784000,1087488000,1121628000,1218641000,1408978000,- -,1517873000,1270976000,1246000000,1414541000,1498314000,- -,1481174000
69,Minority Interest,- -,- -,-100000,-48000,- -,12000,- -,-33000,-70000,- -,16000,12000,- -,-41000,-78000,- -,16767000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,371434000,- -,482800000,609900000,- -,769700000,835491000,1002400000,1046200000,- -,1106800000,1087500000,1121628000,1218600000,1408900000,- -,1534640000,1270976000,1246000000,1414541000,1498314000,- -,1481174000
71,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/105319/000104746903010932/0001047469-03-010932-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000104746904008464/0001047469-04-008464-index.html,https://www.sec.gov/Archives/edgar/data/105319/000104746906002530/a2167852z10-k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312507042685/d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312508040223/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312509044912/0001193125-09-044912-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312510046833/0001193125-10-046833-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312512082958/0001193125-12-082958-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312513079926/0001193125-13-079926-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312514069945/d644264d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312515076854/d856122d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312517065504/0001193125-17-065504-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459018003755/0001564590-18-003755-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459019004487/0001564590-19-004487-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459020006415/0001564590-20-006415-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000156459021008898/0001564590-21-008898-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,37759000,37759000,147200000,143700000,- -,143900000,174400000,209800000,201200000,- -,204300000,177300000,304867000,257400000,204700000,- -,117787000,67699000,163514000,223749000,119616000,- -,75079000
74,Depreciation and Amortization,9286000,10398000,13200000,4700000,- -,5900000,13696000,13400000,19000000,- -,24500000,27900000,30995000,36600000,44900000,- -,49234000,52633000,50880000,44061000,45017000,- -,50677000
75,Deferred Income Tax,8541000,6883000,-71100000,4600000,- -,16900000,11184000,28800000,18300000,- -,11400000,38400000,25291000,26800000,35400000,- -,29099000,11093000,-48216000,-13673000,-9424000,- -,-1440000
76,Stock Based Compensation,- -,- -,- -,- -,- -,53000,- -,11789000,11763000,- -,11302000,8796000,9067000,8845000,4255000,- -,10533000,6527000,14949000,20188000,20471000,- -,55013000
77,Change in Working Capital,-7795000,- -,-115300000,46100000,- -,-41600000,-11378000,-43622000,-90300000,- -,-98000000,-66000000,69019000,49781000,199800000,- -,24070000,94493000,-76862000,159147000,-123788000,- -,57773000
78,Accounts Receivable,- -,- -,1100000,-5500000,- -,861000,- -,-10656000,-2099000,- -,-343000,-1322000,- -,5870000,345000,- -,3777000,- -,5444000,-7999000,1331000,- -,-3600000
79,Inventory,-5177000,-1696000,-11200000,-12400000,- -,4627000,-6014000,6990000,9317000,- -,9996000,7928000,-24456000,-1341000,-2226000,- -,-3218000,-9513000,-4504000,-1148000,-9127000,- -,-25940000
80,Accounts Payable,-1512000,- -,5201000,- -,- -,- -,- -,- -,- -,- -,- -,-5878000,17495000,-11794000,-3607000,- -,9870000,461000,-14507000,2224000,1347000,- -,-4045000
81,Other Working Capital,91200000,91200000,-24100000,22000000,- -,-19600000,-38178000,-81800000,-172100000,- -,-270100000,-336100000,-279681000,-229900000,-30100000,- -,-6030000,-57177000,-134039000,25108000,-98680000,- -,-40907000
82,Other Non-Cash Items,2094000,-5155000,147600000,-34200000,- -,107947000,108894000,45633000,158537000,- -,87698000,79104000,-37350000,-30026000,-165555000,- -,896000,-113401000,118009000,-137880000,130491000,- -,-101162000
83,Cash Provided by Operating Activities,49885000,49885000,121600000,164900000,- -,233100000,296796000,265800000,318500000,- -,241200000,265500000,401889000,349400000,323500000,- -,231619000,119044000,222274000,295592000,182383000,- -,135940000
84,CAPEX,-1874000,-1874000,-3800000,-4900000,- -,-5000000,-14634000,-31000000,-31800000,- -,-31600000,-23400000,-44836000,-48807000,-40657000,- -,-9097000,-34341000,-13732000,-19050000,-17159000,- -,-50431000
85,Acquisitions Net,-15900000,-15900000,-97877000,-68148000,- -,-210470000,-380832000,-140374000,-16812000,- -,-39661000,- -,- -,-30400000,-83825000,- -,-16678000,-2898000,- -,-7100000,-4060000,- -,-10037000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1504189000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3741000,-3741000,-18423000,-852000,- -,3870000,-4801000,-26000,-188000,- -,-939000,-200000,-22124000,1473896000,-20818000,- -,-43217000,-34632000,-27059000,-37808000,-31404000,- -,-55554000
89,Cash Used for Investing Activites,-19641000,-19641000,-120100000,-73900000,- -,-211600000,-400267000,-171400000,-48800000,- -,-72200000,-23600000,-45210000,-109500000,-145300000,- -,-68992000,-37530000,-40791000,-63958000,-52623000,- -,-65591000
90,Debt Repayment,-3530000,-3530000,- -,- -,- -,-58447000,- -,-449466000,-401034000,- -,-45625000,-162500000,-313285000,-124833000,-2488364000,- -,-30000000,-213323000,-2018773000,-57750000,-177000000,- -,-96250000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,4563000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-324476000,-324476000,-26400000,-23300000,- -,-26800000,-175980000,-145900000,-1015100000,- -,-107900000,100000,-34924000,-1491500000,16200000,- -,658000,- -,5475000,33417000,1076000,- -,- -
93,Dividends Paid,-2796000,-2796000,-1500000,-1200000,- -,- -,- -,-51800000,-58500000,- -,-55000000,-54100000,-51624000,-52000000,-29600000,- -,-80000,-11000,- -,- -,- -,- -,- -
94,Other Financing Activites,338914000,338914000,6500000,-36000000,- -,25747000,274571000,556266000,1205434000,- -,48425000,-30500000,47871000,1457233000,2427364000,- -,1000,1112000,1801816000,-50020000,-7069000,- -,711000
95,Cash Used/Provided by Financing Activities,8112000,8112000,-21400000,-60500000,- -,-59500000,103154000,-90900000,-269200000,- -,-160100000,-247000000,-351962000,-211100000,-74400000,- -,-29421000,-212222000,-211482000,-74353000,-182993000,- -,-95539000
96,Effect of Forex Changes on Cash,-13828000,-13828000,-1300000,3600000,- -,3900000,-3365000,2500000,1800000,- -,-1400000,3900000,2218000,-11800000,600000,- -,-6551000,-2162000,4397000,-3361000,-1005000,- -,8341000
97,Net Change In Cash,24528000,24528000,-21200000,34200000,- -,-34100000,-3680000,6000000,2300000,- -,7500000,-1200000,6935000,17000000,104300000,- -,126655000,-132870000,-25602000,153920000,-54238000,- -,-16849000
98,Cash at the End of Period,44043000,44043000,23300000,57500000,- -,23400000,31476000,37500000,39800000,- -,47300000,46100000,47469000,64500000,174500000,- -,301255000,108656000,83054000,236974000,182736000,- -,165887000
99,Cash at the Beginning of Period,19515000,19515000,44500000,23300000,- -,57500000,35156000,31500000,37500000,- -,39800000,47300000,40534000,47500000,70200000,- -,174600000,241526000,108656000,83054000,236974000,- -,182736000
100,Free Cash Flow,48011000,48011000,117800000,160000000,- -,228100000,282162000,234800000,286700000,- -,209600000,242100000,357053000,270700000,261600000,- -,179933000,84703000,181626000,248779000,134400000,- -,85509000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105319/000104746903010932/0001047469-03-010932-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000104746904008464/0001047469-04-008464-index.html,https://www.sec.gov/Archives/edgar/data/105319/000104746906002530/a2167852z10-k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312507042685/d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312508040223/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312509044912/0001193125-09-044912-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312510046833/0001193125-10-046833-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312512082958/0001193125-12-082958-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312513079926/0001193125-13-079926-index.html,https://www.sec.gov/Archives/edgar/data/105319/000119312514069945/d644264d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/105319/000119312515076854/d856122d10k.htm,https://www.sec.gov/Archives/edgar/data/105319/000119312517065504/0001193125-17-065504-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459018003755/0001564590-18-003755-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459019004487/0001564590-19-004487-index.html,https://www.sec.gov/Archives/edgar/data/105319/000156459020006415/0001564590-20-006415-index.html,undefined,https://www.sec.gov/Archives/edgar/data/105319/000156459021008898/0001564590-21-008898-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
