,https://roic.ai/company/NUWE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,-50.2000,-9.8606,-4.3103,-3.5629,-21.8985,-59.6843,-15.4197,-Infinity,-Infinity,-386.2034,-86.6407,-434.5593,-11.3615,-3.5483,-3.3601,-3.2421,-2.0765,-2.4089
17,Operating Income,- -,- -,-1199768,-3792903,-5435709,-9787458,-9316963,-6754239,-6219435,-16562000,-14869000,-22871000,-25787000,-25958000,-15662000,-14812000,-17036000,-18106000,-17028000,-19526000
18,Operating Income ratio,- -,- -,-51.2021,-9.9353,-4.3377,-3.5829,-22.0760,-62.3648,-15.5476,-Infinity,-Infinity,-387.6441,-87.4136,-439.9661,-12.1505,-4.1689,-3.4086,-3.2854,-2.2884,-2.4651
19,Total Other Income Expenses (Gains),- -,- -,-3993,-23833,- -,- -,- -,234034,- -,251000,33000,-100000,-49000,-749000,-184000,1436000,10000,- -,1201000,-43000
20,Income Before Tax,- -,- -,-1203761,-3816736,-5435709,-9787458,-9316963,-6520205,-6219435,-16311000,-14836000,-22971000,-25836000,-26707000,-15846000,-13376000,-17026000,-18106000,-15827000,-19569000
21,Income Before Tax Ratio,- -,- -,-51.3725,-9.9977,-4.3377,-3.5829,-22.0760,-60.2038,-15.5476,-Infinity,-Infinity,-389.3390,-87.5797,-452.6610,-12.2933,-3.7647,-3.4066,-3.2854,-2.1270,-2.4705
22,Income Tax expense (Gain),- -,- -,-190399,- -,-215062,- -,- -,- -,-667470,-115000,-771000,-1213000,-249000,-124000,-54000,6000,6000,8000,9000,9000
23,Net Income,- -,- -,-1013362,-3816736,-5220647,-9787458,-9316963,-6520205,-5551965,-16196000,-14065000,-21758000,-25587000,-26583000,-15792000,-13382000,-17032000,-18114000,-15836000,-19578000
24,Net Income ratio,- -,- -,-43.2470,-9.9977,-4.1661,-3.5829,-22.0760,-60.2038,-13.8790,-Infinity,-Infinity,-368.7797,-86.7356,-450.5593,-12.2514,-3.7664,-3.4078,-3.2869,-2.1282,-2.4717
25,EPS,- -,- -,-313.25,-1179.83,-1613.80,-3025.49,-2880.05,-5694.63,-2998.38,-21681.39,-12728.51,-14364.06,-12684.05,-12348.05,-7569.25,-15754.26,-1263.70,-279.00,-10.67,-2.87
26,EPS Diluted,- -,- -,-313.25,-1179.83,-17951.90,-17740.71,-11572.96,-5694.63,-2998.38,-21681.39,-12728.51,-14364.06,-12684.05,-12348.05,-7569.25,-15754.26,-1263.70,-279.00,-10.67,-2.87
27,Weighted Average Shares Outstanding,- -,- -,3235,3235,3235,3235,3235,1157,1913,23,36,66,67,72,92,1583,13472,81099,1649000,6852000
28,Weighted Average Shares Outstanding Diluted,- -,- -,3235,3235,8722,16564,24309,1157,1913,23,36,66,67,72,92,1583,13472,81099,1649000,6852000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506492/000110465912020355/0001104659-12-020355-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465913019765/0001104659-13-019765-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465914019828/a13-27150_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465915021363/a15-1750_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465916105208/0001104659-16-105208-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465917015217/0001104659-17-015217-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036118014681/0001140361-18-014681-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036119003638/0001140361-19-003638-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036120004976/0001140361-20-004976-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036121009989/0001140361-21-009989-index.htm,https://www.sec.gov/Archives/edgar/data/1506492/000114036122007694/0001140361-22-007694-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1171500,928134,6006263,3362947,6546648,9349908,1625251,3350289,6563000,14224000,54136000,31293000,23113000,1323000,15595000,5480000,1279000,14437000,24205000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1171500,928134,6006263,3362947,6546648,9349908,1625251,3350289,6563000,14224000,54136000,31293000,23113000,1323000,15595000,5480000,1279000,14437000,24205000
34,Net Receivables,- -,- -,- -,- -,23896,155543,56502,130073,879510,- -,- -,59000,59000,- -,282000,545000,786000,799000,905000,750000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,677000,1588000,1658000,1797000,2957000,2843000
36,Other Current Assets,- -,17179,405082,994340,955352,102396,90002,75113,131429,346000,333000,448000,360000,539000,137000,136000,203000,161000,237000,328000
37,Total Current Assets,- -,1188678,1333217,7000603,4342194,6804587,9496411,1830437,4361227,6909000,14557000,54643000,31712000,23652000,2419000,17864000,8127000,4036000,18536000,28126000
38,PP&E,- -,90971,74104,132540,184712,304410,241779,152502,113762,522000,479000,587000,661000,535000,540000,570000,536000,1433000,1455000,2270000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3957,2053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4302000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,3957,2053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4491000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,507474,223463,- -,- -,- -,- -,- -,- -,- -,- -,383000,21000,21000,113000,133000,21000,21000
45,Total Non-Current Assets,- -,94928,76157,640014,408174,304410,241779,152502,113762,522000,479000,587000,661000,918000,5052000,591000,649000,1566000,1476000,2291000
46,Other Assets,- -,189855,152314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1283606,1409373,7640617,4750369,7108997,9738190,1982939,4474989,7431000,15036000,55230000,32373000,24570000,7471000,18455000,8776000,5602000,20012000,30417000
48,Accounts Payable,- -,56677,194122,- -,219518,160511,145853,277960,387415,1857000,1156000,2188000,2079000,2832000,2351000,862000,1133000,1488000,1097000,1414000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3858000,- -,- -,- -,186000,230000,193000
50,Tax Payable,- -,21713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,104655,111042,337383,147021,58115,87164,67595,70115,978000,931000,1315000,1079000,1368000,909000,1229000,1707000,1677000,2258000,1700000
53,Total Current Liabilities,- -,161331,305164,337383,366540,218625,233017,345555,457530,2835000,2087000,3503000,3158000,8058000,3260000,2091000,2840000,3351000,3585000,3307000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3941000,- -,- -,- -,261000,109000,984000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,964741,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,2454000,126000,- -,- -,- -,179000
58,Total Non-Current Liabilities,- -,- -,964741,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4341000,2454000,126000,- -,261000,109000,1163000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000,339000,1177000
61,Total Liabilities,- -,161331,1269904,337383,366540,218625,233017,345555,457530,2835000,2087000,3503000,3158000,12399000,5714000,2217000,2840000,3612000,3694000,4470000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3228673,3350314,14630458,17540897,31445401,46204722,38975399,48901503,1000,1000,2000,2000,2000,- -,- -,- -,- -,- -,1000
64,Retained Earnings,- -,-2039252,-3129334,-7229611,-13858354,- -,- -,- -,- -,-65189000,-79254000,-101012000,-126599000,-153182000,-168974000,-182356000,-199388000,-217502000,-233338000,-252916000
65,Other Comprehensive Income/Loss,- -,-35158,-53473,-84571,-116665,-25627827,-38225228,-38764604,-46373319,1132000,1185000,1207000,1272000,1246000,1235000,1227000,1223000,1214000,-7000,-11000
66,Other Total Stockholders Equity,- -,-31988,-28039,-13042,817952,1072797,1525679,1426589,1489275,68652000,91017000,151530000,154540000,164105000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,1122274,139469,7303235,4383829,6890372,9505173,1637384,4017459,4596000,12949000,51727000,29215000,12171000,1757000,16238000,5936000,1990000,16318000,25947000
68,Total Liabilities And Stockholders Equity,- -,1283606,1409373,7640617,4750369,7108997,9738190,1982939,4474989,7431000,15036000,55230000,32373000,24570000,7471000,18455000,8776000,5602000,20012000,30417000
69,Minority Interest,- -,- -,0,0,-0,-0,- -,-0,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1283606,1409373,7640617,4750369,7108997,9738190,1982939,4474989,7431000,15036000,55230000,32373000,24570000,7471000,18455000,8776000,5602000,20012000,30417000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506492/000110465912020355/0001104659-12-020355-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465913019765/0001104659-13-019765-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465914019828/a13-27150_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465915021363/a15-1750_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465916105208/0001104659-16-105208-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465917015217/0001104659-17-015217-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036118014681/0001140361-18-014681-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036119003638/0001140361-19-003638-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036120004976/0001140361-20-004976-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036121009989/0001140361-21-009989-index.htm,https://www.sec.gov/Archives/edgar/data/1506492/000114036122007694/0001140361-22-007694-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1013362,-3816736,-5220647,-9787458,-9316963,-6520205,-5551965,-16196000,-14065000,-21758000,-25587000,-26583000,-15792000,-13382000,-17032000,-18114000,-15836000,-19578000
74,Depreciation and Amortization,- -,- -,- -,- -,34362,- -,74891,- -,51176,- -,138000,185000,277000,325000,697000,769000,232000,239000,376000,488000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,217144,271213,315561,139622,-13005,939000,1248000,2953000,2678000,2154000,949000,499000,2087000,1512000,1349000,1314000
77,Change in Working Capital,- -,- -,-249496,-1055459,297033,916441,130861,67391,-701219,2118000,-747000,1019000,-12000,852000,-2015000,-2349000,153000,-4000,-1299000,-104000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,- -,-59000,- -,59000,-282000,-263000,-241000,-13000,-106000,155000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-677000,-911000,-70000,-343000,-1420000,-143000
80,Accounts Payable,- -,- -,140586,- -,33089,-224008,-35203,- -,94713,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-2824,23217,- -,- -,- -,- -,-1066,- -,13000,- -,- -,-92000,-464000,- -,-14000,18000,112000,186000
82,Other Non-Cash Items,- -,- -,23482,28491,-26681,120167,39648,60671,39080,50000,343000,239000,- -,263000,-131000,2543000,- -,- -,-1162000,- -
83,Cash Provided by Operating Activities,- -,- -,-1239375,-4843704,-4698789,-8479637,-8756003,-6252520,-6175933,-13089000,-13083000,-17362000,-22644000,-22989000,-16292000,-11920000,-14560000,-16367000,-16572000,-17880000
84,CAPEX,- -,- -,-9548,-77975,-90088,-147791,-8501,-6914,-4345,-451000,-158000,-293000,-351000,-199000,-117000,-259000,-198000,-490000,-298000,-219000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -
89,Cash Used for Investing Activites,- -,- -,-9548,-77975,-90088,-147791,-8501,-6914,-4345,-451000,-158000,-293000,-351000,-199000,-4117000,-259000,-198000,-490000,-267000,-219000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,-20000,-26000
91,Common Stock Issued,- -,- -,140,11437460,2448762,11706867,10950471,- -,8366310,- -,20837000,57566000,89000,7055000,6636000,24281000,4647000,12665000,25921000,27896000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-216255,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,964741,-1517971,-168809,-311048,-0,- -,-508142,7627000,- -,- -,- -,8000000,- -,2173000,- -,- -,4115000,1000
95,Cash Used/Provided by Financing Activities,- -,- -,964880,9919489,2279953,11395818,10734216,- -,7858169,7627000,20837000,57566000,89000,15055000,-1364000,26454000,4647000,12665000,30016000,27871000
96,Effect of Forex Changes on Cash,- -,- -,-3395,-3777,26681,-65656,-4443,-2309,-39085,126000,65000,1000,63000,-47000,-17000,-3000,-4000,-9000,-19000,-4000
97,Net Change In Cash,- -,- -,-287438,4994033,-2482243,2702735,1965269,-6261743,1638806,-5787000,7661000,39912000,-22843000,-8180000,-21790000,14272000,-10115000,-4201000,13158000,9768000
98,Cash at the End of Period,- -,- -,928134,6006263,3362947,6546648,9349908,1625251,3350289,6563000,14224000,54136000,31293000,23113000,1323000,15595000,5480000,1279000,14437000,24205000
99,Cash at the Beginning of Period,- -,- -,1215573,1012230,5845189,3843913,7384638,7886994,1711483,12350000,6563000,14224000,54136000,31293000,23113000,1323000,15595000,5480000,1279000,14437000
100,Free Cash Flow,- -,- -,-1248924,-4921679,-4788877,-8627428,-8764504,-6259434,-6180278,-13540000,-13241000,-17655000,-22995000,-23188000,-16409000,-12179000,-14758000,-16857000,-16870000,-18099000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1506492/000110465912020355/0001104659-12-020355-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465913019765/0001104659-13-019765-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465914019828/a13-27150_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465915021363/a15-1750_110k.htm,https://www.sec.gov/Archives/edgar/data/1506492/000110465916105208/0001104659-16-105208-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000110465917015217/0001104659-17-015217-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036118014681/0001140361-18-014681-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036119003638/0001140361-19-003638-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036120004976/0001140361-20-004976-index.html,https://www.sec.gov/Archives/edgar/data/1506492/000114036121009989/0001140361-21-009989-index.htm,https://www.sec.gov/Archives/edgar/data/1506492/000114036122007694/0001140361-22-007694-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
