,https://roic.ai/company/OLN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-282000000,114900000,127000000,151000000,192000000,116000000,-25000000,88000000,-150000000,141000000,217000000,446000000,234000000,59000000,27000000,131000000,-13000000,-27000000,5000000,79000000,225600000,201400000,150700000,257500000,209900000,76900000,379400000,225200000,250000000,162700000,6700000,-34200000,117200000,437300000,-36900000,-1020000000,1538700000
21,Income Before Tax Ratio,-0.1610,0.0673,0.0658,0.0654,0.0765,0.0448,-0.0110,0.0370,-0.0619,0.0530,0.0689,0.1691,0.0971,0.0414,0.0205,0.0846,-0.0102,-0.0208,0.0032,0.0396,0.0957,0.0639,0.1180,0.1459,0.1371,0.0485,0.1935,0.1031,0.0994,0.0726,0.0023,-0.0062,0.0187,0.0630,-0.0060,-0.1771,0.1727
22,Income Tax expense (Gain),-91700000,39700000,49000000,53000000,68000000,32000000,-12000000,33000000,-58000000,50000000,77000000,158000000,81000000,21000000,10000000,50000000,-4000000,4000000,4000000,28000000,85900000,51700000,49900000,99800000,74200000,12100000,137700000,75600000,71400000,57700000,8100000,-30300000,-432300000,109400000,-25600000,-50100000,242000000
23,Net Income,-165300000,75200000,78000000,98000000,124000000,84000000,-13000000,9000000,-92000000,91000000,140000000,280000000,153000000,42000000,21000000,81000000,-9000000,-31000000,-24000000,55000000,133300000,149700000,-9200000,157700000,135700000,64800000,241700000,149600000,178600000,105700000,-1400000,-3900000,549500000,327900000,-11300000,-969900000,1296700000
24,Net Income ratio,-0.0944,0.0440,0.0404,0.0425,0.0494,0.0324,-0.0057,0.0038,-0.0380,0.0342,0.0444,0.1061,0.0635,0.0295,0.0160,0.0523,-0.0071,-0.0238,-0.0151,0.0275,0.0565,0.0475,-0.0072,0.0894,0.0886,0.0409,0.1232,0.0685,0.0710,0.0472,-0.0005,-0.0007,0.0877,0.0472,-0.0018,-0.1684,0.1455
25,EPS,-3.59,1.68,1.69,2.32,3.01,2.02,-0.46,-0.20,-2.85,1.82,2.75,5.34,3.02,1.64,0.45,1.80,-0.22,-0.63,-0.42,0.80,1.87,2.06,-0.12,2.08,1.74,0.82,3.02,1.87,2.24,1.34,0.02,-0.02,3.31,1.97,-0.07,-6.14,8.09
26,EPS Diluted,-3.59,1.68,1.66,2.30,2.93,1.94,-0.46,-0.20,-2.85,1.77,2.67,5.27,3.00,1.63,0.45,1.80,-0.22,-0.63,-0.42,0.80,1.86,2.06,-0.12,2.07,1.73,0.81,2.99,1.85,2.21,1.33,0.02,-0.02,3.26,1.95,-0.07,-6.14,7.91
27,Weighted Average Shares Outstanding,46044568,44761905,46153846,42241379,39867110,37623762,45652174,41018519,38245614,40547945,48727273,51685393,50662252,47959184,46666667,45000000,40909091,49206349,57142857,68750000,71283422,72669903,76666667,75800000,78100000,79200000,80000000,80100000,79900000,78600000,103400000,165200000,166200000,166800000,162300000,157900000,160100000
28,Weighted Average Shares Outstanding Diluted,46044568,44761905,46987952,42608696,40955631,39175258,45652174,41792453,38245614,41807910,50281426,52371917,51000000,48287671,46666667,45000000,40909091,49206349,57142857,68750000,71666667,72669903,76666667,76100000,78300000,79900000,80800000,81000000,80900000,79700000,104300000,165200000,168500000,168400000,162300000,157900000,163900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74303/000095013095000463/0000950130-95-000463-index.html,https://www.sec.gov/Archives/edgar/data/74303/000095013096000793/0000950130-96-000793-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74303/000095013003001836/0000950130-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312504036954/0001193125-04-036954-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312505045641/0001193125-05-045641-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312506044128/0001193125-06-044128-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312507041049/0001193125-07-041049-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430308000017/0000074303-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430309000008/0000074303-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430310000007/0000074303-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430311000012/0000074303-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430312000027/0000074303-12-000027-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430313000012/0000074303-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430314000021/0000074303-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430315000015/0000074303-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430316000090/0000074303-16-000090-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430317000026/0000074303-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430318000007/0000074303-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430319000018/0000074303-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430320000072/0000074303-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430321000019/0000074303-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430322000015/0000074303-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,8000000,524000000,166000000,50000000,21000000,57000000,165000000,111000000,190000000,147000000,303700000,199800000,306000000,246500000,458500000,458600000,304800000,165200000,307800000,256800000,392000000,184500000,218400000,178800000,220900000,189700000,180500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,25000000,37000000,25000000,- -,- -,- -,76600000,26600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,8000000,524000000,166000000,50000000,46000000,82000000,202000000,136000000,190000000,147000000,303700000,276400000,332600000,246500000,458500000,458600000,304800000,165200000,307800000,256800000,392000000,184500000,218400000,178800000,220900000,189700000,180500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,414000000,555000000,321000000,350000000,192000000,229000000,197000000,140000000,168000000,187000000,243000000,295000000,338600000,202000000,213000000,183300000,193000000,237800000,307200000,282000000,284700000,816300000,700500000,750100000,782200000,774300000,786000000,1106800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000000,410000000,315000000,347000000,199000000,208000000,216000000,223000000,255000000,242000000,257000000,262600000,263300000,106700000,131400000,123800000,155600000,176600000,195100000,186500000,210100000,685200000,630400000,682600000,711400000,695700000,674700000,868300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,79000000,176000000,73000000,76000000,21000000,33000000,51000000,79000000,62000000,66000000,12100000,40900000,29700000,101400000,94700000,75600000,61100000,81600000,63600000,64500000,39900000,30800000,48100000,35000000,23100000,66700000,92700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,880000000,1052000000,1336000000,936000000,517000000,504000000,528000000,616000000,638000000,681000000,713000000,873400000,919200000,671000000,692300000,860300000,882800000,780300000,749100000,839900000,816100000,1933400000,1546200000,1699200000,1707400000,1714000000,1717100000,2248300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,879000000,956000000,657000000,795000000,475000000,468000000,483000000,477000000,552000000,501000000,478000000,482200000,486900000,503600000,629900000,695400000,675000000,885400000,1034300000,987800000,931000000,3953400000,3704900000,3575800000,3482100000,3701600000,3531700000,3286000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75900000,301900000,301900000,300300000,300300000,627400000,747100000,747100000,747100000,2174100000,2118000000,2120000000,2119600000,2119700000,1420200000,1420600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,121000000,- -,- -,- -,- -,- -,- -,82000000,80000000,78000000,75100000,- -,- -,- -,- -,- -,- -,152700000,138100000,123500000,677500000,629600000,578500000,511600000,448100000,399400000,331700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,121000000,- -,- -,- -,- -,- -,- -,82000000,80000000,78000000,75100000,75900000,301900000,301900000,300300000,300300000,627400000,899800000,885200000,870600000,2851600000,2747600000,2698500000,2631200000,2567800000,1819600000,1752300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29300000,21600000,23300000,25000000,26700000,28500000,8800000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,86300000,117300000,26300000,46800000,- -,- -,- -,9100000,9000000,12500000,95900000,119500000,36400000,26300000,35300000,11200000,99300000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,162000000,143000000,346000000,215000000,585000000,91000000,112000000,126000000,152000000,183000000,283000000,280200000,37200000,198600000,70800000,76000000,190600000,156500000,56100000,59300000,44600000,462500000,617700000,1179900000,1141600000,1169100000,1191300000,1131800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000000,1220000000,1003000000,1010000000,1060000000,559000000,595000000,603000000,786000000,764000000,906000000,923800000,717300000,1030400000,1049400000,1071700000,1165900000,1669300000,2028600000,1962900000,1882000000,7388400000,7216400000,7519100000,7290000000,7473800000,6553800000,6269400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2030000000,2272000000,2339000000,1946000000,1577000000,1063000000,1123000000,1219000000,1424000000,1445000000,1619000000,1797200000,1636500000,1701400000,1741700000,1932000000,2048700000,2449600000,2777700000,2802800000,2698100000,9321800000,8762600000,9218300000,8997400000,9187800000,8270900000,8517700000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,332000000,352000000,268000000,256000000,118000000,115000000,124000000,97000000,110000000,129000000,118000000,177200000,200300000,150600000,145600000,117800000,115500000,149700000,174300000,148700000,146800000,608200000,570800000,669800000,636500000,651900000,729200000,847700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,122000000,139000000,9000000,1000000,1000000,1000000,102000000,2000000,27000000,52000000,1100000,1700000,9800000,- -,- -,77800000,12200000,23600000,12600000,16400000,206500000,80500000,700000,125900000,2100000,101000000,277900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65200000,98400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000000,281000000,419000000,247000000,173000000,136000000,150000000,136000000,145000000,155000000,152000000,188800000,205800000,247800000,276200000,193100000,197700000,237200000,236100000,246200000,214500000,333000000,271300000,283800000,355900000,428200000,368700000,556500000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,618000000,755000000,826000000,512000000,292000000,252000000,275000000,335000000,257000000,311000000,322000000,367100000,407800000,408200000,421800000,310900000,391000000,399100000,434000000,407500000,377700000,1147700000,922600000,954300000,1118300000,1082200000,1198900000,1682100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000000,411000000,276000000,268000000,230000000,229000000,228000000,329000000,328000000,301000000,261000000,257200000,252200000,249200000,252400000,398400000,418200000,524200000,690100000,678400000,658700000,3675200000,3537100000,3611300000,3104400000,3338700000,4129100000,2880200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,72000000,- -,- -,- -,- -,- -,- -,6500000,25800000,23500000,99600000,110400000,117600000,107100000,1095200000,1032500000,511200000,518900000,454500000,443200000,558900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000000,265000000,291000000,287000000,265000000,273000000,211000000,212000000,608000000,657000000,680000000,746300000,433200000,380300000,356000000,374600000,385700000,440900000,544800000,498200000,541300000,984900000,997400000,1387800000,1423600000,1894900000,1048900000,744300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,663000000,676000000,567000000,555000000,495000000,502000000,519000000,613000000,936000000,958000000,941000000,1003500000,685400000,629500000,614900000,798800000,827400000,1064700000,1345300000,1294200000,1307100000,5755300000,5567000000,5510300000,5046900000,5688100000,5621200000,4183400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21300000,13500000,10200000,7300000,12600000,10500000,10600000,382700000,366300000,378800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1281000000,1431000000,1393000000,1067000000,787000000,754000000,794000000,948000000,1193000000,1269000000,1263000000,1370600000,1093200000,1037700000,1036700000,1109700000,1218400000,1463800000,1779300000,1701700000,1684800000,6903000000,6489600000,6464600000,6165200000,6770300000,6820100000,5865500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000000,44000000,43000000,57000000,59000000,71000000,71900000,73300000,74500000,77300000,78700000,79600000,80100000,80200000,79400000,77400000,165100000,165400000,167100000,165300000,157700000,158000000,156800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,269000000,343000000,414000000,506000000,526000000,40000000,85000000,41000000,-29000000,-100000000,-101000000,-24700000,66900000,-1600000,95500000,168700000,170200000,347900000,433400000,548000000,590700000,509800000,373800000,790300000,1070500000,941100000,-155100000,1013800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1624000000,-1707000000,-1353000000,-1528000000,-1528000000,-1127000000,-1178000000,-1241000000,-1308000000,-1313000000,-1348000000,-304000000,-319000000,-151000000,-269000000,-248000000,-262000000,-294000000,-371000000,-365000000,-443000000,-493000000,-510000000,-485000000,-651000000,-803000000,-689900000,-488000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2104000000,2205000000,1885000000,1901000000,1792000000,1351000000,1378000000,1428000000,1511000000,1530000000,1734000000,683400000,722100000,741800000,801200000,822900000,842500000,851800000,855800000,838700000,788200000,2236900000,2243800000,2281300000,2247400000,2121700000,2137800000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000000,841000000,946000000,879000000,790000000,309000000,329000000,271000000,231000000,176000000,356000000,426600000,543300000,663700000,705000000,822300000,830300000,985800000,998400000,1101100000,1013300000,2418800000,2273000000,2753700000,2832200000,2417500000,1450800000,2652200000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2030000000,2272000000,2339000000,1946000000,1577000000,1063000000,1123000000,1219000000,1424000000,1445000000,1619000000,1797200000,1636500000,1701400000,1741700000,1932000000,2048700000,2449600000,2777700000,2802800000,2698100000,9321800000,8762600000,9218300000,8997400000,9187800000,8270900000,8517700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2030000000,2272000000,2339000000,1946000000,1577000000,1063000000,1123000000,1219000000,1424000000,1445000000,1619000000,1797200000,1636500000,1701400000,1741700000,1932000000,2048700000,2449600000,2777700000,2802800000,2698100000,9321800000,8762600000,9218300000,8997400000,9187800000,8270900000,8517700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/74303/000095013095000463/0000950130-95-000463-index.html,https://www.sec.gov/Archives/edgar/data/74303/000095013096000793/0000950130-96-000793-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74303/000095013003001836/0000950130-03-001836-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312504036954/0001193125-04-036954-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312505045641/0001193125-05-045641-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312506044128/0001193125-06-044128-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000119312507041049/0001193125-07-041049-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430308000017/0000074303-08-000017-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430309000008/0000074303-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430310000007/0000074303-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430311000012/0000074303-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430312000027/0000074303-12-000027-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430313000012/0000074303-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430314000021/0000074303-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430315000015/0000074303-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430316000090/0000074303-16-000090-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430317000026/0000074303-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430318000007/0000074303-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430319000018/0000074303-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430320000072/0000074303-20-000072-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430321000019/0000074303-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/74303/000007430322000015/0000074303-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,124000000,84000000,-13000000,9000000,-92000000,91000000,140000000,280000000,153000000,42000000,21000000,81000000,-9000000,-31000000,-24000000,55000000,133300000,149700000,-9200000,157700000,135700000,64800000,241700000,149600000,178600000,105700000,-1400000,-3900000,549500000,327900000,-11300000,-969900000,1296700000
74,Depreciation and Amortization,- -,- -,- -,- -,122000000,123000000,120000000,123000000,139000000,140000000,142000000,130000000,124000000,78000000,80000000,81000000,87000000,88000000,82000000,73000000,72500000,72100000,48000000,69600000,71700000,86900000,99300000,110900000,135300000,139100000,228900000,533500000,558900000,601400000,597400000,568400000,582500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,2000000,6000000,-74000000,36000000,104000000,11000000,17000000,-9000000,20000000,-1000000,-13000000,54100000,-29400000,-14200000,11000000,72300000,11200000,92600000,42500000,12400000,31000000,5600000,-32700000,-452700000,35600000,-45500000,-18400000,-42700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6300000,7900000,6700000,5800000,6200000,8800000,5100000,7600000,7500000,9100000,12000000,10700000,13600000,8300000
77,Change in Working Capital,- -,- -,- -,- -,-90000000,- -,- -,- -,- -,262000000,35000000,213000000,-86000000,-199000000,27000000,1000000,28000000,100000000,-11000000,21000000,115300000,5100000,-248600000,7700000,278900000,-57600000,-110600000,-66100000,117300000,6000000,347300000,-162100000,121300000,-155800000,42700000,-113600000,-230200000
