,https://roic.ai/company/OBAS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
66,Other Total Stockholders Equity,- -,- -,113959000,117344000,55789000,125229000,125184000,123344000,126056000,129332000,135955000,136987000,136464000,132807000,136206000,147454000,147406000,150603000,153858000,161309000,137394000,137672000,140859000
67,Total Stockholders Equity,- -,- -,97415000,60259000,49495000,54478000,50827000,44836000,44494000,39164000,35011000,35238000,40392000,45099000,47474000,57063000,57439000,55784000,55134000,57037000,53559000,51844000,61464000
68,Total Liabilities And Stockholders Equity,- -,- -,116019000,71537000,59708000,66924000,65986000,58346000,60974000,51932000,47306000,63350000,64726000,203723000,205804000,216887000,198368000,243144000,231390000,239272000,224124000,219297000,209500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16162000,19078000,21861000,19636000,19800000,18994000,20031000,19834000,20010000,25197000
70,Total Liabilities & Equity,- -,- -,116019000,71537000,59708000,66924000,65986000,58346000,60974000,51932000,47306000,63350000,64726000,219885000,224882000,238748000,218004000,262944000,250384000,259303000,243958000,239307000,234697000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891304000624/zk40710.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891310001714/zk1008478.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891311001165/zk1109769.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891312001226/zk1211367.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891313000714/0001178913-13-000714-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891314001463/zk1414812.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891315001118/zk1516525.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891316004951/0001178913-16-004951-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891317000981/0001178913-17-000981-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891318000984/0001178913-18-000984-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891319000973/0001178913-19-000973-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891320000989/0001178913-20-000989-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,4354000,-8962000,-39101000,-12911000,1833000,-3680000,-3445000,-3120000,-7173000,-9545000,60000,4454000,-239000,1577000,1465000,3339000,-1068000,195000,-1123000,-2781000,-1993000,6433000
74,Depreciation and Amortization,1400000,1211000,1616000,8320000,- -,1296000,1105000,1109000,1106000,1244000,1090000,1047000,696000,2220000,2569000,3369000,3813000,3925000,4244000,4209000,4317000,4321000,3946000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000,120000,117000,118000,97000,98000,60000,15000,17000,- -,- -
77,Change in Working Capital,1000000,-1333000,651000,-4632000,- -,-287000,2375000,-1380000,-2133000,-2518000,3209000,-2921000,-133000,2127000,339000,259000,-2206000,-1201000,360000,507000,472000,628000,-1196000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1216000,1650000,-55000,-1235000,1181000,-416000,-903000,856000,-770000,432000
79,Inventory,-400000,-542000,-802000,-1352000,- -,290000,-1206000,199000,-629000,-1507000,713000,1939000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-477000,-1182000,2000,-136000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-500000,500000,- -,- -,- -,3319000,-633000,-1210000,-1577000,-48000,-177000,-169000,-173000,-140000,-22000
82,Other Non-Cash Items,-200000,77000,14866000,14188000,12911000,-2938000,2691000,1151000,426000,4573000,1959000,-4793000,-5001000,-2393000,2183000,2208000,276000,2226000,2397000,4293000,4842000,4441000,-4065000
83,Cash Provided by Operating Activities,3800000,4309000,8171000,-21225000,- -,-96000,2491000,-2565000,-3721000,-3874000,-3287000,-6607000,183000,1835000,6785000,7419000,5319000,3980000,7256000,7901000,6867000,7397000,5118000
84,CAPEX,-600000,-1134000,-839000,-1037000,- -,-210000,-501000,-833000,-716000,-945000,-393000,-276000,-5000,-5000,- -,- -,- -,-2215000,-2450000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,-850000,- -,- -,-2885000,- -,- -,- -,-8556000,28691000,- -,-20684000,-8025000,83000,- -,-44615000,-2749000,3338000,414000,398000,309000
86,Purchases of Investments,- -,-12500000,-56103000,-17042000,- -,-53639000,-38752000,-17000000,-230000,-20387000,- -,- -,-8843000,-2151000,- -,- -,-1093000,-2616000,-2749000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,31788000,13871000,- -,51186000,40805000,15000000,2150000,36173000,8491000,76000,3750000,- -,- -,- -,7000,- -,159000,265000,- -,- -,- -
88,Other Investing Activites,-400000,-99000,-55821000,27167000,- -,-902000,-552000,376000,2000,41000,218000,-22940000,6800000,-131000,-218000,-5816000,6313000,- -,2749000,-2487000,-2398000,-993000,40485000
89,Cash Used for Investing Activites,-1000000,-13733000,-80975000,22109000,- -,-3565000,-1885000,-2457000,1206000,14882000,-240000,5551000,1702000,-22971000,-8243000,-5733000,5227000,-49446000,-5040000,1116000,-1984000,-595000,40794000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634000,- -,-406000,-91847000,-2606000,-2580000,-2599000,-2811000,-8112000,-8431000,-9058000,-5958000,-30839000
91,Common Stock Issued,- -,16080000,67966000,1144000,- -,2067000,411000,437000,498000,225000,5000000,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-65000,-1094000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2066000,-2029000,-2209000,- -,- -,- -,- -
94,Other Financing Activites,-600000,-241000,-15000,-396000,- -,2022000,-1662000,719000,2414000,-3002000,- -,18353000,- -,100823000,- -,- -,- -,52014000,721000,3029000,-2067000,-2227000,- -
95,Cash Used/Provided by Financing Activities,-600000,15839000,67886000,-346000,- -,4089000,-1251000,1156000,2912000,-2777000,4366000,18353000,-406000,13976000,-2606000,-2580000,-4665000,47174000,-9600000,-5402000,-11125000,-8185000,-30839000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,130000,-155000,261000,563000,-1790000,-804000,-398000,629000,-190000,112000,1986000
97,Net Change In Cash,2300000,6415000,-4918000,538000,- -,428000,-645000,-3866000,397000,8231000,839000,17265000,1609000,-7315000,-3803000,-331000,4091000,904000,-7782000,4244000,-6432000,-1271000,17059000
98,Cash at the End of Period,3700000,10144000,5226000,5764000,- -,6430000,5785000,1919000,2316000,10547000,11386000,28651000,30260000,22945000,19142000,18811000,22902000,23806000,16024000,20268000,13836000,12596000,29655000
99,Cash at the Beginning of Period,1400000,3729000,10144000,5226000,- -,6002000,6430000,5785000,1919000,2316000,10547000,11386000,28651000,30260000,22945000,19142000,18811000,22902000,23806000,16024000,20268000,13867000,12596000
100,Free Cash Flow,3200000,3175000,7332000,-22262000,- -,-306000,1990000,-3398000,-4437000,-4819000,-3680000,-6883000,178000,1830000,6785000,7419000,5319000,3980000,7256000,7901000,6867000,7397000,5118000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891304000624/zk40710.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1077618/000117891310001714/zk1008478.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891311001165/zk1109769.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891312001226/zk1211367.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891313000714/0001178913-13-000714-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891314001463/zk1414812.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891315001118/zk1516525.htm,https://www.sec.gov/Archives/edgar/data/1077618/000117891316004951/0001178913-16-004951-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891317000981/0001178913-17-000981-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891318000984/0001178913-18-000984-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891319000973/0001178913-19-000973-index.html,https://www.sec.gov/Archives/edgar/data/1077618/000117891320000989/0001178913-20-000989-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
