,https://roic.ai/company/NX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0592,0.0746,0.0743,0.0737,0.0028,0.0886,-0.0042,0.0620,0.0838,0.0619,0.0681,0.1487,0.1237,0.0020,0.0241,-0.3078,0.0467,0.0194,-0.0301,-0.0186,0.0240,0.0382,0.0392,0.0397,0.0409,-0.0296,0.0649,0.0764
19,Total Other Income Expenses (Gains),-8899000,-8101000,-9834000,-12365000,-8228000,-11408000,-11444000,-12266000,-1686000,2028000,-5767000,-9149000,-578000,203010000,4708000,-46000,2205000,-963000,-232000,-472000,-470000,-1522000,-41977000,-8865000,-10922000,-9527000,-4965000,-1776000
20,Income Before Tax,32503000,58380000,56707000,42643000,-5964000,60349000,-15406000,45050000,81614000,65823000,93644000,283626000,250816000,207064000,25689000,-180127000,39502000,15515000,-25185000,-18201000,13806000,23153000,-5624000,25502000,25453000,-35954000,50300000,80094000
21,Income Before Tax Ratio,0.0465,0.0655,0.0633,0.0572,-0.0075,0.0745,-0.0165,0.0487,0.0821,0.0638,0.0641,0.1440,0.1234,0.1011,0.0296,-0.3079,0.0495,0.0183,-0.0304,-0.0191,0.0232,0.0359,-0.0061,0.0294,0.0286,-0.0402,0.0591,0.0747
22,Income Tax expense (Gain),13651000,24520000,23817000,14925000,-2087000,21048000,-5383000,16228000,26132000,22936000,36045000,106393000,90503000,72442000,9785000,-43036000,15301000,6437000,-8651000,-6498000,5468000,7539000,-3765000,6819000,-875000,10776000,11804000,23114000
23,Net Income,18852000,31839000,30368000,69184000,9169000,39716000,-9665000,29194000,55482000,42887000,54467000,155160000,160183000,134622000,21579000,-137091000,23098000,9066000,-16534000,-11703000,29234000,16093000,-1859000,18683000,26328000,-46730000,38496000,56980000
24,Net Income ratio,0.0270,0.0357,0.0339,0.0927,0.0115,0.0490,-0.0103,0.0316,0.0558,0.0416,0.0373,0.0788,0.0788,0.0657,0.0248,-0.2343,0.0289,0.0107,-0.0199,-0.0123,0.0491,0.0249,-0.0020,0.0216,0.0296,-0.0523,0.0452,0.0531
25,EPS,0.43,0.91,0.99,2.19,0.29,1.24,-0.31,0.97,1.66,1.18,1.47,4.11,4.27,3.64,0.58,-3.67,0.62,0.24,-0.45,-0.32,0.79,0.47,-0.05,0.55,0.76,-1.42,1.18,1.72
26,EPS Diluted,0.43,0.91,0.91,1.95,0.29,1.15,-0.31,0.92,1.56,1.16,1.45,3.95,4.08,3.41,0.56,-3.67,0.61,0.24,-0.45,-0.32,0.78,0.47,-0.05,0.54,0.75,-1.42,1.17,1.70
27,Weighted Average Shares Outstanding,30366000,30555000,30730500,31565250,31835250,32026500,30885750,30147750,33351750,36346500,36981000,37771500,37479000,36982000,37274000,37335000,37220000,37007000,36622000,36864000,37128000,33993000,33876000,34230000,34701000,32960000,32689000,33359000
28,Weighted Average Shares Outstanding Diluted,30366000,30555000,37316250,37631250,31835250,37746000,30885750,34708500,36533250,36864000,37570500,39808500,39708000,39509000,38528000,37335000,37671000,37537000,36622000,36864000,37679000,34502000,33876000,34837000,35025000,32960000,32821000,33650000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1423221/000136231008008319/0001362310-08-008319-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000095012309071914/0000950123-09-071914-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000095012310115049/0000950123-10-115049-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000119312511346617/0001193125-11-346617-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000144530512003890/0001445305-12-003890-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322113000010/0001423221-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322114000013/0001423221-14-000013-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322115000013/0001423221-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322116000026/0001423221-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322117000018/0001423221-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322118000016/0001423221-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322119000018/0001423221-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322120000021/0001423221-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1423221/000117184321008563/0001171843-21-008563-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,34041000,45213000,35985000,26851000,26279000,25874000,22409000,29573000,18283000,22108000,41743000,49681000,105708000,172838000,67413000,123634000,187178000,89619000,71255000,49736000,120384000,23125000,25526000,17455000,29003000,30868000,51621000,40061000
32,Short-Term Investments,54070000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,88111000,45213000,35985000,26851000,26279000,25874000,22409000,29573000,18283000,22108000,41743000,49681000,105708000,217588000,67413000,123634000,187178000,89619000,71255000,49736000,120384000,23125000,25526000,17455000,29003000,30868000,51621000,40061000
34,Net Receivables,83082000,104240000,103934000,80089000,85166000,87204000,98465000,109706000,116122000,123185000,176358000,152072000,184311000,189754000,101211000,80171000,87007000,81969000,85644000,98833000,55193000,64080000,83625000,79411000,84014000,82946000,88287000,108309000
35,Inventory,81800000,84676000,113287000,73035000,85397000,78463000,101274000,83109000,90756000,79322000,115367000,133003000,142788000,152185000,63848000,46525000,45200000,55842000,65904000,58316000,57358000,63029000,84335000,87529000,69365000,67159000,61181000,92529000
36,Other Current Assets,6403000,8246000,10132000,6921000,12970000,20846000,13798000,14490000,10640000,8116000,22866000,23037000,17802000,16970000,17171000,25875000,19238000,17643000,28067000,29398000,27494000,22016000,10488000,7406000,7296000,9353000,6217000,8148000
37,Total Current Assets,259396000,242375000,263338000,186896000,209812000,212387000,235946000,236878000,235801000,232731000,356334000,357793000,450609000,576497000,249643000,276205000,338623000,245073000,250870000,236283000,260429000,172250000,203974000,191801000,189678000,190326000,207306000,249047000
38,PP&E,262261000,258564000,351546000,379071000,395054000,406841000,338248000,357635000,353132000,335904000,350982000,423942000,432058000,426032000,157389000,142810000,135517000,158209000,168877000,157219000,109487000,140672000,198497000,211131000,201370000,193600000,235928000,231338000
39,Goodwill,33017000,32064000,84343000,91496000,52281000,48990000,47539000,59226000,66436000,66436000,134670000,196341000,196350000,203065000,196338000,25189000,25189000,69432000,68331000,71866000,70546000,129770000,217035000,222194000,219627000,145563000,146154000,149205000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2870000,2755000,27556000,82360000,75285000,85514000,62476000,47359000,44668000,87943000,78380000,78962000,70150000,120810000,154180000,139778000,121919000,107297000,93068000,82410000
41,Intangible Assets,33017000,32064000,84343000,91496000,52281000,48990000,47539000,59226000,69306000,69191000,162226000,278701000,271635000,288579000,258814000,72548000,69857000,157375000,146711000,150828000,140696000,250580000,371215000,361972000,341546000,252860000,239222000,231615000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3875000,42923000,30563000,7669000,8911000,13444000,1545000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9334000,13744000,18979000,28242000,17141000,22228000,24126000,43892000,30901000,28037000,59980000,39775000,47850000,43714000,11126000,9114000,16690000,16603000,14169000,14041000,4956000,8529000,6667000,8975000,9255000,8324000,9129000,5323000
45,Total Non-Current Assets,304612000,304372000,454868000,498809000,464476000,478059000,409913000,460753000,453339000,433132000,573188000,742418000,751543000,758325000,431204000,267395000,252627000,339856000,338668000,335532000,256684000,399781000,576379000,582078000,552171000,454784000,484279000,468276000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,564008000,546747000,718206000,685705000,674288000,690446000,645859000,697631000,689140000,665863000,929522000,1100211000,1202152000,1334822000,680847000,543600000,591250000,584929000,589538000,571815000,517113000,572031000,780353000,773879000,741849000,645110000,691585000,717323000
48,Accounts Payable,75515000,91730000,93104000,71317000,75160000,70187000,77339000,76831000,76588000,89435000,161674000,129152000,137564000,149512000,79512000,67010000,70986000,66339000,80985000,76900000,41488000,47778000,47781000,44150000,52389000,63604000,77335000,86765000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,363000,323000,327000,352000,368000,183000,199000,2359000,10520000,21242000,1224000,746000,692000,9042000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6465000,9296000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2593000,2353000,1121000,610000,987000,238000,625000,287000,1251000,763000,627000
52,Other Current Liabilities,59236000,73478000,59962000,62761000,71673000,65953000,53663000,57759000,58216000,50513000,54529000,94748000,70849000,199791000,38316000,30329000,43477000,35465000,44106000,43664000,31979000,37124000,55595000,40438000,48461000,44153000,51450000,61567000
53,Total Current Liabilities,134751000,165208000,153066000,134078000,146833000,136140000,131002000,134590000,134804000,139948000,216203000,223900000,208413000,349303000,118191000,97662000,114790000,104749000,127812000,121868000,74276000,88248000,114134000,106455000,102361000,109754000,130240000,158001000
54,Long-Term Debt,107442000,111894000,253513000,201858000,188302000,179121000,191657000,219608000,75131000,15893000,130496000,133462000,130680000,2551000,2188000,1943000,1616000,1314000,1033000,752000,586000,55041000,259011000,218184000,209332000,156414000,116728000,97461000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,23014000,29278000,24033000,48111000,33412000,43910000,27620000,29282000,29210000,34895000,53983000,58836000,66189000,60233000,- -,- -,- -,- -,- -,- -,- -,5241000,18322000,21960000,17215000,19363000,19116000,21965000
57,Other Non-Current Liabilities,66552000,69841000,92921000,32835000,33697000,30214000,29083000,34174000,28600000,29968000,28133000,27271000,38355000,39586000,12640000,21469000,33412000,41640000,38866000,33001000,21331000,28206000,21055000,20433000,18789000,29392000,69742000,20114000
58,Total Non-Current Liabilities,197008000,211013000,370467000,282804000,255411000,253245000,248360000,283064000,132941000,80756000,212612000,219569000,235224000,102370000,14828000,23412000,35028000,42954000,39899000,33753000,21917000,88488000,298388000,260577000,245336000,205169000,205586000,139540000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52332000,53563000
61,Total Liabilities,331759000,376221000,523533000,416882000,402244000,389385000,379362000,417654000,267745000,220704000,428815000,443469000,443637000,451673000,133019000,121074000,149818000,147703000,167711000,155621000,96193000,176736000,412522000,367032000,347697000,314923000,335826000,297541000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6688000,6743000,6795000,7025000,7090000,4813000,7110000,7043000,8227000,8260000,8324000,12727000,19160000,19151000,378000,- -,379000,378000,378000,377000,376000,376000,376000,375000,374000,374000,373000,373000
64,Retained Earnings,55081000,74426000,96623000,156528000,156278000,186867000,165841000,186274000,232074000,264067000,307754000,445670000,579753000,690328000,318648000,192546000,210366000,213143000,193105000,177456000,202319000,222138000,214047000,225704000,242834000,185703000,213517000,259718000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-659537000,-256165000,-2000000,-2000000,-4000000,-5000000,-2000000,-6000000,-10000000,-39000000,-25000000,-31000000,-34000000,-33000000,-21770000
66,Other Total Stockholders Equity,170480000,89357000,91255000,105270000,108676000,109381000,93546000,86660000,181094000,172832000,184629000,198345000,159602000,833207000,484967000,231980000,232687000,227705000,233344000,240361000,224225000,182781000,192408000,205768000,181944000,178110000,174869000,181461000
67,Total Stockholders Equity,232249000,170526000,194673000,268823000,272044000,301061000,266497000,279977000,421395000,445159000,500707000,656742000,758515000,883149000,547828000,422526000,441432000,437226000,421827000,416194000,420920000,395295000,367831000,406847000,394152000,330187000,355759000,419782000
68,Total Liabilities And Stockholders Equity,564008000,546747000,718206000,685705000,674288000,690446000,645859000,697631000,689140000,665863000,929522000,1100211000,1202152000,1334822000,680847000,543600000,591250000,584929000,589538000,571815000,517113000,572031000,780353000,773879000,741849000,645110000,691585000,717323000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,564008000,546747000,718206000,685705000,674288000,690446000,645859000,697631000,689140000,665863000,929522000,1100211000,1202152000,1334822000,680847000,543600000,591250000,584929000,589538000,571815000,517113000,572031000,780353000,773879000,741849000,645110000,691585000,717323000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1423221/000136231008008319/0001362310-08-008319-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000095012309071914/0000950123-09-071914-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000095012310115049/0000950123-10-115049-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000119312511346617/0001193125-11-346617-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000144530512003890/0001445305-12-003890-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322113000010/0001423221-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322114000013/0001423221-14-000013-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322115000013/0001423221-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322116000026/0001423221-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322117000018/0001423221-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322118000016/0001423221-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322119000018/0001423221-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1423221/000142322120000021/0001423221-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1423221/000117184321008563/0001171843-21-008563-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,18852000,31839000,30368000,69184000,9169000,39716000,-9665000,29194000,55482000,42887000,54467000,155160000,160183000,134622000,21579000,-137091000,23098000,9066000,-16534000,-11703000,29234000,16093000,-1859000,18683000,26328000,-46730000,38496000,56980000
74,Depreciation and Amortization,28535000,32433000,38416000,37865000,42400000,45883000,48445000,43910000,43987000,46415000,50603000,65987000,71657000,77308000,35111000,215346000,28283000,34000000,37666000,60504000,36910000,35220000,53146000,57495000,51822000,49586000,47229000,42732000
75,Deferred Income Tax,4786000,6910000,2602000,7545000,6059000,10150000,5483000,2357000,2330000,8992000,551000,-438000,7084000,-5922000,2984000,-43608000,12294000,3361000,-9843000,-8288000,14246000,5204000,-8469000,-112000,-5631000,3260000,-189000,1785000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3429000,4456000,4852000,5604000,4910000,3925000,4266000,6089000,5189000,1874000,2045000,879000,1970000
77,Change in Working Capital,-4327000,-47478000,33105000,-57454000,10161000,13268000,28697000,-2656000,-1291000,-8214000,47348000,-6238000,108303000,-15002000,-95742000,47091000,45290000,-83509000,-17266000,-8643000,71738000,-102151000,5838000,-4494000,1971000,-6745000,-3506000,-30044000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6365000,13761000,-4250000,-9204000,484000,2668000,796000,5378000,-5550000,574000,-5766000,-19017000
79,Inventory,-4901000,-2876000,-16773000,8898000,-10994000,6485000,-12474000,20808000,-5249000,11434000,-6993000,-8847000,-9753000,-7828000,-10398000,16494000,3142000,-530000,-10288000,12791000,-25650000,9805000,5346000,-3240000,17530000,3797000,6119000,-31382000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12306000,4572000,-13349000,14920000,-5903000,12842000,-2862000,-2273000,-4893000,8325000,8124000,15922000,7097000
81,Other Working Capital,124645000,77167000,110272000,52818000,62979000,76247000,104944000,102288000,100997000,92783000,140131000,133893000,242196000,227194000,131452000,178543000,223833000,140324000,123058000,114415000,186153000,84002000,89840000,85346000,87317000,80572000,77066000,-1236000
82,Other Non-Cash Items,-1830000,43418000,-40377000,22288000,-3719000,-31329000,4910000,12145000,-19397000,12760000,-28732000,34649000,-156956000,33068000,101102000,-24676000,-24289000,85106000,26851000,6741000,-135275000,108455000,31673000,1793000,28247000,94956000,17887000,5165000
83,Cash Provided by Operating Activities,46016000,67122000,64114000,79428000,64070000,77688000,77870000,84950000,81111000,102840000,124237000,249120000,190271000,224074000,65034000,60491000,89132000,52876000,26478000,43521000,20778000,67087000,86418000,78554000,104611000,96372000,100796000,78588000
84,CAPEX,-42457000,-26601000,-44260000,-72784000,-58513000,-60848000,-42327000,-55575000,-34271000,-28693000,-19542000,-50792000,-72262000,-34396000,-15815000,-16153000,-14720000,-25312000,-42871000,-37931000,-33779000,-29982000,-37243000,-34564000,-26484000,-24883000,-25726000,-24008000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,- -,-2000000,-111000000,- -,-22000000,102000000,-132000000,-246000000,- -,- -,- -,- -,- -
86,Purchases of Investments,-6415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-34872000,25591000,-172644000,-49593000,-39820000,-62680000,-79587000,-77094000,-29808000,-22500000,-213090000,-240737000,-65539000,-58493000,-33023000,-14810000,-13875000,-24367000,-41704000,-37687000,-27876000,-28144000,-36103000,-41124000,-26052000,-23559000,-25224000,-18708000
89,Cash Used for Investing Activites,-41287000,25591000,-172644000,-49593000,-39820000,-62680000,-79587000,-77094000,-29808000,-22500000,-213090000,-240737000,-65539000,-136974000,-15838000,-14810000,-15875000,-135367000,-41704000,-59687000,74124000,-160144000,-282103000,-41124000,-26052000,-23559000,-25224000,-18708000
90,Debt Repayment,-295000,-80458000,-44667000,-41828000,-18624000,-8799000,-9586000,-21215000,-83343000,-55000000,- -,- -,- -,- -,- -,-363000,-323000,-340000,-264000,-24057000,-175000,-68020000,-425060000,-101597000,-298048000,-137526000,-155027000,-65680000
91,Common Stock Issued,- -,- -,- -,8357000,3183000,1567000,1002000,2473000,33948000,5163000,11665000,14295000,11094000,5045000,- -,- -,502000,- -,- -,2583000,3249000,5109000,3400000,7953000,4746000,3287000,3626000,16272000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-17185000,-2226000,- -,-13515000,- -,- -,-58326000,- -,- -,- -,-4274000,-10080000,-1284000,- -,-22281000,-52719000,- -,- -,-32034000,-9551000,-7233000,-11182000
93,Dividends Paid,-13406000,-12383000,-8115000,-8422000,-9059000,-9124000,-8884000,-8621000,-9637000,-10865000,-11530000,-14296000,-18362000,-20776000,-2258000,-4519000,-5275000,-5979000,-5891000,-5931000,-5992000,-5515000,-5470000,-5516000,-7020000,-10644000,-10534000,-10779000
94,Other Financing Activites,766000,11300000,152084000,2525000,-429000,975000,32838000,28897000,-3561000,-2298000,108343000,-461000,-3122000,-4397000,-61397000,15390000,- -,1093000,3511000,22536000,740000,116564000,623501000,53748000,266539000,83170000,114046000,-492000
95,Cash Used/Provided by Financing Activities,-12935000,-81541000,99302000,-39368000,-24929000,-15381000,-1815000,-692000,-62593000,-76515000,108478000,-462000,-68716000,-20128000,-63655000,10508000,-9370000,-15306000,-3928000,-4869000,-24459000,-4581000,196371000,-45412000,-65817000,-71264000,-55122000,-71861000
96,Effect of Forex Changes on Cash,- -,- -,- -,422000,107000,-32000,67000,- -,- -,- -,10000,17000,11000,158000,-202000,32000,27000,-222000,790000,-484000,207000,379000,1715000,-89000,-1194000,316000,303000,421000
97,Net Change In Cash,-8206000,11172000,-9228000,-9111000,-572000,-405000,-3465000,7164000,-11290000,3825000,19635000,7938000,56027000,67130000,65635000,56221000,63679000,-97559000,-18364000,-21519000,70650000,-97259000,2401000,-8071000,11548000,1865000,20753000,-11560000
98,Cash at the End of Period,34041000,45213000,35985000,26851000,26279000,25874000,22409000,29573000,18283000,22108000,41743000,49681000,105708000,172838000,67413000,123634000,187178000,89619000,71255000,49736000,120384000,23125000,25526000,17455000,29003000,30868000,51621000,40061000
99,Cash at the Beginning of Period,42247000,34041000,45213000,35962000,26851000,26279000,25874000,22409000,29573000,18283000,22108000,41743000,49681000,105708000,1778000,67413000,123499000,187178000,89619000,71255000,49734000,120384000,23125000,25526000,17455000,29003000,30868000,51621000
100,Free Cash Flow,3559000,40521000,19854000,6644000,5557000,16840000,35543000,29375000,46840000,74147000,104695000,198328000,118009000,189678000,49219000,44338000,74412000,27564000,-16393000,5590000,-13001000,37105000,49175000,43990000,78127000,71489000,75070000,54580000
