,https://roic.ai/company/SNN,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,14000000,12000000,10000000,7000000,- -,- -,170000000,215000000,197000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1160441000,1235714286,1328428000,891000000,1056999491,2645002203,2809002112,2386000000,1960000000,1560000000,1758000000,1772000000,3266000000,3201000000,3386000000,3222000000,3185000000,4158000000,5733000000,5352000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,483000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182905000,203571429,219519000,115000000,188999038,190000697,190000544,190000000,191000000,191000000,193000000,184000000,184000000,183000000,180000000,178000000,177000000,177000000,177000000,177000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418507000,616071429,876352000,566000000,1593999343,1810999608,1956000316,2338000000,2848000000,3258000000,3817000000,3520000000,3650000000,3731000000,3970000000,4329000000,4625000000,4849000000,4958000000,5225000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-496664000,-583928571,-658942000,-430000000,-885000668,-925999425,-977001291,-1128000000,-1214000000,-1331000000,-1436000000,-1463000000,-1469000000,-1481000000,-1556000000,-1692000000,-1821000000,-2034000000,-311000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,728398000,853571429,956875000,612000000,1275999716,740995893,529997372,779000000,948000000,1069000000,1310000000,1806000000,1675000000,1533000000,1364000000,1829000000,1893000000,2149000000,455000000,166000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,833629000,1089285714,1393804000,863000000,2173997429,1815996773,1698996941,2179000000,2773000000,3187000000,3884000000,4047000000,4040000000,3966000000,3958000000,4644000000,4874000000,5141000000,5279000000,5568000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994070000,2325000000,2722232000,1754000000,3230996920,4460998977,4507999052,4565000000,4733000000,4747000000,5642000000,5819000000,7306000000,7167000000,7344000000,7866000000,8059000000,9299000000,11012000000,10920000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1994070000,2325000000,2722232000,1754000000,3230996920,4460998977,4507999052,4565000000,4733000000,4747000000,5642000000,5819000000,7306000000,7167000000,7344000000,7866000000,8059000000,9299000000,11012000000,10920000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/845982/000119312505052156/0001193125-05-052156-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312506050236/0001193125-06-050236-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312507066772/0001193125-07-066772-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312508066724/0001193125-08-066724-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312509065333/0001193125-09-065333-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312510068337/0001193125-10-068337-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312511055004/0001193125-11-055004-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312512091365/0001193125-12-091365-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312513082636/0001193125-13-082636-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312514085518/0001193125-14-085518-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312515077206/0001193125-15-077206-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312516492258/0001193125-16-492258-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000119312517070682/0001193125-17-070682-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837018001490/0001558370-18-001490-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837019001461/0001558370-19-001461-index.htm,https://www.sec.gov/Archives/edgar/data/845982/000155837020001838/0001558370-20-001838-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,74660379,155915854,160789302,-84267467,174300019,206699318,187958738,155531579,169535395,309923527,188724000,180649000,307142857,240033000,187000000,745001671,315999934,377000112,472000000,615000000,582000000,729000000,556000000,501000000,410000000,784000000,767000000,663000000,600000000,448000000,524000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,52954605,49292464,53251287,57220581,61190432,72781450,67446935,81998506,87841336,79161190,87809000,119573000,107142857,162195000,99000000,166000942,228000435,258999651,298000000,273000000,297000000,312000000,361000000,427000000,493000000,463000000,447000000,435000000,502000000,562000000,581000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10714286,11700169,7000000,14000292,23000211,24000514,18000000,21000000,30000000,34000000,28000000,32000000,29000000,27000000,31000000,35000000,32000000,26000000,41000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,-26945099,-13498552,-28252766,2032425,-18542555,-28770079,-26945712,-20416632,72149605,-22254750,-31600000,-57692000,-89285714,-22239000,-141000000,-217001586,-130000583,-124000953,32000000,-77000000,-57000000,-24000000,-74000000,-158000000,107000000,-170000000,-102000000,-189000000,27000000,61000000,-150000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-9543056,9100147,-15827466,-15321358,-26114099,-8048772,2810289,-34027720,970622,-10604612,-58248000,-18532000,-17857143,-114073000,-48000000,-37000352,-84000160,-117000135,-17000000,21000000,40000000,12000000,-99000000,-168000000,-83000000,-47000000,-17000000,-152000000,-204000000,-45000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
