,https://roic.ai/company/FONR,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,2600000,2500000,1800000,7900000,2300000,900000,500000,400000,200000,600000,3300000,3700000,5900000,41800000,15200000,11810519,14630334,7493986,9334378,9473989,5516603,4556680,1469821,1325512,1225619,1299493,9251244,12032015,7870727,9951736,9448798,8528309,10139621,19633742,13882013,36802342,44460411
32,Short-Term Investments,- -,- -,- -,700000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20200000,11484176,6085266,5573483,5837017,11120141,9411231,4937842,1979309,1068168,22652,27613,32531,- -,- -,- -,- -,- -,- -,- -,15094816,31884,32177
33,Cash and Short-Term Investments,- -,2600000,2500000,2500000,9000000,2300000,900000,500000,400000,200000,600000,3300000,3700000,5900000,41800000,35400000,23294695,20715600,13067469,15171395,20594130,14927834,9494522,3449130,2393680,1248271,1327106,9283775,12032015,7870727,9951736,9448798,8528309,10139621,19633742,28976829,36834226,44492588
34,Net Receivables,- -,3700000,5900000,2700000,2600000,7600000,10000000,9700000,4500000,3200000,3000000,2500000,2500000,84000000,10700000,15400000,15356821,15464250,15245215,13601600,17441100,31689290,20191021,13997374,15520546,11754317,9608071,10355297,11432129,26863390,29415160,31120126,34197922,40356017,44649513,52800810,55649037,61200014
35,Inventory,- -,4000000,3700000,3700000,5900000,7100000,4100000,3000000,3200000,2900000,2800000,2300000,3600000,3400000,3500000,4200000,3536169,3725375,4663767,5057261,9585346,9837790,7077059,4465924,3255915,3172397,2826211,2400240,2194949,2077088,2443536,2191849,2074300,1624262,1431380,1798166,1648770,1663419
36,Other Current Assets,- -,300000,400000,9200000,6800000,7900000,4000000,5600000,4600000,3100000,3600000,1500000,1700000,500000,20500000,700000,661891,1214604,8518227,1435602,7465090,2108127,2108898,1103349,817057,2112714,913607,521349,206328,1054551,1011358,860040,759042,1293806,1349907,1512917,1757499,1227463
37,Total Current Assets,- -,10600000,12500000,18100000,24300000,24900000,19000000,18800000,12700000,9400000,10000000,9600000,11500000,93800000,76500000,55700000,42849576,41119829,41494678,35265858,55085666,58563041,38871500,23015777,21987198,18287699,14674995,22560661,25865421,37865756,42821790,43620813,45559573,53413706,67064542,85088722,95889532,108583484
38,PP&E,- -,2500000,3400000,5300000,8100000,6500000,5300000,4900000,3700000,3800000,3800000,2800000,2500000,6100000,9100000,11400000,11227454,10637397,10596481,8625434,8210621,7594225,6667420,5159085,3932533,2892380,2108556,3769424,3173447,17524494,15029729,12901195,14512706,16462504,16492278,16985617,54082362,53110414
39,Goodwill,- -,- -,- -,2800000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20438298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1767098,1767098,1767098,3322158,3927123,3985397,3985397,3985397,4269277
40,Intangible Assets,- -,500000,2000000,2500000,2900000,2800000,3800000,4000000,5100000,5400000,4800000,10000000,10800000,3600000,15900000,23800000,22692914,- -,2648618,12739037,12687960,8494935,4929483,5345445,4809564,4920241,4291419,4318311,3835179,11904248,10508843,8950160,7719358,6644504,5601656,4755675,4109129,4037599
41,Intangible Assets,- -,500000,2000000,5300000,3800000,2800000,3800000,4000000,5100000,5400000,4800000,10000000,10800000,3600000,15900000,23800000,22692914,20438298,2648618,12739037,12687960,8494935,4929483,5345445,4809564,4920241,4291419,4318311,3835179,13671346,12275941,10717258,11041516,10571627,9587053,8741072,8094526,8306876
42,Investments,- -,- -,3000000,4800000,5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89032,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2935750,5740287,8423306,13042360,17861777,22689011,20937747,18809757,15958961
44,Other Non-Current Assets,- -,100000,900000,1400000,2400000,12000000,13500000,12600000,18900000,24200000,29800000,32500000,38300000,3200000,6900000,6700000,7829093,12959889,18090010,2118332,1216599,1442281,6761141,7689868,4496338,2169863,553875,932278,741421,1153304,922096,829505,731451,452952,2478061,1807052,3383203,3546460
45,Total Non-Current Assets,- -,3100000,9300000,16800000,19600000,21300000,22600000,21500000,27700000,33400000,38400000,45300000,51600000,12900000,31900000,41900000,41749461,44035584,31335109,23482803,22115180,17531441,18358044,18194398,13238435,10071516,6953850,9020013,7750047,35284894,33968053,32871264,39328033,45348860,51246403,48471488,84369848,80922711
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13700000,21800000,34900000,43900000,46200000,41600000,40300000,40400000,42800000,48400000,54900000,63100000,106700000,108400000,97600000,84599037,85155413,72829787,58748661,77200846,76094482,57229544,41210175,35225633,28359215,21628845,31580674,33615468,73150650,76789843,76492077,84887606,98762566,118310945,133560210,180259380,189506195
48,Accounts Payable,- -,2400000,5000000,8500000,10000000,- -,- -,3900000,2300000,2100000,3000000,1600000,1700000,2800000,2000000,2400000,1738847,3020832,4076730,3703689,5368461,8468505,8002879,12487775,4019993,3518609,3191960,2187115,2076846,2752479,2481997,1782442,1254485,1423217,1300250,1861227,1965259,1866035
49,Short-Term Debt,- -,700000,100000,2100000,3700000,10900000,8900000,7900000,4900000,6800000,4500000,3300000,3000000,2800000,2400000,4500000,6224727,11134863,9776339,1021952,5982991,425143,233751,41566,372722,357003,667271,2025836,1853623,2885769,2890816,2490146,2447693,180090,38332,40530,3553227,3909603
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,4979836,2878153,2665181,2538340,2402448,2282042,2092403,1671488,1353200,1418857
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240139,373333,525699,4782300,- -,- -,5526006,10032874,10608188,9355898,6965502,6799992,6267431,6084276,5429418,5050125,4610766,4959844,5111665
52,Other Current Liabilities,- -,11900000,9100000,10300000,12400000,21300000,16300000,10500000,12700000,12700000,10300000,9700000,9100000,25500000,17700000,10900000,10446393,9219755,17136465,17246828,20767840,12919579,11615380,18052103,33559505,19724404,10808467,8315150,7793241,8513862,9024033,8252633,10826793,7203278,8177995,7577416,8185098,9162118
53,Total Current Liabilities,- -,15000000,14200000,20900000,26100000,32200000,25200000,22300000,19900000,21600000,17800000,14600000,13800000,31100000,22100000,17800000,18409967,23375450,30989534,22212608,32492625,22338926,24634310,30581444,37952220,29126022,24700572,23136289,21079608,21117612,21196838,18792652,20613247,14236003,14566702,14089939,18663428,20049421
54,Long-Term Debt,- -,- -,4100000,4900000,5400000,12200000,9600000,7300000,7200000,3000000,1500000,500000,1000000,1800000,13600000,20300000,14744459,10109286,833165,907624,719502,966371,1171943,955563,756976,919387,1638963,1746286,777274,12887005,8481830,5699302,2059236,336761,306035,273112,32221051,30783817
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2655605,2800522
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,461858,583990,510492,481779,331527,239011,243267,234106,238316
57,Other Non-Current Liabilities,- -,3100000,3400000,300000,200000,1300000,900000,800000,400000,200000,200000,100000,100000,200000,- -,200000,138338,9687411,5039534,2904019,453273,398100,307634,243202,594501,1190853,1065276,832285,677055,884899,620593,706118,957037,948322,964726,841789,242974,263994
58,Total Non-Current Liabilities,- -,3100000,7500000,5200000,5600000,13500000,10500000,8100000,7600000,3200000,1700000,600000,1100000,2200000,13600000,20500000,14882797,19796697,5872699,3811643,1172775,1364471,1479577,1198765,1351477,2110240,2704239,2578571,1454329,14233762,9686413,6915912,3498052,1616610,1509772,1358168,35353736,34086649
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277494,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34800483,33759960
61,Total Liabilities,- -,18100000,21700000,26100000,31700000,45700000,35700000,30400000,27500000,24800000,19500000,15200000,14900000,33300000,35700000,38300000,33292764,43172147,36862233,26024251,33665400,23703397,26113887,31780209,39303697,31236262,27404811,25714860,22533937,35351374,30883251,25708564,24111299,15852613,16076474,15448107,54017164,54136070
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784,784,784,784,- -,31,31,31,31,31,31,31,31,31,31,31,31,31,31
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6587,6908,8114,9202,10796,11430,12425,- -,528,529,535,600,628,635,644,645,645,668,668,676,685,695
64,Retained Earnings,- -,-24900000,-22100000,-19800000,-17200000,-29300000,-24400000,-20900000,-20200000,-20000000,-20300000,-22100000,-25700000,-14000000,-19600000,-33900000,-44816824,-60000686,-82882893,-97889309,-107383692,-106369283,-136332640,-161871507,-175379874,-174258607,-177271349,-174110439,-168333958,-159655416,-149259286,-136348635,-120624010,-101003389,-79772587,-64455456,-56215251,-46007663
65,Other Comprehensive Income/Loss,- -,- -,-600000,-3000000,-3400000,-5400000,-6700000,-8000000,-9000000,-9900000,-1000000,-10600000,-11300000,-17000000,-18800000,-16500000,-18204000,-18145123,-21668964,-585574,-888505,-1027891,-997970,-626802,-466864,-20995,-18489,-16179,-19534,-19713062,-17650043,-136000000,-20800555,-21254279,-24002453,-26864570,-30009150,- -
66,Other Total Stockholders Equity,- -,20600000,22800000,31600000,32800000,35200000,37000000,38800000,42100000,47900000,50200000,72400000,85200000,104400000,111100000,109700000,114320510,120122167,140511297,130844189,151415041,159253481,167736198,192743749,171601149,171338180,171513306,172685364,173337804,193481873,192220262,310740701,193803621,199694123,202449630,207275697,212410648,184425586
67,Total Stockholders Equity,- -,-4300000,100000,8800000,12200000,500000,5900000,9900000,12900000,18000000,28900000,39700000,48200000,73400000,72700000,59300000,51306273,41983266,35967554,32379292,43154424,51868521,30418797,8898028,-4245030,-2940862,-5775966,-1440623,4984971,14114061,25311608,38392742,52379732,77437154,98675289,115956378,126186963,138418649
68,Total Liabilities And Stockholders Equity,- -,13800000,21800000,34900000,43900000,46200000,41600000,40300000,40400000,42800000,48400000,54900000,63100000,106700000,108400000,97600000,84599037,85155413,72829787,58403543,76819824,75571918,56532684,40678237,35058667,28295400,21628845,24274237,27518908,49465435,56194859,64101306,76491031,93289767,114751763,131404485,180204127,192554719
69,Minority Interest,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345118,381022,522564,696860,531938,166966,63815,- -,7306437,6096560,23685215,20594984,12390771,8396575,5472799,3559182,2155725,55253,-3048524
70,Total Liabilities & Equity,- -,13700000,21800000,34900000,43900000,46200000,41600000,40300000,40400000,42800000,48400000,54900000,63100000,106700000,108400000,97600000,84599037,85155413,72829787,58748661,77200846,76094482,57229544,41210175,35225633,28359215,21628845,31580674,33615468,73150650,76789843,76492077,84887606,98762566,118310945,133560210,180259380,189506195
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501905000031/0000355019-05-000031-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501909000017/0000355019-09-000017-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/355019/000035501912000024/0000355019-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501913000029/0000355019-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501914000031/0000355019-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501915000031/0000355019-15-000031-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501916000059/0000355019-16-000059-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501917000029/0000355019-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501918000039/0000355019-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501919000036/0000355019-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501920000051/0000355019-20-000051-index.htm,https://www.sec.gov/Archives/edgar/data/355019/000035501921000040/0000355019-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2700000,-12100000,4900000,3500000,600000,200000,-300000,-1800000,-3400000,56100000,-5700000,-14200000,-10955987,-15183862,-22882207,-15006416,-9494383,1014409,-29963357,-25538867,-13508367,1121267,-3012742,3160910,5776481,8678542,10396130,12910651,15724625,19620621,21230802,15317131,8240205,10207588
74,Depreciation and Amortization,- -,- -,- -,- -,3470000,2210000,2770000,2900000,2700000,2400000,2600000,2400000,2300000,2000000,2900000,4700000,4670473,2372767,3067184,2093490,1540898,1651752,3286865,2675831,2793592,1733499,1445065,2073006,2230250,2421177,3817205,3544470,3297289,3533564,3899851,3836491,4914208,5539740
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2473892,-2682405,-2756517,-4647767,-4969669,-6119750,1755520,2647644,3526191
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4061,- -,204486,180418,415021,223000,53200,3761,2398956,- -,- -,- -,83277
77,Change in Working Capital,- -,- -,- -,- -,2370000,-5500000,1100000,2700000,-3700000,-5000000,4400000,2800000,2700000,65000000,-8300000,-16500000,-13460391,-6695230,-7239235,2548106,9539791,13631074,-21986925,-21802857,-8399355,5126699,812746,9449949,5361441,11962331,4876808,3203209,118165,14231377,13320137,18500943,6227321,11307959
78,Accounts Receivable,- -,- -,- -,- -,100000,-3800000,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3717440,-4044002,-4258147,-3557507,-5899611,-4328239,-6134095,-10797456,-12110859
79,Inventory,- -,- -,- -,- -,-2200000,-1200000,3000000,1100000,-300000,- -,100000,700000,-900000,600000,-100000,-700000,701609,-189206,-938392,-393494,-4528085,547586,2760731,2611135,1210009,83518,346186,425971,205291,117861,-366448,251687,117549,450038,192882,-366786,149396,-14649
80,Accounts Payable,- -,- -,- -,- -,-1500000,1000000,3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132713,-448195,-1012493,-164669,628033,-270482,-699555,-527957,168733,-122967,560977,104032,-99224
81,Other Working Capital,- -,- -,- -,- -,-1800000,-7300000,-6200000,-3500000,-7200000,-12200000,-7800000,-5000000,-2300000,62700000,54400000,37900000,24439609,17744379,10505144,13053250,22593041,36224115,14237190,-7565667,-15965022,-10838323,-10025577,-575628,4785813,16748144,21624952,24828161,24946326,39177703,52497840,70998783,77226104,88534063
82,Other Non-Cash Items,- -,- -,- -,- -,300000,6400000,-2210000,-3200000,6700000,3800000,-10700000,-6100000,-9200000,-129700000,79700000,14400000,15009210,20822248,27678177,13777152,4909419,-17333742,46102868,40726571,14449884,-14052215,-743433,-11739380,-6132406,-13464035,-3270415,-3682096,2121296,-18007585,-13591717,-19961637,-1626615,-11576754
