,https://roic.ai/company/SPRS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.4334,-0.1513,-0.0069,- -,- -,- -,- -,- -,0.0358,0.0783,0.0639,0.0653,0.0549,0.0262,0.0369,-0.0161,0.0113,0.0468,0.0597,0.0468,0.0792
19,Total Other Income Expenses (Gains),739491,-79845,-44921,- -,- -,- -,- -,- -,-119098,-113633,-59302,2744,4244,4849,8832,8724,-19336,587639,-1958,20025,449779
20,Income Before Tax,-6074890,-1731547,-122045,- -,- -,- -,- -,- -,321919,1578760,1423930,1459960,1392264,717713,1106113,-465896,316645,2102586,1938822,1504582,3603048
21,Income Before Tax Ratio,-0.3864,-0.1586,-0.0109,- -,- -,- -,- -,- -,0.0261,0.0730,0.0614,0.0654,0.0550,0.0264,0.0372,-0.0158,0.0106,0.0650,0.0597,0.0474,0.0905
22,Income Tax expense (Gain),35792,8832,9591,- -,- -,- -,- -,- -,5364,82672,-1433794,-47315,147474,279149,241228,96578,-40821,140992,-96033,-11718,1092287
23,Net Income,-6110682,-1740379,-131636,- -,- -,- -,- -,- -,316555,1496088,2857724,1507275,1244790,438564,864885,-562474,357466,1961594,2034855,1516300,2510761
24,Net Income ratio,-0.3887,-0.1594,-0.0117,- -,- -,- -,- -,- -,0.0257,0.0692,0.1231,0.0675,0.0492,0.0161,0.0291,-0.0190,0.0120,0.0606,0.0626,0.0478,0.0630
25,EPS,-0.83,-0.20,-0.02,- -,- -,- -,- -,- -,0.03,0.17,0.32,0.17,0.14,0.05,0.09,-0.06,0.05,0.37,0.38,0.28,0.46
26,EPS Diluted,-0.83,-0.20,-0.02,- -,- -,- -,- -,- -,0.03,0.16,0.30,0.15,0.13,0.04,0.09,-0.06,0.05,0.37,0.37,0.27,0.44
27,Weighted Average Shares Outstanding,7390314,8848530,8743326,- -,- -,- -,- -,- -,8874512,8901865,9002957,9048195,9060012,9062642,9641542,10066202,6498404,5226604,5295393,5375730,5515342
28,Weighted Average Shares Outstanding Diluted,7390314,8848530,8743326,- -,- -,- -,- -,- -,9201512,9304813,9652096,9665331,9653689,9705861,9759575,10066202,6610492,5345061,5472508,5532536,5695801
29,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/747540/000101376211000505/0001013762-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376212000398/0001013762-12-000398-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376213000315/0001013762-13-000315-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376214000184/0001013762-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376215000180/0001013762-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376216001345/0001013762-16-001345-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390017001850/0001213900-17-001850-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390018002400/0001213900-18-002400-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390019003321/0001213900-19-003321-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390020005001/0001213900-20-005001-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390021011934/0001213900-21-011934-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390022009597/0001213900-22-009597-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1494441,695420,- -,- -,- -,- -,- -,1140338,883331,1905455,3443964,4288090,6174561,7169118,7120601,1086999,1761863,2739305,4387929,6511588
32,Short-Term Investments,- -,270145,277643,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1764586,973063,- -,- -,- -,- -,- -,1140338,883331,1905455,3443964,4288090,6174561,7169118,7120601,1086999,1761863,2739305,4387929,6511588
34,Net Receivables,- -,1557947,1775293,- -,- -,- -,- -,- -,2547213,4117049,4149068,3962034,4963385,4433994,4693749,5558808,5933268,6017082,5616732,6989125,7744043
35,Inventory,- -,2121198,1812078,- -,- -,- -,- -,- -,1619263,2791326,2802327,2788958,3672563,3258156,3199463,2929570,3161587,3389065,3593231,3410534,5293085
36,Other Current Assets,- -,116946,71054,- -,- -,- -,- -,- -,306230,310724,424219,421561,605848,529148,381055,449711,486496,- -,- -,- -,- -
37,Total Current Assets,- -,5560677,4631488,- -,- -,- -,- -,- -,5613044,8102430,9281069,10616517,13529886,14395859,15443385,16058690,10668350,11168010,11949268,14787588,19548716
38,PP&E,- -,1173585,946872,- -,- -,- -,- -,- -,303847,187553,118049,80629,75275,84966,104738,81974,138329,115995,120752,1738646,1761475
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1175133,1260788,1092455,887620,748597,609773,655253,982624,1185740,1307558,407250
44,Other Non-Current Assets,- -,4054,7789,- -,- -,- -,- -,- -,5459,1643,6376,7370,11652,11652,13384,13384,13384,13384,22607,22607,34299
45,Total Non-Current Assets,- -,1177639,954661,- -,- -,- -,- -,- -,309306,189196,1299558,1348787,1179382,984238,866719,705131,806966,1112003,1329099,3068811,2203024
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6738316,5586149,- -,- -,- -,- -,- -,5922350,8291626,10580627,11965304,14709268,15380097,16310104,16763821,11475316,12280013,13278367,17856399,21751740
48,Accounts Payable,- -,1774738,1162716,- -,- -,- -,- -,- -,1474539,2436652,2019980,1921631,3329776,3288798,3261763,3237592,4629932,4420013,3344182,3880805,5448483
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,7782,242021,308385
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1326391,928300,- -,- -,- -,- -,- -,1498775,1423010,1187121,1076087,1100671,1341807,1101444,1975993,1565590,1119112,1087864,1243178,1503529
53,Total Current Liabilities,- -,3101129,2091016,- -,- -,- -,- -,- -,2973314,3859662,3207101,2997718,4430447,4630605,4363207,5213585,6695522,5539125,4439828,5366004,7260397
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17102,1888471,1308658
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,23016,2466,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,48306,62288,- -,- -,- -,- -,- -,- -,- -,16743,27893,35855,40564,41955,39962,67054,51054,12998,- -,- -
58,Total Non-Current Liabilities,- -,48306,62288,- -,- -,- -,- -,- -,23016,2466,16743,27893,35855,40564,41955,39962,67054,51054,30100,1888471,1308658
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38947,32536,24884,1680792,1617043
61,Total Liabilities,- -,3149435,2153304,- -,- -,- -,- -,- -,2996330,3862128,3223844,3025611,4466302,4671169,4405162,5253547,6762576,5590179,4469928,7254475,8569055
62,Preferred Stock,- -,43,43,- -,- -,- -,- -,- -,33,33,24,24,24,22,10,10,10,10,10,10,10
63,Common Stock,- -,8744,8744,- -,- -,- -,- -,- -,8874,8922,9035,9060,9060,9080,9999,10224,5224,5262,5319,5437,5515
64,Retained Earnings,- -,-19405250,-19536886,- -,- -,- -,- -,- -,-19971022,-18491284,-15647660,-14152235,-12919295,-12492581,-11634796,-12202270,-11849804,-9893210,-7863355,-6352055,-3846294
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-2027662,-2163816,-2069538,-2126238,-2065539,-2114416,-2154182,-2185540,-2217654,-2266627,-2305724,- -,- -
66,Other Total Stockholders Equity,- -,22960016,22940095,- -,- -,- -,- -,- -,24915797,25075643,25064922,25209082,25218716,25306823,25683911,25887850,18774964,18844399,18972189,16948532,17023454
67,Total Stockholders Equity,- -,3563553,3411996,- -,- -,- -,- -,- -,2926020,4429498,7356783,8939693,10242966,10708928,11904942,11510274,4712740,6689834,8808439,10601924,13182685
68,Total Liabilities And Stockholders Equity,- -,6712988,5565300,- -,- -,- -,- -,- -,5922350,8291626,10580627,11965304,14709268,15380097,16310104,16763821,11475316,12280013,13278367,17856399,21751740
69,Minority Interest,- -,25328,20849,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,6738316,5586149,- -,- -,- -,- -,- -,5922350,8291626,10580627,11965304,14709268,15380097,16310104,16763821,11475316,12280013,13278367,17856399,21751740
71,SEC Link,undefined,- -,- -,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/747540/000101376211000505/0001013762-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376212000398/0001013762-12-000398-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376213000315/0001013762-13-000315-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376214000184/0001013762-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376215000180/0001013762-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376216001345/0001013762-16-001345-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390017001850/0001213900-17-001850-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390018002400/0001213900-18-002400-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390019003321/0001213900-19-003321-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390020005001/0001213900-20-005001-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390021011934/0001213900-21-011934-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390022009597/0001213900-22-009597-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6110682,-1740379,-131636,- -,- -,- -,- -,- -,316555,1496088,2857724,1507275,1244790,438564,864885,-562474,357466,1961594,2034855,1516300,2510761
74,Depreciation and Amortization,2420587,338799,257067,- -,- -,- -,- -,- -,141843,136154,88188,56700,55151,48877,39766,31358,32114,48972,39097,37903,70098
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1468916,-107069,119378,273114,185363,83470,-68220,256,-203116,-121818,900308
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,23740,83661,81235,70333,39248,92079,74363,- -,- -,88750,216935,75000
77,Change in Working Capital,-1584255,2335160,80924,- -,- -,- -,- -,- -,99258,1603038,1831200,1544831,1480640,665815,1314924,-235073,-6872277,1656057,-901299,-501075,-785099
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-203570,-1569836,-42182,182034,-1026675,495626,-293521,-897504,-372876,-64225,897040,-1338068,-1049178
79,Inventory,-326030,170965,309120,- -,- -,- -,- -,- -,-139253,-1172063,-11001,13369,-883605,414407,58693,269893,-232017,-227478,-204166,182697,-1882551
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,251851,962113,-613016,-98349,1408146,-40978,-27034,-24171,1392340,-209919,-1075831,536623,1567612
81,Other Working Capital,124388,2459548,2540472,- -,- -,- -,- -,- -,2639730,4242768,6073968,7618799,9099439,9765254,11080178,10845105,3972828,5628885,-12556,14281,- -
82,Other Non-Cash Items,5508628,-2758771,-843074,- -,- -,- -,- -,- -,-193362,-2728396,-2351049,-1531433,-2076367,479421,-1586672,469990,7216837,-2479466,-29339,12597,-444025
83,Cash Provided by Operating Activities,234278,-1825191,-636719,- -,- -,- -,- -,- -,364294,530624,1040808,1551539,893925,1945039,910345,-138366,665920,1187413,1028948,1160842,2327043
84,CAPEX,-1350713,-33498,-30354,- -,- -,- -,- -,- -,-158512,-19860,-18684,-19280,-49799,-58568,-59538,-8594,-49522,-26638,-43854,-19386,-194909
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-102671,-31011,-9569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1250000,900590,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1277572,1054602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1480956,1890683,-39923,- -,- -,- -,- -,- -,-158512,-19860,-18684,-19280,-49799,-58568,-59538,-8594,-49522,-26638,-43854,-19386,-194909
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-14377,-767771,- -,- -,- -,- -,- -,- -,- -,-506411,-7652,-7782,-8475
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-650000,-74003,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49807,-7150000,- -,- -,- -,- -
93,Dividends Paid,-6625,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,27038,472771,-122379,- -,- -,- -,- -,- -,43770,- -,- -,6250,- -,- -,143750,148250,500000,20500,- -,514950,- -
95,Cash Used/Provided by Financing Activities,-629587,398768,-122379,- -,- -,- -,- -,- -,29393,-767771,- -,6250,- -,- -,143750,98443,-6650000,-485911,-7652,507168,-8475
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1876265,464260,-799021,- -,- -,- -,- -,- -,235175,-257007,1022124,1538509,844126,1886471,994557,-48517,-6033602,674864,977442,1648624,2123659
98,Cash at the End of Period,1030181,1494441,695420,- -,- -,- -,- -,- -,1140338,883331,1905455,3443964,4288090,6174561,7169118,7120601,1086999,1761863,2739305,4387929,6511588
99,Cash at the Beginning of Period,2906446,1030181,1494441,- -,- -,- -,- -,- -,905163,1140338,883331,1905455,3443964,4288090,6174561,7169118,7120601,1086999,1761863,2739305,4387929
100,Free Cash Flow,-1116435,-1858689,-667073,- -,- -,- -,- -,- -,205782,510764,1022124,1532259,844126,1886471,850807,-146960,616398,1160775,985094,1141456,2132134
101,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/747540/000101376211000505/0001013762-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376212000398/0001013762-12-000398-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376213000315/0001013762-13-000315-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376214000184/0001013762-14-000184-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376215000180/0001013762-15-000180-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000101376216001345/0001013762-16-001345-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390017001850/0001213900-17-001850-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390018002400/0001213900-18-002400-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390019003321/0001213900-19-003321-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390020005001/0001213900-20-005001-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390021011934/0001213900-21-011934-index.htm,https://www.sec.gov/Archives/edgar/data/747540/000121390022009597/0001213900-22-009597-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
