,https://roic.ai/company/GHL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,57490000,90327000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,57490000,90327000,63793615,60637998,177016103,234941121,297731403,374213330,265779193,328389483,508677840,460743000,386970000,353446000,337650000,423838000,456682000,610817000,485700000,494375000,585799000,568632000
48,Accounts Payable,- -,- -,13112498,15067931,38383113,38857726,41782142,201637621,55563162,76301849,- -,- -,23669000,13346000,9035000,9858000,9297000,15443000,17167000,12412000,15424000,17776000
49,Short-Term Debt,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21875000,35000000,- -,- -,- -
50,Tax Payable,- -,- -,1250000,1640368,9444666,38346740,48356002,25731177,10149231,18141138,- -,- -,- -,15345000,10007000,19020000,18968000,5311000,7486000,9653000,6031000,12345000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,6556613887,15945910274,6241221858,6925132379,10149231,18534426,110639084,92821000,21419000,29196000,36411000,41153000,56495000,31333000,64408000,36531000,40092000,53645000
53,Total Current Liabilities,- -,- -,- -,16567931,6594997000,15984768000,6283004000,7126770000,65712393,94836275,110639084,92821000,45088000,42542000,45446000,51011000,65792000,68651000,116575000,48943000,55516000,71421000
54,Long-Term Debt,- -,- -,- -,1500000,1445044,1445044,1445044,1445044,- -,- -,- -,- -,29125000,30849000,35600000,73550000,80945000,317173000,284479000,388753000,416143000,360531000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25031882,20368000,9245000,2345000,362000,1580000,3667000,2928000,3990000,12004000,26073000,31745000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144365,- -,- -,- -,- -,13647000,15095000,13763000,18293000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,1500000,1445044,1445044,1445044,1445044,- -,- -,25176247,20368000,38370000,33194000,35962000,88777000,99707000,333864000,306762000,400757000,442216000,392276000
59,Other Liabilities,23604000,38230000,14362498,3140368,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30750000,95097000,92691000
61,Total Liabilities,23604000,38230000,14362498,18208299,49272823,116996250,139939190,228813842,65712393,94836275,135815331,113189000,83458000,75736000,81408000,139788000,165499000,402515000,423337000,449700000,497732000,463697000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46950226,46950000,46950000,14446000,14446000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,307500,308800,310345,312322,328304,332543,351174,358000,365000,379000,389000,405000,414000,438000,450000,468000,487000,506000
64,Retained Earnings,- -,- -,- -,- -,15781529,57595530,112052519,190416057,189357441,206974630,184621197,173374000,159918000,152412000,141290000,109860000,111798000,37595000,63427000,69093000,95424000,132559000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,1222235,-3025186,2896461,5583019,-17408714,-8737728,5127132,3128000,6624000,-9361000,-17969000,-28405000,-32398000,-22222000,-35705000,-34115000,-25501000,-30443000
66,Other Total Stockholders Equity,33886000,52097000,49431117,42429699,109927839,59836190,40301985,-53165038,25972174,33482549,133431756,122391000,88302000,118792000,117392000,201496000,211369000,192491000,34191000,9229000,17657000,- -
67,Total Stockholders Equity,33886000,52097000,41672688,32257252,127239103,114715334,155561310,143146360,198249205,232051994,370481485,346201000,302159000,276668000,255548000,283356000,291183000,208302000,62363000,44675000,88067000,104935000
68,Total Liabilities And Stockholders Equity,57490000,90327000,56035186,50465551,176511926,231711584,295500500,371960202,263961598,326888269,506296816,459390000,385617000,352404000,336956000,423144000,456682000,610817000,485700000,494375000,585799000,568632000
69,Minority Interest,- -,- -,7758429,10172447,504177,3229537,2230903,2253128,1817595,1501214,2381024,1353000,1353000,1042000,694000,694000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,57490000,90327000,63793615,60637998,177016103,234941121,297731403,374213330,265779193,328389483,508677840,460743000,386970000,353446000,337650000,423838000,456682000,610817000,485700000,494375000,585799000,568632000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282977/000095010305000434/0000950103-05-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013606001559/0000950136-06-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013607001267/0000950136-07-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013608000998/0000950136-08-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012309003576/0000950123-09-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012310018113/0000950123-10-018113-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012311019920/0000950123-11-019920-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000119312512084108/0001193125-12-084108-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297713000007/0001282977-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297714000005/0001282977-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297715000003/0001282977-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297716000016/0001282977-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297717000002/0001282977-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297718000002/0001282977-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297719000005/0001282977-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297720000006/0001282977-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297721000010/0001282977-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297722000005/0001282977-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,57817050,45400493,38315827,55532284,75665945,115276272,48978070,71240014,34525911,44577000,42092000,46682000,43388000,25598000,60762000,-26651000,39222000,10978000,31334000,42312000
74,Depreciation and Amortization,- -,- -,3429204,3419394,3467745,2495336,3008579,4228714,4592176,4117499,5986064,8009000,7240000,4461000,3228000,3433000,3243000,3114000,5175000,4487000,3951000,4792000
75,Deferred Income Tax,- -,- -,- -,- -,1917175,12090539,-1934395,-22548696,-19904419,10939879,-2984779,-5538000,-18232000,-7710000,3633000,-6058000,-7457000,14594000,5435000,-815000,-8000,13908000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54178000,56100000,39990000,47071000,45880000,40597000,37941000,46382000,31950000,- -
77,Change in Working Capital,- -,- -,-22218893,-7942495,54167959212,40380348000,-17045076000,133750098000,-211269497516,-17187427,-9964419,22958362,37601000,27016000,4508000,-3907000,14640000,163712000,-163016000,-44394000,15754000,38566000
78,Accounts Receivable,- -,- -,- -,14106874,-7215444,-2053261,3982067,-4894600,- -,- -,- -,- -,-1170000,-30792000,3465000,17341000,-3710000,3896000,2451000,-17170000,-3578000,29021000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,4369451,18671911,12979801,-6566322,44549477,- -,- -,- -,- -,14303000,7162000,69000,2135000,-706000,5409000,-9546000,1690000,9042000,-958000
81,Other Working Capital,- -,- -,51937283,43994788,54211954000,94592302000,77547226000,211297324000,27826484,10639057,674638,23633000,61234000,88250000,92758000,88851000,103491000,267203000,104187000,- -,9663000,2193000
82,Other Non-Cash Items,- -,- -,7401455,28333465,-54168774276,-40389208753,17006957763,-133701666382,211221962458,-7663557,40593006,27706638,-28128000,-58764000,8542000,26614000,7166000,-180194000,191537000,-2306000,1025000,31106000
83,Cash Provided by Operating Activities,- -,- -,46428816,69210857,42885683,61257406,38621892,145387908,-13869231,61446408,68155783,97713000,94751000,67785000,103289000,92751000,124234000,15172000,116294000,14332000,84006000,130684000
84,CAPEX,- -,- -,-722445,-924117,-4373874,-1738975,-8816594,-4484690,-2848984,-4674386,-8126842,-2941000,-2833000,-1151000,-2439000,-2242000,-1737000,-2555000,-2124000,-1648000,-17015000,-4770000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2339676,- -,-30197302,-7029955,-19037224,- -,57834000,36230000,- -,-32121000,- -,- -,- -,- -,847000,- -
86,Purchases of Investments,- -,- -,-27659,-7194093,-116623635,-262976443,-102409264,-39697950,-33062500,-525000,-208026,-7839000,-6536000,-560000,-28000,-21000,- -,- -,- -,- -,-2050000,- -
87,Sales/Maturities of Investments,- -,- -,- -,482483,60536461,301960749,100819062,120705567,28931982,12448563,20614753,57484000,- -,- -,- -,- -,- -,- -,- -,- -,847000,1190000
88,Other Investing Activites,- -,- -,727300,482483,- -,- -,- -,- -,- -,- -,- -,- -,-12467000,1283000,658000,853000,937000,221000,1506000,239000,-766000,32000
89,Cash Used for Investing Activites,- -,- -,-22804,-7153244,-60461048,37245331,-12746472,76522927,-37176804,219222,-6757339,46704000,35998000,35802000,-1809000,-33531000,-800000,-2334000,-618000,-1409000,-18137000,-3548000
90,Debt Repayment,- -,- -,- -,- -,-16000000,- -,-36500000,-137650000,-173320044,-95375000,-86325000,-133520000,-113845000,-107426000,-67425000,-87050000,-98604000,-150300000,-21875000,-18125000,-38750000,-55000000
91,Common Stock Issued,- -,- -,- -,- -,89266403,58789663,53450878,- -,67274143,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-211926,-58844622,-53450878,-125022022,-21832102,-9645599,-37210763,-65784000,-83165000,-55406000,-36179000,-11902000,-28186000,-79561000,-195299000,-69439000,-23257000,-45121000
93,Dividends Paid,- -,- -,-68797312,-55670071,-36142763,-13718283,-21208956,-36912734,-50036686,-53622825,-56879344,-55824000,-55548000,-56225000,-56283000,-58940000,-61609000,-47552000,-5158000,-4417000,-4108000,-4353000
94,Other Financing Activites,- -,- -,22500,1500000,14527500,-57970711,5135201,206764356,113082100,106538181,117693435,94984000,109923000,108847000,69288000,119056000,101116000,408403000,- -,35104000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-68774812,-54170071,51439214,-71743953,-52573755,-92820400,-64832589,-52105243,-62721672,-160144000,-142635000,-110210000,-90599000,-38836000,-87283000,150990000,-222332000,-56877000,-66115000,-104474000
96,Effect of Forex Changes on Cash,- -,- -,422863,772028,344459,-4324870,5843756,193795,-12943237,2064417,5076978,-450000,160000,-1022000,-2620000,-1362000,-7800000,5505000,-4616000,1555000,-1026000,-741000
97,Net Change In Cash,- -,- -,-21945937,8659570,34208308,22433914,-20854579,129284230,-128821861,11624804,3753750,-16177000,-11726000,-7645000,8261000,19022000,28351000,169333000,-111272000,-42399000,-1272000,21921000
98,Cash at the End of Period,- -,- -,17939073,26598643,60806951,83240865,62386286,191670516,62848655,74473459,78227209,62050000,50324000,42679000,50940000,69962000,98313000,267646000,156374000,113975000,112703000,134624000
99,Cash at the Beginning of Period,- -,- -,39885010,17939073,26598643,60806951,83240865,62386286,191670516,62848655,74473459,78227000,62050000,50324000,42679000,50940000,69962000,98313000,267646000,156374000,113975000,112703000
100,Free Cash Flow,- -,- -,45706371,68286740,38511809,59518431,29805298,140903218,-16718215,56772022,60028941,94772000,91918000,66634000,100850000,90509000,122497000,12617000,114170000,12684000,66991000,125914000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1282977/000095010305000434/0000950103-05-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013606001559/0000950136-06-001559-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013607001267/0000950136-07-001267-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095013608000998/0000950136-08-000998-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012309003576/0000950123-09-003576-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012310018113/0000950123-10-018113-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000095012311019920/0000950123-11-019920-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000119312512084108/0001193125-12-084108-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297713000007/0001282977-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297714000005/0001282977-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297715000003/0001282977-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297716000016/0001282977-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297717000002/0001282977-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297718000002/0001282977-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297719000005/0001282977-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297720000006/0001282977-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297721000010/0001282977-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1282977/000128297722000005/0001282977-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
