,https://roic.ai/company/MTCR,2018,2019,2020,2021
64,Retained Earnings,-54509000,-83442000,-120746000,-182953000
65,Other Comprehensive Income/Loss,-475000,-702000,1000,-5000
66,Other Total Stockholders Equity,3519000,5907000,210021000,240309000
67,Total Stockholders Equity,-51465000,-78237000,89279000,57355000
68,Total Liabilities And Stockholders Equity,77804000,60281000,104236000,79989000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,77804000,60281000,104236000,79989000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1634379/000156459021014178/0001564590-21-014178-index.htm,https://www.sec.gov/Archives/edgar/data/1634379/000156459022012606/0001564590-22-012606-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-25821000,-28933000,-37304000,-62207000
74,Depreciation and Amortization,829000,830000,931000,295000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1063000,1932000,5021000,6949000
77,Change in Working Capital,-1035000,-26540000,54666000,-27017000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-503000,3650000
81,Other Working Capital,69871000,43331000,97997000,70980000
82,Other Non-Cash Items,-517000,24963000,-59525000,34820000
83,Cash Provided by Operating Activities,-25481000,-27748000,-36211000,-47160000
84,CAPEX,-690000,-84000,-206000,-8000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-73042000,-53029000,-79874000,-42673000
87,Sales/Maturities of Investments,16500000,70810000,47983000,86591000
88,Other Investing Activites,15000,- -,- -,- -
89,Cash Used for Investing Activites,-57217000,17697000,-32097000,43910000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,76874000,21661000
92,Common Stock Repurchased,-3000,-1000,-2000,184000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,64808000,9755000,161000,5922000
95,Cash Used/Provided by Financing Activities,64805000,9754000,77033000,27767000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-17893000,-297000,8725000,24517000
98,Cash at the End of Period,15965000,15668000,24393000,48910000
99,Cash at the Beginning of Period,33858000,15965000,15668000,24393000
100,Free Cash Flow,-26171000,-27832000,-36417000,-47168000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1634379/000156459021014178/0001564590-21-014178-index.htm,https://www.sec.gov/Archives/edgar/data/1634379/000156459022012606/0001564590-22-012606-index.htm
102,false,,,,
