,https://roic.ai/company/OCDX,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,3687400000,3589200000,3401500000,- -
48,Accounts Payable,- -,167100000,198400000,146200000,- -
49,Short-Term Debt,- -,159700000,173000000,175100000,- -
50,Tax Payable,- -,44900000,52100000,18400000,- -
51,Deferred Revenue,- -,27600000,36300000,35500000,- -
52,Other Current Liabilities,- -,223600000,275000000,269600000,- -
53,Total Current Liabilities,- -,578000000,682700000,626400000,- -
54,Long-Term Debt,- -,3489800000,3442400000,3558500000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,66800000,65000000,67300000,- -
57,Other Non-Current Liabilities,- -,207500000,211900000,160100000,- -
58,Total Non-Current Liabilities,- -,3764100000,3719300000,3785900000,- -
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,16300000,15100000,- -
61,Total Liabilities,- -,4342100000,4402000000,4412300000,- -
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-1548900000,-1705600000,-1917500000,- -
65,Other Comprehensive Income/Loss,- -,-52200000,-71900000,-68400000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,-654700000,-812800000,-1010800000,- -
68,Total Liabilities And Stockholders Equity,- -,3687400000,3589200000,3401500000,- -
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3687400000,3589200000,3401500000,- -
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1828443/000156459021014224/0001564590-21-014224-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-116300000,-248800000,-156900000,-211900000,- -
74,Depreciation and Amortization,333300000,332200000,327500000,325900000,- -
75,Deferred Income Tax,-32700000,-4700000,-4400000,-2500000,- -
76,Stock Based Compensation,4400000,5900000,18600000,8600000,- -
77,Change in Working Capital,-116800000,191700000,-50100000,92100000,- -
78,Accounts Receivable,-29100000,18000000,-21400000,33300000,- -
79,Inventory,-114300000,-83300000,-108600000,-152000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,-2900000,188800000,138700000,230800000,- -
82,Other Non-Cash Items,-3900000,-206700000,8300000,-166100000,- -
83,Cash Provided by Operating Activities,68000000,69600000,143000000,46100000,- -
84,CAPEX,-94400000,-79200000,-68500000,-44100000,- -
85,Acquisitions Net,-21000000,-8100000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-5400000,200000,-2300000,-1300000,- -
89,Cash Used for Investing Activites,-118000000,-87100000,-68500000,-45400000,- -
90,Debt Repayment,-33300000,-125500000,-49700000,-1363500000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-500000,-300000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,118200000,117800000,-14400000,1419300000,- -
95,Cash Used/Provided by Financing Activities,84900000,-8200000,-64400000,55800000,- -
96,Effect of Forex Changes on Cash,3600000,-4300000,-700000,3700000,- -
97,Net Change In Cash,38500000,-30000000,9400000,60200000,- -
98,Cash at the End of Period,104600000,74600000,84000000,144200000,- -
99,Cash at the Beginning of Period,66100000,104600000,74600000,84000000,- -
100,Free Cash Flow,-26400000,-9600000,74500000,2000000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828443/000156459021014224/0001564590-21-014224-index.htm,undefined
102,false,,,,,
