,https://roic.ai/company/XIN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
34,Net Receivables,- -,- -,- -,821627,1492476,5006659,32664377,42039068,10024296,34178363,30622805,19998598,275699410,248672645,82878041,301583509,448641335,588320161
35,Inventory,- -,- -,- -,- -,252253,- -,520823831,561897269,712055557,768646532,737169020,959303035,1728069268,1911398360,2196314416,2836393846,4701075999,3712592267
36,Other Current Assets,26660000,35472000,- -,74606933,137766597,456024820,88865992,87620635,139639302,242607181,262346083,678107191,920186750,714119974,1034697689,979944088,858920714,675948993
37,Total Current Assets,26660000,38294000,- -,90357307,174425536,770346561,778012920,849357162,1075045026,1364650231,1526342704,2244527950,3070458659,3262963717,3931445119,5070212481,6691221665,5645063109
38,PP&E,- -,- -,- -,17654135,28194098,- -,- -,- -,- -,18526504,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,1105408,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,910665,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2016073,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,20398820,1109732,241648,241648,241648,6187119,4467277,37232379,7797559,829773150,564340219,613619925
43,Tax Assets,- -,- -,- -,- -,- -,- -,6829489,4593452,1924929,1306930,1598717,10191103,13641608,15488557,49689528,82006132,230452674,260153439
44,Other Non-Current Assets,1239000,5389000,- -,690941,320065,36848692,130924853,26722103,26753723,5888313,38197537,121193420,142958690,245702786,247513084,402442507,547698114,902827960
45,Total Non-Current Assets,1239000,5389000,- -,18345076,30530236,36848692,158153162,32425287,28920300,25963395,40037902,137571642,161067575,298423722,305000171,1314221789,1342491007,1776601324
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27899000,43683000,- -,108702383,204955772,807195253,936166082,881782449,1103965326,1390613626,1566380606,2382099592,3231526234,3561387439,4236445290,6384434270,8033712672,7421664433
48,Accounts Payable,- -,- -,- -,7288552,13280910,45490300,89031888,97115038,150669651,235911354,241894286,194403214,351505821,471175849,524663366,690839190,790631410,1166659841
49,Short-Term Debt,- -,- -,- -,24410795,22667025,49284013,168966728,198900619,186961355,172352612,279147321,244000434,883301187,820126054,887194627,1900463935,1698192269,1503658291
50,Tax Payable,- -,- -,- -,- -,- -,- -,6262925,11223583,40895101,74381939,91832243,134388007,71302254,120054715,139048004,190160880,238057978,333234803
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,69523639,75209697,102546946,129647898,96191800,231640637,527724940,2029331334,1204379371
52,Other Current Liabilities,- -,32756000,- -,50528641,82891880,59599663,64352139,73082401,126115993,150072444,138863946,266422717,228177907,263388865,417110414,555791433,551713770,609874009
53,Total Current Liabilities,- -,32756000,- -,82227988,118839815,154373976,322350755,369098058,463746999,627860049,735115250,807373311,1592632813,1650882568,2060609044,3674819498,5069868783,4484571512
54,Long-Term Debt,3624000,- -,- -,7434760,12806229,229629244,200645746,53015436,108900777,113190547,35000000,569746391,628500618,923867758,1210676333,1415833385,1760494140,1722755323
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,2018066,3786681,4776138,- -,- -,- -,- -,5884619,9384619,9825083,13500239,13500239,164203580,370508807,338592787
57,Other Non-Current Liabilities,- -,9181000,- -,- -,22940126,28516773,12914813,12756758,13152596,13824326,8842239,42959728,39956027,37185272,35507496,72564681,87195793,83792789
58,Total Non-Current Liabilities,3624000,9181000,- -,9452826,39533036,262922155,213560559,65772194,122053373,127014873,49726858,622090738,678281728,974553269,1259684068,1652601646,2218198740,2145140899
59,Other Liabilities,30845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29391862,26509843,21176619,18938902,15887730,16577216,21471429
61,Total Liabilities,27221000,41937000,- -,91680814,158372851,417296131,535911314,434870252,585800372,754874922,784842108,1429464049,2270914541,2625435837,3320293112,5327421144,7288067523,6629712411
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6000,7570,14840,15102,15148,15319,15341,15358,15828,15831,15835,16051,16314,16399,16410
64,Retained Earnings,- -,- -,- -,10338810,23679944,-123702696,-148365420,-117213892,-69198063,19418841,151603798,244310439,273254963,317765089,354273848,382123692,99502126,135873163
65,Other Comprehensive Income/Loss,- -,- -,- -,3997494,5630952,23226341,36282854,36655229,51448320,79859172,131622337,176458160,177386495,111001601,61290408,134886005,136373565,124841453
66,Other Total Stockholders Equity,678000,1746000,- -,2657445,17264455,490360637,512322232,527455712,535531927,535333856,498297005,531851116,509973844,507187896,484680158,475545838,444478391,429570613
67,Total Stockholders Equity,678000,1746000,- -,16999749,46582921,389899122,400254768,446912197,517797503,634627210,781538498,952635543,960631133,935970421,900260465,992571849,680370481,690301639
68,Total Liabilities And Stockholders Equity,27899000,43683000,- -,108680563,204955772,807195253,936166082,881782449,1103597875,1389502132,1566380606,2382099592,3231545674,3561406258,4220553577,6319992993,7968438004,7320014050
69,Minority Interest,- -,- -,- -,21820,- -,- -,- -,- -,367451,1111494,- -,- -,-19440,-18819,15891713,64441277,65274668,101650383
70,Total Liabilities & Equity,27899000,43683000,- -,108702383,204955772,807195253,936166082,881782449,1103965326,1390613626,1566380606,2382099592,3231526234,3561387439,4236445290,6384434270,8033712672,7421664433
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1398453/000119312509138451/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000119312510072669/0001193125-10-072669-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000119312511103077/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420412021655/v307208_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420413021836/v338183_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420414024793/v372155_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420415025225/v405075_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420416091105/0001144204-16-091105-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420417016627/0001144204-17-016627-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420418023406/tv488616_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420419021706/tv516639_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000110465920052873/tm206501-3_20f.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,9562791,16122910,45663156,-23639951,42419028,51140211,102297870,156997595,126356264,48515730,66482107,72977548,63627551,73034549,68344527
74,Depreciation and Amortization,- -,- -,- -,546832,734421,1825978,2394951,2173278,2737723,2500832,2513268,3137122,6998122,8751664,8688384,13727526,15132875,17584443
75,Deferred Income Tax,- -,- -,- -,1879505,2520756,9441002,1528003,-6100697,10594874,5892472,-3594893,-17313890,7208812,-21429746,-14526027,-24850525,-45894308,-27109611
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,8189903,3302750,2646699,1740861,2151844,427989,2736313,3774826,7828255,4894478,3382628,5621588
77,Change in Working Capital,- -,- -,- -,574580,-47500824,-239878912,-257206122,87363099,-12057042,99745164,35653609,-326759442,-956390633,-66325248,-217595958,51736535,-224142966,152898103
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-4963446,-3889516,5860928,-16690757,17220316,-5271522,-6932612,-28650522,6948740,-63691438,36940910,-37591293
79,Inventory,- -,- -,- -,- -,141776,- -,-247014366,71165832,-126752440,-20589328,56460898,21067077,-748914948,-31323277,-82704667,-203764486,165168577,853522576
80,Accounts Payable,- -,- -,- -,- -,- -,- -,39753870,7996345,49438402,75620252,9315426,-54094569,157267231,144250668,39976328,131546280,127227761,392316329
81,Other Working Capital,- -,- -,- -,-13862365,-43154124,1700683,-14146248,-21332802,9889271,2191773,-16283668,-14686539,20974758,-47289931,1544344,157556448,217142801,-899404554
82,Other Non-Cash Items,- -,- -,- -,-8313,443514,8274169,25135539,-4651472,-3640295,650534,-11000529,827814,6617220,4211322,-17253502,30577407,155585299,54917708
83,Cash Provided by Operating Activities,- -,- -,- -,12555395,-27679223,-174674607,-243597677,124505986,51422170,212827733,182720894,-213324143,-884314436,-4535075,-159881300,139712972,-22901923,272256758
84,CAPEX,- -,- -,- -,-174245,-1554797,-1379675,-1194950,-353113,-981194,-1164086,21252,831029,39011,8992,559030,425850,330773,1111556
85,Acquisitions Net,- -,- -,- -,- -,-1578630,- -,- -,- -,9268548,- -,- -,-97310825,-9997800,- -,6648187,- -,11761992,827011
86,Purchases of Investments,- -,- -,- -,-556958,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38819326,- -,-822029106,-127031797,-50546390
87,Sales/Maturities of Investments,- -,- -,- -,- -,111521,- -,- -,- -,- -,- -,- -,- -,- -,6284380,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,64999,- -,-1243363,-7808605,-182407,144955,- -,21252,831029,39011,8992,559030,425850,158965675,12199406
89,Cash Used for Investing Activites,- -,- -,- -,-666204,-3021906,-2623038,-9003555,-535520,8432309,-1164086,-354004,-99961602,-15891636,-35002993,4467639,-827168769,34562924,-43030099
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-119928007,-227362735,-306358919,-24860148,-161228683,-352007392,-199245956,-806215676,-1513067388,-835949974,-1443348950,-1854008345
91,Common Stock Issued,- -,- -,- -,- -,36471405,262882355,217881,399110,15188,22,- -,32792232,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7958841,-5708281,-5767159,-24653512,-6609170,-33692647,-14058280,-27614859,-29001092
93,Dividends Paid,- -,- -,- -,- -,-1476461,- -,- -,- -,- -,-7661057,-8769530,-14724740,-15288919,-14751703,-20545257,-26090734,-25739147,-19647356
94,Other Financing Activites,- -,- -,- -,-2474274,14300096,185522369,186385799,125001555,296140503,-78194003,168924715,733619754,694254016,1133858647,1942535459,1818243658,1307121674,1624184004
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-2474274,49295040,448404724,66675673,-101962070,-10203228,-118674027,-6781779,393912695,455065629,306282098,375230167,942144670,-189581282,-278472789
96,Effect of Forex Changes on Cash,- -,- -,- -,264605,1391552,3293793,12269197,133074,5874430,12902664,1401530,10287380,-1483929,-19710692,-29100220,61618229,-97290417,-34185442
97,Net Change In Cash,- -,- -,- -,9679522,19985463,274400872,-173656362,22141470,55525681,105892284,176986641,90914330,-446624372,247033338,190716286,316307102,-275210698,-83431572
98,Cash at the End of Period,- -,- -,- -,14928747,34914210,309315082,135658720,157800190,213325871,319218155,496204796,587119126,140494754,387528092,578244378,894551480,1186016479,1102584907
99,Cash at the Beginning of Period,- -,- -,- -,5249225,14928747,34914210,309315082,135658720,157800190,213325871,319218155,496204796,587119126,140494754,387528092,578244378,1461227177,1186016479
100,Free Cash Flow,- -,- -,- -,12381150,-29234020,-176054282,-244792627,124152873,50440976,211663647,182345638,-216805949,-890247283,-7012114,-162620878,134147459,-32034869,266746632
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1398453/000119312509138451/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000119312510072669/0001193125-10-072669-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000119312511103077/d20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420412021655/v307208_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420413021836/v338183_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420414024793/v372155_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420415025225/v405075_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420416091105/0001144204-16-091105-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420417016627/0001144204-17-016627-index.html,https://www.sec.gov/Archives/edgar/data/1398453/000114420418023406/tv488616_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000114420419021706/tv516639_20f.htm,https://www.sec.gov/Archives/edgar/data/1398453/000110465920052873/tm206501-3_20f.htm
102,false,,,,,,,,,,,,,,,,,,
