,https://roic.ai/company/BCE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),847336782,931915481,866016894,646027201,732947307,628001392,802981280,803941513,389992057,768971805,819061903,1117993696,1521944246,1547987616,962962963,1406718656,1555237186,1592697513,1136158702,710343173,893127108,85041938,724997517,468674114,368000000,550000000,720000000,825000000,828000000,929000000,924000000,1110000000,1039000000,995000000,1133000000,792000000,1044000000
23,Net Income,1050747938,1023615523,1086939571,887019804,761088593,1146966709,1328980818,1389955499,-656076251,1178005330,781974366,1151980266,-1535954253,4597987616,5459056713,4862027594,523718561,2475605918,1815019967,1593472522,1961856030,2007222740,4057006654,943419136,1738000000,2277000000,2340000000,2763000000,2106000000,2500000000,2678000000,3031000000,2914000000,2929000000,3191000000,2634000000,2840000000
24,Net Income ratio,0.0793,0.0735,0.0742,0.0582,0.0456,0.0624,0.0668,0.0669,-0.0331,0.0544,0.0318,0.0409,-0.0463,0.1675,0.3841,0.2687,0.0241,0.1252,0.0952,0.0830,0.1027,0.1133,0.2271,0.0533,0.0980,0.1260,0.1200,0.1383,0.1032,0.1188,0.1245,0.1396,0.1283,0.1248,0.1332,0.1151,0.1211
25,EPS,2.13,1.92,1.96,1.55,1.22,1.75,2.01,2.12,-1.22,1.75,1.12,1.70,-2.53,7.02,8.37,7.43,0.57,2.74,1.90,1.65,2.04,2.25,4.88,1.02,2.11,2.85,2.88,3.39,2.55,2.98,2.98,3.33,3.12,3.10,3.37,2.76,3.14
26,EPS Diluted,2.07,1.89,1.93,1.55,1.22,1.75,2.01,2.12,-1.22,1.75,1.12,1.70,-2.53,7.02,8.37,7.43,0.56,2.71,1.89,1.65,2.04,2.25,4.87,1.01,2.11,2.85,2.88,3.39,2.54,2.97,2.98,3.33,3.11,3.10,3.37,2.76,3.14
27,Weighted Average Shares Outstanding,474762980,513581648,536362635,569802746,595490250,605944384,614112656,610852968,615797667,619402956,621435395,633120924,635635355,641799845,640783516,670000000,807900000,847900000,920300000,924600000,926800000,861400000,804800000,805800000,772900000,759000000,771400000,774300000,775800000,793700000,847100000,869100000,894300000,898600000,900800000,904300000,904300000
28,Weighted Average Shares Outstanding Diluted,487595528,521079448,547235152,569802746,595490250,605944384,614112656,610852968,615797667,619402956,621435395,633120924,635635355,641799845,640783516,670000000,821508164,892020252,926249670,924600000,926800000,861400000,806141933,811458028,772900000,759500000,771800000,774600000,776400000,794600000,848300000,870300000,894900000,898900000,901400000,904400000,904400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000071894009000005/0000718940-09-000005-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000119312520069763/0001193125-20-069763-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,279463162,679602265,205977908,70031019,141053851,307968913,322972036,236999364,120995499,1366951887,186937551,949020145,2249035025,369969040,2394965278,259448110,568290353,305319484,713641633,380369570,362832888,581314073,2657662131,3058523555,687000000,774000000,175000000,127000000,335000000,566000000,613000000,853000000,625000000,425000000,145000000,224000000,207000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,279463162,679602265,205977908,70031019,141053851,307968913,322972036,236999364,120995499,1366951887,186937551,949020145,2249035025,369969040,2394965278,259448110,568290353,305319484,713641633,380369570,362832888,581314073,2657662131,3058523555,687000000,774000000,175000000,127000000,335000000,566000000,613000000,853000000,625000000,425000000,145000000,224000000,207000000
34,Net Receivables,2458409059,2802237260,2749057830,3240038177,3610885929,3930054518,3932054541,4787031151,5236033889,5043063543,6071038996,6892010415,8625017870,1921981424,2597945602,4344631074,4118115250,2343405729,2076516811,2119030478,1766484475,1867427773,1939616645,1837056824,1605000000,1785000000,3162000000,2946000000,3043000000,3069000000,3009000000,2979000000,3135000000,3993000000,4149000000,4215000000,4363000000
35,Inventory,1219907731,1043778484,1038986355,1070985445,1100057904,1043034451,1065981049,1258995550,1610007943,1623930425,2361058086,2457037139,2725947105,176006192,- -,- -,- -,- -,- -,357571394,338411443,328518173,266163472,271976688,448000000,437000000,427000000,392000000,383000000,333000000,416000000,403000000,380000000,432000000,427000000,439000000,482000000
36,Other Current Assets,147210961,163375224,174918778,333929850,462999421,479990720,544950313,469930070,712999735,763080376,598991001,718925586,984989278,312074304,514033564,2096580684,1212989494,915958451,790931341,853131750,1204791254,906337371,348594697,410393394,544000000,535000000,414000000,446000000,1309000000,580000000,770000000,620000000,499000000,943000000,799000000,810000000,1146000000
37,Total Current Assets,4104990913,4688993233,4168940871,4714984491,5314997105,5761048602,5865957939,6752956135,7680037066,8797026231,9218025634,11016993285,14584989278,2780030960,5506944444,6700659868,5899395097,3564683664,3581089785,3710103192,3672520060,3683597390,5212036945,5577950461,3284000000,3531000000,4178000000,3911000000,5070000000,4548000000,4808000000,4855000000,4639000000,5793000000,5520000000,5688000000,6198000000
38,PP&E,13497553474,15502554896,16871994802,17952040086,17291024899,18573947338,20050959094,21383979657,22308048716,22156964511,22596945732,22474989722,18554967834,16745046440,16935040509,22300539892,26598217128,18953415172,21188973335,18692104632,19823235260,22079450140,24004369848,19407479359,19441000000,19699000000,18785000000,20007000000,20743000000,21327000000,21630000000,22346000000,24033000000,24844000000,27636000000,27513000000,28235000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7886963600,5475302889,5907240044,6393880525,5774000000,5802000000,7185000000,7185000000,8381000000,8385000000,8377000000,8958000000,10428000000,10658000000,10667000000,10604000000,10572000000
40,Intangible Assets,54941982,62146112,57959714,97947984,686045165,682055446,3246013404,2374952320,1734048186,853976715,1224025089,1408935179,1587991422,780030960,2370949074,16304739052,16074498567,12689644319,10735540384,14035277178,5270380277,2901910531,- -,5659300631,6344000000,6281000000,8013000000,8087000000,9552000000,10224000000,11176000000,11998000000,13305000000,13205000000,13352000000,13102000000,15570000000
41,Intangible Assets,54941982,62146112,57959714,97947984,686045165,682055446,3246013404,2374952320,1734048186,853976715,1224025089,1408935179,1587991422,780030960,2370949074,16304739052,16074498567,12689644319,10735540384,14035277178,13157343877,8377213420,5907240044,12053181156,12118000000,12083000000,15198000000,15272000000,17933000000,18609000000,19553000000,20956000000,23733000000,23863000000,24019000000,23706000000,26142000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000000,993000000,866000000,883000000,1247000000,955000000,1023000000,1022000000,955000000,1049000000,668000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004457179,675165250,- -,- -,510524480,255125815,- -,- -,- -,- -,329000000,244000000,165000000,162000000,89000000,89000000,144000000,112000000,98000000,106000000,105000000
44,Other Non-Current Assets,2925905215,3459881232,4926055880,5303984728,15968963520,16969957081,16541021493,17800127145,4985835319,6284051059,5658031088,6360148006,5570121516,11766873064,12147135417,6076784643,4758038842,3679571923,3825840525,2705783537,3466682172,2561742778,2673552488,2623846527,3207000000,3963000000,629000000,541000000,607000000,768000000,666000000,907000000,691000000,1466000000,1918000000,2603000000,5385000000
45,Total Non-Current Assets,16478400671,19024582240,21856010396,23353972798,33946033584,36225959865,39837993991,41559059122,29027932221,29294992285,29479001909,30244072907,25713080772,29291950464,31453125000,44682063587,48435211716,35997796664,35750354244,35433165347,36957785789,33273532153,32585162380,34084507042,34766000000,35745000000,35248000000,37057000000,40314000000,41749000000,43185000000,45253000000,49624000000,51307000000,54626000000,54977000000,60535000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20583391584,23713575473,26024951267,28068957289,39261030689,41987008467,45703951930,48312015257,36707969287,38092018516,38697027543,41261066192,40298070050,32071981424,36960069444,51382723455,54334606813,39562480328,39331444029,39143268539,40630305849,36957129543,37797199325,39662457503,38050000000,39276000000,39426000000,40968000000,45384000000,46297000000,47993000000,50108000000,54263000000,57100000000,60146000000,60665000000,66733000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,4180032355,5197965671,5765951814,6086968719,6365012272,7012059751,8954967834,3254953560,3618055556,5485902819,5792741165,3833805477,3690583537,3700503960,1781602512,1613466915,1450988182,3538125304,1637000000,1860000000,4056000000,2028000000,2373000000,2415000000,2303000000,2319000000,2441000000,2535000000,2604000000,2595000000,4455000000
49,Short-Term Debt,733538376,867974037,1558024691,3133023145,2341980313,1877972393,2247053386,2832040687,2590945195,2018936737,2077038451,1790050706,2402001430,2074922601,1676938657,5883323335,5262655205,2025495751,1536777019,1275497960,1373415513,985554520,717052339,2201311316,600000000,1329000000,2106000000,2136000000,2571000000,3743000000,4895000000,4887000000,5178000000,4645000000,3881000000,2417000000,2625000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,127000000,47000000,249000000,503000000,384000000,210000000,259000000,290000000,382000000,404000000,247000000,141000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440748924,475302889,520409177,- -,615000000,661000000,- -,719000000,743000000,764000000,812000000,819000000,884000000,703000000,683000000,717000000,799000000
52,Other Current Liabilities,2489305186,2758596879,2824951267,2596993557,3338042849,3536016703,853940374,670057215,615038389,199046150,69948186,434836233,371979985,472136223,247974537,145470907,681311685,- -,27051398,479961603,2017676475,1627446412,1803555466,488101020,1934000000,2066000000,596000000,1862000000,2203000000,2167000000,1982000000,2083000000,2284000000,2546000000,2609000000,2542000000,1234000000
53,Total Current Liabilities,3222843562,3626570916,4382975958,5730016702,5680023162,5413989096,7281026115,8700063573,8971935398,8304951606,8511998909,9236946690,11728949249,5802012384,5542968750,11514697061,11736708055,5859301228,5254411954,5455963523,5613443424,4701770736,4492005164,6227537640,4786000000,5916000000,6758000000,6745000000,7890000000,9089000000,9992000000,10108000000,10787000000,10429000000,9777000000,8271000000,9113000000
54,Long-Term Debt,5639731581,6683331032,7116049383,7447983775,7004979734,7431040483,7970996071,8612968849,10449033625,11434001964,11880010908,11812936823,11154967834,9260061920,8779947917,14044691062,14861509074,13394711992,12393404612,11809455244,12118851029,11867427773,10620717052,10099562895,10299000000,10581000000,12721000000,13886000000,16341000000,16355000000,15390000000,16572000000,18215000000,19760000000,22415000000,23906000000,27048000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000000,142000000,- -,98000000,99000000,96000000,85000000,105000000,174000000,196000000,207000000,242000000,246000000
56,Deferred Tax Liabilities,1765552915,1929015329,2063937622,2305058459,2429994210,2425008700,2296972498,2376986650,2000000000,2024968439,1889010090,2049061258,454038599,639009288,782986111,715356929,923272843,815234498,- -,- -,2108384696,- -,- -,- -,1986000000,2067000000,881000000,897000000,1406000000,1402000000,1878000000,2265000000,2528000000,3163000000,3561000000,3810000000,4671000000
57,Other Non-Current Liabilities,2646302251,3108548543,3437946718,3229897399,14598031267,16626957429,12446960944,12239033693,859015091,999018095,1042950641,1436069618,1540100071,1367801857,1502170139,3882723454,4127666348,3026440038,4700502383,4931605471,3170136062,4840400745,4348991956,4945361826,2802000000,2377000000,4307000000,4617000000,3398000000,4116000000,3319000000,3204000000,3076000000,2863000000,2778000000,3107000000,2737000000
58,Total Non-Current Liabilities,10051586747,11720894904,12617933723,12982939633,24033005211,26483006612,22714929513,23228989192,13308048716,14457988498,14811971639,15298067699,13149106504,11266873065,11065104167,18642771445,19912448265,17236386528,17093906995,16741060715,17397371787,16707828518,14969709008,15044924721,15241000000,15167000000,17909000000,19498000000,21244000000,21969000000,20672000000,22146000000,23993000000,25982000000,28961000000,31065000000,34702000000
59,Other Liabilities,- -,- -,25235867447,- -,- -,- -,- -,- -,26616097433,- -,- -,- -,26298213009,- -,- -,- -,- -,- -,- -,- -,- -,33415657037,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,13274430309,15347465820,17000909682,18712956335,29713028373,31896995708,29995955628,31929052765,22279984115,22762940104,23323970548,24535014389,24878055754,17068885449,16608072917,30157468506,31649156319,23095687756,22348318949,22197024238,23010815211,21409599255,19461714172,21272462361,20027000000,21083000000,24667000000,26243000000,29134000000,31058000000,30664000000,32254000000,34780000000,36411000000,38738000000,39336000000,43815000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1509285489,1669457684,1670266379,1669961623,1670549860,2769887774,2769548324,2770000000,2770000000,3115000000,3395000000,3395000000,4004000000,4004000000,4004000000,4004000000,4004000000,4004000000,4003000000,4003000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12921000000,12691000000,13566000000,13611000000,13629000000,16717000000,18100000000,18370000000,20091000000,20036000000,20363000000,20390000000,20662000000
64,Retained Earnings,2756885223,3115453667,3507992203,3680983059,3447944412,3726945830,4165010400,4475015893,2907995764,3136063964,2967003000,3172947787,595997141,4206965944,8690972222,1520695861,902578797,-6148882594,-5830220276,-5423566115,-4763344575,-4342963653,-1679412057,-1467945605,-1299000000,-694000000,-5385000000,-5682000000,-4642000000,-7013000000,-6350000000,-6040000000,-6080000000,-4937000000,-4632000000,-4681000000,-3423000000
65,Other Comprehensive Income/Loss,-6519362505,-7033973208,-7768031189,-8762944405,-9654892878,-10513049530,-11469031662,-12043992371,-12857029388,-14550988919,-2790019089,-3080032890,-3418012866,-19941021672,-16935040509,-22300539892,-28506844954,989927605,990596419,1004319654,-73264333,-2329916,67534015,38853813,92000000,-30000000,5000000,-6000000,14000000,97000000,119000000,46000000,-17000000,90000000,161000000,103000000,213000000
66,Other Total Stockholders Equity,11071438557,12284629194,13284080571,14437962300,15754950782,16876116460,23012017564,23951938970,24377018797,26744003367,15196073083,16633136905,18242030021,30737151704,28596064814,42005098980,50289716651,- -,- -,- -,- -,- -,- -,- -,2490000000,2470000000,2477000000,2557000000,2615000000,1141000000,1150000000,1160000000,1162000000,1170000000,1178000000,1174000000,1157000000
67,Total Stockholders Equity,7308961275,8366109653,9024041585,9356000954,9548002316,10090012760,15707996302,16382962492,14427985173,15329078412,15373056994,16726051802,15420014296,15003095976,20351996527,21225254949,22685450494,12870632672,13579801623,14031677466,14721479242,13367893756,17232098520,17310587664,16974000000,17207000000,13778000000,13875000000,15011000000,14946000000,17023000000,17540000000,19160000000,20363000000,21074000000,20989000000,22612000000
68,Total Liabilities And Stockholders Equity,20583391584,23713575473,26024951267,28068957289,39261030689,41987008468,45703951930,48312015257,36707969288,38092018516,38697027542,41261066191,40298070050,32071981425,36960069444,51382723455,54334606813,35966320428,35928120572,36228701704,37732294453,34777493011,36693812692,38583050025,37001000000,38290000000,38445000000,40118000000,44145000000,46004000000,47687000000,49794000000,53940000000,56774000000,59812000000,60325000000,66427000000
69,Minority Interest,- -,- -,- -,- -,- -,-1,- -,- -,-1,- -,1,1,- -,-1,- -,- -,- -,3596159900,3403323457,2914566835,2898011396,2179636532,1103386633,1079407478,1049000000,986000000,981000000,850000000,1239000000,293000000,306000000,314000000,323000000,326000000,334000000,340000000,306000000
70,Total Liabilities & Equity,20583391584,23713575473,26024951267,28068957289,39261030689,41987008467,45703951930,48312015257,36707969287,38092018516,38697027543,41261066192,40298070050,32071981424,36960069444,51382723455,54334606813,39562480328,39331444029,39143268539,40630305849,36957129543,37797199325,39662457503,38050000000,39276000000,39426000000,40968000000,45384000000,46297000000,47993000000,50108000000,54263000000,57100000000,60146000000,60665000000,66733000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000071894009000005/0000718940-09-000005-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718940/000119312520069763/0001193125-20-069763-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,1328980818,1389955499,-656076251,1178005330,781974366,1151980266,-1535954253,4597987616,5459056713,4862027594,523718561,2475605918,1815019967,1593472522,1961856030,2007222740,4057006654,943419136,1738000000,2277000000,2340000000,2763000000,2106000000,2500000000,2678000000,3031000000,2914000000,2929000000,3191000000,2634000000,2840000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,2218973885,2328035601,2471008737,2699957918,2970002727,3434013978,3897069335,3500928793,3001012731,3779244151,4691181152,3146049732,3146979261,3107751380,3114315618,3129077353,3198927401,3268576979,3371000000,3292000000,3261000000,3388000000,3380000000,3452000000,3420000000,3508000000,3850000000,4014000000,4398000000,4404000000,4609000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,25999538,2034329,16018004,8977416,-170029997,-70028779,45032166,89938080,33998843,-79484103,498248965,602769909,432822362,-33597312,745435516,-12814539,403217797,128703254,32000000,238000000,- -,825000000,828000000,929000000,924000000,1110000000,1039000000,995000000,1133000000,792000000,1044000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,1070025422,-3051494,-1280910776,269041941,- -,- -,- -,- -,-957031250,-1241751650,546004457,-591753226,504959423,57595392,-884986626,-246971109,-10924620,366682856,40000000,-45000000,-21000000,149000000,147000000,365000000,241000000,286000000,480000000,381000000,57000000,473000000,285000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,-129000000,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-22995147,-193006993,-350939899,-14027213,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40067994,-149000000,-76000000,-126000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,-957031250,-1241751650,546004457,-591753226,592554425,57595392,-884986626,150279591,-90376402,70422535,185000000,-173000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000000
