,https://roic.ai/company/AMNL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
31,Cash and Cash Equivalents,- -,5246,6814,206635,2215930,217102,1210621,903001,1584866,1642340,10170536,3356103,8685552,10701666,1803131,1049880,47652,2892340,52793,669560
32,Short-Term Investments,11464,13051,12796,19538,19538,3794,4886,5426,5565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11464,18297,19610,226173,2235468,220896,1215507,908427,1590431,1642340,10170536,3356103,8685552,10701666,1803131,1049880,47652,2892340,52793,669560
34,Net Receivables,30803,- -,32253,273014,40173,887494,913328,44,- -,61275,20464,7778,5756,112831,176205,364952,27265,32654,78308,67557
35,Inventory,- -,- -,- -,- -,- -,2000,40544,- -,- -,3503,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,26523,56380,82389,65738,101205,171349,397271,282305,145542,178738,333447,379941,423472,289644,417569,388007,205922,364491,284208,190698
37,Total Current Assets,68790,74677,134252,564925,2376846,1281739,2566650,1190776,1735973,1885856,10524447,3743822,9114780,11104141,2396905,1802839,280839,3289485,415309,927815
38,PP&E,767463,363295,356220,849746,1594200,2977933,3704993,1442761,1391332,1732286,1905176,4005680,6031549,7055874,5206825,4075176,2802391,500000,738151,636308
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,207123,9000,9000,9000,58999,50209,- -,1872577,878003,450042,445180,-3936722,-5962591,-6758187,-4471193,-3873652,-2561457,-152507,335720,336184
45,Total Non-Current Assets,974586,372295,365220,858746,1653199,3028142,3704993,3315338,2269335,2182328,2350356,68958,68958,297687,735632,201524,240934,347493,1073871,972492
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1043376,446972,499472,1423671,4030045,4309881,6271643,4506114,4005308,4068184,12874803,3812780,9183738,11401828,3132537,2004363,521773,3636978,1489180,1900307
48,Accounts Payable,44534,276379,214855,304925,101532,359527,- -,- -,- -,514095,428236,1155327,1580146,2608364,1623152,622331,963609,840017,1693589,2632156
49,Short-Term Debt,1036311,903791,748225,1031672,25973,278841,264635,156840,88452,206209,165375,413470,311165,246894,210429,234149,212134,590306,737118,832513
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,290068,- -,- -,- -,- -,- -,1083752,794385,1250541,- -,3355000,154000,110000,- -,- -,961395,57334,- -,- -,- -
53,Total Current Liabilities,1370913,1180170,963080,1336597,127505,638368,1348387,951225,1338993,720304,3948611,1722797,2001311,2855258,1833581,1817875,1233077,1430323,2430707,3464669
54,Long-Term Debt,107879,75493,75493,30055,23688,203482,353837,1000000,2234473,5044919,- -,184426,40826,59145,33688,13073,- -,35036320,43702301,45265075
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8949,- -,1000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,13239,- -,357893,121238,-135693,97769,1945000,11686583,23060064,22211743,25216645,35291869,1780072,140321,- -
58,Total Non-Current Liabilities,107879,75493,75493,30055,23688,216721,353837,1357893,2355711,4909226,97769,2129426,11727409,23119209,22245431,25229718,35291869,36825341,43842622,46265075
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,13239,497420,159769,38522,- -,- -,- -,- -,- -,- -,- -,- -,- -,241808,140321
61,Total Liabilities,1478792,1255663,1038573,1366652,151193,855089,1702224,2309118,3694704,5629530,4046380,3852223,13728720,25974467,24079012,27047593,36524946,38255664,46273329,49729744
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128
63,Common Stock,2387445,2689545,4994977,6006657,13598660,- -,- -,- -,69781,69704,89120,90619,94646,95055,97145,108614,140764,175514,175514,183939
64,Retained Earnings,-2821027,-3532928,-4914966,-5861240,-9641558,-11642427,-14589101,-20009496,-26775696,-31543411,-39026047,3966237,1486567,- -,- -,- -,- -,- -,-118734429,-122022140
65,Other Comprehensive Income/Loss,-819098,-32696,-540543,-9826,174,-165001,-2006,-1466,-1327,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,817264,-1738,-131221,-131221,-131221,15505364,- -,22493532,26965507,29860040,47765350,-90619,-94646,-7611820,-15836795,-21076668,-33341546,-34294200,73774766,74008636
67,Total Stockholders Equity,-435416,-877817,-591753,4370,3826055,3402505,4517004,2144581,258265,-1613667,8828423,3966237,1486567,-7516765,-15739650,-20968054,-33200782,-34118686,-44784149,-47829437
68,Total Liabilities And Stockholders Equity,1043376,377846,446820,1371022,3977248,4257594,6219228,4453699,3952969,4015863,12874803,7818460,15215287,18457702,8339362,6079539,3324164,4136978,1489180,1900307
69,Minority Interest,- -,69126,52652,52649,52797,52287,52415,52415,52339,52321,- -,-4005680,-6031549,-7055874,-5206825,-4075176,-2802391,-500000,- -,- -
70,Total Liabilities & Equity,1043376,446972,499472,1423671,4030045,4309881,6271643,4506114,4005308,4068184,12874803,3812780,9183738,11401828,3132537,2004363,521773,3636978,1489180,1900307
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8328/000157587221000073/0001575872-21-000073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-578283,-711901,-1382038,-946274,-3780318,-1992922,-1681716,-5420395,-6766200,-4767715,-7482636,-9732399,-13063526,-10316317,-9805137,-7639772,-14910659,-3325993,-5973132,-3287711
74,Depreciation and Amortization,175440,77834,17075,45593,90911,178832,376228,435622,489074,162859,248605,280991,317570,1164366,1312585,1348860,1316537,1277953,- -,101843
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,427432,- -,65079,- -,2465213,5023856,865716,397417,659706,970221,533089,249116,75669
77,Change in Working Capital,143165,276665,57156,3021013,-1605970,1606333,305369,-978712,157429,768572,37962,-4554811,5092444,1135414,-7685559,-578360,-937202,2811400,-3874560,-521456
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-25834,1574,44,-61275,28873,-482,2022,-107075,-63374,-188747,-225096,-5389,-45654,10751
79,Inventory,- -,- -,- -,- -,- -,7000,-38544,- -,- -,-3503,3503,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-1105493,-828828,-771672,2249341,643371,2249704,- -,239551,396980,1165552,- -,2021025,7113469,8248883,563324,-15036,-952238,1859162,-2015398,-2536854
82,Other Non-Cash Items,131298,-200037,761218,-2611560,3931596,-2004091,955582,1300830,1664918,-410824,2496334,4788743,-5575445,-853030,7195137,3477477,11452715,28817,7218249,4476778
83,Cash Provided by Operating Activities,-128380,-557439,-546589,-491228,-1363781,-2211848,-44537,-4235223,-4454779,-4182029,-4699735,-6752263,-8205101,-8003851,-8585557,-2732089,-2108388,1325266,-2380327,845123
84,CAPEX,- -,-1300,- -,-524119,-729010,-1540595,-1187006,- -,-124774,-130833,-271387,-321440,-2046358,-2039562,-251055,-217211,-43752,-23063,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-8700,-1000,- -,- -,- -,-31823,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1538,10503,1922,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,24750,-30545,-55844,74693,-50750,132,195202,- -,432170,152500,1000,-1051537,- -,- -,- -,552944,- -,- -,- -,- -
89,Cash Used for Investing Activites,16050,-31307,-45341,-447504,-779760,-1572286,-991804,- -,307396,21667,-270387,-1372977,-2046358,-2039562,-251055,335733,-43752,-23063,- -,- -
90,Debt Repayment,-100612,- -,- -,- -,- -,- -,-361947,-166595,-288450,-145418,-518726,-314193,-479092,-440471,-61923,-237235,-234149,-272515,-659220,-394625
91,Common Stock Issued,95000,6000,621048,878850,5064819,1358546,2265859,2500000,- -,- -,14185000,1625000,5560000,- -,- -,1640000,1060000,1735000,- -,125000
92,Common Stock Repurchased,- -,-1738,-483,- -,- -,- -,- -,- -,- -,-170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40095,589730,-27067,259703,-911983,426761,125948,1161992,5117698,4533254,-167956,- -,10500000,12499998,- -,240340,324061,80000,200000,41269
95,Cash Used/Provided by Financing Activities,34483,593992,593498,1138553,4152836,1785307,2029860,3495397,4829248,4217836,13498318,1310807,15580908,12059527,-61923,1643105,1149912,1542485,-459220,-228356
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34483,593992,1568,199821,2009295,-1998827,2029860,-307620,681865,57474,8528196,-6814433,5329449,2016114,-8898535,-753251,-1002228,2844688,-2839547,616767
98,Cash at the End of Period,- -,5246,6814,206635,2215930,217102,- -,903001,1584866,1642340,10170536,3356103,8685552,10701666,1803131,1049880,47652,2892340,52793,669560
99,Cash at the Beginning of Period,77847,- -,5246,6814,206635,2215929,- -,1210621,903001,1584866,1642340,10170536,3356103,8685552,10701666,1803131,1049880,47652,2892340,52793
100,Free Cash Flow,-128380,-558739,-546589,-1015347,-2092791,-3752443,-1231543,-4235223,-4579553,-4312862,-4971122,-7073703,-10251459,-10043413,-8836612,-2949300,-2152140,1302203,-2380327,845123
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8328/000157587221000073/0001575872-21-000073-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
