,https://roic.ai/company/MMS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,- -,- -,4176000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1398000,4134000,2162000,1000000,2957000,2059000,14744000
14,Depreciation and Amortization,300000,400000,2400000,2700000,6222000,10080000,7284000,11230000,13150000,15145000,17645000,20970000,12528000,12232000,18340000,22845000,26460000,35816000,48668000,56197000,71781000,67977000,62192000,85458000,100161000,90718000
15,EBITDA,12100000,12400000,27300000,49500000,60777000,74775000,74723000,69653000,77240000,74764000,21678000,24089000,37422000,94149000,127674000,147767000,158245000,224481000,276081000,315137000,360085000,381618000,362336000,406064000,389282000,489143000
16,EBITDA ratio,0.1174,0.0970,0.1169,0.1549,0.1523,0.1535,0.1441,0.1248,0.1279,0.1155,0.0309,0.0326,0.0502,0.1313,0.1535,0.1590,0.1507,0.1686,0.1623,0.1501,0.1498,0.1557,0.1515,0.1407,0.1125,0.1150
17,Operating Income,11600000,11000000,23100000,43200000,55385000,67040000,64339000,57042000,63046000,56274000,-2826000,-3136000,-895000,89815000,107406000,122401000,127575000,186208000,225308000,259832000,286603000,313512000,295483000,317107000,288278000,408530000
18,Operating Income ratio,0.1125,0.0860,0.0989,0.1352,0.1388,0.1376,0.1240,0.1022,0.1044,0.0869,-0.0040,-0.0042,-0.0012,0.1252,0.1291,0.1317,0.1215,0.1399,0.1325,0.1237,0.1193,0.1279,0.1235,0.1098,0.0833,0.0960
19,Total Other Income Expenses (Gains),200000,1000000,1800000,3600000,-830000,1511000,3100000,1381000,1044000,3345000,6859000,6255000,47393000,145000,916000,3495000,4176000,2851000,2061000,-13000,-635000,723000,3726000,213000,-1216000,-24849000
20,Income Before Tax,11800000,12000000,24900000,46800000,54555000,68551000,67439000,58423000,64090000,59619000,4033000,3119000,46498000,89960000,108322000,125896000,131751000,189059000,227369000,259819000,285968000,314235000,299209000,317320000,287062000,383681000
21,Income Before Tax Ratio,0.1145,0.0938,0.1066,0.1465,0.1367,0.1407,0.1300,0.1046,0.1061,0.0921,0.0058,0.0042,0.0624,0.1254,0.1302,0.1354,0.1255,0.1420,0.1337,0.1237,0.1190,0.1282,0.1251,0.1099,0.0829,0.0902
22,Income Tax expense (Gain),200000,3400000,10400000,19200000,24087000,28449000,27093000,23077000,25316000,23550000,1573000,11374000,18217000,35377000,38925000,43754000,55652000,71934000,81973000,99770000,105808000,102053000,78393000,76825000,72553000,92481000
23,Net Income,11600000,8600000,14500000,27600000,30468000,36246000,40346000,35346000,38774000,36069000,2460000,-8255000,6677000,46540000,70409000,81168000,76133000,116731000,145440000,157772000,178362000,209426000,220751000,240824000,214509000,291200000
24,Net Income ratio,0.1125,0.0672,0.0621,0.0864,0.0763,0.0744,0.0778,0.0633,0.0642,0.0557,0.0035,-0.0112,0.0090,0.0649,0.0847,0.0873,0.0725,0.0877,0.0855,0.0751,0.0742,0.0854,0.0923,0.0834,0.0620,0.0684
25,EPS,0.23,0.17,0.21,0.34,0.36,0.42,0.45,0.42,0.45,0.42,0.03,-0.10,0.09,0.66,1.01,1.18,1.13,1.71,2.15,2.37,2.71,3.19,3.37,3.73,3.40,4.69
26,EPS Diluted,0.23,0.17,0.20,0.33,0.35,0.40,0.43,0.41,0.44,0.42,0.03,-0.10,0.09,0.65,0.98,1.14,1.09,1.67,2.11,2.35,2.69,3.17,3.35,3.72,3.39,4.67
27,Weighted Average Shares Outstanding,49361702,49855072,68948000,82148000,84220000,86808000,90700000,83996000,86356000,85324000,85860000,87480000,76240000,70280000,69652000,68834000,67734000,68165000,67680000,66682000,65822000,65632000,65501000,64498000,63062000,62072000
28,Weighted Average Shares Outstanding Diluted,49361702,51343284,70384000,83564000,85696000,90048000,93148000,85340000,88056000,86612000,87284000,87480000,77220000,71544000,71860000,71062000,69612000,69893000,69087000,67275000,66229000,66065000,65932000,64820000,63322000,62365000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032220/000103222020000102/0001032220-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1032220/000162828021023790/0001628280-21-023790-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,11000000,19400000,61600000,36975000,114108000,94965000,117372000,91854000,59073000,39545000,70472000,120628000,87815000,155321000,172950000,189312000,125617000,158112000,74672000,66199000,166252000,349245000,105565000,71737000,135061000
32,Short-Term Investments,- -,- -,- -,37200000,1359000,1232000,160000,140000,47400000,119290000,117315000,126210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20264000,- -,- -,- -
33,Cash and Short-Term Investments,2300000,11000000,19400000,98800000,38334000,115340000,95125000,117512000,139254000,178363000,156860000,196682000,120628000,87815000,155321000,172950000,189312000,125617000,158112000,74672000,66199000,166252000,369509000,105565000,71737000,135061000
34,Net Receivables,25400000,39300000,78300000,92100000,129764000,118988000,133176000,144134000,154114000,168251000,210130000,175162000,160260000,149500000,153505000,154070000,187044000,292956000,289567000,427106000,498063000,435341000,395128000,621379000,788278000,840232000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4500000,42800000,14700000,5700000,6344000,25919000,7123000,14126000,11052000,9463000,16690000,26893000,44199000,54796000,47323000,64256000,72328000,71026000,84781000,79121000,56718000,55649000,43995000,62481000,72543000,104201000
37,Total Current Assets,32200000,93100000,112400000,196600000,174442000,260247000,235424000,275772000,304420000,356077000,383680000,398737000,325087000,292111000,356149000,391276000,448684000,489599000,532460000,580899000,620980000,657242000,808632000,789425000,932558000,1079494000
38,PP&E,2600000,2900000,4500000,14700000,18724000,20539000,25406000,26217000,25693000,31156000,33429000,35901000,33994000,45286000,48873000,78356000,58798000,77710000,80246000,137830000,131569000,101651000,77544000,99589000,243880000,241976000
39,Goodwill,- -,- -,- -,- -,- -,- -,68812000,- -,- -,- -,86688000,86086000,60659000,61029000,71251000,71323000,112032000,171867000,170626000,376302000,397558000,402976000,399882000,584469000,593129000,1774406000
40,Intangible Assets,- -,- -,- -,8300000,52586000,49818000,6540000,88969000,94693000,94588000,39645000,3603000,17824000,21424000,32493000,5651000,52720000,82495000,78973000,134841000,139166000,125517000,110464000,211619000,183926000,922036000
41,Intangible Assets,- -,- -,- -,8300000,52586000,49818000,75352000,88969000,94693000,94588000,126333000,89689000,78483000,82453000,103744000,76974000,164752000,254362000,249599000,511143000,536724000,528493000,510346000,796088000,777055000,2696442000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,2726000,- -,- -,- -,- -,- -,- -,10933000,1239000,1844000,732000,1369000,1179000,- -,- -,8644000,7691000,6834000,186000,1915000,990000
44,Other Non-Current Assets,700000,800000,3600000,3400000,11151000,14385000,15908000,24062000,39941000,52741000,15059000,40137000,10449000,12145000,17131000,17941000,21690000,35128000,38691000,50299000,50902000,55585000,58644000,60444000,69294000,100063000
45,Total Non-Current Assets,3300000,3700000,8100000,26400000,82461000,87468000,116666000,139248000,160327000,178485000,174821000,165727000,133859000,141123000,171592000,174003000,246609000,368379000,368536000,699272000,727839000,693420000,653368000,956307000,1092144000,3039471000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35500000,96800000,120500000,223000000,256903000,347715000,352090000,415020000,464747000,534562000,558501000,564464000,458946000,433234000,527741000,565279000,695293000,857978000,900996000,1280171000,1348819000,1350662000,1462000000,1745732000,2024702000,4118965000
48,Accounts Payable,2000000,3100000,9700000,10300000,12565000,12709000,10867000,21578000,27476000,38151000,54484000,54425000,48950000,44368000,49295000,55470000,71314000,109020000,103181000,155411000,150711000,122083000,114378000,177786000,253338000,305565000
49,Short-Term Debt,- -,200000,- -,- -,209000,- -,- -,809000,1649000,1502000,1690000,1627000,417000,- -,- -,42000,178000,170000,- -,356000,277000,141000,- -,9658000,10878000,156632000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6782000
51,Deferred Revenue,- -,- -,- -,- -,- -,10756000,12939000,22356000,21195000,32898000,54414000,38545000,19676000,22177000,58070000,47902000,61840000,53137000,55878000,77642000,73692000,71722000,51182000,43344000,51655000,98588000
52,Other Current Liabilities,7500000,27200000,25700000,35800000,33856000,22316000,25656000,29709000,24586000,35186000,26026000,36995000,104265000,60920000,57323000,60479000,65804000,99980000,106262000,122971000,116076000,122320000,111889000,133450000,245297000,228648000
53,Total Current Liabilities,9500000,30500000,35400000,46100000,46630000,45781000,49462000,74452000,74906000,107737000,136614000,131592000,173308000,127465000,164688000,163893000,199136000,262307000,265321000,356380000,340756000,316266000,277449000,364238000,561168000,789433000
54,Long-Term Debt,- -,- -,500000,600000,555000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1411000,1654000,1558000,1319000,- -,210618000,165338000,527000,- -,- -,18017000,1550908000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6527000,4083000,2575000,19550000,32953000,32257000,52954000,40007000,28182000,20394000,32341000,27311000,35932000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2745000,10766000,17225000,14944000,12912000,1617000,243000,4946000,11945000,10384000,16359000,21383000,15159000,16813000,20106000,26377000,46560000,24737000,194638000
57,Other Non-Current Liabilities,16800000,200000,-100000,800000,785000,520000,499000,4546000,5527000,3646000,2044000,10560000,8315000,1871000,13824000,10755000,13559000,15532000,25850000,29361000,32765000,39813000,51361000,54392000,151650000,67725000
58,Total Non-Current Liabilities,16800000,200000,400000,1400000,1340000,520000,499000,7291000,16293000,20871000,16988000,23472000,9932000,8641000,24264000,26929000,45051000,66163000,79490000,308092000,254923000,88628000,98132000,133293000,221715000,1849203000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3821000,5108000,3606000,2044000,417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184759000,197848000
61,Total Liabilities,26300000,30700000,35800000,47500000,47970000,46301000,49961000,81743000,91199000,128608000,153602000,155064000,183240000,136106000,188952000,190822000,244187000,328470000,344811000,664472000,595679000,404894000,375581000,497531000,782883000,2638636000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,130500000,133082000,185658000,144156000,146219000,147966000,150883000,- -,- -,- -,- -,- -,- -,- -,415271000,429857000,446132000,461679000,475592000,487539000,498433000,513959000,532411000
64,Retained Earnings,9200000,-600000,18200000,45200000,75877000,115774000,157949000,187153000,225927000,255593000,249466000,232462000,230950000,269270000,330929000,401248000,464545000,106250000,125875000,188611000,323571000,492112000,633281000,794739000,770498000,987826000
65,Other Comprehensive Income/Loss,-1100000,-1300000,-4500000,-6500000,-8334000,-11090000,-14206000,-20195000,-26983000,-1000000,-1000000,2000000,6000000,8000000,15000000,12000000,20000000,8000000,-134262000,-22000000,-36000000,-28000000,-37000000,-45000000,-43000000,-39908000
66,Other Total Stockholders Equity,1100000,68000000,71000000,6300000,8308000,11072000,14230000,20100000,26638000,478000,156433000,174938000,38756000,19858000,- -,- -,- -,-13000,134492000,-365000,-169000,381000,47000,-380000,362000,- -
67,Total Stockholders Equity,9200000,66100000,84700000,175500000,208933000,301414000,302129000,333277000,373548000,405954000,404899000,409400000,275706000,297128000,338789000,374457000,451106000,529508000,555962000,612378000,749081000,940085000,1083867000,1247792000,1241819000,1480329000
68,Total Liabilities And Stockholders Equity,35500000,96800000,120500000,223000000,256903000,347715000,352090000,415020000,464747000,534562000,558501000,564464000,458946000,433234000,527741000,565279000,695293000,857978000,900773000,1276850000,1344760000,1344979000,1459448000,1745323000,2024702000,4118965000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000,3321000,4059000,5683000,2552000,409000,- -,- -
70,Total Liabilities & Equity,35500000,96800000,120500000,223000000,256903000,347715000,352090000,415020000,464747000,534562000,558501000,564464000,458946000,433234000,527741000,565279000,695293000,857978000,900996000,1280171000,1348819000,1350662000,1462000000,1745732000,2024702000,4118965000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032220/000103222020000102/0001032220-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1032220/000162828021023790/0001628280-21-023790-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11600000,8600000,14500000,27600000,30468000,36246000,40346000,35346000,38774000,36069000,2460000,-8255000,6677000,46540000,70409000,81168000,76133000,116731000,145440000,157772000,178362000,209426000,220751000,240824000,214509000,291200000
74,Depreciation and Amortization,300000,400000,2400000,2700000,6222000,10080000,7284000,11230000,13150000,15145000,17645000,20970000,12528000,12232000,18340000,22845000,26460000,35816000,48668000,56197000,71781000,67977000,62192000,85458000,100161000,90718000
75,Deferred Income Tax,- -,-900000,-2500000,-2800000,1917000,525000,2661000,-2310000,13361000,4806000,-9402000,-12598000,-28851000,26719000,-3172000,1758000,-3274000,2396000,2898000,807000,5652000,4762000,6721000,12661000,-19145000,-6577000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7307000,7918000,9485000,12077000,14555000,17278000,17237000,18751000,21365000,20238000,20774000,23708000,28554000
77,Change in Working Capital,-8800000,39900000,14400000,73500000,-22688000,86654000,-28504000,15358000,28194000,18826000,-1274000,20079000,-115366000,12867000,26815000,35922000,22165000,-22256000,39847000,-42620000,55705000,60752000,190207000,-105996000,-53797000,104053000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19689000,2453000,-1516000,-4999000,-93092000,-144000,-103774000,-51986000,53025000,34033000,-60313000,-141842000,38578000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1855000,-407000,7312000,- -,31678000,- -,44351000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,22700000,62600000,77000000,150500000,127812000,214466000,185962000,201320000,229514000,248340000,247066000,267145000,151779000,164646000,191461000,227383000,249548000,227292000,267139000,224519000,280224000,340976000,531183000,425187000,371390000,55297000
82,Other Non-Cash Items,- -,-30700000,-35900000,-73100000,-11815000,-95124000,36577000,-4577000,-46406000,-752000,6267000,30994000,181585000,-75032000,18131000,-54318000,-18401000,-26304000,-40531000,16824000,-150225000,-27082000,-176584000,103006000,-20844000,9374000
83,Cash Provided by Operating Activities,3100000,17300000,-7100000,27900000,4104000,38381000,58364000,55047000,47073000,74094000,15696000,51190000,56573000,30633000,138441000,96860000,115160000,120938000,213600000,206217000,180026000,337200000,323525000,356727000,244592000,517322000
84,CAPEX,-300000,-500000,-1000000,-21800000,-5004000,-5069000,-7850000,-6825000,-6476000,-13337000,-26121000,-17830000,-15449000,-26582000,-22608000,-26114000,-23148000,-62176000,-47148000,-105149000,-46391000,-24154000,-26520000,-66846000,-40707000,-36565000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,2000000,35000000,-2000000,-10000000,- -,-64000000,-68000000,-3000000,-289000000,-41000000,-2000000,- -,-437000000,- -,-1798915000
86,Purchases of Investments,-1000000,-39900000,- -,-23200000,- -,- -,- -,-34000,-47300000,-71649000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19996000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,27800000,- -,36134000,134000,1093000,- -,- -,- -,1825000,- -,126210000,- -,- -,- -,299000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100000,-1400000,-100000,-55402000,-8145000,-28655000,-18852000,-14444000,-10426000,144000,-9024000,-31984000,-5252000,-8459000,-784000,-4542000,-18253000,-10127000,-5878000,-46103000,-23221000,-26308000,-46883000,-3431000,- -
89,Cash Used for Investing Activites,-1300000,-40300000,25400000,-45100000,-24272000,-13080000,-35412000,-25711000,-68220000,-97412000,-24152000,-24854000,113777000,-26946000,-32395000,-26898000,-86612000,-129833000,-49389000,-393872000,-87103000,-25221000,-46304000,-483883000,-44138000,-1835480000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-417000,-7000,- -,-1853000,-172000,-15162000,-121611000,-195200000,-349981000,-136769000,-405142000,-619445000,-847696000
91,Common Stock Issued,200000,53800000,100000,61900000,2264000,52576000,8998000,15170000,22482000,14645000,7697000,12953000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-400000,- -,- -,- -,- -,-50842000,-21944000,-25656000,-16056000,-10139000,- -,-164466000,-30046000,-40217000,-56540000,-12977000,-33287000,-111141000,-82787000,-33335000,-28863000,-66919000,-47446000,-166959000,-3363000
93,Dividends Paid,-2200000,-21700000,-7400000,-800000,- -,- -,- -,- -,- -,-6403000,-8587000,-8750000,-7798000,-8054000,-8375000,-10327000,-12180000,-12272000,-12187000,-11927000,-11701000,-11674000,-11692000,-63887000,-70155000,-68838000
94,Other Financing Activites,100000,- -,-2600000,-1800000,-6768000,-744000,-251000,-155000,-1197000,-1649000,-43000,388000,17387000,2943000,6197000,16280000,9245000,3869000,11346000,327440000,143394000,175089000,123500000,405616000,626469000,2305590000
95,Cash Used/Provided by Financing Activities,-1900000,31700000,-9900000,59300000,-4504000,51832000,-42095000,-6929000,-4371000,-9463000,-11072000,4591000,-154877000,-35574000,-42402000,-50587000,-17765000,-41862000,-127144000,111115000,-96842000,-215429000,-91880000,-110859000,-230090000,1385693000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,3862000,-1746000,5579000,-12938000,-4572000,-6900000,-4554000,3503000,-2348000,-2052000,1705000,474000
97,Net Change In Cash,- -,- -,- -,42200000,-24672000,77133000,-19143000,22407000,-25518000,-32781000,-19528000,30927000,50156000,-31790000,67506000,17629000,16362000,-63695000,32495000,-83440000,-8473000,100053000,182993000,-240067000,-27931000,68009000
98,Cash at the End of Period,- -,- -,- -,61600000,36975000,114108000,94965000,117372000,91854000,59073000,39545000,70472000,120628000,87815000,155321000,172950000,189312000,125617000,158112000,74672000,66199000,166252000,349245000,116492000,88561000,156570000
99,Cash at the Beginning of Period,2500000,2300000,11000000,19400000,61647000,36975000,114108000,94965000,117372000,91854000,59073000,39545000,70472000,119605000,87815000,155321000,172950000,189312000,125617000,158112000,74672000,66199000,166252000,356559000,116492000,88561000
100,Free Cash Flow,2800000,16800000,-8100000,6100000,-900000,33312000,50514000,48222000,40597000,60757000,-10425000,33360000,41124000,4051000,115833000,70746000,92012000,58762000,166452000,101068000,133635000,313046000,297005000,289881000,203885000,480757000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032220/000103222020000102/0001032220-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1032220/000162828021023790/0001628280-21-023790-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
