,https://roic.ai/company/TRUE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,2203000,31631000,8900000,30578000,34506000,33738000,32845000,40246000,32402000,26403000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,6093000,26987000,28833000,29129000,22987000,43002000,36745000,31553000
61,Total Liabilities,- -,47048000,62570000,47754000,69682000,69867000,71716000,74407000,94416000,75279000,57884000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,6000,6000,8000,8000,9000,10000,10000,11000,10000,10000
64,Retained Earnings,- -,-137504000,-162560000,-210989000,-275900000,-318235000,-351084000,-373482000,-432062000,-355518000,-393847000
65,Other Comprehensive Income/Loss,- -,-7706000,-11854000,-19924000,-29611000,-48106000,-65281000,-81685000,-51018000,- -,- -
66,Other Total Stockholders Equity,- -,243400000,286588000,480103000,538195000,590913000,729473000,801710000,810340000,738290000,723623000
67,Total Stockholders Equity,- -,98196000,112180000,249198000,232692000,224581000,313118000,346553000,327271000,382782000,329786000
68,Total Liabilities And Stockholders Equity,- -,145244000,174750000,296952000,302374000,294448000,384834000,420960000,421687000,458061000,387670000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,145244000,174750000,296952000,302374000,294448000,384834000,420960000,421687000,458061000,387670000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1327318/000155837015000322/0001558370-15-000322-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731816000026/0001327318-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731817000009/0001327318-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731818000019/0001327318-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731819000009/0001327318-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731820000009/0001327318-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731821000019/0001327318-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731822000005/0001327318-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-8918000,-74495000,-25056000,-48429000,-64911000,-41708000,-32849000,-28321000,-54890000,76544000,-38329000
74,Depreciation and Amortization,4027000,10275000,10835000,12979000,17267000,23169000,22391000,22661000,31566000,25780000,20574000
75,Deferred Income Tax,-10690000,-606000,579000,577000,581000,581000,-2182000,-244000,215000,-743000,63000
76,Stock Based Compensation,6208000,10320000,9346000,29333000,42563000,24739000,32241000,37219000,37974000,23077000,20395000
77,Change in Working Capital,-6030000,706000,45427000,107029000,-31811000,3694000,88024000,8324000,-28326000,96490000,3648000
78,Accounts Receivable,-8169000,2506000,-8196000,-10372000,-5938000,-4391000,-3687000,-10039000,1440000,2332000,15685000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,7946000,-2053000,2322000,3399000,5312000,-4552000,4803000,7543000,-4940000,-8221000,-1806000
81,Other Working Capital,-7496000,-6790000,38637000,145666000,113855000,117549000,205573000,213897000,185571000,282061000,-1754000
82,Other Non-Cash Items,3930000,21082000,-45042000,-98385000,24942000,-7707000,-85507000,-14806000,33805000,-182031000,7843000
83,Cash Provided by Operating Activities,-11473000,-32718000,-3911000,3104000,-11369000,2768000,22118000,24833000,20344000,39117000,14194000
84,CAPEX,-12771000,-6200000,-8404000,-15896000,-29836000,-16639000,-19809000,-17099000,-11284000,-10277000,-10689000
85,Acquisitions Net,6138000,- -,- -,- -,- -,- -,- -,-26891000,-23174000,- -,- -
86,Purchases of Investments,-31451000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,976000,31061000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-139000,-4487000,2921000,5708000,- -,- -,- -,800000,- -,112178000,6484000
89,Cash Used for Investing Activites,-37197000,20374000,-5483000,-9823000,-29836000,-16639000,-19809000,-43190000,-34458000,101901000,-4205000
90,Debt Repayment,-51000,- -,- -,-10000000,-5000,- -,- -,- -,- -,-4251000,- -
91,Common Stock Issued,57138000,116000,- -,100652000,- -,- -,17398000,- -,- -,97000,- -
92,Common Stock Repurchased,-14881000,-1648000,-1000000,- -,- -,- -,- -,- -,- -,-42821000,-31943000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2528000,24083000,32151000,19787000,6042000,9221000,70334000,16723000,-480000,-2263000,-6143000
95,Cash Used/Provided by Financing Activities,44734000,22551000,31151000,110439000,6037000,9221000,87732000,16723000,-480000,-49238000,-38086000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3936000,10207000,21757000,103720000,-35168000,-4650000,90041000,-1634000,-14594000,91780000,-28097000
98,Cash at the End of Period,11855000,22062000,43819000,147539000,112371000,107721000,197762000,196128000,181534000,273314000,245217000
99,Cash at the Beginning of Period,15791000,11855000,22062000,43819000,147539000,112371000,107721000,197762000,196128000,181534000,273314000
100,Free Cash Flow,-24244000,-38918000,-12315000,-12792000,-41205000,-13871000,2309000,7734000,9060000,28840000,3505000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327318/000155837015000322/0001558370-15-000322-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731816000026/0001327318-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731817000009/0001327318-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731818000019/0001327318-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731819000009/0001327318-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731820000009/0001327318-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731821000019/0001327318-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1327318/000132731822000005/0001327318-22-000005-index.htm
102,false,,,,,,,,,,,
