,https://roic.ai/company/VIPS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,373173705,373173705,373173705,444246030,577475865,601137920,600840315,629085915,628579165,700418050,680407075,690180050,690180050
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529192/000104746914004168/a2218799z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746915003885/a2222963z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746916012448/a2227056z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746917002625/a2230490z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746918002945/a2235296z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746919002338/a2237384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000119312520120336/d849102d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1964549,7369444,282540780,776934500,2028453347,4789585021,3324384000,4109577000,9973891000,9540556000,6573808000,11995415000,16297410000
32,Short-Term Investments,- -,- -,- -,537402308,2338292856,3767421304,1807403000,671776000,245981000,2321244000,3052726000,7328719000,5381618000
33,Cash and Short-Term Investments,1964549,7369444,282540780,1314336808,4366746202,8557006325,5131787000,4781353000,10219872000,11861800000,9626534000,19324134000,21679028000
34,Net Receivables,4944748,41919034,161879420,136646816,155352998,681895808,1974636000,4291305000,7980185000,9021128000,4149020000,2735188000,3423950000
35,Inventory,10498472,49132691,438329727,898595504,1637030239,3587431204,4566746000,4948609000,6960251000,5368106000,7708292000,7642509000,6865108000
36,Other Current Assets,236071,4834371,112027561,34493347,125022769,390904068,480107000,559605000,755830000,1070814000,1531655000,1469689000,873859000
37,Total Current Assets,17643840,103255540,994777488,2384072475,6284152208,13217237404,12153276000,14580872000,25916138000,27321848000,23015501000,31171520000,32841945000
38,PP&E,1058127,10357287,57496198,105859749,180703158,2118446073,3883023000,5359915000,6860216000,8647181000,13004268000,15110729000,15907155000
39,Goodwill,- -,- -,- -,- -,- -,59985146,108781000,367106000,367106000,367106000,236711000,593662000,589165000
40,Intangible Assets,- -,- -,- -,- -,- -,1120667000,941831000,3271534000,3587232000,4299544000,5948316000,6524025000,6933108000
41,Intangible Assets,- -,- -,- -,- -,- -,1180652146,1050612000,3638640000,3954338000,4666650000,6185027000,7117687000,7522273000
42,Investments,- -,- -,- -,- -,- -,390087164,1012304000,1004205000,600256000,2137978000,5115708000,4810821000,4959779000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,285112000,388770000,539561000,628267000,760023000
44,Other Non-Current Assets,5599,21795,57300,32645,32085171,40493213,1936307000,510821000,366760000,400236000,722613000,101790000,296366000
45,Total Non-Current Assets,1063726,10379082,57553499,105892394,212788329,3729678596,7882246000,10513581000,12066682000,16240815000,25567177000,27769294000,29445596000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18707566,113634622,1052330986,2489964869,6496940537,16946916001,20035522000,25094453000,37982820000,43562663000,48582678000,58940814000,62287541000
48,Accounts Payable,7214645,55075957,553208063,1207514516,2889812602,6119766032,6645262000,8333610000,11445109000,11630172000,13792200000,15191313000,13144935000
49,Short-Term Debt,- -,- -,79886875,- -,- -,- -,95000000,- -,1667310000,6639428000,1426913000,1343217000,2259843000
50,Tax Payable,1038681,5314765,65257312,59383232,269274880,554764217,544667000,602671000,767518000,1218334000,1342962000,1365201000,- -
51,Deferred Revenue,1334339,18270965,119679397,453133915,992662979,1692629042,2207738000,3027022000,2693128000,2220049000,2114656000,2290340000,2278474000
52,Other Current Liabilities,20741713,107353976,184609016,313850204,1140278862,2340423642,3217959000,3222834000,3452138000,5456310000,6591866000,7744078000,8087765000
53,Total Current Liabilities,29290698,180700897,937383352,1974498635,5022754444,10152818717,12165959000,14583466000,19257685000,25945959000,23925635000,26568948000,25771017000
54,Long-Term Debt,- -,- -,- -,- -,- -,3854047741,4058181000,4381698000,4094903000,- -,1460180000,1360946000,952813000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,22699000,246902000,362649000,400951000,782068000,1070891000,1026155000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,242637463,175416000,100583000,17007000,4960000,165098000,432995000,437202000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,- -,121245000,272038000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4096685204,4256296000,4729183000,4474559000,405911000,2407346000,2986077000,2688208000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1728933000,1660737000,1237472000
61,Total Liabilities,29290698,180700897,937383352,1974498635,5022754444,14249503921,16422255000,19312649000,23732244000,26351870000,26332981000,29555025000,28459225000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,32624,31691,46899,63217,67675,71050,76000,77000,85000,86000,87000,88000,91000
64,Retained Earnings,-11613810,-66768987,-1046787245,-1098716696,-749806054,83955318,1616209000,3653026000,5602681000,7907396000,11924228000,17740415000,22421488000
65,Other Comprehensive Income/Loss,2499,-1296047,-4808232,1432951,22716161,-31410351,-70981000,-343608000,-24242000,-30883000,-56656000,-58954000,-88599000
66,Other Total Stockholders Equity,995555,967069,1166496214,1612686762,2201208312,2496666137,1993880000,2422685000,8715995000,9385216000,9959497000,10816185000,10299918000
67,Total Stockholders Equity,-10583132,-67066274,114947635,515466234,1474186093,2549282154,3539184000,5732180000,14294519000,17261815000,21827156000,28497734000,32632898000
68,Total Liabilities And Stockholders Equity,18707566,113634622,1052330986,2489964869,6496940537,16798786075,19961439000,25044829000,38026763000,43613685000,48160137000,58052759000,61092123000
69,Minority Interest,0,0,-0,- -,- -,148129926,74083000,49624000,-43943000,-51022000,422541000,888055000,1195418000
70,Total Liabilities & Equity,18707566,113634622,1052330986,2489964869,6496940537,16946916001,20035522000,25094453000,37982820000,43562663000,48582678000,58940814000,62287541000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529192/000104746914004168/a2218799z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746915003885/a2222963z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746916012448/a2227056z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746917002625/a2230490z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746918002945/a2235296z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746919002338/a2237384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000119312520120336/d849102d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-9427454,-55487491,-674201535,-59122886,316949722,851435557,1589665000,2036817000,1949655000,2128787000,4016832000,5906957000,- -
74,Depreciation and Amortization,282133,684440,8603059,28257435,53565813,361476956,583830000,1012610000,1117201000,889733000,950506000,1139279000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103623000,- -
76,Stock Based Compensation,- -,- -,464636864,47418712,75487943,228214454,302941000,475653000,667098000,671210000,688083000,951048000,- -
77,Change in Working Capital,-399376,-6590005,195362098,608753767,2019674816,1566464506,-872153000,-1211124000,-3117613000,1607717000,5008302000,3560901000,- -
78,Accounts Receivable,-2980773,-6207761,-17459447,-17891406,22976982,-136107946,-279165000,-1951397000,-2655862000,-64931000,4165302000,988109000,- -
79,Inventory,-10261301,-56188499,-402421014,-539219917,-969913523,-2090464164,-1272336000,-685018000,-2240420000,291781000,-2625892000,-527198000,- -
80,Accounts Payable,7178996,48067745,501018674,658108052,1717423861,2782517786,643370000,1553400000,3217304000,-140746000,1681114000,1386900000,- -
81,Other Working Capital,1334339,14663436,97698967,317803429,445396157,316930625,462446000,656576000,-474856000,-839284000,-285532000,208638000,- -
82,Other Non-Cash Items,216256,17793389,13812595,71086751,183142313,129065826,310803000,517457000,364910000,448301000,1626460000,365882000,- -
83,Cash Provided by Operating Activities,-9328441,-43599667,8213081,696393779,2648820608,3136657299,1915086000,2831413000,981251000,5745748000,12290183000,11820444000,- -
84,CAPEX,-629664,-10076309,-60286726,-77269775,-134834165,-1588160384,-4175037000,-2785506000,-2473583000,-3593043000,-4277673000,-2271895000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-1202168903,-610841000,-164692000,-261484000,-963699000,-3355111000,-1608549000,- -
86,Purchases of Investments,- -,- -,- -,-632308904,-3728523693,-6315962517,-5786953000,-2262314000,-354000000,-2691032000,-3271105000,-14349500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,101312728,1946600703,5019552270,7633963000,3341482000,1076024000,747766000,2500340000,10679827000,- -
88,Other Investing Activites,-5606,-20747,-89381474,88844594,-27943330,-33523080,-1990250000,-615833000,-295373000,-1267174000,-811508000,820436000,- -
89,Cash Used for Investing Activites,-635269,-10097056,-149668199,-519421357,-1944700485,-4120262616,-2937309000,-1669002000,-2032606000,-6693812000,-8240560000,-6695043000,- -
90,Debt Repayment,- -,- -,-29957578,-79337899,- -,-1053735901,-574463000,-98000000,-24697000,-2455885000,-8055547000,-2689972000,- -
91,Common Stock Issued,- -,7,18167515,391298039,547532454,- -,- -,- -,5610337000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-11548688,- -,- -,- -,-650197000,-193619000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11841121,60603708,443087164,1195513,12419407,4905119415,685526000,-101509000,1584184000,3042853000,1798847000,2669133000,- -
95,Cash Used/Provided by Financing Activities,11841121,60603715,419748414,313155652,559951862,3851383514,-539134000,-393128000,7169824000,586968000,-6256700000,-20839000,- -
96,Effect of Forex Changes on Cash,3441,-1445885,-2735722,6207243,10047357,-154460564,94990000,15910000,-6054000,177576000,-112110000,-12526000,- -
97,Net Change In Cash,1880852,5461107,275557573,496335318,1274119342,2713317634,-1466367000,785193000,6112415000,-183520000,-2319187000,5092036000,- -
98,Cash at the End of Period,1964549,7369444,282540780,776934500,2028453347,4789585021,3324384000,4109577000,10221992000,10038472000,7719285000,12811321000,- -
99,Cash at the Beginning of Period,83698,1908337,6983207,280599183,754334005,2076267387,4790751000,3324384000,4109577000,10221992000,10038472000,7719285000,- -
100,Free Cash Flow,-9958104,-53675976,-52073645,619124004,2513986443,1548496915,-2259951000,45907000,-1492332000,2152705000,8012510000,9548549000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1529192/000104746914004168/a2218799z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746915003885/a2222963z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746916012448/a2227056z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746917002625/a2230490z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746918002945/a2235296z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000104746919002338/a2237384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1529192/000119312520120336/d849102d20f.htm,- -,undefined
102,Forex Rate,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
